'a'he'he 阿呵呵
'pu'yin'xian'chun'xue 蒲饮先春雪
'pu'yu'hun'jin 璞玉浑金
'qi'bai'gao'seng'zong'hui'chan 七百高僧总会禅
'qi'bu'jian'nan'quan'dao'ye'lai'hao'feng 岂不见南泉道夜来好风
'qi'chuan'ba'xue 七穿八穴
'qi'da'ba'tong 七达八通
'qi'fo'yi'hou 七佛已后
'qi'fo'yi'qian 七佛已前
'qi'gu'fo'zu 气谷佛祖
'qi'huo'wei'ran 其或未然
'qi'jing'miao'da'wu'ren'tong'bu'jin 碛境庙大五忍痛不禁
'qi'kan'chi'tu'fu 岂堪持鈯斧
'qi'lai'dao'en'da'nan'chou 起来道恩大难酬
'qi'lai'he'qiu 其来何求
'qi'lai'shi'de'hu'bing'zhi 起来拾得胡饼只
'qi'li'ta'bei'min'xin 起利他悲悯心
'qi'mao'han'gao 气貌寒槁
'qi'qing'mei'xue'xiao'ling'xing 气清梅雪晓零星
'qi'qu'wu'de 其去无得
'qi'sheng'gai'se 骑声盖色
'qi'sheng'gai'se'tian'ran'bie 骑声盖色天然别
'qi'shi'yuan'zeng'tong'jie'hui 七世冤憎同劫会
'qi'shou'shi'er'mian'guan'yin 稽首十二面观音
'qi'ti'ye'chu'zhu'zhang'ai 其体也出诸障碍
'qi'xia'qiu'chong'sheng'qi'yuan 砌下秋虫声凄怨
'qi'yi'shen'guo'cuo 其义深过错
'qi'yong'ye'dei'da'zi'zai 其用也得大自在
'qi'yu'qiao'miao 其语巧妙
'qia'dao'er'jin'hua'da'xing 恰到而今话大行
'qia'si'zhao'zhou 恰似赵州
'qian'bu'gou'dian 前不构店
'qian'bu'qian'ming'bo 浅不浅溟渤
'qian'dui'zhi'zai'wo 钤鎚之在握
'qian'fei'shang 乾非上
'qian'gu'an'xiang'shu'ying'zai 千古暗香疏影在
'qian'gu'ke'yi'yue 千古可怡悦
'qian'gu'yang'zhi'ri'yue'ming 千古仰之日月明
'qian'gu'yi'ru'ru 千古意如如
'qian'jiang'yue'ying 千江月影
'qian'li'wan'li'yi'tiao'tie 千里万里一条铁
'qian'li'xuan'shu'cuo'ta'fan 千里玄枢错踏翻
'qian'lin'huang'ye'zhui 千林黄叶坠
'qian'liu'wu'bian'yi 迁流无变易
'qian'nian'tao'he'li 千年桃核里
'qian'san'hou'san 前三后三
'qian'sheng'qi'jiao'li'xia'feng 千圣齐教立下风
'qian'wan'gu'kou'liu'wei'ji 千万古口流伟勣
'qian'wen'shen'wu 浅闻深悟
'qian'wu'bai'ren'shan'zhi'shi 千五百人善知识
'qian'xi'yi'pai'zi'chao'zong 潜溪一派自朝宗
'qian'yin'wei'yin 前印威音
'qian'yue'zhi'ci'yue 前月只此月
'qian'zhang'xuan'ya'nong'xian'yan 千丈悬崖弄险巘
'qian'zhang'yan'chui'yun'wan'die 千丈岩垂云万叠
'qian'zhi'fou 迁知否
'qiao'jin'zhuo'chu 巧尽拙出
'qiao'mu'ying'yin 乔木莺吟
'qie'dao'tao'yuan'ming 且道陶渊明
'qie'huan'huan 且缓缓
'qie'ji 切忌
'qie'jiao'lu'lao'qu'dan'chai 且教卢老去担柴
'qie'mo'lun'liang 且莫论量
'qie'mo'yan'hua 且莫眼花
'qin'shi'li'zuan 秦时轹鑽
'qin'shi'qin'jian'zhen 亲时亲见真
'qing'bai'chuan'jia'xi'jiu'nian'yi'mo 清白传家兮九年一默
'qing'bai'chuan'jia'zhi'ru'ci 清白传家只如此
'qing'bai'men'ting'si'jue'lin 清白门庭四绝邻
'qing'bai'zhuo'qiu'zhi'yue 清白濯秋之月
'qing'bo'lu'xian'wu'ren'tou 清波路险无人透
'qing'bu'che 清不彻
'qing'chun'you'duo'shao 青春有多少
'qing'feng'za'di 清风匝地
'qing'gai'xiang'feng 倾盖相逢
'qing'guang'jue'dian'chen 清光绝点尘
'qing'hua'lin'yu'zhi'jian 清华临於至鉴
'qing'jin'yuan'ming'yi'ke'han 情尽圆明一颗寒
'qing'liang'you'ling'bu'neng'xing 清凉有令不能行
'qing'ou'cha'fan'xue'hua'xiang 晴瓯茶泛雪花香
'qing'song'bai'shi 青松白石
'qing'xiang'fu'yu 清香馥郁
'qing'yun'zhi'jin'you'wei'min 清韵至今犹未泯
'qing'zhi'ji'jian 请之既坚
'qiong'jing'zhi'ru'shi 穷竟只如是
'qiong'long'sen'zhang'lao'qing'zan 穹窿森长老请赞
'qiong'yin'gu'qi 蛩吟古砌
'qiong'ze'bian 穷则变
'qiong'ze'tong 穷则通
'qiu'feng'chang'jin'pi'mao'zhai 秋风偿尽皮毛债
'qiu'feng'diao'bai'ye 秋风凋败叶
'qiu'feng'hu'qi'gu'shan'xing 秋风忽起故山兴
'qiu'feng'qing 秋风清
'qiu'he'jing'shen 丘壑精神
'qiu'le'dong 秋了冬
'qiu'qi'su'jin 秋气肃金
'qiu'shui'gong'chang'tian'yi'se 秋水共长天一色
'qiu'tian'ru'xi 秋天如洗
'qiu'tian'shui'zu 秋田水足
'qiu'yi'ao'zhan 秋晹鏖战
'qiu'yu'zha'qing 秋雨乍晴
'qiu'yue'bai 秋月白
'qiu'yue'si'wu'xin 秋月似吾心
'qiu'yue'you'kui'ying 秋月有亏盈
'qiu'yun'zi'zai 秋云自在
'qu'bu'de 取不得
'qu'bu'gu'zhu'di 去不雇住底
'qu'de'jian 觑得见
'qu'he'su 去何速
'qu'lu'peng'shang 曲录棚上
'qu'ni'xuan'bai'ze 去猊悬白泽
'qu'nian'mei 去年梅
'qu'nong'mian'mu 渠侬面目
'qu'qu'xiu'rong'yi'bo'chuan 去去休容易泊船
'qu'shi'shan'se'can'chou'rong 去时山色惨愁容
'qu'tan'mie'du 瞿昙灭度
'qu'tan'wei'jie'zhe'yi'zhu 瞿昙未解这一著
'qu'wei'sen'yan 趣味森严
'quan'da'dao'zan 泉大道赞
'quan'de'ji'ren'gui 劝得几人归
'quan'jun'geng'jin'yi'bei'jiu 劝君更尽一杯酒
'quan'lai'ti'qu'ji'ru'fei 拳来踢去疾如飞
'quan'mei'ba'bi 全没巴鼻
'quan'shen'zhi'ru 全身直入
'quan'wu'ji'liang 全无伎俩
'que'cong'ta'mi 却从他觅
'que'dao'cong'qian'gu'fu'wo 却道从前辜负我
'que'shuo'ming'nian'shi'bu'tong 却说明年事不同
'que'wang'jing'shan'qu 却往径山去
'que'zhi'bu'yi 却之不已
'qun'hua'jing'tu 群花竞吐
'qun'hui'shu'shen 群彙舒伸
'qun'mo'gu'wu 群魔鼓舞
'qun'mo'ju'tian'mie 群魔俱殄灭
'qun'yin'bo'jin 群阴剥尽
'ran'yu'jiu'du'zhong 然於救度中
'rao'rao'hong'chen'zhong 扰扰红尘中
'rao'zhi'zhi'rou'bai'lian'gang 绕指之柔百炼刚
'ren'duo'wo'yu 人夺我与
'ren'jia'cui'wei 人家翠微
'ren'jian'ji'ji 人间几几
'ren'jian'tian'shang'du'you'you 人间天上独优游
'ren'jian'yue'ban 人间月半
'ren'qi'wo'qu 人弃我取
'ren'ren'jin'dao'shi'fen'yuan 人人尽道十分圆
'ren'ren'tou'ding'tian 人人头顶天
'ren'ren'zhi'zhi'deng'lou'shang'wan'xiang'tian'bian'mi 人人只知登楼赏玩向天边觅
'ren'ren'zhi'zhi'zhou'bu'deng'gao 人人只知骤步登高
'ren'shi'bi'kong'liao'tian 任是鼻孔辽天
'ren'zuo'ming'xing'yi'he'cuo 认作明星一何错
'ri'ben'cheng'shang'ren 日本澄上人
'ri'chi'chi 日迟迟
'ri'jiu'ri'xin 日久日新
'ri'lun'dang'wu 日轮当午
'ri'ri'shi'hao'ri 日日是好日
'ri'yue'liang'jian 日月两间
'ri'zhi'feng'chui'chou'wei'xiu 日炙风吹臭未休
'rong'yan'shen'qi'miao 容颜甚奇妙
'ru'chun'zai'bai'hua 如春在百花
'ru'dou'bang'chen'wu'xiang 乳窦谤沉无香
'ru'feng'jin'ri'kai'lu 乳峰今日开炉
'ru'hai'suan'sha'tu'zi'pi 入海算沙徒自疲
'ru'he'dei'shi 如何得是
'ru'he'ji'jie 如何计结
'ru'he'pu'she 如何铺设
'ru'he'tu'lu 如何吐露
'ru'he'zhi'nan 如何指南
'ru'jin'dou'dao'ling'xiao'shang 如今逗到凌霄上
'ru'jin'he'chu'qiu'pu'men 如今何处求普门
'ru'li'shen'tan 入理深谈
'ru'lin'shen'yuan 如临深渊
'ru'long'si'xiang 如龙似象
'ru'lv'bo'bing 如履薄冰
'ru'shan'he'fu 入山何富
'ru'shi'sheng'tang 入室升堂
'ru'xing'yi'shi'wu'zhan'bo 汝行益时吾展钵
'ru'ya'feng'liu 儒雅风流
'ru'yi'ren'yu'wan'ren'di 如一人与万人敌
'ru'yue'zai'tian 如月在天
'ru'ze'ge'ge'gui'yuan 入则个个归元
'ru'zheng'fan'shi'wu'zhu'huo 汝蒸饭时吾著火
'rui'yan'yi'zhong 瑞岩一众
'rui'zhe'wen'ming 睿哲文明
'ruo'dao'si'de'shan 若道嗣德山
'ruo'jian'zhu'xiang'fei'xiang 若见诸相非相
'ruo'lun'ci'shi 若论此事
'ruo'lun'dang'lai'bu'chu 若论当来补处
'ruo'wei'qu'tan'ceng'ru'mie 若谓瞿昙曾入灭
'ruo'xiang'zhe'li 若向这里
'ruo'yao'huo'feng'hua 若要活奉化
'ruo'you'jian'wen'zhe 若有见闻者
'sai'bei'gui'hong'jie'wu'fei 塞北归鸿截雾飞
'sai'hong'he'chu 塞鸿何处
'sai'que'er 塞却耳
'sai'wai'jiang'jun'ling 塞外将军令
'san'bai'qi'lai'yi'wei'li 三拜起来依位立
'san'bu'xian'yun'kuai'huo'xi 散步闲云快活戏
'san'cheng'kong'ge'teng 三乘空葛藤
'san'chu'yi'chang'ding'ji'gang 三处移场定纪纲
'san'dian'qian'san'dian'hou 三点前三点后
'san'dian'wu'dian'bu'shi'yu 三点五点不时雨
'san'du'fu'hao'zhi 三度拂蒿枝
'san'fa'yi'you'shui'guan'xi 散发夷犹谁管系
'san'feng'zhao'zhi 三奉诏旨
'san'qian'li'wai 三千里外
'san'qian'tiao'zui 三千条罪
'san'que'tian'shu'bu'xia'shan 三却天书不下山
'san'ren'bi'you'wo'shi 三人必有我师
'san'ri'yi'yu 三日一雨
'san'shi'fo'zhi'ke'bang'guan 三世佛止可傍观
'san'shi'nian'hou 三十年后
'san'shi'nian'qian 三十年前
'san'shi'nian'yi'miao'fan'mao 三十年异苗翻茂
'san'shi'yu'nian'hai'shang'you 三十馀年海上游
'san'shi'zhu'fo'li'di'ting 三世诸佛立地听
'san'tiao'chuan'xia'si'shi'jie 三条椽下四世界
'san'zu'zan'le'zhi'zui'xing'ben'lai'wu 三祖赞了知罪性本来无
'san'zu'zan'tong'shen'shi'bing'gu'zhan'pi 三祖赞通身是病骨粘皮
'sao'jin'ji'yuan'wan'fa'kong 扫尽机缘万法空
'se'ze'xing'hui 色泽星辉
'sha'huo'zai'shou 杀活在手
'sha'jin'an'ju 杀尽安居
'sha'ren'mian'jian'xue 杀人面见血
'shan'cai'zou'de'jiao'pi'chuan 善财走得脚皮穿
'shan'dian'wei'shou'hong'pi'li 闪电未收轰霹雳
'shan'e'bu'si 善恶不思
'shan'guan'zhu'yin'sheng 善观诸音声
'shan'hu'zhen'shang'liang'hang'lei 珊瑚枕上两行泪
'shan'miao'miao'luo'ri'wei'chao 山渺渺落日危巢
'shan'nan'zi'qi 善男子起
'shan'qian'xiang'jian'bai'tou'weng 山前向见白头翁
'shan'seng'kou'si'sang'pan 山僧口似磉盘
'shan'seng'leng'di'si'liang 山僧冷地思量
'shan'yue'qi'hu'wan'sui'sheng 山岳齐呼万岁声
'shan'yun'mo'mo 山云漠漠
'shan'zhong'wo 山中卧
'shang'jian'gan 上尖竿
'shang'jie'qi'ru'guan'fu'duo 上界其如官府多
'shang'ren'ci'wo'qu'xing'jiao 上人辞我去行脚
'shang'shang'da'ji 上上大吉
'shang'xia'ping'fen 上下平分
'shang'yu'qiong'xiang'yi'shuang'shou 尚馀穷相一双手
'shang'yuan'xiao'jie 赏元宵节
'shang'yuan'zheng'yue'ban 上元正月半
'shao'jian'du'xing'ren 少见独醒人
'shao'lin'xiao'xi'jue 少林消息绝
'shao'wei'fen'ming'du'yu'men 烧尾分明度禹门
'shao'zhu'lu'shan'luo'han'yuan'guo'wang'he'shang'jiao'zhi'tou 烧著庐山罗汉院裹王和尚脚指头
'shao'zhuang'xue'dao'yi'jia'bian 少壮学道宜加鞭
'she'ben'lan'fan'qian'zhang'xue 舌本澜翻千丈雪
'she'bu'de 舍不得
'she'duan'bi'duan'jie'ju'yan 舌端笔端皆具眼
'she'duan'wu'yan'ru'he'chi 舌端无眼如何吃
'she'duan'yi'wei'yi'quan'pao 舌端异味已全抛
'she'huo'wei'bian'duan'ni 设或未辨端倪
'she'shi'quan'guai 涉世全乖
'she'tou'bu'chu'kou 舌头不出口
'she'tou'ru'ju'yan 舌头如具眼
'she'zhi'er'cang 舍之而藏
'shen'bu'shen'ti'cen 深不深蹄涔
'shen'fei'chen'ju 身非尘聚
'shen'ju'shi'ying'wu'ji'ban 神驹十影无羁绊
'shen'lin'zhi'hui'san'mian'jian 深林之晦三眠茧
'shen'mi'shou'yu'yuan'shu 深密守於元枢
'shen'wai'wu'yu 身外无馀
'shen'wen'qian'wu 深闻浅悟
'shen'wu'lv'er'chang'an 神无虑而常安
'shen'xin'an'ju 身心安居
'shen'xin'yi'ru 身心一如
'sheng'ci'yao'mo 生此妖魔
'sheng'ling'he'chu'wen'yu'qiao 生灵何处问渔樵
'sheng'ping'xiao'san 生平萧散
'sheng'qian'de'de'you'lai'yuan 声前的的有来源
'sheng'qian'ju'hou'xin'luo'jian 声前句后新罗箭
'sheng'qian'sheng'hou'jie'liu'ji 声前声后截流机
'sheng'ren'bu'ren 圣人不仁
'sheng'ren'sheng 圣人生
'sheng'ren'zuo'er'wan'wu'du 圣人作而万物睹
'sheng'sao'zhou 生扫箒
'sheng'se'chun'zhen'hun'sheng'se 声色纯真浑声色
'sheng'se'chun'zhen'jian'yi'bian 声色纯真见一边
'sheng'se'chun'zhen'qi'rong'cuan'cu 声色纯真岂容攒簇
'sheng'se'ru'long'gu 声色如聋瞽
'sheng'sheng'xiang'guan'zi'lian'zhu 绳绳相贯兹联珠
'shi'ba'tan'tou'sheng'hao'hao 十八滩头声浩浩
'shi'bu'shi 是不是
'shi'cheng'tuo'si'zhong'qiu'yue 十成脱似中秋月
'shi'chu'shi'jian'ju'tou'di 世出世间俱透底
'shi'chuang'zhou'jing'jia'fu'wen 石床昼静跏趺稳
'shi'dao'chong'juan 释道冲卷
'shi'de'yi 识得一
'shi'de'zan 拾得赞
'shi'fa'shi'shang 是罚是赏
'shi'fa'xun'juan 释法薰卷
'shi'fang'ji'wei'gan 十方机未感
'shi'fen'e'du'de'ren'zeng 十分恶毒得人憎
'shi'fen'mei'xing 十分没兴
'shi'fen'ming'you'bai 十分明又白
'shi'gu'bu'ke'hui 是故不可毁
'shi'jia'chu'shi'na'kong'sai'kong 释迦出世拏空塞空
'shi'jia'lao'zi 释迦老子
'shi'jian'yi'ji'mie 是见亦寂灭
'shi'jin'gan'xin'bai'cao'tou 识尽甘辛百草头
'shi'ke'ren'shu'bu'ke'ren 是可忍孰不可忍
'shi'liu'shi'qi 十六十七
'shi'lu'rao'rao'hong'chen 世路扰扰红尘
'shi'ma'lu'qian 示马路钤
'shi'meng'duan 世梦短
'shi'mian'xie'xia'na'yi 示免卸下衲衣
'shi'nv'ji'ting'xi'ye'se'xiang'wu 石女机停兮夜色向午
'shi'pu'du'juan 释普度卷
'shi'qi'ri'yuan'jin'yi'zu 十七日缘今已足
'shi'que'yao'jian'te'shi 失却腰间特石
'shi'ren'bu'hui 是人不会
'shi'ri'yu 十日雨
'shi'ru'zhu'ren 是汝诸人
'shi'san'shi'san'ying 是三十三应
'shi'shang'zai'hua 石上栽花
'shi'shao'tan'juan 释绍昙卷
'shi'shi'fan'juan 释师范卷
'shi'shi'san'bai'tong'an'zhu 示食三白通庵主
'shi'si'shi'wu 十四十五
'shi'si'wu'wei'fa 十四无畏法
'shi'suo'wei'bu'ran'er'ran 是所谓不然而然
'shi'ta'ge'ge'neng'an'fen 使他个个能安分
'shi'tian'hao'shi'ming'ming'shuo 石田好是明明说
'shi'tian'wu'yi'shi 石田无一事
'shi'tou'lu'hua'jiao'pi'chuan 石头路滑脚皮穿
'shi'wei'yi'juan 释惟一卷
'shi'xiang'tu'zhong'wen'gui'ke 试向途中问归客
'shi'xiao'lian'mang'da'wu'geng 失晓连忙打五更
'shi'xin'nan'quan'huan'zuo'niu 始信南泉唤作牛
'shi'yi'bu'shi'yi 是一不是一
'shi'zai'shi'zai 时哉时哉
'shi'zai'xi'xian 失在巇嶮
'shi'ze'ming'wei'guan'zi'zai 是则名为观自在
'shi'zhe'gang'yao'xun'duan'di 侍者刚要询端的
'shi'zhe'wu'shi'xiang'sui 侍者无事相随
'shi'zhen'xia'lv 是真瞎驴
'shi'zheng'jue'juan 释正觉卷
'shi'zhu'ji'cuo 是著即错
'shi'zhu'shi'fen'liang'xiang'yi 施朱施粉两相宜
'shi'zi'jie'tou 十字街头
'shi'zi'jie'tou'hu'chi'dian 十字街头忽吃攧
'shi'zi'jie'tou'zhuang'jian'zhang'san 十字街头撞见张三
'shi'zi'zong'heng 十字纵横
'shi'zun'nian'hua 世尊拈花
'shou'chi'jing'juan 手持经卷
'shou'qi'nan'bei'liang'gao'feng 寿齐南北两高峰
'shou'shan'zeng'cui 寿山增翠
'shou'wu'zu'dao 手舞足蹈
'shou'zuo'qing'xing'he'jian'bian 瘦坐清行合涧边
'shu'bu'dao 暑不到
'shu'de'zu 数得足
'shu'er'bu'lou 疏而不漏
'shu'ji'zhi'fa'shi'he'ren 枢机之发是何人
'shu'jia'li'luo'feng'lin'wai 数家篱落枫林外
'shu'le'you'han'han'you'shu 暑了又寒寒又暑
'shu'lin'jian'ye 疏林减叶
'shu'ming'wei'fo 孰名为佛
'shu'mu'fen'ming'shui'wei'xi 数目分明谁委悉
'shu'sheng'yu'di'yan'cun'wan 数声渔笛烟村晚
'shu'zhi'leng'rui'zi'heng'xie 疏枝冷蕊自横斜
'shuai'tu'geng'xin'yao'shun'hua 率土更新尧舜化
'shuang'fu'jin'an'yu'zhui'yao 霜拂金鞍玉坠腰
'shuang'lin'shu'xia'shou'mo'xiong 双林树下手摩胸
'shuang'xi 双溪
'shuang'xi'lu'shang'jue'ren'xing 双溪路上绝人行
'shuang'zhao'xian'chen'jing 双照纤尘净
'shui'bu'zi'xi 水不自洗
'shui'dao'qu'cheng 水到渠成
'shui'deng 水灯
'shui'gan'cao'zu 水甘草足
'shui'guan'ni'di 谁管你地
'shui'guan'ni'tian 谁管你天
'shui'jia'du 谁家犊
'shui'jia'gu 谁家牯
'shui'mang'mang 水茫茫
'shui'ming'ye'jing 水明夜静
'shui'qu'shui'lai 谁去谁来
'shui'ren'zhi'ci'yi 谁人知此意
'shui'yan'gu'dian'jin'wu'fo 谁言古殿今无佛
'shui'yin'wu'jia 水银无假
'shui'yun'gu'leng'bu'rong'hu 谁云骨冷不容呼
'shui'zhi'gun'de'yi'xiu'xiu 谁知辊得意休休
'shui'zhi'mang'yu'xian 谁知忙与闲
'shui'zhi'mi'guo'you'chong 谁知米裹有虫
'shun'ruo'duo'shen'shi'xiao 舜若多神失笑
'shun'ruo'duo'shen'xiao'dian'tou 舜若多神笑点头
'shuo'chan'bu'ru'shi'yang 说禅不入时样
'shuo'fa'sheng'gao 说法声高
'shuo'hei'dao'huang 说黑道黄
'shuo'jin'xi'ci 说尽系辞
'shuo'you'tan'wu'zi'tuo'kong 说有谈无姿脱空
'si'bian'jie'zhi 四边界至
'si'chu'zhi'cuan 寺厨执爨
'si'da'hai'bu'kuan 四大海不宽
'si'dao'ran'ni'sha 司道染泥沙
'si'fang'ba'mian'jue'luo'long 四方八面绝罗笼
'si'fang'ba'mian'lai 四方八面来
'si'hai'lang'ping 四海浪平
'si'hai'lang'ping'long'shui'wen 四海浪平龙睡稳
'si'hai'ming'shan'ceng'guo'mu 四海名山曾过目
'si'hai'wu'si'bu'duan'hun 四海无思不断魂
'si'hai'ye'yi 斯害也矣
'si'liang'ye'shi'mu'xi'qin 思量也是慕西秦
'si'qu'ming'zi'xiao 四衢明自晓
'si'sheng'shi'da'fang'xing'jiao 死生事大方行脚
'si'wei'di'yi 斯为第一
'si'wei'yi 四威仪
'si'wu'bai'luo'su 四五百箩粟
'si'wu'liu'qi'pian 四五六七片
'si'ye'hong'lian 四叶红莲
'si'you'si'xian'dan'zhong 似有似闲淡中
'si'yue'shi'wu'tong'jie 四月十五同结
'si'zu'zan'mo'guo'cong'qian'jie'tuo'keng 四祖赞抹过从前解脱坑
'si'zu'zan'po'tou'feng'ding'yan'chan'guan 四祖赞破头峰顶掩禅关
'song'da'zhou'xian'shang'ren 送达州先上人
'song'fu'cang'zhu'gui'jiang'xi 送孚藏主归江西
'song'gao'you'you'shang'ren 送高邮友上人
'song'gen'han'shui'zu 松根憨睡足
'song'gen'shi'shang 松根石上
'song'gu'er'shi'yi'shou'rong'yan'shen'qi'miao 颂古二十一首容颜甚奇妙
'song'gu'liu'shou'dao'yu'bu'dao 颂古六首到与不到
'song'gu'liu'shou'ping'sheng'zui'xing'mi'wu'zong 颂古六首平生罪性觅无踪
'song'gu'liu'shou'ru'zheng'fan'shi'wu'zhu'huo 颂古六首汝蒸饭时吾著火
'song'gu'liu'shou'xian'fan'jie'tuo'tuo'chao'ke 颂古六首掀翻解脱脱巢窠
'song'gu'san'shi'liu'shou'bai'yun'gu'qi'mei'xian'qin 颂古三十六首白云鼓起没弦琴
'song'gu'san'shi'liu'shou'bu'kan'ti'duo'si'mao'tou 颂古三十六首不堪提掇死猫头
'song'gu'san'shi'liu'shou'lai'qu'ke'qing'qian'yang'bie 颂古三十六首来去客情千样别
'song'gu'san'shi'liu'shou'wu'fei'tu'zou'zhou'hai'ye 颂古三十六首乌飞兔走昼还夜
'song'gu'san'shi'liu'shou'zi'ji'jiang'lai'geng'wen'shui 颂古三十六首自己将来更问谁
'song'gu'shi'shou'ceng'dao'wei'dao'ju'chi'cha 颂古十首曾到未到俱吃茶
'song'gu'si'shi'si'shou'hong'lun'jue'ding'chen'xi'qu 颂古四十四首红轮决定沉西去
'song'gu'si'shi'si'shou'yi'zhi'shen'bei'ding'ji'xiong 颂古四十四首一掷神杯定吉凶
'song'gu'si'shi'si'shou'zhu'zi'sheng'ya'ge'you'cheng 颂古四十四首诸子生涯各有成
'song'gu'wu'shi'wu'shou'ba'mian'ling'long'dou'yue'han 颂古五十五首八面玲珑逗月寒
'song'gu'wu'shi'wu'shou'chi'zhou'chi'fan'guo 颂古五十五首吃粥吃饭过
'song'gu'wu'shi'wu'shou'chun'you'bai'hua'qiu'you'yue 颂古五十五首春有百花秋有月
'song'gu'wu'shi'wu'shou'gu'dong'tao'hua'fa'nen'zhi 颂古五十五首古洞桃花发嫩枝
'song'gu'wu'shi'wu'shou'luo'lai'er'lang'zi'xiao'yu 颂古五十五首落赖儿郎自小愚
'song'gu'wu'shi'wu'shou'nan'guo'jiang'shan'ru'zhan'tu 颂古五十五首南国江山入战图
'song'gu'wu'shi'wu'shou'shuang'fu'jin'an'yu'zhui'yao 颂古五十五首霜拂金鞍玉坠腰
'song'gu'wu'shi'wu'shou'tai'ping'shi'jie'sui'feng'deng 颂古五十五首太平时节岁丰登
'song'gu'yi'bai'ze'er'yun'gou'yue'diao'qing'jin 颂古一百则饵云钩月钓清津
'song'gu'yi'bai'ze'gui'yuan'ju'fang 颂古一百则规圆矩方
'song'gu'yi'bai'ze'lang'ji'chu'sheng 颂古一百则浪汲初升
'song'gu'yi'bai'ze'mi'wu'xiang'fan 颂古一百则迷悟相返
'song'gu'yi'bai'ze'niao'zhi'xing'kong 颂古一百则鸟之行空
'song'gu'yi'bai'ze'qing'bai'men'ting'si'jue'lin 颂古一百则清白门庭四绝邻
'song'gu'yi'bai'ze'zhui'zhui'gong'guo 颂古一百则缀缀功过
'song'gu'yi'shou'shuang'lin'shu'xia'shou'mo'xiong 颂古一首双林树下手摩胸
'song'jian'shang'ren 送鉴上人
'song'jian'shang'ren'gui'jian'zhou 送见上人归剑州
'song'jing'tou'dao'zhe 送净头道者
'song'jiu'ying'xin 送旧迎新
'song'kai'wei'na 送楷维那
'song'lao'xi'shan'xue 松老西山雪
'song'seng 送僧
'song'seng'gui'tian'tai 送僧归天台
'song'seng'zhi'xue'feng 送僧之雪峰
'song'sheng'hu'po'xi'gen'yong'gao'er'you'nian 松生琥珀兮根拥膏而有年
'song'wen'shang'ren'you'tai'dang 送文上人游台荡
'song'xia'jing 松下经
'song'xiao'shi'chun'zhen'can'xue'dou 送小师淳真参雪窦
'song'xiao'shi'chun'zhi'you'fang 送小师淳志游方
'song'yi'qi'zhou'ju'shi'jian'jian'tang'dong'jian 送怡齐周居士兼简汤东涧
'song'yun'shang'ren 送云上人
'song'zhou 松州
'song'zhu'yan'yun'zuo'dan'jiao 松竹烟云作淡交
'su'cang'shi'jie 粟藏世界
'su'lian'fan'hua'lang'pai'di 素练翻花浪拍堤
'su'lu'xi'li 苏卢悉里
'su'xiao'er'qiu 肃萧而秋
'su'yu'chu'qing 宿雨初晴
'suan'de'chu 算得出
'sui'dan'wu'feng 岁旦无风
'sui'jin'nian'qiong 岁尽年穷
'sui'li'da'jia'si'gu 随例大家厮淈
'sui'ran'fu'shun'shi'yi 虽然俯顺时宜
'sui'shi'xun'chang'cha'fan 虽是寻常茶饭
'sui'zhi'ye'bu'jian'qu'ji 随之也不见去迹
'suo'mo'zhi'feng 索寞芝峰
'ta'duan'shi'qiao'fang'shi'xiu 踏断石桥方始休
'ta'fan'gui'qu 踏翻归去
'ta'po'shan'qian'zu'fu'tian'yuan 踏破山前祖父田园
'tai'e'bu'lv'qi'ru'zhui 太阿补履岂如锥
'tai'ping'shi'jie'sui'feng'deng 太平时节岁丰登
'tai'ping'wu'shi'jiu'dian'ren 太平无事酒颠人
'tai'rao'she 太饶舌
'tai'xu'yuan'yu'qu'tong'shou 太虚元与渠同寿
'tan'huan'yi'ye'hun'jia'le 贪欢一夜浑家乐
'tan'ming 谈命
'tan'shui'ji 滩水急
'tan'xuan'tan'miao 谈玄谈妙
'tang'gong'xiao'shu 堂供萧疏
'tang'shou'xiang'cha'tui'xie'zhen'qiu'zan 汤寿乡察推写真求赞
'tao'guang'chan'cai'shi'ku'ying 韬光铲彩事枯硬
'tao'hua'lang'li'zhen'xiu'lin 桃华浪里振修鳞
'teng'yue'leng'leng'kan'da'yong 腾跃棱棱看大用
'ti'ben'zhen'er'kong'le 体本真而空了
'ti'jin'gang'jian 提金刚剑
'ti'mu'niu'tu 题牧牛图
'ti'sha'ren'jian 提杀人剑
'ti'tian'xing'jian 体天行健
'ti'wan'an'mo'ji 题卍庵墨迹
'ti'xiang'feng'qian'mai'yu'shui 提向风前卖与谁
'ti'xiang'shang'ze'chao'jin'yue'gu 提向上则超今越古
'ti'xie'chu'ye'lai'ren'jian 提携出也来人间
'ti'xue'he'mei'zi'zi'zhen 剔血和煤字字真
'tian'di'bu'ren 天地不仁
'tian'di'fen'ming'qi'quan'zhen 田地分明契券真
'tian'di'yi'ran'gao'tu'wu 天地依然高突兀
'tian'di'zhi'jian'shui'zao'wu 天地之间谁造物
'tian'gou'sai'he'wu'ren'hui 填沟塞壑无人会
'tian'gua'che'dai'tian 甜瓜彻蔕甜
'tian'gua'che'di'tian 甜瓜彻蒂甜
'tian'ming'e'chu'yi'tuan'tie 天明屙出一团铁
'tian'ping'di'ping 天平地平
'tian'shang'ren'jian'wei'wo'zhi 天上人间惟我知
