'ju'bu'yang 局部鞅
'ju'bu'you'xian'fu'gai 局部有限覆盖
'ju'bu'yu 局部域
'ju'bu'zui'you'hua 局部最优化
'ju'he 聚合
'ju'jue'men'xian 拒绝门限
'ju'xing'wang'ge 矩形网格
'ju'zhen'de'dui'jiao'xian 矩阵的对角线
'ju'zhen'de'ji 矩阵的迹
'ju'zhen'de'yuan 矩阵的元
'ju'zhen'de'zhang'liang'ji 矩阵的张量积
'ju'zhen'de'zheng'gui'xing 矩阵的正规形
'ju'zhen'de'zhi 矩阵的秩
'ju'zhen'shou'suo 矩阵收缩
'juan'ji 卷积
'juan'ji'ma 卷积码
'juan'ji'xia'que'jie 卷积下确界
'jue'ce'biao 决策表
'jue'ce'kong'jian 决策空间
'jue'dui'ji'he 绝对几何
'jue'dui'zhi 绝对秩
'jue'dui'zui'you'jie 绝对最优解
'jun'cha 均差
'jun'fang'lian'xu 均方连续
'jun'fang'shou'lian 均方收敛
'jun'yun'she'ji 均匀设计
'ka'er'song'ce'du 卡尔松测度
'ka'ji'ye'chu'zi 卡吉耶除子
'ka'la'tai'ao'duo'li'ce'du 卡拉泰奥多里测度
'ka'sai'er'si'pei'dui 卡塞尔斯配对
'kai'fang 开方
'kai'guan'qu'mian 开关曲面
'kai'jin'ru 开浸入
'kai'qu'jian 开区间
'kai'xi'mi'er'duo'xiang'shi 开西米尔多项式
'kai'ying'she 开映射
'kai'ying'she'ding'li 开映射定理
'kang'tuo'er'ji 康托尔集
'ke'bi'jin'xing 可逼近性
'ke'bian'can'shu'mo'xing 可变参数模型
'ke'ce'ji'zhi'han'shu 可测集值函数
'ke'ding'yi'xing 可定义性
'ke'du'liang'hua 可度量化
'ke'fen'yuan 可分元
'ke'fen'zhang'liang 可分张量
'ke'gong'du'zi'qun 可公度子群
'ke'gou'cheng'xing 可构成性
'ke'ji'wei'fen'fang'cheng'zu 可积微分方程组
'ke'kong'gui'fan'xing 可控规范形
'ke'lang'shu 柯朗数
'ke'lie'duan'zheng'he'xu'lie 可裂短正合序列
'ke'lu'si'te'man'he 克卢斯特曼和
'ke'pan'ding'xing 可判定性
'ke'shi'fu'hao 克氏符号
'ke'shu'wu'qiong'de 可数无穷的
'ke'xing'fang'xiang 可行方向
'ke'xuan'de 可选的
'ke'yue'biao'shi 可约表示
'ken'ding'de 肯定的
'kong'yuan'yun'suan 空元运算
'kong'zhi'bian'liang 控制变量
'kong'zhi'bian'shu'fang'fa 控制变数方法
'ku'cun'mo'xing 库存模型
'kuai'de'kui'shu'qun 块的亏数群
'kui'ge 亏格
'kui'liang 亏量
'kuo'zhang'ying'she 扩张映射
'la'dao'qiu'ji 拉道求积
'la'ge'lang'ri'bi'yao'tiao'jian 拉格朗日必要条件
'la'ge'lang'ri'zhong'zhi'ding'li 拉格朗日中值定理
'la'pu'la'si'shuang'qu'xing'fang'cheng 拉普拉斯双曲型方程
'lan'che'si'te'fang'cheng 兰彻斯特方程
'lang'si'ji'hang'lie'shi 朗斯基行列式
'le'bei'ge'ce'du 勒贝格测度
'le'bei'ge'ji'fen 勒贝格积分
