'a'wei 阿味
'sang'ye 桑叶
'sang'zhi 桑枝
'sha'ren 砂仁
'sha'yuan'zi 沙苑子
'shan'ci'gu'mao'ci'gu 山慈姑毛慈菇
'shan'ci'gu'mao'ci'ru 山慈菇毛慈茹
'shan'gun'cao 山棍草
'shan'jia'zhu 山甲珠
'shan'nai 山奈
'shan'xiang'yuan'ye 山香圆叶
'shan'yao 山药
'shan'yao'fen 山药粉
'shan'yao'guang 山药光
'shan'yu'rou 山芋肉
'shan'yu'rou 山萸肉
'shan'zha 山楂
'shan'zha'cha 山楂茶
'shan'zha'fen 山楂粉
'shan'zha'jiao 山楂焦
'shan'zha'pian 山楂片
'shan'zha'pian'chao 山楂片炒
'shan'zha'sheng 山楂生
'she'chuang'zi 蛇床子
'she'gan 射干
'she'mei 蛇莓
'she'shen 蛇肾
'she'tui 蛇蜕
'she'xiang 麝香
'shen'cha 肾茶
'shen'jin'cao 伸筋草
'sheng'bai'fu'zi 生白附子
'sheng'bai'zhu 生白术
'sheng'ci'shi 生磁石
'sheng'di'tan 生地炭
'sheng'dong'hua 生冬花
'sheng'du'zhong 生杜仲
'sheng'ge'fen 生蛤粉
'sheng'huai'mi 生槐米
'sheng'huang'qi'pian 生黄芪片
'sheng'jiang'pi 生姜皮
'sheng'jue'ming'zi 生决明子
'sheng'long'chi 生龙齿
'sheng'long'gu 生龙骨
'sheng'ma 升麻
'sheng'mai'ya 生麦芽
'sheng'mu'li 生牡蛎
'sheng'pu'huang 生蒲黄
'sheng'shai'shen 生晒参
'sheng'shai'shen'pian 生晒参片
'sheng'shan'zha 生山楂
'sheng'shen'qu 生神曲
'sheng'shi'gao 生石膏
'sheng'shi'jue'ming 生石决明
'sheng'shou'wu 生首乌
'sheng'wa'leng 生瓦楞
'sheng'zhe'shi 生赭石
'sheng'zhi'zi 生栀子
'sheng'zi'shi'ying 生紫石英
'shi'chang'pu 石菖蒲
'shi'di 柿蒂
'shi'hu 石斛
'shi'jian'chuan 石见穿
'shi'jue'ming 石决明
'shi'jun'zi 使君子
'shi'lian'zi 石莲子
'shi'liu'pi 石榴皮
'shi'nan'teng 石楠藤
'shi'nan'ye 石楠叶
'shi'shang'bai 石上柏
'shi'shuang 柿霜
'shi'wei 石韦
'shou'wu'teng 首乌藤
'shu'da'huang 熟大黄
'shu'di'huang 熟地黄
'shu'di'huang'tan 熟地黄炭
'shu'fu'chong 鼠妇虫
'shu'jin'cao 舒筋草
'shui'ban'xia 水半夏
'shui'fei'ji 水飞蓟
'shui'hong'hua'zi 水红花子
'shui'niu'jiao 水牛角
'shui'niu'jiao'fen 水牛角粉
'shui'niu'jiao'si 水牛角丝
'si'gua'luo 丝瓜络
'si'ji'qing 四季青
'song'bei 松贝
'song'hua'fen 松花粉
'song'jie 松节
'song'xiang 松香
'song'zhen'ceng'kong'jun 松针层孔菌
'song'zhen'ceng'kong'jun'pian 松针层孔菌片
'su'geng 苏梗
'su'mu 苏木
'su'xin'hua 苏馨花
'suan'zao'ren 酸枣仁
'suan'zao'ren'chao 酸枣仁炒
'suan'zao'ren'sheng 酸枣仁生
'suo'luo'zi 娑罗子
'suo'yang 锁阳
'suo'yang'zhi 锁阳炙
'tai'zi'shen 太子参
'tan'xiang 檀香
'tang'gou'ji 烫狗脊
'tang'shui'zhi 烫水蛭
'tao'hua 桃花
'tao'ren 桃仁
'teng'li'gen 藤梨根
'tian'dong 天冬
'tian'gua'zi 甜瓜子
'tian'hua'fen 天花粉
'tian'ji'huang 田基黄
'tian'ju'ye 甜菊叶
'tian'kui'zi 天葵子
'tian'long 天龙
'tian'long'bi'hu 天龙壁虎
'tian'ma 天麻
'tian'ma'ge 天麻个
'tian'ma'pian 天麻片
'tian'nan'xing 天南星
'tian'shan'xue'ju 天山雪菊
'tian'shan'xue'lian 天山雪莲
'tian'xian'teng 天仙藤
'tian'xian'zi 天仙子
'tian'zhu'huang'ren'gong'he'cheng 天竺黄人工合成
'tie'luo 铁落
'tie'luo'hua 铁落花
'tie'shu'ye 铁树叶
'ting'li'zi 葶苈子
'tong'lv 铜绿
'tong'tian'cao'shui'cong 通天草水葱
'tou'gu'cao 透骨草
'tu'bei'mu 土贝母
'tu'bie'chong 土鳖虫
'tu'dai'huang 土大黄
'tu'fu'ling 土茯苓
'tu'jing'pi 土荆皮
'tu'yuan'tu'bie'chong 土元土鳖虫
'tu'zi 土子
'wa'leng'zi 瓦楞子
'wa'song 瓦松
'wan'nian'qing'juan'bai 万年青卷柏
'wang'bu'liu'xing 王不留行
'wang'bu'liu'xing'chao 王不留行炒
'wang'bu'liu'xing'sheng 王不留行生
'wang'jiang'nan'zi 望江南籽
'wang'yue'sha 望月砂
'wei'ling'cai 委陵菜
'wei'ling'xian 威灵仙
'wei'rou'dou'kou 煨肉豆蔻
'wen'jiu'chun'ai'tiao 温灸纯艾条
'wu'bei'zi 五倍子
'wu'bing'chi'zhi 无柄赤芝
'wu'bing'chi'zhi'da'qing'shan'ling'zhi 无柄赤芝大青山灵芝
'wu'bing'chi'zhi'pian'da'qing'shan'ling'zhi'pian 无柄赤芝片大青山灵芝片
'wu'gong 蜈蚣
'wu'gu'teng 乌骨藤
'wu'he'jin'si'zao 无核金丝枣
'wu'he'jin'si'zao'te'hui 无核金丝枣特惠
'wu'jia'pi 五加皮
'wu'ling'zhi'chao 五灵脂炒
'wu'ling'zhi'sheng 五灵脂生
'wu'mei 乌梅
'wu'mei'tan 乌梅炭
'wu'ming'yi 无名义
'wu'tong'zi 梧桐子
'wu'wang'wo 勿忘我
'wu'wei'zi 五味子
'wu'wei'zi'cu 五味子醋
'wu'wei'zi'sheng 五味子生
'wu'yao 乌药
'wu'zhi'mao'tao 五指毛桃
'wu'zhu'yu 吴茱萸
'wu'zhu'yu'zhi 吴茱萸炙
