'ai'he'wu'di 爱河无底
'you'bai'yun'cheng'ji 有白云成积
'you'bai'zhuan 有百啭
'you'dian'dao'lv'tai'hong'e 又颠倒绿苔红萼
'you'gu'jiu'chu'bian'wei'jia 有沽酒处便为家
'you'gu'yun'luo'chao'cai'yao 幽谷云萝朝采药
'you'guo'cheng'dong 又过城东
'you'guo'le'yi'nian'chun'se 又过了一年春色
'you'he'bi'guan'jia'ci'yu 又何必官家赐与
'you'he'lao'qian'ri'yong'gong 又何劳千日用功
'you'he'xu'zhuo'yi 又何须着意
'you'hen'fu'you'qi 犹恨负幽期
'you'jian'shen'zhi'fei'qu 又拣深枝飞去
'you'jin'fang'deng 又近放灯
'you'kan'zhe 犹堪折
'you'meng'jin'cheng'xi 幽梦锦城西
'you'ming'qin 有鸣禽
'you'qi'liao'ru'jin'yu'ci'shen 又岂料如今馀此身
'you'qi'mo'xiao'wo'lu'xiao 幽栖莫笑蜗庐小
'you'sha'ou'xiang'shi 有沙鸥相识
'you'shi'guan'he'qian'li 又是关河千里
'you'shi'guan'shen 犹是官身
'you'shi'jing'nian 又是经年
'you'shuang'long'cang'bi 有双龙苍璧
'you'shui'zhi 有谁知
'you'tian'tan'qing'ce 有天坛轻策
'you'xiang'chao'tian'men'wai'hua'bei'huan 又向朝天门外话悲欢
'you'xiang'que'jie'zhu'ren'lai 幽香却解逐人来
'you'yi'fan'chun'mu 又一番春暮
'you'yu'weng'gong'zui 有渔翁共醉
'you'yun'shan'yan'shui'wan'chong 有云山烟水万重
'you'zi'bu'ru'shao'nian'chang 幽姿不入少年场
'yu'ba'hua'qing'di'er'tang 浴罢华清第二汤
'yu'cun'di'yuan 渔村笛怨
'yu'duan'xi'shan'wan'zhao'ming 雨断西山晚照明
'yu'fu'chang'an'bai'mian'ji'gong'qing 渔父长安拜免几公卿
'yu'fu'heng'mian'zui'wei'xing 渔父横眠醉未醒
'yu'fu'jing'hu'fu'yang'liang'qing'tian 渔父镜湖俯仰两青天
'yu'fu'qing'shan'di'cui'shui'ruo'lan 渔父晴山滴翠水挼蓝
'yu'fu'shi'fan'shan'xia'yu'kong'meng 渔父石帆山下雨空濛
'yu'fu'xiang'hu'yan'yu'chang'chun'si 渔父湘湖烟雨长莼丝
'yu'gui'shi'si'kong'xiao'men 欲归时司空笑闷
'yu'guo'yuan'lin 雨过园林
'yu'hu'chun'jiu 玉壶春酒
'yu'hu'die'wang'zhong'zhou'jia'xi'shang'zuo 玉蝴蝶王忠州家席上作
'yu'hua'cong 玉花骢
'yu'ji'wu'jian'shuo'yu 欲寄吴笺说与
'yu'jia'ao'ji'zhong'gao 渔家傲寄仲高
'yu'jia'zhen'ge'hao 渔家真个好
'yu'jian'diao'gong 羽箭雕弓
'yu'jun'kan'dao'shi'fen'kai 与君看到十分开
'yu'jun'tong'zui'fu'yu 与君同醉浮玉
'yu'jun'tong'zui'xing 与君同醉醒
'yu'lou'you'chang 玉漏犹长
'yu'mian'cui'e'chang 玉面翠蛾长
'yu'miao'lan'ting'jin'gu'lu 禹庙兰亭今古路
'yu'suo'yan'li'bang'yu'ji 雨蓑烟笠傍渔矶
'yu'xi'ping'dian 雨稀萍点
'yu'xiang'hua'yu 玉香花语
'yu'xie'xin'chou'lei'jian'zhi 欲写新愁泪溅纸
'yu'xin'wei 与心违
'yu'xuan'dai'yu 鱼悬带玉
'yu'yi'chu'zhe 雨意初着
'yuan'guan'qing'lin'cui'yue 园馆青林翠樾
'yuan'ji'xin'ji'duan'jin 鸳机新寄断锦
'yuan'jing'jiu'cui'yu 院静鸠催雨
'yuan'lai'zhi'you'xian'nan'de 元来只有闲难得
'yuan'lu'hao'ke 苑路豪客
'yuan'rong'shi'cheng 元戎十乘
'yuan'shan'yi'shi'wu'xin'hua 远山已是无心画
'yuan'xi'deng'shan 元夕灯山
'yuan'zhi'zao'wu'xin'chang'bie 元知造物心肠别
'yue'chu'pu 约樗蒲
'yue'cong'bo'mian'sheng 月从波面生
'yue'di'yan'suo'wan'shi'xiu 月笛烟蓑万事休
'yue'fu'chu'fan'xin'pu 乐府初翻新谱
'yue'han'dan'meng'jing 阅邯郸梦境
'yue'luo'wen'rou'lu 月落闻柔橹
'yue'ming'shou'diao'tong 月明收钓筒
'yue'qun'xian'tong'zui 约群仙同醉
'yue'shang'hai'tang'lan'fang'xiu'hu'yan'yan'bing 月上海棠兰房绣户厌厌病
'yue'shang'hai'tang'xie'yang'fei'yuan'zhu'men'bi 月上海棠斜阳废苑朱门闭
'yue'xie'shi 月斜时
'yue'zhao'li'hua'ji'jing'feng'ruan 月照梨花霁景风软
'yue'zhao'li'hua'men'yi'ying'sun 月照梨花闷已萦损
'yue'zhong'chui'di'xia'ba'ling 月中吹笛下巴陵
'yun'qian'zhong 云千重
'yun'san'hou 云散后
'yun'tai'lin'ge'ju'chen'ji 云台麟阁俱陈迹
'yun'wai'hua'shan'qian'ren 云外华山千仞
'zai'guo'liao'tian 再过辽天
'zai'jiu'yuan'lin 载酒园林
'zao'bu'pian'zhou'gui'qu 早不扁舟归去
'zao'shou'shen'jiang'shang 早收身江上
'zao'shuang'qin 早霜侵
'zao'sui'ru'huang'zhou 早岁入皇州
'zao'xin'ci'sheng'zhong'bu'yu 早信此生终不遇
'zen'de'gu'ren'yin'xin 怎得故人音信
'zen'huan'de'yu'kuai'si'chun 怎换得玉鲙丝莼
'zen'jin'ta'qiao'han'gu'zhen 怎禁他峭寒孤枕
'zen'jin'ye'lan 怎禁夜阑
'zen'ren'chang'ting 怎忍长亭
'zen'ren'wei'xin'ren'shu'lue 怎忍为新人梳掠
'zha'xue'qing'you'lin 乍雪晴犹凛
'zhan'duan'pin'zhou'yan'yu 占断蘋洲烟雨
'zhan'fen'xian'xian'zhi 蘸粉纤纤指
'zhan'zhuan'kan'hua'ying 展转看花影
'zhang'ju'xun'chun'ku'wei'chi 杖屦寻春苦未迟
'zhang'xiang'lao'po'men 仗香醪破闷
'zhang'xiang'si'wu'fu'sheng 长相思悟浮生
'zhang'yan'man'yu 瘴烟蛮雨
'zhang'yan'xiang'yun'nuan 帐掩香云暖
'zhang'yun'man'yu'an'gu'cheng 瘴云蛮雨暗孤城
'zhao'jun'yuan'zhou'yong'chan'sheng'ting'yuan 昭君怨昼永蝉声庭院
'zhe'gu'sheng'li'shuang'tian'wan 鹧鸪声里霜天晚
'zhe'gu'tian'cha'jiao'hong'chen'yi'shi'dian 鹧鸪天插脚红尘已是颠
'zhe'gu'tian'jia'meng'yi'zuo 鹧鸪天葭萌驿作
'zhe'gu'tian'jia'zhu'cang'yan'luo'zhao'jian 鹧鸪天家住苍烟落照间
'zhe'gu'tian'lan'xiang'qing'men'xue'zhong'gua 鹧鸪天懒向青门学种瓜
'zhe'gu'tian'shu'fa'jin'pan'sheng'yi'wo 鹧鸪天梳发金盘剩一窝
'zhe'gu'tian'song'ye'meng'xi 鹧鸪天送叶梦锡
'zhe'gu'tian'xue'gong'su'jia'xi'shang'zuo 鹧鸪天薛公肃家席上作
'zhe'gu'tian'zhang'ju'xun'chun'ku'wei'chi 鹧鸪天杖屦寻春苦未迟
'zhe'hui'shu'fang 遮回疏放
'zhe'hui'zhen'ge'xian'ren 这回真个闲人
'zhe'jin'chang'ting'liu 折尽长亭柳
'zhe'xie'zi'guang'yin 这些子光阴
'zhe'you'xiang'shei'yu'ji'qian'li 折幽香谁与寄千里
'zhen'can'yu'xie'xing'chuan'zhu 斟残玉瀣行穿竹
'zhen'han'men'ban'yan 枕寒门半掩
'zhen'kan'zhi 真堪织
'zhen'shang'ting'xin'chan 枕上听新蝉
'zhen'yun'gao'lang'yan'ye'ju 阵云高狼烟夜举
'zhen'ze'qiu'wan'qing 震泽秋万顷
'zhen'zhu'lian'deng'qian'yue'xia'xi'you'chu 真珠帘灯前月下嬉游处
'zhen'zhu'lian'shan'cun'shui'guan'cen'ci'lu 真珠帘山村水馆参差路
'zheng'chen'an'xiu 征尘暗袖
'zheng'fei'jin'le 争飞金勒
'zheng'hao'chun'pan'xi'sheng'cai 正好春盘细生菜
'zheng'hong'she'yan 征鸿社燕
'zheng'si'can'chun'feng'xu 正似残春风絮
'zheng'tu'zi'yan 征途自厌
'zheng'xian'zhan 争先占
'zheng'xin'dao'ru'jin'dou'ba 争信道如今都罢
'zheng'zai'zhong'yun'shen'chu 正在重云深处
'zhi'chi'chang'men'guo'wan'li 咫尺长门过万里
'zhi'chi'yu'tang'jin'ma 咫尺玉堂金马
'zhi'chou'feng'duan'qing'yi'du 只愁风断青衣渡
'zhi'chou'ge'ba'yue'qin'lang 只愁歌罢月侵廊
'zhi'dai'chu'shu'kan 只待除书看
'zhi'dao'zhen'qing'yi'xie 只道真情易写
'zhi'du'lian'long'li 直度帘栊里
'zhi'he'shi'dong'shi 知何时东逝
'zhi'huan'de'qing'shan'chen'tu 只换得青衫尘土
'zhi'jiang'yu'diao'song'nian'hua 只将渔钓送年华
'zhi'kong'ming'chao 只恐明朝
'zhi'kong'xue'xing'yun 只恐学行云
'zhi'nan'cheng 志难成
'zhi'shi'jing'gui'he'chu 知是竟归何处
'zhi'wo'gui'xin 知我归心
'zhi'wo'pin'hui'gu 知我频回顾
'zhi'xin'wei'du'juan 知心惟杜鹃
'zhi'you'gu'xiang'gui'lu 只有故乡归路
'zhi'you'meng'hun'neng'zai'yu 只有梦魂能再遇
'zhi'you'xian'jia'pian'nai 只有仙家偏耐
'zhi'you'xiang'ru'gu 只有香如故
'zhi'you'yi'jia'du'zhan'duo 只有伊家独占多
'zhong'cheng'qi'shu'qian'lin 种成琪树千林
'zhong'chi'liu'wu'ji 重迟留无计
'zhong'dao'gu'xiang'jiao'jiu'shao 重到故乡交旧少
'zhong'nian'zuo'bie'nan 中年作别难
'zhong'ri'ping'gao 终日凭高
'zhong'yuan'dang'ri'san'chuan'zhen 中原当日三川震
'zhou'yong'chan'sheng'ting'yuan 昼永蝉声庭院
'zhu'ji'bu'yu 珠玑不御
'zhu'jiang'nan'jiang'bei 住江南江北
'zhu'li'fang'long'yi'jing'shen 竹里房栊一径深
'zhu'li'jiang'gao 伫立江皋
'zhu'qiao'cui'jing 朱桥翠径
'zhu'tan'kai'fu 筑坛开府
'zhu'xiang'yan'tai'you'qing 伫想艳态幽情
'zhu'xun'xiang 炷熏香
'zhu'yan'dong'jin'chuan 烛焰动金船
'zhu'yan'lv'bin 朱颜绿鬓
'zhu'yan'qing'bin 朱颜青鬓
'zhu'yan'zai 朱颜在
'zhu'zhang'xia'lin'jing'hai 拄杖下临鲸海
'zhu'zhi'ai'yuan 竹枝哀怨
'zhuan'yan'xin'chun 转眼新春
'zhuang'sui'cong'rong 壮岁从戎
'zhuang'sui'wen'zhang 壮岁文章
'zhuang'tai'pan 妆台畔
'zhuang'wan'tuo'chun'cheng 妆晚托春酲
'zhuang'xin'kong'wan'li 壮心空万里
'zhui'bian'jing'luo 坠鞭京洛
'zhuo'jiu'yi'zun'he'lei'zhen 浊酒一尊和泪斟
'zi'gu'gong'ming'shu'shao'nian 自古功名属少年
'zi'gu'ru'guan'duo'wu 自古儒冠多误
'zi'guai'ping'sheng'shu'wei'ceng 自怪平生殊未曾
'zi'gui'jiang'shang'guo'chun'can 子规江上过春残
'zi'gui'sheng'li'chun'guang'xie 子规声里春光谢
'zi'jun'tian'di'suo'you'zhi'yin 自钧天帝所有知音
'zi'lian'hua'fa'man'sha'jin 自怜华发满纱巾
'zi'sheng'liang 自生凉
'zi'shi'sun'yu'yan'ting 自适笋舆烟艇
'zi'tan'fu'sheng 自叹浮生
'zi'xi'wu'ren 自昔误人
'zi'xiu'qin 自修琴
'zi'xu'feng'hou'zai'wan'li 自许封侯在万里
'zong'nan'ping'tuo 总难凭托
'zong'shi'xiang'ren'shen'chu 总是向人深处
'zong'you'chu'duo'wu'qiang 纵有楚柁吴樯
'zong'you'gao'tai'chang'qie'deng 纵有高台常怯登
'zong'yu'ge'feng'jiu 纵遇歌逢酒
'zong'zi'yi'ying'qi'ling'yun 纵自倚英气凌云
'zui'dong'ren'shi'shi'tou'gu 最动人时时偷顾
'zui'hou'que'qi'dan'feng 醉后却骑丹凤
'zui'ku'chang'che'li'ge 最苦唱彻骊歌
'zui'luo'po'jiang'hu'zui'ke 醉落魄江湖醉客
'zui'mian'feng'chui'xing 醉面风吹醒
'zui'nong'pian'zhou 醉弄扁舟
'zui'shi'guan'xin'chu 最是关心处
'zui'shi'mian'shi 最是眠时
'zui'shi'wu'qing 最是无情
'zui'shu'gu'xu'zhou 最数古徐州
'zui'ting'feng'yu'yong'suo'mian 醉听风雨拥蓑眠
'zui'xia'bai'pin'zhou 醉下白蘋洲
'zun'jiu'xiang'feng'jin'sheng'liu 尊酒相逢尽胜流
'zun'qian'hua'di'xun'chun'chu 樽前花底寻春处
'zun'qian'ning'zhu'man'hun'mi 樽前凝伫漫魂迷
'zun'qian'xiao'jin'shao'nian'kuang 尊前消尽少年狂
'zun'qian'ying'de'shi'qi'liang 尊前赢得是凄凉
'zuo'ge'fei'xian 作个飞仙
'zuo'ge'gu'xi'gui'ji 作个故溪归计
'zuo'ge'xian'ren'yang 作个闲人样
'zuo'hong'chen'wu'shi'shen'xian 作红尘无事神仙
