'a'shui'xiao'de 阿谁消得
'xian'wu'yi'ye'bai'tou'weng 掀舞一叶白头翁
'xian'xian'su'shou'ru'shuang'xue 纤纤素手如霜雪
'xian'ya 闲雅
'xian'yi'hu'chuang 闲倚胡床
'xian'zai'ling'yin 贤哉令尹
'xian'zhang'yue'ming 仙掌月明
'xian'zhao'wan'zhuang'can 闲照晚妆残
'xiang'ai'diao'pan 香叆雕盘
'xiang'ai'ta'po'qian'luo'qun 相挨踏破茜罗裙
'xiang'chuan'feng'jing'tu'han'hua 湘川风静吐寒花
'xiang'cong'bu'jue'you'chu'han 相从不觉又初寒
'xiang'dui'wo'gao'lou 相对卧高楼
'xiang'fen'lou'jin'qiu 香粉镂金球
'xiang'feng 相逢
'xiang'feng'qing'you'zai 相逢情有在
'xiang'feng'shui'xin'shi'qian'yuan 相逢谁信是前缘
'xiang'feng'sui'cao'cao 相逢虽草草
'xiang'feng'yi'zui'shi'qian'yuan 相逢一醉是前缘
'xiang'gu'wu'yan 相顾无言
'xiang'han'bo'shan'liang 香汗薄衫凉
'xiang'jian'chu 相见处
'xiang'jian'yi'zhi 香笺一纸
'xiang'jiang'fan'qu'shui 相将泛曲水
'xiang'jiang'gui'qu 相将归去
'xiang'jiu'guan'ti 向旧官啼
'xiang'kan'huang'ru'zuo 相看恍如昨
'xiang'ke'hai'xiang'sheng 相克还相生
'xiang'kong'shan 响空山
'xiang'lai'san'jun'ning'fei'tian 向来三郡宁非忝
'xiang'liang'ge'hou 响亮歌喉
'xiang'liu'lian 相留恋
'xiang'mo'qiu'qian 巷陌秋千
'xiang'qing'suo'xi'zhong'tou'qu 向青琐隙中偷觑
'xiang'quan'lao'dong'po 相劝老东坡
'xiang'ru'wei'lao 相如未老
'xiang'ru'yi'jiu'shi'qu'xian 相如依旧是臞仙
'xiang'sai'fen'wei'yun 香腮粉未匀
'xiang'sheng'wu'hu'jian'xian'rou 香生雾縠见纤柔
'xiang'si'bo'duan'pi'pa'suo 相思拨断琵琶索
'xiang'sui'dao'chu'lv'suo'yi 相随到处绿蓑衣
'xiang'wang'hu'lou 向望湖楼
'xiang'wo'yi'ran 向我依然
'xiang'wu'meng'long'shui 向午朦胧睡
'xiang'wu'xun'ren'jing'ban'po 香雾噀人惊半破
'xiang'wu'ying'huan 香雾萦鬟
'xiang'wu'zhu'yun'huan 香雾著云鬟
'xiang'xiang'fu'gao'tang 想像赋高唐
'xiang'ye'lan'ge'fan'ying'qu 向夜阑歌翻郢曲
'xiang'yi'gui'qu'hou 想伊归去后
'xiang'yu'xiao'dong'wang 向玉霄东望
'xiang'zai'yi'shang'zhuang'zai'bi 香在衣裳妆在臂
'xiang'zhu'guo'jiang'lai 相逐过江来
'xiao'ba'qiu'hua'cha 笑把秋花插
'xiao'cao'chun'jiu'di'zhen'zhu 小槽春酒滴真珠
'xiao'chi'qing'lang'wen'ru'zhuan 小池轻浪纹如篆
'xiao'fen'fen'luo'hua'fei'xu 笑纷纷落花飞絮
'xiao'fu'xie'gua'lv'yun'huan 小符斜挂绿云鬟
'xiao'gou'dong'jie'chang'jiang 小沟东接长江
'xiao'he'fan 小荷翻
'xiao'jian'bu'wen'sheng'jian'qiao 笑渐不闻声渐悄
'xiao'jun'bei'ru 笑君卑辱
'xiao'kai'lian 晓开帘
'xiao'kan'chao'lai'chao'qu'le'sheng'ya 笑看潮来潮去了生涯
'xiao'kong'qiu 笑孔丘
'xiao'lai'feng'xi 晓来风细
'xiao'lai'shu'yu'ling 晓来疏雨零
'xiao'lai'ting'yuan'ban'can'hong 晓来庭院半残红
'xiao'lai'yu'guo 晓来雨过
'xiao'lao'sheng'yi'meng 笑劳生一梦
'xiao'lian'chu'shang'pi'pa'xian 小莲初上琵琶弦
'xiao'lou'feng'ri'qing'he 小楼风日晴和
'xiao'lun'gua'ge'yi'ping'tong 笑论瓜葛一枰同
'xiao'man'zhen'xian 小蛮针线
'xiao'mei'hong'qian'jiang'nan'qiao 小梅红浅江南峤
'xiao'nian'hong'mei'duo'cui'qiao 笑捻红梅亸翠翘
'xiao'pa'qiang'wei'juan 笑怕蔷薇罥
'xiao'qiao'chu'jia'le 小乔初嫁了
'xiao'ren'jian'chun'wan 笑人间春晚
'xiao'ri'yue'gui'guan 晓日月桂冠
'xiao'se'you'qin'chuang'zhi 晓色又侵窗纸
'xiao'shan'qing 晓山青
'xiao'shi'you'dai'ling'mei'xiang 笑时犹带岭梅香
'xiao'shuo'wu'dao'bu'gu'le 笑说吾道不孤了
'xiao'tao'xing'ying'yi'zheng'xian 小桃杏应已争先
'xiao'wan'qian'qian 笑挽扦扦
'xiao'xi'heng 小溪横
'xiao'xi'ou'lu'jing'lian'quan 小溪鸥鹭静联拳
'xiao'xiao'liang'bin'hua 萧萧两鬓华
'xiao'xiao'luan'ye'bao'xin'qiu 萧萧乱叶报新秋
'xiao'xiao'mu'yu'zi'gui'ti 萧萧暮雨子规啼
'xiao'xiao'wan'yu'tuo'wu'qiu 萧萧晚雨脱梧楸
'xiao'xiao'xi'yu'liang'chui'jia 潇潇细雨凉吹颊
'xiao'xuan'chuang 小轩窗
'xiao'xue'cong'yi'qing'yi'nen 笑谑从伊情意恁
'xiao'yi'ren'pang'xiang'chuan'pen 笑倚人旁香喘喷
'xiao'yu'ru'su'luo'bian'shou 小雨如酥落便收
'xiao'yu'ru'ying'yan 笑语如莺燕
'xiao'yuan'can'hong'man 小院残红满
'xiao'yuan'huang'hun'ren'yi'bie 小院黄昏人忆别
'xiao'yuan'you'xie'zhen'ping'ting 小园幽榭枕苹汀
'xiao'yuan'zhu'lan'ji'qu 小院朱阑几曲
'xiao'zheng'fei'chang'qiang'ji 小郑非常强记
'xiao'zheng'xiang'yun'lv 笑整香云缕
'xiao'zhi'zun'qian 笑指尊前
'xiao'zhou'cong'ci'shi 小舟从此逝
'xiao'zhou'fei'zhao'qu'ru'suo 小舟飞棹去如梭
'xiao'zhou'heng'jie'chun'jiang 小舟横截春江
'xiao'zi'geng'shu'nian'yue 小字更书年月
'xie'chu'liao'liao'qian'gu'yi 写出寥寥千古意
'xie'cui'xiu 携翠袖
'xie'feng'xi'yu'bu'xu'gui 斜风细雨不须归
'xie'ge'shi 些个事
'xie'hu'ji'cao'yi'tian'zhen 携壶藉草亦天真
'xie'jin'hui'wen'ji'shang'yi 写尽回纹机上意
'xie'qu'yu'sheng'gui'xiang'shui'xian'kua 写取余声归向水仙夸
'xie'ri'ying 斜日映
'xie'shou'jia'ren 携手佳人
'xie'shou'jiang'cun 携手江村
'xie'shou'tong'xing 携手同行
'xie'xiao'bai'xu'he'yong'ran 些小白须何用染
'xie'xing'heng'zhen 斜行横阵
'xie'yang'zhuan'chu 斜阳转处
'xie'yi'di'qiang 斜倚低墙
'xie'yue'di'he'han 斜月低河汉
'xie'zhao'jiang'tian'yi'mo'hong 斜照江天一抹红
'xin'bai'fa 新白发
'xin'bao'lv'ye'zhao'lin'guang 新苞绿叶照林光
'xin'di'gu'lian'yi'chu'yi 新堤固涟漪初溢
'xin'jiang'can'gu'mai'zhu'xia 欣将残骨埋诸夏
'xin'liu'yin'dao'hua'shen'chu 信流引到花深处
'xin'qu'zou'bi'liu 新渠走碧流
'xin'ru'wan'jian'chuan 心如万箭穿
'xin'shi'liang'wu'ju 心事两无据
'xin'shu'bao'wo'tian'qiao'cui 新书报我添憔悴
'xin'song'an'lao 新松暗老
'xin'yi'zhe'jiang'xi 心已浙江西
'xin'yue'yu'chou'yan 新月与愁烟
'xing'cang'zai'wo 行藏在我
'xing'dan'yi'jiu'zhu'jun'yan 杏丹依旧驻君颜
'xing'de'bu'wei'qun'hu'dan 幸得不为群虎啖
'xing'dui'qing'feng'hao'yue 幸对清风皓月
'xing'hou'bu'zhi'he'chu 醒后不知何处
'xing'hua'feng 杏花风
'xing'jin'jiang'nan'nan'an'ci'yan'liu 行尽江南南岸此淹留
'xing'jin'jiu'zhou'si'hai 行尽九州四海
'xing'lai'wang'wang'qi'zao'hua 兴来往往欺造化
'xing'ren'chang'duan'cao'qi'mi 行人肠断草凄迷
'xing'ren'wei'qi 行人未起
'xing'xiang'zi'bei'wang'ping'chuan 行香子北望平川
'xing'xiang'zi'bing'qi'xiao'ji 行香子病起小集
'xing'xiang'zi'cha'ci 行香子茶词
'xing'xiang'zi'dan'yang'ji'shu'gu 行香子丹阳寄述古
'xing'xiang'zi'guo'qi'li'lai 行香子过七里濑
'xing'xiang'zi'qing'ye'wu'chen 行香子清夜无尘
'xing'xiang'zi'san'ru'cheng'ming 行香子三入承明
'xing'you'bao'se'jiang 行忧宝瑟僵
'xing'zi'shao'tou'xiang'lei'po 杏子梢头香蕾破
'xiong'zhong'wan'juan 胸中万卷
'xiong'zi'ying'fa 雄姿英发
'xiu'ba'xian'xin'sui'wu'tai 休把闲心随物态
'xiu'bei'fen'xiang'du'zi'mian 绣被焚香独自眠
'xiu'ci'zui'dao 休辞醉倒
'xiu'dao 休道
'xiu'dui'gu'ren'si'gu'guo 休对故人思故国
'xiu'dui'jing'hua'chou 羞对井花愁
'xiu'jiang'bai'fa'chang'huang'ji 休将白发唱黄鸡
'xiu'kua'nian'shao'feng'liu 休夸年少风流
'xiu'lian'ban 绣帘斑
'xiu'lian'gao'juan'qing'cheng'chu 绣帘高卷倾城出
'xiu'lian'kai 绣帘开
'xiu'luo'shan'yu'fu'hong'chen 绣罗衫与拂红尘
'xiu'qin'xia 绣衾下
'xiu'ren'wen'bian'you 羞人问便邮
'xiu'rong'yi'bian 羞容易变
'xiu'se'luan'qin'shu'zhi'wan 秀色乱侵书帙晚
'xiu'shou'he'fang'xian'chu'kan 袖手何妨闲处看
'xiu'wen'rong'ku'shi 休问荣枯事
'xiu'xiu 休休
'xiu'yan'wan'shi'zhuan'tou'kong 休言万事转头空
'xiu'yan'wei'zui'yi'xian'cheng 羞颜未醉已先赪
'xiu'yan'yi'bian 羞颜易变
'xiu'yang'yu'huan'you 绣鞅玉镮游
'xu'cong'zhang'shang'kan 须从掌上看
'xu'duo'nian'yue 许多年月
'xu'fang'wo'xie'zi'shu'kuang 须放我些子疏狂
'xu'jun'le'yin 徐君乐饮
'xu'kan 须看
'xu'ku'lao'shen 虚苦劳神
'xu'miao'neng'zhong'jiu'sheng'xian 徐邈能中酒圣贤
'xu'niang'yi'lao'da 徐娘已老大
'xu'xi'kan 须细看
'xu'xin'cong'lai'cuo 须信从来错
'xu'xin'dao 须信道
'xu'xin'heng'yang'wan'li 须信衡阳万里
'xu'xin'ren'sheng'ru'ji 须信人生如寄
'xu'xin'wu'chai'tian'fang 须信吾侪天放
'xu'xu 徐徐
'xu'yan'zhuan'yue 虚檐转月
'xu'zao'ji 须早计
'xu'zhe'ren'jian'bi'meng'jian 须着人间比梦间
'xuan'lei'pan'ku'liu 泫泪攀枯柳
'xuan'mo'hong'zhuang'kan'shi'jun 旋抹红妆看使君
'xuan'pu'qing'ji 玄圃清寂
'xuan'ru'quan'zhong'shi'ci'hu 悬入圈中使刺虎
'xuan'wei'ji'di'zhao'zhi'zhi 悬未及地召止之
'xuan'wen'jiang'han'cheng'qing 旋闻江汉澄清
'xue'dao'wang'you 学道忘忧
'xue'fei'yan'hai'bian'qing'liang 雪飞炎海变清凉
'xue'han'shuang'ran'bu'zi'jing 雪颔霜髯不自惊
'xue'hua'fei'nuan'rong'xiang'jia 雪花飞暖融香颊
'xue'hua'fu'dong'wan'jia'chun 雪花浮动万家春
'xue'hua'ya'er'you'wei'jiu 学画鸦儿犹未就
'xue'hua'ya'er'zheng'miao'nian 学画鸦儿正妙年
'xue'ji'leng 雪肌冷
'xue'ji'qian'cun 雪霁前村
'xue'lang'pai'xiong'lei'yu'liu 血浪排胸泪欲流
'xue'lang'yao'kong'qian'qing'bai 雪浪摇空千顷白
'xue'li'can'zhan'li'xing'su 雪里餐毡例姓苏
'xue'lin'chu'xia'wa'shu'zhu 雪林初下瓦疏珠
'xue'mo'ru'hua'fu'wu'zhan 雪沫乳花浮午盏
'xue'qing'jiang'shang'mai'qian'che 雪晴江上麦千车
'xue'sa'bing'hui 雪洒冰麾
'xue'si'gu'ren'ren'si'xue 雪似故人人似雪
'xue'tang'xi'pan'an'quan'ming 雪堂西畔暗泉鸣
'xue'ya'shuang'jing'san'shen'xian 雪芽双井散神仙
'xue'ya'xiao'qiao'wu'lu 雪压小桥无路
'xue'yi'liu'jun'jun'bu'zhu 雪意留君君不住
'xun'chang'xing'chu 寻常行处
'xun'feng'chu'ru'xian 熏风初入弦
'xun'lang'qu'chu 寻郎去处
'xun'yi'shou'hao'shi 寻一首好诗
'ya'ai'ying'hua'kong'que'tu 雅爱樱花孔雀图
'ya'cheng'jia'ming'hu'yi'yi 雅称佳名呼懿懿
'ya'cheng'jia'ren'qian'shou'bo 雅称佳人纤手擘
'ya'zhi'kun'xuan'mian 雅志困轩冕
'yan'bo'li 烟波里
'yan'cun'xiao'sa 烟村潇洒
'yan'gai'yun'zhuang 烟盖云幢
'yan'ge'yu'xiang 艳歌余响
'yan'hua'luan 眼花乱
'yan'huan'wei'shang 烟鬟未上
'yan'kan'hong'fang'you'bao'rui 眼看红芳犹抱蕊
'yan'lian'yun'shou 烟敛云收
'yan'men'xian 掩门闲
'yan'shuang'wan 掩霜纨
'yan'shui'mang'mang 烟水茫茫
'yan'wai'yi'wei'lou 烟外倚危楼
'yan'yu'an'qian'jia 烟雨暗千家
'yan'zhi'mi'jiu'hen 胭脂觅旧痕
'yan'zhi'shei'yu'yun'dan 胭脂谁与匀淡
'yan'zi'fei'shi 燕子飞时
'yan'zi'lou'kong 燕子楼空
'yan'zi'shuang'fei'lai'you'qu 燕子双飞来又去
'yan'zuo'kong'shan 宴坐空山
'yang'cheng'xia'cai'kun'yan'ran 阳城下蔡困嫣然
'yang'guan'qu'da'li'gong'ze 阳关曲答李公择
'yang'guan'qu'zeng'zhang'ji'yuan 阳关曲赠张继愿
'yang'guan'qu'zhong'qiu'zuo 阳关曲中秋作
'yang'hua'si'xue 杨花似雪
'yang'hua'you'you'dong'feng'guan 杨花犹有东风管
'yang'huo'huai'yin'hou 养活淮阴侯
'yang'xian'gu'su'yi'mai'tian 阳羡姑苏已买田
'yang'zhou'shi'li'zui'yao'rao 扬州十里最妖娆
'yao'chi'jin'hua'lou'yin'yin 瑶池近画楼隐隐
'yao'chi'yan'fei'hua'cheng'zhen 瑶池燕飞花成阵
'yao'dang'xiang'lao'guang'yu'wu 摇荡香醪光欲舞
'yao'du'xiu'chi 要赌休痴
'yao'he'qiu 要褐裘
'yao'kua'jin'yu'jing'pei'yong 腰跨金鱼旌旆拥
'yao'lin'zhong'zi'ge'feng'chen 瑶林终自隔风尘
'yao'luo'shuang'feng 摇落霜风
'yao'qiao'you'tian'jiao 夭桥游天郊
'yao'qing'bu'sheng'wu'yi'shang 腰轻不胜舞衣裳
'yao'ren'yu'lian'gou 遥认玉帘钩
'yao'shi'jiang'shan'chang'you'zhu 要使江山长有主
'yao'shi'weng'you'zhi'zi'ru'gong'hou 要使瓮牖之子如公侯
'yao'shu'qun'dai 要书裙带
'yao'tai'kong'yue'ming 瑶台空月明
'yao'tao'jin 夭桃尽
'yao'tiao'gao'ming'yu 窈窕高明玉
'yao'xiang'gong'jin'dang'nian 遥想公瑾当年
'yao'xie'wu'li 夭邪无力
'yao'xu'feng'yu'shi 要须风雨时
'yao'yao'mei'gu'hong 杳杳没孤鸿
'yao'zhi'yu'jian'wu'you 要知欲见无由
'ye'ban'chao'lai 夜半潮来
'ye'cen'ci'shi 也参差是
'ye'chang'ku'ji'liao 夜长苦寂寥
'ye'chen'chen 夜沉沉
'ye'dian'ji'hao 野店鸡号
'ye'fei'shi 叶飞时
'ye'jin'men'jin'ye'yu 谒金门今夜雨
'ye'jin'men'qiu'chi'ge 谒金门秋池阁
'ye'jin'men'qiu'wei'li 谒金门秋帏里
'ye'lai'feng'ye'yi'ming'lang 夜来风叶已鸣廊
'ye'lai'qi'xi'qin'ceng'jian 夜来绮席亲曾见
'ye'lai'wei'yu'xi'jiao'shang 夜来微雨洗郊坰
'ye'lai'you'meng'hu'huan'xiang 夜来幽梦忽还乡
'ye'lan'can'jiu'xing 夜阑残酒醒
'ye'lan'dui'jiu 夜阑对酒
'ye'lan'feng'jing'hu'wen'ping 夜阑风静縠纹平
'ye'lan'feng'jing'yu'gui'shi 夜阑风静欲归时
'ye'lan'hai'du'yu 夜阑还独语
'ye'lan'xiang'dui'meng'hun'jian 夜阑相对梦魂间
'ye'liang'zhen'dian'yi'zhi'qiu 夜凉枕簟已知秋
'ye'mang'mang 夜茫茫
'ye'shui'huang'wan 野水荒湾
'ye'wu'feng'yu'ye'wu'qing 也无风雨也无晴
'ye'wu'ren'xi'cong'jiao'zhui 也无人惜从教坠
'ye'xiang'zhi'yu'a'shui'shao 夜香知与阿谁烧
'ye'ye'chang'tiao'bian'xiang'shi 冶叶倡条遍相识
'ye'yi'san'geng 夜已三更
'ye'yin'dong'po'xing'fu'zui 夜饮东坡醒复醉
'ye'ying'an'ji 也应暗记
'ye'ying'sheng'wo'san'nian'bian 也应胜我三年贬
'ye'yong'lu'hua'qin'bei 夜永露华侵被
'ye'ze'kong'wei 也则恐未
'yi'ban'xiang'fang 一半相妨
'yi'ban'zi'wei 一般滋味
'yi'bei'ju'shi'zui 一悲举世醉
'yi'bi 一笔
'yi'bi'lv'chuan'yi'qing'nian 衣弊履穿一青年
'yi'bie'dou'men'san'gai'huo 一别都门三改火
'yi'bie'gu'su'yi'si'nian 一别姑苏已四年
'yi'cai'xiu'chu'qian'lin'biao 异材秀出千林表
'yi'chi'ping'sui 一池萍碎
'yi'cong'hua'chu'chun'bing'qi 一丛花初春病起
'yi'cun'xiang'si'yi'cun'hui 一寸相思一寸灰
'yi'dai'jian'kuan'wu'bie'yi 衣带渐宽无别意
'yi'dan'gong'cheng'ming'sui 一旦功成名遂
'yi'dan'ren'xue'qi 衣单任雪欺
'yi'dian'hao'ran'qi 一点浩然气
'yi'dian'ling'xi'bi'an'tong 一点灵犀必暗通
'yi'dian'ming'yue'kui'ren 一点明月窥人
'yi'dian'wei'suan'yi'zhu'zhi 一点微酸已著枝
'yi'dian'xiang'tan 一点香檀
'yi'dong 一东
'yi'du'bu'wei'ren'suo'yu 艺独不为人所与
'yi'duo'cai'yun'he'shi'xia'wu'feng 一朵彩云何事下巫峰
'yi'duo'fu'qu 一朵芙蕖
'yi'er'bao'zai'huai 一儿抱在怀
'yi'er'heng'fu'xia 一儿横腹下
'yi'fan'hong'fen'wei'shui'xin 一番红粉为谁新
'yi'fan'qiu'qi'wei 一番秋气味
'yi'fei'yan 倚霏烟
'yi'fen'ge 一分歌
'yi'fen'liu'shui 一分流水
'yi'fen'xiang'xue 一分香雪
'yi'gai'jian'cha'huo 已改煎茶火
'yi'ge'gu'su 一舸姑苏
'yi'gu'tian'ran'zuo'qi 一鼓填然作气
'yi'hen'ji'cang'zhou 遗恨寄沧洲
'yi'hen'ji'qian'qiu 遗恨几千秋
'yi'hu'jiu 一壶酒
'yi'hu'ming'zhu'huan'lv'zhu 一斛明珠换绿珠
'yi'hu'zhu'luo'cheng'chun'wan 一斛珠洛城春晚
'yi'hui'bing 一回病
'yi'hui'yong 一回慵
'yi'jiang'chun'zhou 一江醇酎
'yi'jing'ti'pin'bian'sheng'guang 一经题品便生光
'yi'jiu'meng'hun'zhong 依旧梦魂中
'yi'jiu'que'gong'geng 依旧却躬耕
'yi'ju'xuan'xian'tao'shu'kun 一局选仙逃暑困
'yi'ke'ying'tao'fan'su'kou 一颗樱桃樊素口
'yi'lian'lu'jiu'bo 一怜鲁酒薄
'yi'luo'bai'xun'qing 一落百寻轻
'yi'mai'wen'tang'liu'ri'ye 一脉温汤流日夜
'yi'meng'jiang'hu'fei'wu'nian 一梦江湖费五年
'yi'ming'sheng'wei'yi 已明声未已
'yi'mu'yu'er'hai 一母与二孩
'yi'nan'wang'hua'yong'yuan'fang 意难忘花拥鸳房
'yi'nian'hai'cheng'bu'zi'you 一念还成不自由
'yi'nian'san'du'guo'su'tai 一年三度过苏台
'yi'pai'huang'liu'yi'dian'ben 一派黄流已电奔
'yi'pan'hua'qian'zui 已拚花前醉
'yi'pian'lan'xin'shuang'lan'jiao 一片懒心双懒脚
'yi'po'nan'ke'zhao 毅魄难可招
'yi'qian'bei 依前被
'yi'qian'guo'liao'qiang 依前过缭墙
'yi'qian'qing 一千顷
'yi'qu'man'ting'fang 一曲满庭芳
'yi'qu'shuo'shu'ge'lin'feng 已驱硕鼠歌麟凤
'yi'qu'yang'guan'qing'ji'xu 一曲阳关情几许
'yi'qun'yong'shi'jiu'zhi'zhi 一群勇士救止之
'yi'ran 依然
'yi'ran'yi'xiao'zuo'chun'wen 依然一笑作春温
'yi'ren'chu'zuo 一人出座
'yi'ren'liu'xuan'de 一任刘玄德
'yi'ru'jiu'gao'he 一如九皋鹤
'yi'ru'wan'ma'lai 一如万马来
'yi'ru'wei'feng'fa 一如微风发
'yi'ru'yun'zhong'long 一如云中龙
'yi'sha'nuan'feng'hui'fang'cao 一霎暖风回芳草
'yi'shang'jiu'hen'yu'ku'lei 衣上旧痕余苦泪
'yi'sheng'chu'zhi 一声初至
'yi'sheng'chui'duan'heng'di 一声吹断横笛
'yi'sheng'qiao'che'jiang'he'qiu 一声敲彻绛河秋
'yi'sheng'yun'miao 一声云杪
'yi'shi'dui 异时对
'yi'shi'duo'shao'hao'jie 一时多少豪杰
'yi'shi'fen'san'shui'yun'xiang 一时分散水云乡
'yi'shi'jing'xiao'shuai'rong 一时惊笑衰容
'yi'shi'meng'hu'xi 疑是猛虎兮
'yi'shu'jun'jia 已属君家
'yi'shu'pan'tu'dan'liang'da 艺术叛徒胆量大
'yi'shuang'zi'cai'ling'shi'cui 一双子采菱拾翠
'yi'shun'bai'ban'yi 一瞬百般宜
'yi'song'xi'fei'yan 一送西飞雁
'yi'sui'hua'ju'jin 一随化俱尽
'yi'suo'yan'yu'ren'ping'sheng 一蓑烟雨任平生
'yi'tian'wu'shu'kai'qing'bi 倚天无数开青壁
'yi'wan'fan 一碗饭
'yi'wang'mi'qian'li 一望弥千里
'yi'wu'qiong 意无穷
'yi'xi'liu'se 依稀柳色
'yi'xi'xian'chou'shi'wu'nian 一洗闲愁十五年
'yi'xi'xun'feng'lai'jie'yun 一夕熏风来解愠
'yi'xi'yun 一溪云
'yi'xiang'feng'jing'que'yi'ran 异乡风景却依然
'yi'xiang'xia'qing'xu 遗响下清虚
'yi'xiao'ren'jian'jin'gu 一笑人间今古
'yi'ye'feng'shuang 一夜风霜
'yi'ye'jian'dao'shou'yu'rui 一夜剪刀收玉蕊
'yi'ye'yu'yin'zai'er'bian 一夜馀音在耳边
'yi'ye'zhou'qing 一叶舟轻
'yi'yi'du'wei'shi'jun'hui 依依独为使君回
'yi'yi'hen'ri'chi 依依恨日迟
'yi'yi'wei'neng'yan 咿咿未能言
'yi'yin'kong'gang 一饮空缸
'yi'yu'xiang'kai 一语相开
'yi'yue'shi'xiang'ling 依约是湘灵
'yi'zai'yu'ren'qian'shou'li 宜在玉人纤手里
'yi'zhan'shou'shang'shei'yu'ju 一盏寿觞谁与举
'yi'zhang'ting'jiang'sheng 倚杖听江声
'yi'zhao'shi'bei'wu'niu'beng 一朝尸被五牛崩
'yi'zhen'chu'han'meng'bu'cheng 一枕初寒梦不成
'yi'zhen'chun'feng'chui'jiu'xing 一阵春风吹酒醒
'yi'zhen'dong'feng'lai'juan'di 一阵东风来卷地
'yi'zhen'qing'feng'zhou'shui'yu 一枕清风昼睡馀
'yi'zhen'shang'chun'xu 一枕伤春绪
'yi'zhen'xiang'si'lei 一枕相思泪
'yi'zhi'he'shi 一枝何事
'yi'zhi'xiang'shu'lai'wan'li 一纸乡书来万里
'yi'zhu'hong'xing 一株红杏
'yi'zhu'lan 倚朱阑
'yi'zhu'shui'zhong'shi 一筑水中室
'yi'zi'lv'chuang'tou'jian'hou 一自绿窗偷见后
'yi'zi'zui'zhong'wang'le 一自醉中忘了
'yi'zong'he'zai 遗踪何在
'yi'zun'hai'lei'jiang'yue 一尊还酹江月
'yi'zun'jiu 一尊酒
'yi'zun'yin'ba 一尊饮罢
'yin'chan'ying'li 银蟾影里
'yin'chuang'wu'xian'geng'chao 隐床无限更潮
'yin'duan'wang'xiang'tai 吟断望乡台
'yin'gong'yi'ai 饮公遗爱
'yin'han'wu'sheng'zhuan'yu'pan 银汉无声转玉盘
'yin'he'qiu'wan 银河秋晚
'yin'he'wei'lang 银河微浪
'yin'huang'jin'chu 银潢尽处
'yin'jiu'qi'jia 因酒弃家
'yin'jun'wei'mian'si'liang 因君未免思量
'yin'jun'wen'wo 因君问我
'yin'nian'fu'qiu'jiu'lv 因念浮丘旧侣
'yin'qin'hua'xia'zhong'xie'shou 殷勤花下重携手
'yin'qin'qie'geng'jin'li'shang 殷勤且更尽离觞
'yin'qin'shuo 殷勤说
'yin'qin'zuo'ye'san'geng'yu 殷勤昨夜三更雨
'yin'san'ping'lan'wu'xian'yi 饮散凭阑无限意
'yin'shu'jue 音书绝
'yin'suan'ya'lian 银蒜押帘
'yin'tang'zhu'kan'qu'chen'bo 银塘朱槛麹尘波
'yin'tao'wu'ji'juan'peng'ying 银涛无际卷蓬瀛
'yin'yin'bian 隐隐遍
'yin'yong 吟咏
'yin'you'nan'ke'ming 隐忧难可名
'yin'yun'jiu 氤氲久
'yin'zhen'xian'sai'yun 印枕嫌腮晕
'yin'zheng'xuan'pin 银筝旋品
'yin'zhuo'jiang'nan'nan'an 饮啄江南南岸
'ying'chu'jie'yu 莺初解语
'ying'de'qing'shan'lei'man'jin 赢得青衫泪满襟
'ying'gu'bing'fu'na'jie'lao 莹骨冰肤那解老
'ying'gu'lian'ye'yong 影孤怜夜永
'ying'hen'liu'lang'lai'you'qu 应恨刘郎来又去
'ying'hu'qi 莺呼起
'ying'ke'xi'lai'song'ke'xing 迎客西来送客行
'ying'lan'ru'yao'xia'chang'ke 应烂汝腰下长柯
'ying'nian'wo 应念我
'ying'nian'xiao'xiang 应念潇湘
'ying'nian'xue'tang'po'xia'lao 应念雪堂坡下老
'ying'shan'huang'mao'chi'tou'fang 映山黄帽螭头舫
'ying'she'xing'song'ru'hui'yi 莺舌惺忪如会意
'ying'shi'rong'yan'lao 应是容颜老
'ying'shi'yin'chen'jue 应是音尘绝
'ying'si'chen'meng'gong 应思陈孟公
'ying'si'wo'qing'huai 应似我情怀
'ying'sun'rou'chang 萦损柔肠
'ying'tou'wei'li 蝇头微利
'ying'wang'yan'yun'hai'xiang'chan 萦望眼云海相搀
'ying'wei'shi 莺为使
'ying'wei'xun'chang 应谓寻常
'ying'xu'fen'wai'han'qing 应须分外含情
'ying'xu'zhu'ji'ji'mo'pa 应许逐鸡鸡莫怕
'ying'yao'han'shui 影摇寒水
'ying'ying 荧荧
'ying'ying'lin'shui'wu'you'yu 盈盈临水无由语
'ying'ying'ru'qing'ying 营营如青蝇
'ying'you'hua'fa 应有华发
'ying'you'kai'yuan'yi'lao'lei'zong'heng 应有开元遗老泪纵横
'ying'zai'luan'ying'sheng'li 应在乱莺声里
'yong'feng'fang'na'pan 永丰坊那畔
'yong'ji'qi'liang'lun'jiu'shi 拥髻凄凉论旧事
'yong'jin'men 涌金门
'yong'she'you'shi 用舍由时
'yong'shi'jing'ci'xia'li'si 勇士竟此下吏死
'yong'ye'lian'gu'ying 永夜怜孤影
'yong'yu'le'chang'yi'bie'shi 永遇乐长忆别时
'yong'yu'le'ming'yue'ru'shuang 永遇乐明月如霜
'yong'yu'le'tian'mo'shan'heng 永遇乐天末山横
'yong'zhou'duan'ju 永昼端居
'you'ba'xu'ming'dian'jin'shen 犹把虚名玷缙绅
