'ji'duo'ying'jie'yi'diao'can 几多英杰已凋残
'ji'mu'li'bian'ju 极目篱边菊
'ji'ren'chi'xue'huan'lu'xiang 几人赤血换炉香
'ji'shi'bu'ke'de 机失不可得
'ji'shi'jin'yi'shu 机势今已熟
'ji'xi'huan'zuo'di'wang'zhou 几希幻作帝王洲
'ji'xue'you'he'shang 积雪又何伤
'ji'yu'shi'ren'xiu'wei'xian 寄语世人休畏险
'ji'zhi'jiang'he'ying 积之江河盈
'ji'zhu'bian'yu'xi'ke'ji 绩著边隅喜可稽
'jia'fa'zong'yan'nan'suo'zhi 家法纵言难锁志
'jia'jin'liu'yue'you'fei'xue 夹金六月犹飞雪
'jia'pin'que'yi'liang 家贫缺衣粮
'jia'ruo'yu'guo'xue'shan 贾若瑜过雪山
'jian'ci'bu'ye'cheng 建此不夜城
'jian'dian'qian'kun'zhu'zi'you 检点乾坤贮自由
'jian'nan'yuan'yu'ru 艰难原玉汝
'jian'shi'bu'fu'jun 坚誓不负君
'jian'yun'jin'shui'xiang'tian'xiao 剑云锦水向天笑
'jiang'fei'dao'chu'cheng'fei'hui 蒋匪到处成飞灰
'jiang'fei'tai'xiong'wan 蒋匪太凶顽
'jiang'guo'ying'zeng'wang'ling'bo 姜国英赠王凌波
'jiang'han'fei'chuan'liu'deng'jie 江汉飞传刘邓捷
'jiang'he'hu'zhao'di 江河湖沼地
'jiang'huai'juan'e'lang 江淮卷恶浪
'jiang'jian'tiao'ri'yue 将肩挑日月
'jiang'jun'cai'gu'rou 将军猜骨肉
'jiang'jun'dian'zhi'xiong 将军滇之雄
'jiang'jun'wu'shi'ren'cheng'jian 将军五十人称健
'jiang'jun'yuan'bi'yi'ran'jian 将军猿臂依然健
'jiang'jun'zhi'feng'yi 将军之风义
'jiang'shang'qing'lang'tao'sha 江上青浪淘沙
'jiang'shang'qing'yan'zhi 江上青言志
'jiang'shui'xi'lai'dai'xue'liu 江水西来带血流
'jiao'gen'li'ding'shui'neng'nao 脚跟立定谁能挠
'jiao'long'qi'fu'kun'tian'chi 蛟龙岂复困天池
'jiao'she'xie'bie'yi'wang'jue 蛟蛇蟹鳖一网绝
'jiao'ta'xing'yun'wan'ma'ben 脚踏行云万马奔
'jie'bao'pan'fei'lai 捷报盼飞来
'jie'fang'tu'zhong'qi'nu'li 解放途中齐努力
'jie'jia'gua'shu'lai'xian'gong 解甲挂树来献功
'jie'xuan'zheng'ni'shi'wu'tu 解悬拯溺是吾徒
'jie'zu'tian'men'tai'bu'si 捷足天门太不思
'jin'chun'bing'qi'qiang'deng'lou 今春病起强登楼
'jin'de'jun'bu'xiu 进德君不朽
'jin'fan'zhi'di'huang'long'fu 今番直抵黄龙府
