'ai'ba'jiu 爱把酒
'xiang'han'xiang'nong'fen 想含香弄粉
'xiang'he'chu 向何处
'xiang'he'liang'hui'tou'wan'li 向河梁回头万里
'xiang'hong'man'shu 香红满树
'xiang'huo'leng'can'xiao'gu 香火冷残箫鼓
'xiang'jian'pin'jiang'cui'zhen'yi 想见频将翠枕移
'xiang'jian'xian'chou'wei'liao 想见闲愁未了
'xiang'jian'zhong'lian'bu'juan 想见重帘不卷
'xiang'kan'hong'zi'you'pao'ren 相看红紫又抛人
'xiang'kong'jiang'shui'juan'yu'pei 向空江谁捐玉珮
'xiang'lai'ai'yue'fen'fen 向来哀乐纷纷
'xiang'lai'jing'dong'hua'liang'chen 向来惊动画梁尘
'xiang'lai'ruan'yu'rou'qing 向来软语柔情
'xiang'lai'zhu'lv'yu'zan'ren 向来珠履玉簪人
'xiang'lian'xiang'xiao 相怜相笑
'xiang'lian'yan 香潋滟
'xiang'man'dong'feng'yue'yi'hen 香满东风月一痕
'xiang'mi'mang'shu'jin'gui'ya 向弥茫数尽归鸦
'xiang'pen'rui'shou'jin'san'chi 香喷瑞兽金三尺
'xiang'qi 相期
'xiang'qian'tang'feng'liu'chu'shi 想钱塘风流处士
'xiang'ren'jian 向人间
'xiang'ru'ting'hu 相如庭户
'xiang'shan'lao'zi 香山老子
'xiang'si'shi 相思事
'xiang'si'zhong'xiang'yi 相思重相忆
'xiang'song'jian'zha'ke 向松间乍可
'xiang'song'jiang'dao'wo 向松江道我
'xiang'wang'ce 襄王侧
'xiang'ye'jiu'yin'han'wu'sheng 向夜久银汉无声
'xiang'yu'xi'wu'bian'yu'ci 想鱼兮无便于此
'xiang'yuan'lin'pu'zuo'di'yi'hong'zhou 向园林铺作地衣红绉
'xiang'yuan'ming'ting'yun'shi'jiu 想渊明停云诗就
'xiang'yue'shang'gao'han 相约上高寒
'xiang'zhi'wei'you'zhu'ren'weng 相知惟有主人翁
'xiang'zun'qian'cai'ju'ti'shi 向尊前采菊题诗
'xiang'zun'qian'zhong'yue'ji'shi'lai 向尊前重约几时来
'xiao'bai'fa'ru'jin 笑白发如今
'xiao'ben'wu'xin 笑本无心
'xiao'cao'he'ru'yuan'zhi 小草何如远志
'xiao'cao'kong'ya'xin'pei 小槽空压新醅
'xiao'chong'shan'lv'zhang'lian'yun'cui'fu'kong 小重山绿涨连云翠拂空
'xiao'chuang'gao'wo 小窗高卧
'xiao'chuang'ri'yin'wang'he 小窗日饮亡何
'xiao'chuang'zuo'di 小窗坐地
'xiao'ci'xi'jin'chai'wu'ju 笑此夕金钗无据
'xiao'da'jun'wei'shui'er 小大均为水耳
'xiao'de'jin'tou'yi'zui 消得津头一醉
'xiao'dong'jun 笑东君
'xiao'er'tong 笑儿童
'xiao'ge'heng'kong 小阁横空
'xiao'gu'zi'sun'mang 箫鼓子孙忙
'xiao'jiu'jia'tao'li 笑旧家桃李
'xiao'jun'hou'pei'jiu'you'pei'ge 笑君侯陪酒又陪歌
'xiao'qian'pian'suo'jia 笑千篇索价
'xiao'qiao'heng'jie 小桥横截
'xiao'qiao'liu'shui 小桥流水
'xiao'ren'jian'jiang'fan'ping'lu 笑人间江翻平陆
'xiao'sha'chun'gong 笑杀春工
'xiao'sha'dong'jun'xu'zhan'duan 笑杀东君虚占断
'xiao'shi'fei'bu'liao'shen'qian'hou 笑是非不了身前后
'xiao'shi'you'you'xie'chi 笑时犹有些痴
'xiao'shuai'rong 笑衰容
'xiao'tan'chu 笑谈初
'xiao'tang'feng'lang'ping 小塘风浪平
'xiao'tao'wu'lai'yi'liao'ren 小桃无赖已撩人
'xiao'tian'liang'ye 晓天凉夜
'xiao'tiao'guan'she 萧条官舍
'xiao'weng'shi 笑翁诗
'xiao'xi'shan 笑溪山
'xiao'xian'sheng'diao'ba'hai'chu 笑先生钓罢还锄
'xiao'xian'sheng'san'shi'san'yi 笑先生三仕三已
'xiao'xu'jun'xie'ban'shan'qu 笑许君携半山去
'xiao'yang'xiang'tan 小样香檀
'xiao'yao'shen 小腰身
'xiao'yao'xiao'da'zi'shi 逍遥小大自适
'xiao'ye'lao'lai'yun'shan'shang'he 笑野老来耘山上禾
'xiao'ying'ying 笑盈盈
'xiao'yu'diao'er'tong 笑语调儿童
'xiao'yu'hun'chong'die 笑语浑重叠
'xiao'yuan'ming'ping'zhong'chu'su 笑渊明缾中储粟
'xiao'yuan'qu'jing'shu'li 小园曲迳疏篱
'xiao'yuan'ye'he'jing'cai 晓猿夜鹤惊猜
'xie'chuan'hao'jing 斜川好景
'xie'dai'shui 斜带水
'xie'gong'ya'zhi'hai'cheng'qu 谢公雅志还成趣
'xie'gong'zhi'shi'ai'dong'shan 谢公直是爱东山
'xie'jia'chi 谢家池
'xie'qiong'gui 写琼瑰
'xie'yang'cao'shu 斜阳草树
'xie'yang'men'wai'jin'gu 斜阳门外今古
'xie'yang'shan'xia'duo'shuai'cao 斜阳山下多衰草
'xin'chou'ci'di'xiang'pao'she 新愁次第相抛舍
'xin'ci'kong'he'ci'qiu'zao 新词空贺此丘遭
'xin'ci'shui'jie'cai'bing'xue 新词谁解裁冰雪
'xin'di'lu 新堤路
'xin'ge'zhe 新格磔
'xin'he'ye'qu'shui'liu'shang'liang'shou 新荷叶曲水流觞两首
'xin'he'ye'wu'sheng'hai'shuai 新荷叶物盛还衰
'xin'he'ye'zhong'dou'nan'shan 新荷叶种豆南山
'xin'hen'le 新恨了
'xin'ji'ma'xing'chi 心急马行迟
'xin'jian'ji 新剑戟
'xin'ku'luo'jin 辛苦罗巾
'xin'lai'sai'bei 新来塞北
'xin'mi'wan'li'qing'ru'shui 心弥万里清如水
'xin'qi'mao'yan'ci'di'cheng 新葺茅檐次第成
'xin'qing'gai'xiang'feng'ru'jiu 信倾盖相逢如旧
'xin'ru'xi'shang'diao'ji'xian 心如溪上钓矶闲
'xin'shang'he'ru 心赏何如
'xin'si'feng'chui'xiang'zhuan'guo 心似风吹香篆过
'xin'si'gu'seng 心似孤僧
'xin'si'shang'gong'sai'yan 心似伤弓塞雁
'xin'si'tie 心似铁
'xin'sui'qu'niao'xian'fei 心随去鸟先飞
'xin'zhe'quan'wu'shi'chu 信着全无是处
'xin'zhong'de 新种得
'xin'zu'mei'lao 心阻媒劳
'xing'bai'lai'jiang'guo 姓白来江国
'xing'chuan'yao'tiao 行穿窈窕
'xing'he'yi'zhuan 星河易转
'xing'hua'tian'mu'dan'bi'de'shui'yan'se 杏花天牡丹比得谁颜色
'xing'hua'tian'mu'dan'zuo'ye'fang'kai'bian 杏花天牡丹昨夜方开遍
'xing'le'chu'qing'qiu'huan'dai 行乐处轻裘缓带
'xing'le'xiu'chi 行乐休迟
'xing'li'xi'tou 行李溪头
'xing'ming'xian'ji 姓名仙籍
'xing'qi'ding'fou 行期定否
'xing'ren'qiang'wai'ting'si'zhu 行人墙外听丝竹
'xing'ren'xiang'jian'qi'mian 行人想见欹眠
'xing'shan'zhong'yu'li 幸山中芋栗
'xing'shi'jiao'geng'chi 行时娇更迟
'xing'song'yan'yu 惺松言语
'xing'tao'bu 姓陶不
'xing'xiang'zi'bai'lu'yuan'shu 行香子白露园蔬
'xing'xiang'zi'gui'qu'lai'xi 行香子归去来兮
'xing'xiang'zi'hao'yu'dang'chun 行香子好雨当春
'xing'xiang'zi'shao'ri'chang'wen 行香子少日尝闻
'xing'xiang'zi'yun'yan'dao'zhong 行香子云岩道中
'xing'xing'wen'dao 行行问道
'xing'xing'xue'ran'zhe'luo'jin 猩猩血染赭罗巾
'xing'ze'mian 形则眠
'xing'ze'yi 形则异
'xing'zi'qu'sheng'xian'qu'le 幸自曲生闲去了
'xiong'pi'bai'wan'tang'tang 熊罴百万堂堂
'xiong'shen'ya'jian 雄深雅健
'xiong'zhong'bu'shou'yi'chen'qin 胸中不受一尘侵
'xiong'zhong'shu'chuan'xu'duo'xiang 胸中书传许多香
'xiong'zhong'wan'juan'cang'shu 胸中万卷藏书
'xiu'an'jin'luo 绣鞍金络
'xiu'bi'gu'nan 休辟谷难
'xiu'cai'yao'nan 休采药难
'xiu'chang'yang'guan'bie'qu 休唱阳关别去
'xiu'ci'jiu 休辞酒
'xiu'de'hua'zhi'yi'duo'wu 羞得花枝一朵无
'xiu'geng'he'shi'mang 休更和诗忙
'xiu'geng'shuo'ri'yin'wang'he 休更说日饮亡何
'xiu'hu'shen'shen'chu 绣户深深处
'xiu'qiong'bao 羞琼报
'xiu'shuo 休说
'xiu'shuo'dang'nian'gong'ji'zhu 休说当年功纪柱
'xiu'yi'dui'chuang'feng'yu 休忆对床风雨
'xu'duo'ban'shi 许多般事
'xu'duo'chou 许多愁
'xu'duo'chou'xu 许多愁绪
'xu'duo'you'du 许多幽独
'xu'fu'gui'he'shi 须富贵何时
'xu'geng'ba 须更把
'xu'ji 须记
'xu'jin'jiu 须进酒
'xu'qian'zi'yun'bi 须倩子云笔
'xu'ran'bu'si'shao'nian'shi 须髯不似少年时
'xu'shi'jiu'bei'shen 须是酒杯深
'xu'shi'rong'hua'geng'chang'jiu 须是荣华更长久
'xu'tong'wei'wu 须同卫武
'xu'xin'cai'ju'dong'li 须信采菊东篱
'xu'xin'ci'weng'wei'si 须信此翁未死
'xu'xin'gong'ming'er'bei 须信功名儿辈
'xu'xin'gong'ming'fu'gui 须信功名富贵
'xu'xin'qiong'chou'you'jiao 须信穷愁有脚
'xu'xin'shi'qi'min'hai'you 须信是七闽还有
'xu'yi'ri'yue 须依日月
'xu'yu'qian'wan'deng 须臾千万灯
'xu'zhe'wo 须着我
'xu'zhi 须知
'xu'zuo'wei'mao'zhe 须作猬毛磔
'xuan'cao'qi'jie 萱草齐阶
'xuan'tian'hua'gu'yao'ta'ting 喧天画鼓要他听
'xuan'ya'qian'zhang'luo'sheng'wu 悬崖千丈落鼪鼯
'xue'chu'si'mian'yu'cui'wei 削出四面玉崔嵬
'xue'de'hou 学得后
'xue'dui'can'cu 雪堆蚕簇
'xue'er'pian'jie'ge 雪儿偏解歌
'xue'hou'yuan'lin 雪后园林
'xue'li'shu'mei 雪里疏梅
'xue'li'wen'rou 雪里温柔
'xue'lian'qing'he 雪练倾河
'xue'tang'qian'ke 雪堂迁客
'xue'yan'bing'hun 雪艳冰魂
'xue'ye'lu 学也禄
'xue'zhong'ceng'jian'mu'dan'kai 雪中曾见牡丹开
'xue'zuo'ban'zhuang'gong'e 学作半妆宫额
'xun'chang'xiang'mo 寻常巷陌
'xun'si'qian'shi'cuo 寻思前事错
'xun'si'ren'jian 寻思人间
'xun'tao'mi'liu 寻桃觅柳
'xun'yi'shi 寻驿使
'yan'bi'ren'jian'chou'fu'chang 掩鼻人间臭腐场
'yan'bing'ye'cu'yin'hu 燕兵夜娖银胡
'yan'chi'jing'dao 厌持旌纛
'yan'cui'fei'wei 烟翠霏微
'yan'er'mei'yan'hua'cong'li'bu'yi'ta 眼儿媚烟花丛里不宜他
'yan'fei'mang 燕飞忙
'yan'fei'qiu'ying'jiang'han 雁飞秋影江寒
'yan'hua'cong'li'bu'yi'ta 烟花丛里不宜他
'yan'jian'shui'lian'ru 偃蹇谁怜汝
'yan'kan'chun'ye'qiu'qi 眼看春叶秋萁
'yan'kan'tong'bei'shang'qing'yun 眼看同辈上青云
'yan'ke'fa'yu'yue'ke 燕可伐与曰可
'yan'pan'hun'ya'qian'wan'dian 眼畔昏鸦千万点
'yan'qian'tu'wu 眼前突兀
'yan'quan'shang 岩泉上
'yan'ran'ru'xiu 掩冉如羞
'yan'ru'jiao'fu 咽如焦釜
'yan'ru'yu 颜如玉
'yan'shuang'han'tou'mu 雁霜寒透幕
'yan'shui'meng'meng 烟水濛濛
'yan'wai'zhu 檐外竹
'yan'wo'yao'zhi'xi 燕我瑶之席
'yan'wu'ru'yun'xiu'bao'shi 雁鹜如云休报事
'yan'xing'yao'tao'liang'hang'pai 艳杏妖桃两行排
'yan'yan'ying'ying'xiang'bing'bi 燕燕莺莺相并比
'yan'yu'ji'ceng'kai 烟雨几曾开
'yan'yu'pian'yi'qing'geng'hao 烟雨偏宜晴更好
'yan'yu'wai 烟雨外
'yan'zhong'san'liang'fei'die 眼中三两飞蝶
'yan'zhuang'nan'xue 艳妆难学
'yan'zi'mang'shi'ying'lan 燕子忙时莺懒
'yang'chun'qu 阳春曲
'yang'guan'wei'che'zao'cui'gui 阳关未彻早催归
'yang'hua'fei'niao'xian'jin 杨花飞鸟衔巾
'yang'hua'yu'jia'xue'man'tian 杨花榆荚雪漫天
'yang'jia'zi'mei'ye'you'chu 杨家姊妹夜游初
'yang'liu'geng'wen'rou 杨柳更温柔
'yang'liu'wen'rou'shi'gu'xiang 杨柳温柔是故乡
'yang'tai'xia 阳台下
'yang'tian'da'xiao'guan'zan'luo 仰天大笑冠簪落
'yang'xin'gu 秧新谷
'yang'yang'hu 洋洋乎
'yao'ban'chun'gui'tian'jin'tou 要伴春归天尽头
'yao'chen'gui'geng 要趁归耕
'yao'chi'jiu'yue 瑶池旧约
'yao'chou'na'dei'gong'fu 要愁那得工夫
'yao'de'shi'lai'ke'wang'mei 要得诗来渴望梅
'yao'dong'yun'shan'shui'you'bo 摇动云山水又波
'yao'hua'kai'ding'zhun 要花开定准
'yao'jian'yi'ran'xing'di'zhu 遥见屹然星砥柱
'yao'jian'yu'ruo'jin'lei 腰间玉若金累
'yao'jun'bu'zuo'shi'nan 要君不作诗难
'yao'kan'feng'er'chen'wan'ya 要看蜂儿趁晚衙
'yao'kan'pai'di'chun'shui 要看拍堤春水
'yao'mi'ming 要弥明
'yao'ming'zi'ren'jian'ru'sao 要名字人间如扫
'yao'qing'can'xue'dou'shu'mei 要擎残雪斗疏梅
'yao'shi'ren'kan'yu'shu'zhi 要使人看玉树枝
'yao'shi'wu'fei'zi 要是吾非子
'yao'shi'zhou'lang'gu 要试周郎顾
'yao'ta'shi'ju'hao 要他诗句好
'yao'tai'ren'du'qu 瑶台人度曲
'yao'tiao'shui'lai 窈窕谁来
'yao'tu'hua'huan'wo'yu'suo 要图画还我渔蓑
'yao'wu'wo'xin'ran'yi'chu 要物我欣然一处
'yao'xiang'gui'zhou'tian'ji 遥想归舟天际
'yao'xiang'hua'tang 遥想画堂
'yao'xie'xing'cang'ru'xiao'lin 要写行藏入笑林
'yao'yi'xi'man'yan'zhang'yu 要一洗蛮烟瘴雨
'yao'zhi'ci'ri'sheng'nan'hao 要知此日生男好
'yao'zhi'lan'man'kai'shi'jie 要知烂熳开时节
'yao'zhi'zhi'pa'feng'chui'dao 腰肢只怕风吹倒
'yao'zhi'zui'mao'shi'shi'luo 遥知醉帽时时落
'ye'cao'xian'hua'bu'dang'chun 野草闲花不当春
'ye'ceng'nao'sun'du'ling'weng 也曾恼损杜陵翁
'ye'ceng'tou'shang'dai'hua'lai 也曾头上戴花来
'ye'dian'fang'lao'liu'ke 野店芳醪留客
'ye'gong'qi'shi'hao'zhen'long 叶公岂是好真龙
'ye'guang'fu 野光浮
'ye'he'xi'bian'liu'zhang'ju 野鹤溪边留杖屦
'ye'hua'ti'niao 野花啼鸟
'ye'jin'men'gui'qu'wei 谒金门归去未
'ye'jin'men'shan'gong'shui 谒金门山共水
'ye'lai'feng'yu 夜来风雨
'ye'lai'feng'yu'you'qing'wu 夜来风雨有情无
'ye'lai'gui'meng'jiang'shang 夜来归梦江上
'ye'lai'hao'yin'tai'kuang'xie 夜来豪饮太狂些
'ye'lai'yi'jiu'guan'xian'sheng 夜来依旧管弦声
'ye'lai'yue 夜来月
'ye'lai'yun 夜来云
'ye'lan'chui'duan'qian'shan'yue 夜阑吹断千山月
'ye'lan'jiu'kong'ren'san 夜阑酒空人散
'ye'lao'shi'feng'shan'gui'qi 野老时逢山鬼泣
'ye'mei'can 野梅残
'ye'mo'lun'wen 也莫论文
'ye'shen'chang'jian 夜深长见
'ye'shen'gui'qu'lai 夜深归去来
'ye'shen'yan'xia 夜深岩下
'ye'shu'ji'fan'wa 野鼠饥翻瓦
'ye'shui'yu'ming'qu 野水玉鸣渠
'ye'wu'hui 也无灰
'ye'xu'mang 也须忙
'ye'xu'you'si'liang'qu'li 也须有思量去里
'ye'yan'huang'cao'lu 野烟荒草路
'ye'ye'ru'qing'xi 夜夜入清溪
'ye'yi'xia 也宜夏
'ye'yin'cao'sheng'miao'xi 也吟草盛苗稀
'ye'ying'wu'wei 也应无味
'ye'ying'xiang'xue'jian'xie'er 也应香雪减些儿
'ye'ying'zhu'li'zhe'xing'chu 也应竹里着行厨
'ye'you'gong'ji'ge'xiang'zhi'ke'xi 夜游宫几个相知可喜
'ye'you'xian'shi'jie 也有闲时节
'ye'yu'nan'tang'xin'wa'xiang 夜语南堂新瓦响
'ye'yu'zui'gua'lu 夜雨醉瓜庐
'ye'zhang'ruo'lan 野涨挼蓝
'yi'bai'ba'pan'tian'shang'lu 一百八盘天上路
'yi'ban'bei'shan'yi 已办北山移
'yi'ban'tong'shi'cai'hua'shi 一般同是采花时
'yi'bei'jiu 一杯酒
'yi'bei'lian'yan'fan'jin'bo 一杯潋滟泛金波
'yi'bei'xiang'zhu 一杯相属
'yi'bei'yao'zhi'fang'xi'er 已被尧知方洗耳
'yi'bian'tai'shi'gong'shu 一编太史公书
'yi'bu'yuan'ru'yi'bu 一步远如一步
'yi'cang'tai 倚苍苔
'yi'chi'she'ying'jin'qun'wa 一池蛇影噤群蛙
'yi'chu'dai'lei'wu'gen'liao 易除殆类无根潦
'yi'chu'shan'lai'bu'zi'you 一出山来不自由
'yi'chuan'song'zhu'ru'zui 一川松竹如醉
'yi'chun'jiang'li'huo 一春江里活
'yi'cong'mai'cui'ren'hai 一从卖翠人还
'yi'de'jiu'shi'xie'shou'chu 忆得旧时携手处
'yi'dian'an'hong'you'zai 一点暗红犹在
'yi'dong'feng'diao'hong'lv'cui 倚东风雕红缕翠
'yi'dong'feng'yi'xiao'yan'ran 倚东风一笑嫣然
'yi'dou'bai'pian'feng'yue'di 一斗百篇风月地
'yi'dou'yi'dan'jie'zui 一斗一石皆醉
'yi'duan'wu'si'lan'shang'ji'duo'qing 一段乌丝阑上记多情
'yi'duo'mei'hua 一朵梅花
'yi'duo'qing'cheng'zui'wei'su 一朵倾城醉未苏
'yi'er'yi'er 已而已而
'yi'fan'bing 一番病
'yi'fan'shuai 一番衰
'yi'fang'chen 挹芳尘
'yi'gao'zhen'wu'tong'ting'yu 敧高枕梧桐听雨
'yi'ge'gui'lai'qing'si'ye 一舸归来轻似叶
'yi'ge'gui'yu 一舸归欤
'yi'ge'qu'xue'fo 一个去学佛
'yi'ge'qu'xue'xian 一个去学仙
'yi'ge'xi'shi'ye'dei 一个西施也得
'yi'ge'yi'bai'sui 一个一百岁
'yi'guan'lei'luo 衣冠磊落
'yi'hang'bai'lu'qing'tian 一行白鹭青天
'yi'he'yi'qiu 一壑一丘
'yi'he'yi'qiu'wu'shi 一壑一丘吾事
'yi'he'zi'zhuan 一壑自专
'yi'hen'dou'wu'hao'fa 遗恨都无毫发
'yi'hen'man'peng'ying 遗恨满蓬瀛
'yi'hu'zhu'bing'lang 一斛贮槟榔
'yi'hui'mei 一回美
'yi'hui'shuo 一回说
'yi'jian'mei'chen'sa'yi'ju'ke'lu'chang 一剪梅尘洒衣裾客路长
'yi'jian'mei'ge'ba'zun'kong'yue'zhui'xi 一剪梅歌罢尊空月坠西
'yi'jian'sen'mao'fa 一见森毛发
'yi'jian'xiao'ran'yin'yun'gu 一见萧然音韵古
'yi'jian'zun'qian'si'jiu 一见尊前似旧
'yi'jiang'chun'zhou 一江醇酎
'yi'jing'bing'shui'ou'wu'se 已惊并水鸥无色
'yi'jiu'qian'yan'wan'xiu 依旧千岩万岫
'yi'ju'duan'di'yu'jun'qi 一句端的与君期
'yi'ju'shou'pan'dan'gui 一举手攀丹桂
'yi'juan'qing'qian 意倦情迁
'yi'jue'jing'shen'ju'hui 已觉精神聚会
'yi'jue'yun'sheng'liang'jiao 已觉云生两脚
'yi'kui'ying'zu 一夔应足
'yi'lan'kan'bi'cheng'zhu 倚栏看碧成朱
'yi'li'kui'qiu'shu 已莅葵丘戍
'yi'lun'qiao'bing'xue 议论敲冰雪
'yi'ming'shi'shi'yi'yang'yi 一明豕虱一羊蚁
'yi'nian'guan'ling'hao'hua'zhi 一年管领好花枝
'yi'pen'kong'fan'ma 一喷空凡马
'yi'pian'shen'ya'she'gu 一片神鸦社鼓
'yi'piao'ran'heng'kong'zhi'ba 意飘然横空直把
'yi'piao'yin 一瓢饮
'yi'qi'xuan'mei'yu 逸气轩眉宇
'yi'qian'e'mei'deng'hou 已遣蛾眉等候
'yi'qian'shi'cun'zhao'xu'han 依前是存赵须韩
'yi'qian'you'zhuo 依前又拙
'yi'qiu'he 一丘壑
'yi'qiu'he'zhong'jian'shen'le 一丘壑中间甚乐
'yi'ran'hong'zi'cheng'xing 依然红紫成行
'yi'ran'hui'shuo'pu'ti'fa 依然会说菩提法
'yi'ran'kun'dou'niu'mo'jiao 依然困斗牛磨角
'yi'ran'shi'jiu'gong'ming 依然诗酒功名
'yi'ren'kou'cha'ji'zhang'chi 一人口插几张匙
'yi'shang'yi'yong 一觞一咏
'yi'sheng'bu'fu'xi'shan'zhai 一生不负溪山债
'yi'sheng'sheng'shi'song'xing'shi 一声声是送行诗
'yi'shi'can 一时参
'yi'shi'deng'lan 一时登览
'yi'shi'ding'chen'wo 一事定嗔我
'yi'shi'dou'kui'fan'lou 一时都愧凡陋
'yi'shi'hua'shen 疑是花神
'yi'shi'tao'gen'tao'ye 疑是桃根桃叶
'yi'shou'tui'song'yue'qu 以手推松曰去
'yi'shui'xi'lai 一水西来
'yi'shui'xiao'xiao'xi'feng'leng 易水萧萧西风冷
'yi'si'jiu'shi'chun'yi'si 一似旧时春意思
'yi'su'shi 医俗士
'yi'sui'yi'bei'wei'shou 一岁一杯为寿
'yi'ta'qing'feng'fang'shi'xian 一榻清风方是闲
'yi'tang'zhen'shi'shi 一堂真石室
'yi'tian'bao'yan'xia'ceng'xiao 一天宝焰下层霄
'yi'tian'shuang'yue'ming 一天霜月明
'yi'tian'wan'li'xu'chang'jian 倚天万里须长剑
'yi'tian'xia'zhi'mei'jin'zai'ji 以天下之美尽在己
'yi'tiao'chui'liu 一条垂柳
'yi'tong'qiao'jing'xing'hai'ai 已通樵迳行还碍
'yi'tuan'hong'xue'fei 一团红雪飞
'yi'wei'wei'zu'he'shi'zu 以为未足何时足
'yi'wo'fei'zi 以我非子
'yi'xi'huai'an'jiang'si 依稀淮岸江涘
'yi'xi'shuang'yue 一溪霜月
'yi'xi'si'du 依稀似妒
'yi'xian'sheng'chu'chu'you'ru'qiu 意先生出处有如丘
'yi'xiang'bang'zhen 移香傍枕
'yi'xiang'ju'fei'wen 一饷聚飞蚊
'yi'xiang'weng'jian'fang'li'bu 已向瓮间防吏部
'yi'xiang'wu'jiang'xing 忆向吴江醒
'yi'xiao'jun'ting'qu 一笑君听取
'yi'xiao'ren'jian'wan'shi 一笑人间万事
'yi'xuan'chuang'xia'wen'niu 蚁喧床下闻牛
'yi'ye'lv'zhong'chou 一夜旅中愁
'yi'ye'qing'shuang'bian'bin'si 一夜清霜变鬓丝
'yi'yi'wo'wei'ma 一以我为马
'yi'yi'wo'wei'niu 一以我为牛
'yi'yin'dong'lian'xiao 一饮动连宵
'yi'yong'yi'shang'cheng'di'shi 一咏一觞成底事
'yi'yue'xiao'tan'jian 依约笑谈间
'yi'yue'zui'qi'shuang'feng 已约醉骑双凤
'yi'zai'ren'lai'feng'wei'e 一再人来风味恶
'yi'zhan'lian'qian'li 一战连千里
'yi'zhen'huang'hun'yu 一阵黄昏雨
'yi'zhen'li'chou'tou'che'wei 一枕离愁头彻尾
'yi'zhen'wan'xiang'chui'bu'duan 一阵晚香吹不断
'yi'zhi'chun 一枝春
'yi'zhi'hua'qian'zhang'qing'tian'shou 一枝花千丈擎天手
'yi'zhi'kai 一枝开
'yi'zhi'liu'shi'er'nian'fei 已知六十二年非
'yi'zhi'tou'su 一枝投宿
'yi'zhi'xie'zhui'cui'huan'song 一枝斜坠翠鬟松
'yi'zhi'xue'li 一枝雪里
'yi'zhi'zan'bu'zhu 一枝簪不住
'yi'zhi'zhi'bu'jiao'hua'shou 一枝枝不教花瘦
'yi'zhi'zui'ai 一枝最爱
'yi'zhu'zhong'qing'yuan'bi 一柱中擎远碧
'yi'zi'dong'li'yao'luo 一自东篱摇落
'yi'zi'jiu'qing'shi'xing'lan 一自酒情诗兴懒
'yi'zi'mei'hua'kai'le'hou 一自梅花开了后
'yi'zu'yi'chang'xu'you'qing 亦足以畅叙幽情
'yi'zui'chang'san'ri 一醉长三日
'yi'zui'dou'xiu 一醉都休
'yi'zui'san'shan'fang'shu'xia 忆醉三山芳树下
'yi'zui'yi'you'yi'shui 宜醉宜游宜睡
'yi'zun'sao'shou'dong'chuang'li 一尊搔首东窗里
'yi'zun'xia'xiang 一尊遐想
'yin'ba'yu'xi'cong'ci'nai'jun'he 饮罢虞兮从此奈君何
'yin'feng'ye'he'ji'you'wu 因风野鹤饥犹舞
'yin'hu'shang'zi'zhuo 引壶觞自酌
'yin'qin'qiu'shui'ci 殷勤秋水词
'yin'qin'que'xie'da'tou'feng 殷勤却谢打头风
'yin'qin'xie'que'zeng'zhong'chen 殷勤谢却甑中尘
'yin'qin'ye'lao'ku'xiang'yao 殷勤野老苦相邀
'yin'qin'yi'yu'jia'zai 殷勤一语佳哉
'yin'shen'wu'ge'a'que'di 因甚无个阿鹊地
'yin'ta'lao'bing'bu'xiang'rao 因他老病不相饶
'yin'yin'lv'shu 阴阴绿树
'yin'zi'xu 饮子虚
'ying'bie'you 应别有
'ying'de'cang'huang'bei'gu 赢得仓皇北顾
'ying'er'shou'ding'zhu'pang'xiang 影儿守定竹旁厢
'ying'ge'ta'jia'pian'you 赢个他家偏有
'ying'huai'bao 萦怀抱
'ying'lang'yu'xian'xian'shou 映朗玉纤纤手
'ying'ru'shi'tou'guang'le'le 影入石头光了了
'ying'shi'chu'dou'mou 应是出兜鍪
'ying'shi'shen'jing'zai'fu 应使神京再复
'ying'shi'tian'sun'xin'yu'qiao 应是天孙新与巧
'ying'shi'wang'duo'shi 应是望多时
'ying'wei'lao 莺未老
'ying'wei'xian'sheng'jian'wan 应为先生见晚
'ying'wu'qu 映污渠
'ying'xiong'wu'mi 英雄无觅
'ying'xu'ru'dai 盈虚如代
'ying'yan'ding'ning 莺燕丁宁
'ying'you'xuan'jing'yi'cao 应有玄经遗草
'ying'yu'luan 莺语乱
'yong'chu'fu'qu'hua'fa 拥出芙渠花发
'yong'ji'dai'jun'kan 拥髻待君看
'yong'yu'le'fu'mei'xue 永遇乐赋梅雪
'yong'yu'le'jing'kou'bei'gu'ting'huai'gu 永遇乐京口北固亭怀古
'yong'yu'le'lie'ri'qiu'shuang 永遇乐烈日秋霜
'yong'yu'le'tou'lao'kong'shan 永遇乐投老空山
'you'ba'chou'lai'zuo'ge'tian 又把愁来做个天
'you'bang'chui'yang'chun'an 犹傍垂杨春岸
'you'bei'qing'ming'guo'le 又被清明过了
'you'bi'wang'shi 有笔忘诗
'you'chang'xia 又长夏
'you'chong'xin 又重新
'you'diao'che'cha'ju 有钓车茶具
'you'dui'shan'lin'gao'rang 犹对山林皋壤
'you'duo'shao 有多少
'you'e'qing'wei'shi 又俄顷为石
'you'fei'qu 又飞去
'you'fei'quan'ri'ri'gong'ming'zhu 有飞泉日日供明珠
'you'ge'jian'xin'di 有个尖新底
'you'ge'ren'ren'ba'zuo'jing'er'cai 有个人人把做镜儿猜
'you'geng'yu'hua'meng 又更与花盟
'you'hai'guai'bing'shuang'ce'pan 又还怪冰霜侧畔
'you'hai'wu 有还无
'you'he'ceng'wu'wo'xiang'shi 又何曾物我相视
'you'he'jie'ji 又何嗟及
