'shou'si'ji 手撕鸡
'shu'zi'bai'ye 梳子百页
'shuang'huang'yu'pian 双黄鱼片
'shuang'pi'dao'yu 双皮刀鱼
'shuang'ren'fu'pi 双仁浮皮
'shuang'se'dan'gu 双色蛋菇
'shui'guo'ji 水果鸡
'shui'jing'yao'rou 水晶肴肉
'shui'zhu'hui'tou'yu 水煮回头鱼
'shui'zhu'niu'rou 水煮牛肉
'shui'zhu'rou'pian 水煮肉片
'shui'zhu'yu 水煮鱼
'si'bao'shang'tang 四宝上汤
'si'chuan'pao'cai 四川泡菜
'song'ren'fen'si 松仁粉丝
'song'shu'gui'yu 松鼠桂鱼
'song'shu'sai'yu 松鼠鳃鱼
'song'zi'he'xia'ren 松子河虾仁
'song'zi'qie'yu 松子茄鱼
'song'zi'yu'mi 松子鱼米
'su'cai 苏菜
'su'chao'ji'ding 素炒鸡丁
'su'hui 素烩
'su'yan'ji'kuai 酥盐鸡块
'su'zha'he'hua'que 酥炸禾花雀
'su'zha'ya'zi 酥炸鸭子
'suan'cai'niu'rou 酸菜牛肉
'suan'cai'xiao'dou'tang 酸菜小豆汤
'suan'cai'yu 酸菜鱼
'suan'cai'zhu'yu 酸菜煮鱼
'suan'la'feng'zhao 酸辣凤爪
'suan'la'gou'rou 酸辣狗肉
'suan'la'hai'shen'guo'ba 酸辣海参锅巴
'suan'la'you'yu'si 酸辣鱿鱼丝
'suan'wei'shuang'du 蒜味爽肚
'sun'si'bai'ye 笋丝百叶
'tai'cai'ming'xia 苔菜明虾
'tai'gan'yang'rou'si 苔干羊肉丝
'tai'ji'yu'chi 太极鱼翅
'tai'shi'san'bei'ji 台式三杯鸡
'tai'ye'ji 太爷鸡
'tan'zi'rou 坛子肉
'tang'chao'hong'shu'ni 糖炒红薯泥
'tang'cu'gu'lu'rou 糖醋咕噜肉
'tang'cu'li'yu 糖醋鲤鱼
'tang'cu'ruan'liu'huang'he'li'yu 糖醋软熘黄河鲤鱼
'tang'cu'ruan'liu'li'yu'bei'mian 糖醋软熘鲤鱼焙面
'tang'cu'zhu'yao 糖醋猪腰
'tang'jiang'yu 糖酱鱼
'tao'si'bao 套四宝
'tie'ba'zi'ji 铁扒仔鸡
'tie'ban'you'yu'xu 铁板鱿鱼须
'tie'guo'dan 铁锅蛋
'tong'dan 桐蛋
'tun'ji'nao 氽脊脑
'tun'xi'zui'xie 屯溪醉蟹
'wa'shi'huang'yu 蛙式黄鱼
'wai'po'da'pin'wan 外婆大品碗
'wang'bao'gui'yu 网包鳜鱼
'wen'shan'ji'ding 文山鸡丁
'wo'sun'ye'zi 莴笋叶子
'wu'bao'li'ji 芜爆里脊
'wu'cai'chao'she'si 五彩炒蛇丝
'wu'ding'yu'yuan 五丁鱼圆
'wu'fu'zui'ji 五夫醉鸡
'wu'liu'qing'yu 五柳青鱼
'wu'wei'jian'xie 五味煎蟹
'wu'xi'nen'zi'pai 无锡嫩子排
'wu'xi'rou'pai 无锡肉排
'wu'xiang'dou'fu'gan'si 五香豆腐干丝
'xi'hu'cu'yu 西湖醋鱼
'xia'mi'chao'huang'gua 虾米炒黄瓜
'xia'rou'yuan'yang'cai 虾肉鸳鸯菜
'xian'cai'ya 咸菜鸭
'xian'he'wang'jin'qiao 仙鹤望金桥
'xian'liu'ji'ding 鲜溜鸡丁
'xian'nai'mo'gu 鲜奶蘑菇
'xian'shao'bai 咸烧白
'xian'wei'da'xia 鲜味大虾
'xiang'cai 湘菜
'xiang'chang'jie'lan 香肠芥兰
'xiang'cun'xiao'chao'ji 乡村小炒鸡
'xiang'gu'shao'cai'xin 香菇烧菜心
'xiang'jian'qiao'yu 香煎翘鱼
'xiang'ling'rou'yuan 响铃肉圆
'xiang'su'feng'tui 香酥凤腿
'xiang'su'ji 香酥鸡
'xiang'su'su'ya'kuai 香酥素鸭块
'xiang'yu'kou'rou 香芋扣肉
'xiang'zong'shao'pai'gu 香粽烧排骨
'xiao'tao'yuan'wei'tang 小桃园煨汤
'xiao'xiang'wu'yuan'gui 潇湘五元龟
'xie'fen'dou'fu'geng 蟹粉豆腐羹
'xie'huang'xia'zhong 蟹黄虾盅
'xie'rou'xi'lan'hua 蟹肉西兰花
'xing'ren'dun'rou 杏仁炖肉
'yan'cai'hui'guo'rou 盐菜回锅肉
'yan'rou'chao'la'cai 腌肉炒辣菜
'yan'shui'ya 盐水鸭
'yan'suan'cai'shao'yu 盐酸菜烧鱼
'yan'xian'gui'yu 腌鲜鳜鱼
'yang'mei'xia'qiu 杨梅虾球
'yang'shao'pai'gu 洋烧排骨
'ye'shan'jiao'he'bang'dun'zhu'jiao 野山椒河蚌炖猪脚
'ye'xiang'dong'gua'zhong 夜香冬瓜盅
'ye'xiang'ga'li'ji 椰香咖喱鸡
'ye'ya'cai'fan 野鸭菜饭
'yi'bin'ran'mian 宜宾燃面
'yi'pin'bao'yu 一品鲍鱼
'yi'pin'chang 一品鲳
'yi'pin'dou'fu 一品豆腐
'yi'pin'dou'fu'tang 一品豆腐汤
'yi'pin'suan'la'ji 一品酸辣鸡
'yi'pin'zheng'huang'yu 一品蒸黄鱼
'yin'bao'jin 银包金
'yin'er'chuan'ya 银耳川鸭
'yin'ya'ji'si 银芽鸡丝
'yin'ya'jiu'cai'hua 银牙韭菜花
'yin'yu'ou'si 银鱼藕丝
'yin'yu'xi'lu'dou'hua 银鱼稀卤豆花
'ying'tao'rou 樱桃肉
'ying'yang'qing'cai'bo 营养青菜钵
'you'bao'du'hua 油爆肚花
'you'bao'du'jian 油爆肚尖
'you'bao'shuang'xian 油爆双鲜
'you'bao'xia 油爆虾
'you'bao'xiao'xia 油爆小虾
'you'jin'die'yu 油浸蝶鱼
'you'lin'ge'zi 油淋鸽子
'you'lin'ji 油淋鸡
'you'pao'yu'qing'wan 油泡鱼青丸
'you'yu'san'xian 鱿鱼三鲜
'yu'cheng'pa'ji 禹城扒鸡
'yu'mi'geng 鱼米羹
'yu'nan'bao 鱼腩煲
'yu'xiang'da'xia 鱼香大虾
'yu'xiang'he'bao'dan 鱼香荷包蛋
'yu'xiang'rou'si 鱼香肉丝
'yu'yang'dun'shi'shu 鱼羊炖时蔬
'yu'yang'xian 鱼羊鲜
'yu'yao'yang 鱼咬羊
'yuan'long'fen'zheng 原笼粉蒸
'yuan'yang'gui'yu 鸳鸯鳜鱼
'yuan'yang'jue'yu 鸳鸯鱖鱼
'yue'cai 粤菜
'yun'tuo'ba'xian 云托八鲜
'zao'fang'rou 枣方肉
'zao'la'cui'pi'yu 糟辣脆皮鱼
'zao'liu'yu'pian 糟熘鱼片
'zao'wei'dong'sun 糟煨冬笋
'zha'ba'kuai 炸八块
'zha'fei'chang 炸肥肠
'zha'ji'pai 炸鸡排
'zha'rou'gu'lu'peng 炸肉骨碌烹
'zha'shi'ji 炸石鸡
'zha'su'ji'pai 炸素鸡排
'zha'zhi'gai 炸脂盖
'zhang'cha'ya 樟茶鸭
'zhang'cha'ya'zi 樟茶鸭子
'zhe'cai 浙菜
'zhe'er'gen'chao'rou'si 折耳根炒肉丝
'zhen'zhu'dou'fu 珍珠豆腐
'zhen'zhu'nan'gua 珍珠南瓜
'zhi'bao'san'xian 纸包三鲜
'zhi'ma'tian'ji 芝麻田鸡
'zhong'hua'jiang'long'gu 中华酱龙骨
'zhu'du'bao'xian'cai 猪肚煲咸菜
'zhu'gan'shui 猪肝水
'zhu'jie'ji'zhong 竹节鸡盅
'zhu'sun'xiang'gu'tang 竹笋香菇汤
'zi'su'mei'ji 紫苏梅鸡
'zu'an'yu'chi 祖庵鱼翅
'zu'an'yu'chi 组庵鱼翅
'zui'da'zhuan'wan 醉大转弯
'zui'e'zhang 醉鹅掌
'zui'pai'gu 醉排骨
'zui'xie'qing'dun'ji 醉蟹清炖鸡
