'a'bi 阿碧
'zhang'san'feng 张三丰
'zhang'shi'wu 张十五
'zhang'song'xi 张松溪
'zhang'tou'guai'she'jie'yao 杖头怪蛇解药
'zhang'wu'ji 张无忌
'zhang'xin 张信
'zhang'xing'lao'zhe 张姓老者
'zhang'yi'mang 张一氓
'zhang'yong 张勇
'zhang'zhao'zhong 张召重
'zhang'zhi'guang 张志光
'zhang'zhong 张中
'zhang'zong'guan 张总管
'zhao'ban'shan 赵半山
'zhao'ge'zhong'liu 棹歌中流
'zhao'hui 兆惠
'zhao'jun'chu'sai 昭君出塞
'zhao'liang'dong 赵良栋
'zhao'min 赵敏
'zhao'qi'xian 赵齐贤
'zhao'qian'sun 赵钱孙
'zhao'wang'fu 赵王府
'zhao'xu 照虚
'zhao'xun 赵洵
'zhao'yi'shang 赵一伤
'zhao'zhi'jing 赵志敬
'zhe'dong'qi'jia 浙东祁家
'zhe'le'mi 者勒米
'zhe'luo'xing 哲罗星
'zhen'jing'bai'li 震惊百里
'zhen'shan'zi 震山子
'zhen'tian'san'shi'zhang 震天三十掌
'zhen'tian'tie'zhang 震天铁掌
'zhen'wu'qi'jie'zhen 真武七截阵
'zhen'xin'li'qi'wan 镇心理气丸
'zheng'ban'qiao 郑板桥
'zheng'biao'tou 郑镖头
'zheng'dao'yuan 证道院
'zheng'e 郑萼
'zheng'guang'zhi 郑光芝
'zheng'ke'shuang 郑克爽
'zheng'qi'mie 郑七灭
'zheng'qi'xuan 正气轩
'zheng'qi'yun 郑起云
'zheng'san'niang 郑三娘
'zheng'zhang'lao 郑长老
'zhi'dao'huang'long 直捣黄龙
'zhi'fa'zhang'lao 执法长老
'zhi'guan'si 止观寺
'zhi'guang'da'shi 智光大师
'zhi'nv'chuan'yi 织女穿衣
'zhi'qing 止清
'zhi'xue'sheng'ji'wan 止血生肌丸
'zhong'a'si 钟阿四
'zhong'chong'jian 中冲剑
'zhong'cui'gong 钟粹宫
'zhong'de'tang 种德堂
'zhong'gu'qi'ming 钟鼓齐鸣
'zhong'ji'cai'jue 终极裁决
'zhong'jie'shou'yi 重节守义
'zhong'kui'jue'mu 锺馗抉目
'zhong'ling 钟灵
'zhong'nian'wu'shi 中年武师
'zhong'si'sao 钟四嫂
'zhong'wan'chou 钟万仇
'zhong'xiao'er 钟小二
'zhong'yue'shen'miao 中岳神庙
'zhong'zhao'neng 钟兆能
'zhong'zhao'wen 钟兆文
'zhong'zhao'ying 钟兆英
'zhong'zhen 钟镇
'zhong'zhi'feng 中指峰
'zhong'zhi'ling 钟志灵
'zhou'a'san 周阿三
'zhou'bo'tong 周伯通
'zhou'da'nai'nai 周大奶奶
'zhou'dian 周颠
'zhou'gong'jian 周公剑
'zhou'gu'tong 周孤桐
'zhou'long 周隆
'zhou'mu 周牧
'zhou'qi 周圻
'zhou'qi 周绮
'zhou'tie'he 周铁鹤
'zhou'wei'xin 周威信
'zhou'wu'shu 周五输
'zhou'ying'jie 周英杰
'zhou'yun'yang 周云阳
'zhou'zhi'ruo 周芷若
'zhou'zhong'ying 周仲英
'zhu'an'guo 朱安国
'zhu'bao'kun 诸保昆
'zhu'biao'tou 祝镖头
'zhu'chang'ling 朱长龄
'zhu'cong 朱聪
'zhu'dan'chen 朱丹臣
'zhu'jian 竹剑
'zhu'jiu'zhen 朱九真
'zhu'rong'jian'fa 祝融剑法
'zhu'suo'gong'fu 蛛索功夫
'zhu'wu'lian'huan'zhuang 朱武连环庄
'zhu'yuan'zhang 朱元璋
'zhu'zi'liu 朱子柳
'zhu'zu'yin 朱祖荫
'zhuang'fu'ren 庄夫人
'zhuang'ting'long 庄廷龙
'zhuang'yun'cheng 庄允城
'zhuang'zheng 庄铮
'zhui'hun'duo'ming'jian 追魂夺命剑
'zhui'ming'du'long'zhui'jie'yao 追命毒龙锥解药
'zhuo'bu'fan 卓不凡
'zhuo'tian'xiong 卓天雄
'zhuo'ying'shi 捉影式
'zi'cong 子聪
'zi'gai'jian'fa 紫盖剑法
'zi'mu'tie'dan 子母铁胆
'zi'qi'dong'lai 紫气东来
'zi'wu'jian'gu'cha 子午见骨茶
'zi'xia'gong 紫霞功
'zi'xu'ju'ding 子胥举鼎
'zi'yan'dao 紫烟岛
'zi'zai'fei'hua 自在飞花
'zong'jue'shi 总诀式
'zong'si'xia'gu'xiang 纵死侠骨香
'zong'wei'xia 宗维侠
'zong'xiong 宗雄
'zong'zan'wang'zi 宗赞王子
'zu'da'shou 祖大寿
'zu'qian'qiu 祖千秋
'zui'quan 醉拳
'zui'xian'lou 醉仙楼
'zui'xian'mi 醉仙蜜
'zuo'leng'chan 左冷禅
'zuo'shu'tong 左书僮
'zuo'wang'feng 坐忘峰
'zuo'zi'mu 左子穆
