'a'mu'chang'ren'ce 阿母常仁恻
'quan'pa'ying'xi'yan'niao'lin 泉葩映兮烟茑临
'que'qu'nv'wa'suo'tuan'huang'tu'kuai 却取女娲所抟黄土块
'que'ru'tian'tai'shan 却入天台山
'que'wang'xian'jing'xi'hui'ti'long'zhong 却望咸京兮挥涕龙钟
'que'zhan'xi'long'shou 却瞻兮龙首
'qun'hu'er'xiang'hao 群呼而相号
'qun'long'xi'man'chao 群龙兮满朝
'qun'mu'zhao'sheng 群木肇生
'qun'xian'qu'xi'qing'chun'tui 群仙去兮青春颓
'qun'zhong'fan'shen'jin'ke'sui 群众翻身今可遂
'ran'hou'qing'xuan'yuan 然后请轩辕
'rao'ling'hua'yu'bei'tang 绕菱花于北堂
'rao'rao'bu'ke'hui'jin'jie 扰扰不可挥筋节
'ren'bu'zhi 人不知
'ren'dai'zhi'ye 人戴之耶
'ren'duo'bao'meng'xi'ru'hui'she 人多暴猛兮如虺蛇
'ren'ju'chou'xi'dai'rong 人惧愁兮戴荣
'ren'ling'yue'bei'e'wu'shi 忍令月被恶物食
'ren'ma'ji'hui'xi'jin'li'dan 人马饥豗兮筋力单
'ren'min'fa'ting'zao'an'pai 人民法庭早安排
'ren'quan'bu'ju 人劝不举
'ren'sha'hai'zhi 忍杀孩稚
'ren'shen'yuan'bi 人神怨奰
'ren'sheng'ji'he'shi 人生几何时
'ren'shi'de'chi'zhe 人拾得吃者
'ren'si'shou'xi'shi'chou'xing 人似兽兮食臭腥
'ren'su'shao'yi'li 人俗少义理
'ren'wei'ci'xin 忍为此心
'ren'wei'huo'mo 忍为祸谟
'ren'xiang'dui'xi'bu'wen'yu'sheng 人相对兮不闻语声
'ren'xin'qin'yu 仁信勤欤
'ren'xing'huang'huo 忍行荒惑
'ren'xing'hun'zi 忍行昏恣
'ren'xuan'hu'xi'ru'zui'xiang 人喧呼兮入醉乡
'ren'yan'mu'dang'qu 人言母当去
'ren'ye 仁耶
'ren'yi'bie'er'sheng'xian'chu'ye 仁义别而圣贤出耶
'ren'you'bu'ke 忍又不可
'ren'zai'yun'zhi'xia'xi 人在云之下兮
'ri'an'an'xi'tui'ye 日黯黯兮颓晔
'ri'chu'er'zuo'xi'ri'ru'gui 日出而作兮日入归
'ri'dong'yue'xi'xi'tu'xiang'wang 日东月西兮徒相望
'ri'huan'wu'se 日环五色
'ri'ji'yue'zhu'xi'zai'rong'lei 日居月诸兮在戎垒
'ri'mu'feng'bei'xi'bian'sheng'si'qi 日暮风悲兮边声四起
'ri'ri'zhao'ren'ren'bu'zhi 日日照人人不知
'ri'xue'yue'juan 日削月朘
'ri'yue'wu'si'xi'ceng'bu'zhao'lin 日月无私兮曾不照临
'ri'yun'mu'xi'xia'song'shan 日云暮兮下嵩山
'ri'zhong'wu'qin 日中无禽
'rong'hou'si'ye 荣后嗣耶
'rong'jie'bi'wo'xi'wei'shi'jia 戎羯逼我兮为室家
'rong'luo'kui'ying'ke'nai'he 荣落亏盈可奈何
'rou'wei'bu'zu'deng'ding'zu 肉味不足登鼎俎
'ru'bi'cao'mu'xi'yu'lu'fei 如彼草木兮雨露肥
'ru'bi'lin'li'wo'xing'hao 濡笔淋漓我兴豪
'ru'ci'ji'shang'shan'hao 如此即商山皓
'ru'fu'ru'chi 如负如持
'ru'gao'mian'mian 如膏绵绵
'ru'gui'he'chu'shou'xiong'gu 汝归何处收兄骨
'ru'gui'ju 入规矩
'ru'han'ru'feng 如涵如封
'ru'he'bu'si 如何不思
'ru'he'fan'shi 如何反是
'ru'he'zhi'shen'wu 如何至神物
'ru'jin'qi'wu'yao'niao'yu'hua'liu 如今岂无騕褭与骅骝
'ru'kou'kai'ya'ya 汝口开呀呀
'ru'lin'zhi'bi 如鳞栉比
'ru'nv'ti'xi 乳女啼兮
'ru'shao'wei 入少微
'ru'shi'cao'mu 如视草木
'ru'sui'ru'cong 如随如从
'ru'wang'zhe'duo 如王者多
'ru'xu'ru'chui 如煦如吹
'ru'yi'yu'fei 如翼于飞
'ru'yun'zhong'xi'yang'ji 入云中兮养鸡
'ru'zhang'lie'kuai'xi'pan'luo'dou'zun 如掌列块兮盘罗豆樽
'ru'zi'ru'zi 孺子孺子
'ruo'fan'gu'zhi'huang'he 若反顾之黄鹤
'ruo'qi'you'zhi 若其有知
'ruo'shi'chao'you'zhi'gu'yu'xuan'mian'xi 若使巢由桎梏于轩冕兮
'ruo'wu'shan'zhi'gao'qiu 若巫山之高丘
'ruo'wu'ting'xi'zhi'yi'wu'gou 若勿听兮止以吴钩
'ruo'you'ren'xi'shan'zhi'qu 若有人兮山之曲
'ruo'you'ren'xi'si'ming'gao 若有人兮思鸣皋
'ruo'yu'chang'you'jun'gu'quan 弱羽长忧俊鹘拳
'sa'ru'da'hai'zhong 撒入大海中
'sai'shang'huang'hao'xi'zhi'ku'ye'gan 塞上黄蒿兮枝枯叶干
'san'guang'luo'lie'er'zai'xia 三光罗列而在下
'san'jie'huan'xiang'xi'gua'jin'yi 三节还乡兮挂锦衣
'san'nian'ji'zou'huang'shan'dao 三年饥走荒山道
'san'ren'ge'shou'he'ren'qiang 三人各瘦何人强
'san'wu'bu'bei 三五不备
'san'yu'bang'ge'wei'zhu'ji 散与蚌蛤为珠玑
'san'yue 三曰
'sao'liang'yuan'zhi'qun'ying 扫梁园之群英
'se'fu'kong'jian 啬夫孔艰
'se'fu'zi'zi 啬夫咨咨
'sen'sen'wan'mu'ye'jiang'li 森森万木夜僵立
'sha'chang'bai'gu'xi'dao'hen'jian'ban 沙场白骨兮刀痕箭瘢
'sha'hao'qi'xi'yi'xiao'ai 鲨颢气兮轶嚣埃
'sha'mo'yong'xi'chen'ming'ming 沙漠壅兮尘冥冥
'sha'qi'zhao'zhao'chong'sai'men 杀气朝朝冲塞门
'sha'sheng'luo'ri'hui'cang'qiong 杀声落日回苍穹
'sha'zhi'yi 杀之宜
'shan'chuan'gou'xu 山川沟洫
'shan'gao'di'kuo'xi'jian'ru'wu'qi 山高地阔兮见汝无期
'shan'gu'miao'xi'lu'man'man 山谷眇兮路漫漫
'shan'hai'qi'kong 山海其空
'shan'he'zhuang'xi'xian'qin 山河壮兮咸秦
'shan'ji'ji'xi'wu'ren 山寂寂兮无人
'shan'kui'shuo'bi'pa'hua'chi 闪奎烁壁葩花摛
'shan'qi'yi'xi'wei'qu 山碕礒兮隈曲
'shan'qing'qing'xi'shui'chan'yuan 山青青兮水潺湲
'shan'tu'zhi'bai'yun'xi 山图之白云兮
'shan'wan'chong'xi'yi'yun 山万重兮一云
'shan'wei'zhai'xi'cao'wei'tang 山为宅兮草为堂
'shan'wu'hui 煽吴回
'shan'ya'ye'que'guai'ying'yu 山鸦野雀怪鹦语
'shan'ya'ye'que'xian'shou'rou 山鸦野鹊闲受肉
'shan'yang'ya 山坱轧
'shan'yi'chong'xi'bei'yi'chong 山一重兮悲一重
'shan'you'gui'xi'gui'you'fang 山有桂兮桂有芳
'shan'zhi'shang 山之上
'shan'zhong'ren'xi'hao'shen'xian 山中人兮好神仙
'shan'zhong'ren'xi'yu'gui 山中人兮欲归
'shan'zhong'ru'sheng'jiu'xiang'shi 山中儒生旧相识
'shang'cen'ci'er'xia'wu'nie 上参差而下卼臲
'shang'chan'yan'er'you'yuan 上巉岩而有猿
'shang'jin'gan'xi'xi'san'pai'cheng 伤今感昔兮三拍成
'shang'jun'zi'xi'shou'jue'shen 尚君子兮寿厥身
'shang'ke'yi'dai'zhu'yi'bu 尚可以代主一步
'shang'ling'juan'ming'ying'hui'chang 上灵眷命膺会昌
'shang'pei'hui'xi'luo'hui 尚裴回兮落晖
'shang'qing'ling'zhi'chi'ge 觞清泠之池阁
'shang'shan'hao 商山皓
'shang'shan'tou'xi'bao'du 上山头兮抱犊
'shang'si'tian'di'zhi'shi'ming 尚思天地之始名
'shang'wang'hu 伤王乎
'shang'xia'ge'sai 上下隔塞
'shang'yi'xian'huang'rong'zhi'chen 尚忆先皇容直臣
'shang'you'yao'xi'xia'you'you 上有尧兮下有由
'shao'heng'kong'xi'yan'reng'shuo 烧横空兮焰仍烁
'shao'xiao'tiao'xi'yi'hu'he'yi'yu'shui 烧萧条兮噫乎何以御水
'shao'yao'fan'hong'pu'ying'shui 芍药翻红蒲映水
'she'chi'huang'yin 奢侈荒淫
'she'duan'bai'zhuan'sheng'duo 舌端百啭声咄
'she'liu'sha 涉流沙
'she'liu'sha'xi'si'yi'fu 涉流沙兮四夷服
'she'pen'yun'er'chu'xue 蛇喷云而出穴
'she'ren'xia'xi'qing'gong 舍人下兮青宫
'she'tou'sheng'jue'jiao'you'qi 蛇头生角角有歧
'she'tou'xie'wei'shui'an'zhu 蛇头蝎尾谁安著
'shei'yu'qi 谁与期
'shen'an'zuo 神安坐
'shen'cang'kong'xue'nan'dong'yao 深藏孔穴难动摇
'shen'dao'wu'zhi 神道无知
'shen'er'shang 申贰觞
'shen'fang'mian'shi 审方面势
'shen'gong'bu'ce'xi'yun'yin'yang 神功不测兮运阴阳
'shen'gui'guo'xi'er'mo'zhi'sui 身归国兮儿莫之随
'shen'he'li'xi'feng'xiao 矧鹤唳兮风晓
'shen'jia'yu 神嘉虞
'shen'ke'gu'xi'dao'ke'ming 神可谷兮道可冥
'shen'lin'qian'ju 深林潜居
'shen'lin'yi'ce 深林倚策
'shen'ming'shou'yi'liang'gui 申命守以两鬼
'shen'ni'qing'chang'mao'nv'he 神蜺清唱毛女和
'shen'qi'qing'tian'he 身骑青田鹤
'shen'ru'shou'bang'tai 身如受榜苔
'shen'shang'wu'se'guang'lu'li 身上五色光陆离
'shen'wu'xu'yu'ling'jiu'hua 慎勿许语令啾哗
'shen'xi'yan'yu'gai'kong'xiang 神夕奄虞盖孔享
'shen'xian'yi'zhi'huo'ou'ran 神仙意智或偶然
'shen'yan'liu 神奄留
'shen'you'zhong'xi 申有螽兮
'shen'yu'zao'xi'ru'gua 神与枣兮如瓜
'shen'zhi'chu 神之出
'shen'zhi'jia'xi'yan'yu'xuan 神之驾兮俨欲旋
'shen'zhi'lai 神之徕
'shen'zhi'liu 神之斿
'shen'zhi'lue'xi'ru'xi'guan 身执略兮入西关
'shen'zhi'xing 神之行
'shen'zhi'yi'zi 身止一子
'shen'zhi'yu 神之揄
'sheng'bie'zhan'zhuan'bu'xiang'jian 生别展转不相见
'sheng'cao'bi'ji'kui 生草必荠葵
'sheng'cheng'wei'bian'shuang'xian'guo 生成未遍霜霰过
'sheng'de'yin'jian'ye'chen'liang 盛德殷荐叶辰良
'sheng'he'xi'xia'yun 声和兮夏云
'sheng'hun'mang'ji 生混茫际
'sheng'jia'bi'gui'bei 生甲必龟贝
'sheng'jiang'yu'dou'xi'yun'liang'di'ce 升降玉都兮运量帝侧
'sheng'lin'bi'long'li 生鳞必龙鲤
'sheng'mu'bi'song'nan 生木必松楠
'sheng'niao'bi'feng'huang 生鸟必凤凰
'sheng'qi'yu'zhu 生弃与柱
'sheng'qi'yuan'tiao'feng'niao'xiang 声气远条凤鸟翔
'sheng'ren'yuan'yuan 生人冤怨
'sheng'reng'ji'de'xi'gui'sang'zi 生仍冀得兮归桑梓
'sheng'ruo'lei'peng'mu'liu'dian 声若雷砰目流电
'sheng'sheng'shi'zu'jin'wen'gao 盛牲实俎进闻膏
'sheng'shou'bi'qi'lin 生兽必麒麟
'sheng'si'bu'xiang'zhi'xi'he'chu'xun 生死不相知兮何处寻
'sheng'si'wu'xu'yu 生死无须臾
'sheng'xi'sheng'xi'nai'ru'he 生兮生兮奈汝何
'sheng'xian'wei'shang'xi 圣贤为上兮
'sheng'ye 圣耶
'sheng'yu'che'xie 升玉车些
'shi'ba'pai'xi'qu'sui'zhong 十八拍兮曲虽终
'shi'bi'chuo'chuo'yi'xin'chou 使彼惙惙以心愁
'shi'bu'ke'xi'zai'de 时不可兮再得
'shi'bu'shi'xi'wang'lai 识不识兮往来
'shi'bu'su'zhe'su 使不苏者苏
'shi'chen'zhi'yi 使臣知意
'shi'cuan'cong'xi'yun'jin'cong 石攒丛兮云锦淙
'shi'deng'gao'er'cheng'mu 试登高而骋目
'shi'er'ren'xia'du'wo'chang 室迩人遐毒我肠
'shi'feng'long 使丰隆
'shi'hai'xiang'cheng'ju 尸骸相撑拒
'shi'he'yi'tai'xiong'qie'jie 是何意态雄且杰
'shi'huo'wo'xin'xi'fu'he'qiu 实获我心兮夫何求
'shi'ji'qing'xi'jie'ming'feng 时击磬兮嗟鸣凤
'shi'jie'yin'xi'xiang'cong 誓解印兮相从
'shi'jun'wu'ma'yi'ma'cong 使君五马一马骢
'shi'kun'lun 逝昆仑
'shi'lai'chan'yuan'heng'shi'jing 石濑潺湲横石径
'shi'lai'ru'wo'zhu'lin'li 适来入我竹林里
'shi'liu'pai'xi'si'mang'mang 十六拍兮思茫茫
'shi'ma'shi'lei 是祃是禷
'shi'nian'bu'jian'lai'he'shi 十年不见来何时
'shi'nian'yan'jian'jing'qi'hong 十年厌见旌旗红
'shi'nie'xie'jian'kui 使蹑卨践夔
'shi'pai'bei'shen'xi'lei'cheng'xue 十拍悲深兮泪成血
'shi'qi'ke'ye 时其可耶
'shi'qi'pai'xi'xin'bi'suan 十七拍兮心鼻酸
'shi'qian'xun'xi'yi'kong 石千寻兮倚空
'shi'ren'wei'er'yu'mao'quan 世人为尔羽毛全
'shi'she'bao'hu'tian'zi'e 食蛇抱礐天姿恶
'shi'shen'ru'fu'yun 是身如浮云
'shi'shi'qing'huang'hong'bai'hei 使识青黄红白黑
'shi'su'fu'shi'su'fu 石肃砆石肃砆
'shi'sui'hu'xi 时岁忽兮
'shi'tian'li'yi 失天理矣
'shi'wei'yu'xi'wu'suo'jiang 时未遇兮无所将
'shi'wo'bu'de'er'zhi'fu'chi 使我不得尔之扶持
'shi'wo'liu'chu'bu'fan'xi 使我六畜不蕃息
'shi'wo'lun'wang 使我沦亡
'shi'wo'qi'lian'shan 失我祁连山
'shi'wo'xin'xi'ku'fu'ku 使我心兮苦复苦
'shi'wo'yan'zhi'shan 失我焉支山
'shi'wu'de'lao 是物得老
'shi'wu'pai'xi'jie'tiao'cu 十五拍兮节调促
'shi'wu'wang'liang'bo'le'si'ji'xiu 时无王良伯乐死即休
'shi'xi'tu'yan'ru'chang'hong 是夕吐焰如长虹
'shi'xie 是邪
'shi'ye 时耶
'shi'yi'ji'wei'jian 失意几微间
'shi'yi'wan'xi'you'lai'duo 时已晚兮忧来多
'shi'yi'wang'xi'duo'po 试一望兮夺魄
'shi'yin'zhuo'xi'bu'ke'jiang 世淫浊兮不可降
'shi'you'er'pai'xi'ai'yue'jun 十有二拍兮哀乐均
'shi'you'san'pai'xi'xian'ji'tiao'bei 十有三拍兮弦急调悲
'shi'you'si'pai'xi'ti'lei'jiao'chui 十有四拍兮涕泪交垂
'shi'you'yi'pai'xi'yin'zi'qi 十有一拍兮因兹起
'shi'yu'bu'tong'xi'shui'ke'yu'yu 嗜欲不同兮谁可与语
'shi'yu'man'fu'ge'zi'fei 食鱼满腹各自飞
'shi'yu'shou'xi'fei'yu'qi 适予手兮非予期
'shi'yue'zhi'jiao 十月之郊
'shi'zhi'qiu'suo'xi'ji'qi'hou 示之丘索兮棘其喉
'shi'zhi'xiang'qu'jin'bu'yuan 始知相去近不远
'shi'zhu'hua'xie 始著花些
'shi'zi'bi'xiao'de'xian'zhe 试自比校得仙者
'shi'zi'ta'xiang 侍子他乡
'shou'bu'gan'jing'dong 兽不敢惊动
'shou'bu'ren'ye 守不仁耶
'shou'jiao'dong'cun'pi'rou'si 手脚冻皴皮肉死
'shou'li'wan'gu'xi'wang'zhong'min'chu 寿历万古兮忘终泯初
'shou'pian'zu'zhi 手胼足胝
'shou'wu'ya'xie 寿无涯些
'shou'you'gong'ye 授有功耶
'shou'yue'tian'huang'chi 受约天皇墀
'shou'zhai'gui'shu'zi 手摘桂树子
'shu'da'ju'meng 舒达句萌
'shu'er'er'xiao 倏尔而笑
'shu'ling'ye'xi'le'tian'xiu 漱灵液兮乐天休
'shu'ming'yu'die'xi'e'lv'hua 书名玉牒兮萼绿华
'shu'su'xin'yi'xi'shen'nan'chu 殊俗心异兮身难处
'shu'wei'er'lai'zai 孰谓而来哉
'shu'wei'er'qu'zai 孰谓而去哉
'shu'wei'liu'xi'chun'xiang'fei 叔为柳兮春向飞
'shu'yan'ai'xi'fen'yun 树晻暧兮氛氲
'shu'yan'gui'lu'fen'xiang'fei 漱咽桂露芬香菲
'shu'yuan'yu'yu'zhu'zhuan'ci 舒元舆玉箸篆词
'shu'yun'shou'xi'yu'xie 倏云收兮雨歇
'shuang'dan'dong'xiong'qi'lu'yu 双弹洞胸弃路隅
'shuang'tian'dong'xi'yan'jing'han 霜天洞兮烟景涵
'shuang'xian'guo'xi'fu'nai'he 霜霰过兮复奈何
'shuang'ya'gao'hao'yi'he'ta'xi 霜崖缟皓以合沓兮
'shuang'yi'ju'qi'fan'gao'fei 双翼俱起翻高飞
'shui'bi'se'xi'shi'jin'guang 水碧色兮石金光
'shui'cuan'chong'xi'shi'cong'song 水攒冲兮石丛耸
'shui'heng'dong'yi'xia'lu 水横洞以下渌
'shui'jian'jun'xi'yi'shang 谁荐君兮一觞
'shui'jing'bo'xi'cui'jian'mi 水惊波兮翠菅蘼
'shui'juan'lian'xi'dong'mi 水涓涟兮洞汨
'shui'neng'dai'zhi 谁能待之
'shui'neng'song'zhi 谁能颂之
'shui'shi'nv'jie'yuan'qing'ming 谁使女解缘青冥
'shui'wei'xue'mai'tian'wei'pi 水为血脉天为皮
'shui'yi'qu'xi'chang'yi'qu 水一曲兮肠一曲
'shui'zhi'wo'xin 谁知我心
'shui'zhi'zhi'yin 水之蛭螾
'shun'die'wo'ji 吮喋我肌
'shun'qi'tan'ye 舜其贪耶
'shun'shi'er'li 顺时而理
'shun'tian'yi'ye 顺天意耶
'shun'ye 舜耶
'si'chen'shou'ye'bei'ji'quan 司晨守夜悲鸡犬
'si'dang'mai'gu'xi'chang'yi'yi 死当埋骨兮长已矣
'si'er'wu'zhi 死而无知
'si'gong'zi'xi'ri'jiang'xun 思公子兮日将曛
'si'hai'qiu'huang 四海求凰
'si'liao'luo'zhi'huang'cheng 思辽落之荒城
'si'ma'xiang'ru'feng'qiu'huang 司马相如凤求凰
'si'pai'cheng'xi'yi'qi'chu 四拍成兮益凄楚
'si'qi'gong'ye 私其公耶
'si'qiu'jue'lu 思求厥路
'si'qu'qian'nian 斯去千年
'si'qu'si'qu'jin'ru'ci 死去死去今如此
'si'shan'duo'feng'xi'shui'ji 四山多风溪水急
'si'shi'wan'wu'xi'you'sheng'shuai 四时万物兮有盛衰
'si'yan'bu'shi'xun'chang'qu 斯言不是寻常曲
'si'ying'zhi'zhao'wei'jue'rou 似鹰指爪唯攫肉
'si'yue'lie'zhi'xi'song'zhong'dun 四岳列峙兮嵩中蹲
'si'yue'qing'he'yan'can'hui 四月清和艳残卉
'si'zhi'bai'ti'xian'ding'wei 四肢百体咸定位
'si'zhi'ru'kuang 思之如狂
'song'hun'xing'xi'ning'shi'ting 竦魂形兮凝视听
'song'jia'miao'yi'yuan 松槚邈已远
'song'jian'ming'yue'chang'ru'ci 松间明月长如此
'song'jun'zhi'gui'xi 送君之归兮
'song'luo'mi'li'yan'song'men 松萝幂苈掩松门
'song'tian'guan'xi'dao'jing'tai 耸天关兮倒景台
'song'wan'jie'xi'zhu'ri 松万接兮柱日
'song'yan'xian'cao'xi'wei'shui'fang 嵩岩仙草兮为谁芳
'song'yi'xiu'zhuan 松移岫转
'song'ying'zhi'er'shu'ming 松影直而孰明
'song'yu'shen 竦予身
'song'yue'wei'bei'lv 嵩岳为背膂
'song'zhi'wen'dong'xiao'yin 宋之问冬宵引
'song'zhi'wen'gao'shan'yin 宋之问高山引
'song'zhi'wen'song'shan'tian'men'ge 宋之问嵩山天门歌
'song'zhi'wen'xia'shan'ge 宋之问下山歌
'sou'tian'kuo'de'zou'bu'pi 搜天括地走不疲
'su'ding'cang'fu'xi'wei'jun'chou 俗丁伧父兮为君仇
'su'fan'gui 素反闺
'su'fang'zhi'chi 苏方之赤
'su'hua'liu'nian'bu'dai'jun 素华流年不待君
'su'jian'lao'ruo'xi'shao'zhuang'wei'mei 俗贱老弱兮少壮为美
'su'ni'xi'er'bu'qian 溯泥溪而不前
'su'shi'zhu'shi'nian 素事主十年
'su'su'ru'wo'er 肃肃入我耳
'su'su'xi'yin'yin 肃肃兮愔愔
'su'yuan'ming'xiao'dong'ting 苏源明小洞庭
'su'zhi'ge 素之歌
'sui'fen'da'shang 虽忿大伤
'sui'gan'dan'xi'shui'wei'er'wei'liang 虽甘淡兮谁谓尔为良
'sui'gou'huo'xi'wu'xing'yan 虽苟活兮无形颜
'sui'hua'xie'xi'huang'niao'ai 岁华歇兮黄鸟哀
'sui'jiang'mu'xi'huan'bu'zai 岁将暮兮欢不再
'sui'ling'da'nu'shou'tian'yu 遂令大奴守天育
'sui'qu'you'lai'xi'dong'liu'shui 岁去忧来兮东流水
'sui'sheng'he'liao'lai 虽生何聊赖
'sui'shi'ba'jiu'wu'chan'ming 虽食八九无嚵名
'sui'shi'xiang'li'sui'ju'gong 岁拾橡栗随狙公
'sui'wu'ming'yan 虽无明言
'sui'yu'mu'xi'shi'mai'zheng 岁聿暮兮时迈征
'sui'zhu'dan'jin'sheng'zhuan'jiao 随珠弹尽声转娇
'sun'ya'cheng'zhu'mao'shuang'xue 笋牙成竹冒霜雪
'suo'lue'you'wan'ji 所略有万计
'suo'xi'bu'zu'ke 琐细不足科
'suo'xiang'xi'po'wang 所向悉破亡
'suo'yi'bao'fu'ye 所以保福也
'suo'yi'chang'jiu'ye 所以长久也
'suo'yi'wei'bai'hai'er'shun'wan'hua 所宜委百骸而顺万化
'ta'bi'lai'xiang'tao 他必来相讨
'ta'nian'qin'mao'er'xi'xiang'xi 他年芹茂而樨香兮
'ta'zhe'di'zhou'qing'tian'wei 踏折地轴倾天维
'tai'bo'luo'xi'cao'yin'yuan 苔駮荦兮草夤缘
'tai'shang'dao'jun'lian'hua'tai 太上道君莲花台
'tai'yang'sheng'xi'zhao'wan'fang 太阳升兮照万方
'tai'yang'you'shi'jia 太阳有室家
'tai'yi'gong'xi'tian'ma'xia 太一贡兮天马下
'tai'yi'kuang 太一况
'tan'chi'tu'bei'tian'xia'wu 贪痴突悖天下无
'tan'kong'kong'xi'he'yuan'yuan 谈空空兮核元元
'tan'xi'yu'jue'xi'lei'lan'gan 叹息欲绝兮泪阑干
'tang'lang'sui'nu'shui'er'ju 螗蜋虽怒谁尔惧
'tang'wu'ge'ye 汤武革耶
'tang'yao'hou'xi'ji'qi'chen 唐尧后兮稷契臣
'tao'li'wu'yan'guan'xian'yan 桃李无言管弦咽
'teng'jiang'xiao'xi'chui'jing'hu 腾绛霄兮垂景祜
'teng'tian'ge 腾天歌
'ti'rong'yu 体容与
'ti'si'xia 涕泗下
'tian'bu'ren'xi'jiang'luan'li 天不仁兮降乱离
'tian'cang'cang 天苍苍
'tian'cang'cang'xi'shang'wu'yuan 天苍苍兮上无缘
'tian'chang'di'jiu'shi'xiang'yi 天长地久时相忆
'tian'dang'dang'ye 天荡荡耶
'tian'dao'wu'zhi 天道无知
'tian'di'bing'kuang 天地并况
'tian'di'lian'liang'gui 天帝怜两鬼
'tian'di'sheng'wu'you'yi'wu 天地生吾有意无
'tian'di'zuo'you'wu'fu'chi 天帝左右无扶持
'tian'fu'ji'chu'xi'di'ye'chang 天符既出兮帝业昌
'tian'fu'wu 天覆吾
'tian'gao'nan'su'xi'yuan'fu'ming'de 天高难诉兮远负明德
'tian'gou'duo'di'sheng'ru'lei 天狗堕地声如雷
'tian'han'ri'mu'shan'gu'li 天寒日暮山谷里
'tian'ji'mo'xi'wu'sheng 天寂默兮无声
'tian'jie'wu'you'you'chen'zong 天阶无由有臣踪
'tian'lu'lai'xi'shuang'huang'hu 天路来兮双黄鹄
'tian'lu'yuan'xi'wu'qi 天路远兮无期
'tian'luo'ke'za'he'chu'tao'ru'xing 天罗磕匝何处逃汝刑
'tian'ma'lai 天马徕
'tian'ma'lai'xi'cong'xi'ji 天马徕兮从西极
'tian'ma'xia 天马下
'tian'man'man'xi'gao'xi'qing 天漫漫兮高兮青
'tian'men'huo'xi'xian'tai'song 天门豁兮仙台耸
'tian'men'jiu'chong'gao'cui'wei 天门九重高崔嵬
'tian'men'xi'bei'qi'feng'tong 天门西北祈风通
'tian'men'xi'qiong'chong 天门兮穹崇
'tian'shang'ren'jian'qu'fu'lai 天上人间去复来
'tian'shu'zhui'ren'xin 天属缀人心
'tian'sui'gao 天虽高
'tian'tan'yin'ji 舔舕崟岌
'tian'wu'ya'xi'di'wu'bian 天无涯兮地无边
'tian'xia'jia'ma'wei'jin'xiao 天下甲马未尽销
'tian'ye 天耶
'tian'yu'di'ge'xi'zi'xi'mu'dong 天与地隔兮子西母东
'tian'zai'guo'luan'xi'ren'wu'zhu 天灾国乱兮人无主
'tian'zai'yun'zhi'shang'xi 天在云之上兮
'tian'zheng'di'yu'qun'dong'meng 天蒸地郁群动萌
'tian'zhi'cheng'xi 天之成兮
'tian'zhong'jue'rou'tun'bu'zu 田中攫肉吞不足
'tian'zi'bu'zai'xian'yang'gong 天子不在咸阳宫
'tian'zi'geng'jie'xing'bu'qi 天姿耿介行步齐
'tiao'shang'chan'chu'bei'ji'qi 跳上蟾蜍背脊骑
'tiao'xia'huang'chu'ping'mu'yang'qun 跳下皇初平牧羊群
'tiao'yun'que'xi'shen'zuo'xing 调云阕兮神座兴
'ting'yu'sheng'jing'ai 庭宇生荆艾
'tong'chuan'bian'liu'liao 通川遍流潦
'tong'tian'ge'yue'xi'ru'shang'can 同天隔越兮如商参
'tong'ting'shu'xi'yan'ba'huang 彤庭曙兮延八荒
'tong'wei'tui'xi'hu'bei 同委蜕兮胡悲
'tong'yan'you'cao'xi'bu'yi'chang 童颜幽操兮不易长
'tu'tun'ri'yue'xi'zhi'ming'hun 吐吞日月兮制明昏
'tu'yun'yan'xi'he'yao'ming 吐云烟兮合窅冥
'tuan'kong'yi'yuan'feng'lai'zhuang 抟空意远风来壮
'tui'lin'zhu'xi'qian'shi'zi 隤林竹兮揵石菑
'tui'shi'huo'bi'ge 退食或闭阁
'tuo'ming'yu'xin'ren 托命于新人
'wan'fang'bei'ai 万方悲哀
'wan'gu'ying'kui'xiang'zhu'hang 万古盈亏相逐行
'wan'ren'du'shi 万人毒螫
'wan'ren'hui'jin 万人挥斤
'wan'ren'you'bing 万人犹病
'wan'ren'zhu'mo 万人逐末
'wan'wan'shang'tian'dong 完完上天东
'wan'xia'xi'zi'wei 晚下兮紫微
'wan'yin'xi'zu'feng 晚阴兮足风
'wan'zhuan'ai'lian'qiu'mei'di 婉转哀怜求美帝
'wan'zu'jie'you'suo'tuo'xi 万族皆有所托兮
'wang'bi'mei'zhi'nv'xi 望彼美之女兮
'wang'bu'jian'xi'xin'fen'yun 望不见兮心氛氲
'wang'cong'zhi'you'yuan'xin'zu 往从之游愿心足
'wang'er'hua'wei'zhang'shi'gou 望尔化为张氏钩
'wang'ji'pu 望极浦
'wang'ji'yu'xi'qian'li 王畿郁兮千里
'wang'jia'shi'shen'xi'bu'ru'wu'sheng 亡家失身兮不如无生
'wang'jie'hu 忘戒乎
'wang'ke'you'sui 罔克攸遂
'wang'lai'shuo'yin'yi 往来说因依
'wang'qing'shan'xi'bu'gui 望青山兮不归
'wang'ren'zhi'ren'xi 王人之仁兮
'wang'shi'hun'huang 王实惛荒
'wang'sun'bu'liu'xi'sui'jiang'yan 王孙不留兮岁将晏
'wang'wei'bai'yuan'wo 王维白鼋涡
'wang'wei'deng'lou'ge 王维登楼歌
'wang'wei'feng'he'sheng'zhi 王维奉和圣制
