'an'mei 暗煤
'zhu'xuan'yao'chuang 主选摇床
'zhu'xuan'zhong'jie 主选重介
'zhu'xuan'zuo'ye 主选作业
'zhu'yao'ji'shu'jing'ji'zhi'biao 主要技术经济指标
'zhu'yao'ji'shu'jing'ji'zhi'biao'biao 主要技术经济指标表
'zhu'yao'she'bei'ding'huo'biao 主要设备订货表
'zhu'yao'she'bei'xuan'xing 主要设备选型
'zhu'yao'yun'shu'xian 主要运输线
'zhu'zai'xi 主再洗
'zhua'dou 抓斗
'zhua'dou'men'shi'qi'zhong'ji 抓斗门式起重机
'zhua'dou'shi 抓斗式
'zhuan'dong'jia 转动架
'zhuan'dong'zu'ban 转动阻板
'zhuan'gu'zhuan 转鼓转
'zhuan'gu'zhui'jiao 转鼓锥角
'zhuan'tong 转筒
'zhuan'tong'shi'yan 转筒试验
'zhuan'xiang'jia 转向架
'zhuan'xiang'jia'ji'liang 转向架计量
'zhuan'zai'dian 转载点
'zhuan'zi'shi 转子式
'zhuan'zi'shi'fan'che'ji 转子式翻车机
'zhuang'che 装车
'zhuang'che'bo'qi 装车簸萁
'zhuang'che'cang 装车仓
'zhuang'che'dian 装车点
'zhuang'che'liu'cao 装车溜槽
'zhuang'che'neng'li 装车能力
'zhuang'che'she'bei 装车设备
'zhuang'che'xi'tong 装车系统
'zhuang'che'zha'men 装车闸门
'zhuang'che'zhan 装车站
'zhuang'liao 装料
'zhuang'liao'kong 装料孔
'zhuang'man'xi'shu 装满系数
'zhuang'mei 装煤
'zhuang'xie'qiao 装卸桥
'zhuang'xie'zhan 装卸站
'zhui'jiao 锥角
'zhui'kong 锥孔
'zhun'bei'che'jian 准备车间
'zhun'bei'shai'fen 准备筛分
'zhun'bei'shai'fen'che'jian 准备筛分车间
'zhun'bei'xiang 准备箱
'zhun'gui 准轨
'zhun'gui'gui'dao'heng 准轨轨道衡
'zhun'gui'zhi'liu'gong'kuang'jia'xian'dian'ji'che 准轨直流工矿架线电机车
'zi'ding'zhong'xin'shi 自定中心式
'zi'dong'cai'yang 自动采样
'zi'dong'cai'yang'xi'tong 自动采样系统
'zi'dong'chong'xi'lv'bu 自动冲洗滤布
'zi'dong'hua'yi'biao 自动化仪表
'zi'dong'hua'yi'biao'zhuan'ye 自动化仪表专业
'zi'dong'hua'zhuan'ye 自动化专业
'zi'dong'pai'ye'zhuang'zhi 自动排液装置
'zi'dong'ti'ba 自动提耙
'zi'mo'ji 自磨机
'zi'ran'an'xi'jiao 自然安息角
'zi'ran'ji 自然级
'zi'sheng'jie'zhi'gun'tong'fen'xuan'ji 自生介质滚筒分选机
'zi'tong'bu 自同步
'zi'tong'bu'guan'xing'zhen'dong'gei'liao'ji 自同步惯性振动给料机
'zi'xie'shi 自卸式
'zi'yang 子样
'zi'you'chen'jiang'su'du 自由沉降速度
'zi'you'chi'gun 自由齿辊
'zi'you'peng'zhang'xu'shu 自由膨胀序数
'zi'you'zhou'cheng 自由轴承
'zong'lun 总论
'zong'ping'mian'bu'zhi 总平面布置
'zong'ping'mian'she'ji 总平面设计
'zong'pou 纵剖
'zong'pou'tu 纵剖图
'zong'tu'yun'shu'zhuan'ye 总图运输专业
'zong'yang 总样
'zu'ban 阻板
'zu'che'qi 阻车器
'zu'he'hao 组合号
'zu'he'shai'fen 组合筛分
'zu'shu 组数
'zuan'kong'zhuang 钻孔桩
'zui'da'kuai'du 最大块度
'zui'zhong'chan'pin 最终产品
'zui'zhong'chan'pin'ping'heng'biao 最终产品平衡表
'zui'zhong'jing'mei'hui'fen 最终精煤灰分
'zui'zhong'shai'fen 最终筛分
'zuo'shi 左式
'zuo'shi'dan'kong'tuo'shui'zha'men 左式单孔脱水闸门
