'kan'hong'zhuang'su'guo 看红装素裹
'kan'wan'shan'hong'bian 看万山红遍
'ke'shang'jiu'tian'lan'yue 可上九天揽月
'ke'xia'wu'yang'zhuo'bie 可下五洋捉鳖
'ku'mu'xiu'zhu'qi'nu'li 枯木朽株齐努力
'ku'qing'zhong'su 苦情重诉
'kuai'ma'jia'bian'wei'xia'an 快马加鞭未下鞍
'kuang'lu'yi'dai'bu'ting'liu 匡庐一带不停留
'kun'ji'chang'xiao'lao'ying'fei 昆鸡长笑老鹰飞
'kun'peng'ji'lang'cong'zi'shi 鲲鹏击浪从兹始
'kun'peng'zhan'chi 鲲鹏展翅
'la'ba'sheng'yan 喇叭声咽
'lai'yi'zhu'qi'jian 赖以拄其间
'lang'e'fei'zhou 浪遏飞舟
'lang'tao'sha 浪淘沙
'lang'xia'san'wu'qi'bai'yan 浪下三吴起白烟
'lao'sao'tai'sheng'fang'chang'duan 牢骚太胜防肠断
'lei'fei'dun'zuo'qing'pen'yu 泪飞顿作倾盆雨
'leng'qu'dui'mei'ren 冷去对美人
'leng'yan'xiang'yang'kan'shi'jie 冷眼向洋看世界
'li'bie'zhe'ge'di'fang'yi'you'san'shi'er'zhou'nian'le 离别这个地方已有三十二周年了
'li'tian'san'chi 离天三尺
'lian'xu'zai'huai'ren'tang 连续在怀仁堂
'liang'wan'zhi'zhong 两万之众
'liang'xiao'sheng'hui'xi'kong'qian 良宵盛会喜空前
'liao'hai'yan'ji 辽海燕冀
'liao'kuo'jiang'tian'wan'li'shuang 寥廓江天万里霜
'lie'zhang'qing'qie'qian 列嶂青且倩
'lin'jiang'xian 临江仙
'ling'luo'fei'suo'si 零落匪所思
'ling'ze'wan'gu 灵则万古
'liu'bian'le 流遍了
'liu'pan'shan 六盘山
'liu'pan'shan'shang'gao'feng 六盘山上高峰
'liu'tai'bu'shou 琉台不守
'liu'ya'zi'xian'sheng'ji'xi'fu'huan'xi'sha 柳亚子先生即席赋浣溪沙
'liu'yan'shi 六言诗
'liu'yi'shen'zhou'jin'shun'yao 六亿神州尽舜尧
'lou'shan'guan 娄山关
'lu'ai'lin'shen'tai'hua 路隘林深苔滑
'luan'yun'fei'du'reng'cong'rong 乱云飞渡仍从容
'lue'shu'wen'cai 略输文采
'luo'hua'shi'jie'du'hua'zhang 落花时节读华章
'lv'shui'qing'shan'wang'zi'duo 绿水青山枉自多
'lv'yin'shu'xia'yang'jing'shen 绿荫树下养精神
'ma'ti'sheng'sui 马蹄声碎
'ma'yi'huai'kua'da'shu 蚂蚁槐夸大树
'man'jiang'bi'tou 漫江碧透
'man'tian'jie'bai 漫天皆白
'mang'kun'lun 莽昆仑
'mang'mang'jiu'pai'liu'zhong'guo 茫茫九派流中国
'mei'hua'huan'xi'man'tian'xue 梅花欢喜漫天雪
'mei'wen'qi'da'niao 每闻欺大鸟
'miao'xiang'shan'shang'zhan'qi'yan 妙香山上战旗妍
'min'zhu'gong'he 民主共和
'min'zu'zhen'xian 民族阵线
'ming'ji'yi'sheng'chang 鸣鸡一声唱
'ming'ling'zuo'ban 命令昨颁
'ming'shi'yu'jin'wu'bai'nian 名世于今五百年
'ming'shi'zhi'ying 命世之英
'mo'dao'jun'xing'zao 莫道君行早
'mo'dao'kun'ming'chi'shui'qian 莫道昆明池水浅
'mo'gan'shan 莫干山
'mo'tan'shao'hua'rong'yi'shi 莫叹韶华容易逝
'mu'se'cang'mang'kan'jin'song 暮色苍茫看劲松
'mu'zhong'wei'si 母终未死
'na'ge'chong'er'gan'zuo'sheng 哪个虫儿敢作声
'na'rong'bai'zu'gong'pian'tian 哪容百族共骈阗
'nai'qi'da'duan 乃其大端
'nan'nv'bing'jia 男女并驾
'neng'fen'xi 能分析
'nian'nu'jiao 念奴娇
'nian'shao'zheng'rong'qu'jia'cai 年少峥嵘屈贾才
'nian'zi'zai'zi 念兹在兹
'niao'er'wen'da 鸟儿问答
'ning'hua 宁化
'niu'lang'yu'wen'wen'shen'shi 牛郎欲问瘟神事
'nong'min'ge'ge'tong'chou 农民个个同仇
'ou'yang'qian'yu'bian'ju 欧阳倩予编剧
'pao'huo'lian'tian 炮火连天
'pi'fu'han'shu'tan'he'yi 蚍蜉撼树谈何易
'pi'li'fen'qing 劈理分情
'pi'li'yi'sheng'bao'dong 霹雳一声暴动
'pian'le'wu'ya'guo'ke 骗了无涯过客
'pin'nian'ku'dou 频年苦斗
'ping'ge'duan'chou'si'hen'lv 凭割断愁丝恨缕
'ping'lang'guan'qian'you'yi'duo 平浪官前友谊多
'pu'sa'man 菩萨蛮
'qi'bai'li'qu'shi'wu'ri 七百里驱十五日
'qi'di'yi'sheng'chang'yi'duan 汽笛一声肠已断
'qi'er 其二
'qi'er'nv 奇儿女
'qi'gu 七古
'qi'hao'lian'dao'fu'tou 旗号镰刀斧头
'qi'hong'tu 起宏图
'qi'jue 七绝
'qi'lv 七律
'qi'lv'er'shou 七律二首
'qi'qi'miao'yi 岂其苗裔
'qi'qing'ru'xu 凄清如许
'qi'san 其三
'qi'sheng'huan 齐声唤
'qi'ta'bu'yu 其他不育
'qi'yi 其一
'qi'zi'yu'san 七子余三
'qia'tong'xue'shao'nian 恰同学少年
'qian'bai'li 千百里
'qian'cun'bi'li'ren'yi'shi 千村薜荔人遗矢
'qian'dao'wan'gua'tang'seng'rou 千刀万剐唐僧肉
'qian'li'bing'feng 千里冰封
'qian'li'lai'xun'gu'di 千里来寻故地
'qian'qiu'gong'zui 千秋功罪
'qian'tou'zhuo'le'zhang'hui'zan 前头捉了张辉瓒
'qiang'lin'bi 枪林逼
'qiang'lin'mie'de 强邻蔑德
'qiao'ye'bu'zheng'chun 俏也不争春
'qin'huang'dao'wai'da'yu'chuan 秦皇岛外打鱼船
'qin'jue'zui'shang'qing 琴绝最伤情
'qin'yuan'chun 沁园春
'qing'di'yi'jiao 倾地一角
'qing'liu 清流
'qing'ping'le 清平乐
'qing'shan'zhuo'yi'hua'wei'qiao 青山着意化为桥
'qiu'shou'qi'yi 秋收起义
'qiu'shou'shi'jie'mu'yun'chou 秋收时节暮云愁
'qu'qiao'sui'hui 躯壳虽隳
'qu'qu'si'jun'shen 去去思君深
'qu'wo'tang'ji'gui 驱倭棠吉归
'qu'yu'yi'ning 区宇以宁
'qu'zhi'xing'cheng'er'wan 屈指行程二万
'quan'jun'min 全军民
'quan'wu'di 全无敌
'que'er'da'dao 雀儿答道
'ran'ran'wang'jun'lai 冉冉望君来
'rang'qi'lun'xu 让其沦胥
're'feng'chui'yu'sa'jiang'tian 热风吹雨洒江天
're'lai'xun'shan'zi 热来寻扇子
're'lei'yu'ling'hai'zhu 热泪欲零还住
'ren'huo'wei'yu'bie 人或为鱼鳖
'ren'jian'bian'le 人间变了
'ren'jian'zheng'dao'shi'cang'sang 人间正道是沧桑
'ren'lei'jin'wen'shang'tai'kong 人类今闻上太空
'ren'min'jie'fang'jun'zhan'ling'nan'jing 人民解放军占领南京
'ren'min'kang'ri'hong'jun 人民抗日红军
'ren'min'wu'yi'bu'tuan'yuan 人民五亿不团圆
'ren'sheng'yi'lao'tian'nan'lao 人生易老天难老
'ren'shi'nan'feng'kai'kou'xiao 人世难逢开口笑
'ren'yao'dian'dao'shi'fei'xiao 人妖颠倒是非淆
'ren'you'bing 人有病
'ren'yuan'xiang'yi'bie 人猿相揖别
'ren'zhi'chi'sheng 人执笞绳
'ri'luo'heng'yun'xi 日落衡云西
'ru'guo'wei'shu 如果未熟
'ru'jian'bi 如坚壁
'ru'meng'ling 如梦令
'ru'pi'li 如霹雳
'ru'ri'fang'dong 如日方东
'ru'song'bai 如松柏
'ru'zai'shang'yan 如在上焉
'ru'zao'wang'yun 如早望云
'sa'nian'reng'dao'he'xi'tai 卅年仍到赫曦台
'sa'shuang'ying'zi'wu'chi'qiang 飒爽英姿五尺枪
'sa'xiang'ren'jian'dou'shi'yuan 洒向人间都是怨
'san'gang'zhi'mo 三纲之末
'san'han'wei'xu 三韩为墟
'san'jun'guo'hou'jin'kai'yan 三军过后尽开颜
'san'qian'mao'se'jing'bing 三千毛瑟精兵
'san'shang'bei'gao'feng 三上北高峰
'san'shi'ba'nian'kan'guo'qu 三十八年看过去
'san'shi'yi'nian'hai'jiu'guo 三十一年还旧国
'seng'shi'yu'meng'you'ke'xun 僧是愚氓犹可训
'sha'chang'jing'yun'ming 沙场竟殒命
'shan'chuan'qi'qi'ceng'zhong'ci 山川奇气曾钟此
