'ai'hao 爱好
'tui'huo'zhi'ling 退货指令
'tui'huo'zhou'qi 退货周期
'tui'huo'zong'e 退货总额
'tui'huo'zong'jin'e 退货总金额
'tui'huo'zong'shu 退货总数
'tui'huo'zong'shui'e 退货总税额
'tui'jian'bao'huo'dan 推荐报货单
'tui'jian'bao'huo'dan'mei'ti'wen'jian 推荐报货单媒体文件
'tui'jian'bao'huo'dan'ming'xi 推荐报货单明细
'tui'jian'bao'huo'dan'ri'zhi 推荐报货单日志
'tui'jian'bao'huo'dan'sheng'xiao'men'dian'ming'xi 推荐报货单生效门店明细
'tui'jian'qi'hao 推荐期号
'tui'kuan'biao'zhi 退款标志
'tui'kuan'fang'shi 退款方式
'tui'kuan'jin'e 退款金额
'tuo'shou'shou'xu'fei 托收手续费
'wai'bu'huo'dong'ma 外部活动码
'wai'bu'she'bei'biao'zhi 外部设备标志
'wan'cheng'du 完成度
'wan'cheng'ren 完成人
'wan'cheng'ri'qi 完成日期
'wan'cheng'shi'jian 完成时间
'wan'jie'guo'qi'shi'jian 完结过期时间
'wang'dian'kai'fa'yuan'lian'xi'fang'shi 网点开发员联系方式
'wang'dian'kai'fa'yuan'suo'shu'bu'men 网点开发员所属部门
'wang'dian'kai'fa'yuan'xing'ming 网点开发员姓名
'wang'gou'dan'hao 网购单号
'wang'gou'fu'wu'fei 网购服务费
'wang'lu'hong'lan'ka'xian'zhi'dan 网路红蓝卡限制单
'wang'luo'bao'zhuang'gui'ge 网络包装规格
'wang'luo'bei'zhu 网络备注
'wang'luo'bian'hao 网络编号
'wang'luo'biao'dan'hao 网络表单号
'wang'luo'bu'men 网络部门
'wang'luo'bu'zi'dong'bu'huo'yuan'yin 网络不自动补货原因
'wang'luo'cai'gou'yuan'pei'huo'dan'an'men'dian 网络采购员配货单按门店
'wang'luo'cai'gou'yuan'pei'huo'dan'an'men'dian'ming'xi 网络采购员配货单按门店明细
'wang'luo'cheng'ben'tiao'zheng'tong'zhi'dan 网络成本调整通知单
'wang'luo'cheng'ben'tiao'zheng'tong'zhi'dan'fan'kui'ming'xi 网络成本调整通知单反馈明细
'wang'luo'cheng'ben'tiao'zheng'tong'zhi'dan'ming'xi 网络成本调整通知单明细
'wang'luo'chu'huo'dan 网络出货单
'wang'luo'chu'huo'dan'ming'xi 网络出货单明细
'wang'luo'chu'huo'tui'huo'dan 网络出货退货单
'wang'luo'chu'huo'tui'huo'dan'ming'xi 网络出货退货单明细
'wang'luo'cu'xiao'bu'cha'dan 网络促销补差单
'wang'luo'cu'xiao'bu'cha'dan'ming'xi 网络促销补差单明细
'wang'luo'cu'xiao'bu'cha'xie'yi 网络促销补差协议
'wang'luo'cu'xiao'bu'cha'xie'yi'ming'xi 网络促销补差协议明细
'wang'luo'cu'xiao'bu'cha'ying'jie'biao 网络促销补差应结表
'wang'luo'cu'xiao'dan 网络促销单
'wang'luo'cu'xiao'dan'ke'xuan'zeng'pin'ming'xi 网络促销单可选赠品明细
'wang'luo'cu'xiao'dan'ming'xi 网络促销单明细
'wang'luo'cu'xiao'dan'ming'xi'ming'xi 网络促销单明细明细
'wang'luo'cu'xiao'dan'shang'pin 网络促销单商品
'wang'luo'cu'xiao'shen'qing'dan 网络促销申请单
'wang'luo'cu'xiao'shen'qing'dan'ming'xi 网络促销申请单明细
'wang'luo'cu'xiao'shen'qing'dan'ming'xi'ming'xi 网络促销申请单明细明细
'wang'luo'cu'xiao'shen'qing'dan'sheng'xiao'dan'wei'ming'xi 网络促销申请单生效单位明细
'wang'luo'cu'xiao'zeng'pin'biao 网络促销赠品表
'wang'luo'cu'xiao'zhu'ti 网络促销主题
'wang'luo'cu'xiao'zong'e'tiao'jian'biao 网络促销总额条件表
'wang'luo'cu'xiao'zong'shu'tiao'jian'biao 网络促销总数条件表
'wang'luo'da'xiao'bao'zhuang'zhuan'huan'dan 网络大小包装转换单
'wang'luo'da'xiao'bao'zhuang'zhuan'huan'dan'ming'xi 网络大小包装转换单明细
'wang'luo'da'zong'bu'tiao'jia'dan 网络大总部调价单
'wang'luo'da'zong'bu'tiao'jia'dan'ming'xi 网络大总部调价单明细
'wang'luo'dan'ju'fu'jian'biao 网络单据附件表
'wang'luo'dan'ju'lei'xing 网络单据类型
'wang'luo'dan'ju'zhuang'tai 网络单据状态
'wang'luo'dian'biao 网络店表
'wang'luo'diao'yan'dui'xiang 网络调研对象
'wang'luo'diao'yan'dui'xiang'shu'xing 网络调研对象属性
'wang'luo'diao'yan'lei'xing 网络调研类型
'wang'luo'diao'yan'lei'xing'shu'xing 网络调研类型属性
'wang'luo'ding'dan 网络定单
'wang'luo'ding'dan'ming'xi 网络定单明细
'wang'luo'ding'zhi'dan 网络定制单
'wang'luo'ding'zhi'dan'ming'xi 网络定制单明细
'wang'luo'fu'kuan'dan 网络付款单
'wang'luo'fu'kuan'dan'ming'xi 网络付款单明细
'wang'luo'gong'ying'shang 网络供应商
'wang'luo'gong'ying'shang'jie'suan'dan 网络供应商结算单
'wang'luo'gong'ying'shang'shang'pin 网络供应商商品
'wang'luo'gong'ying'shang'tui'huo'shen'qing'dan'hui'zong 网络供应商退货申请单汇总
'wang'luo'gong'ying'shang'tui'huo'shen'qing'dan'ming'xi 网络供应商退货申请单明细
'wang'luo'hei'ming'dan 网络黑名单
'wang'luo'hong'lan'ka'xian'zhi'dan'ming'xi 网络红蓝卡限制单明细
'wang'luo'hong'lan'ka'xian'zhi'dan'ri'zhi 网络红蓝卡限制单日志
'wang'luo'huo'wei'ku'cun'yue'bao'biao 网络货位库存月报表
'wang'luo'ji'fen'fang'an'ming'xi 网络积分方案明细
'wang'luo'jia'gong'ru'ku'chan'pin'ming'xi 网络加工入库产品明细
'wang'luo'jia'gong'ru'ku'dan 网络加工入库单
'wang'luo'jia'gong'ru'ku'yuan'liao'ming'xi 网络加工入库原料明细
'wang'luo'jiao'huan'biao 网络交换表
'wang'luo'jin'huo'dan 网络进货单
'wang'luo'jin'huo'dan'ming'xi 网络进货单明细
'wang'luo'jin'huo'tiao'zheng'dan 网络进货调整单
'wang'luo'jin'huo'tiao'zheng'dan'ming'xi 网络进货调整单明细
'wang'luo'jin'huo'tui'huo'dan 网络进货退货单
'wang'luo'jin'huo'tui'huo'dan'ming'xi 网络进货退货单明细
'wang'luo'jin'jia'cu'xiao'dan 网络进价促销单
'wang'luo'jin'jia'cu'xiao'dan'ming'xi 网络进价促销单明细
'wang'luo'jin'jia'tiao'zheng'dan 网络进价调整单
'wang'luo'jin'jia'tiao'zheng'dan'dan'ju'tiao'zheng'ming'xi 网络进价调整单单据调整明细
'wang'luo'jin'jia'tiao'zheng'dan'dang'shi'ku'cun'ming'xi 网络进价调整单当时库存明细
'wang'luo'jin'jia'tiao'zheng'dan'pi'ci'ming'xi 网络进价调整单批次明细
'wang'luo'ka'ji'lu 网络卡记录
'wang'luo'ke'hu 网络客户
'wang'luo'ke'hu'lei'xing 网络客户类型
'wang'luo'ku'cun'zhuan'yi'guan'xi 网络库存转移关系
'wang'luo'lai'yuan'dan'hao 网络来源单号
'wang'luo'lai'yuan'dan'wei 网络来源单位
'wang'luo'lei'xing 网络类型
'wang'luo'lian'xiao'lv'cu'xiao'dan 网络联销率促销单
'wang'luo'lian'xiao'lv'cu'xiao'dan'ming'xi 网络联销率促销单明细
'wang'luo'ling'pai'biao 网络令牌表
'wang'luo'ling'pai'guan'xi 网络令牌关系
'wang'luo'ling'shou'dan 网络零售单
'wang'luo'ling'shou'dan'fu'kuan'ming'xi 网络零售单付款明细
'wang'luo'ling'shou'dan'shang'pin'ming'xi 网络零售单商品明细
'wang'luo'ling'shou'dan'shang'pin'you'hui'ming'xi 网络零售单商品优惠明细
'wang'luo'men'dian'diao'bo'dan 网络门店调拨单
'wang'luo'men'dian'diao'bo'dan'ming'xi 网络门店调拨单明细
'wang'luo'men'dian'jiao'huo'shen'qing'dan 网络门店叫货申请单
'wang'luo'men'dian'jiao'huo'shen'qing'dan'ming'xi 网络门店叫货申请单明细
'wang'luo'men'dian'ling'shou'dan 网络门店零售单
'wang'luo'men'dian'ling'shou'dan'fu'kuan'ming'xi 网络门店零售单付款明细
'wang'luo'men'dian'ling'shou'dan'shang'pin'ming'xi 网络门店零售单商品明细
'wang'luo'men'dian'ling'shou'tui'huo'dan'tui'kuan'ming'xi 网络门店零售退货单退款明细
'wang'luo'men'dian'pin'pai'lei'bie 网络门店品牌类别
'wang'luo'men'dian'yu'tiao'jia'fang'an'dui'zhao'biao 网络门店与调价方案对照表
'wang'luo'pei'fang 网络配方
'wang'luo'pei'fang'ming'xi 网络配方明细
'wang'luo'pei'huo'cha'yi'dan 网络配货差异单
'wang'luo'pei'huo'cha'yi'dan'ming'xi 网络配货差异单明细
'wang'luo'pei'huo'tui'huo'shen'qing'dan 网络配货退货申请单
'wang'luo'pi'fa'jia'cu'xiao'dan 网络批发价促销单
'wang'luo'pi'fa'jia'cu'xiao'dan'ming'xi 网络批发价促销单明细
'wang'luo'pin'pai 网络品牌
'wang'luo'pin'pai'lei'bie 网络品牌类别
'wang'luo'qian'tai'shang'pin'biao'ji'dan 网络前台商品标记单
'wang'luo'qian'tai'shang'pin'biao'ji'dan'ming'xi 网络前台商品标记单明细
'wang'luo'shang'pin 网络商品
'wang'luo'shang'pin'bao'zhuang'gui'ge 网络商品包装规格
'wang'luo'shang'pin'kun'bang'biao 网络商品捆绑表
'wang'luo'shang'pin'lei'bie 网络商品类别
'wang'luo'shang'pin'que'sheng'gong'ying'shang'tiao'zheng'dan 网络商品缺省供应商调整单
'wang'luo'shang'pin'que'sheng'gong'ying'shang'tiao'zheng'dan'ming'xi 网络商品缺省供应商调整单明细
'wang'luo'shang'pin'shu'ru'ma 网络商品输入码
'wang'luo'shang'pin'xiao'shou'ti'xing'lei'xing 网络商品销售提醒类型
'wang'luo'shang'pin'ying'xiao'fang'shi'tiao'zheng'dan 网络商品营销方式调整单
'wang'luo'shang'pin'ying'xiao'fang'shi'tiao'zheng'dan'ming'xi 网络商品营销方式调整单明细
'wang'luo'shang'pin'zi'liao'shen'qing'dan 网络商品资料申请单
'wang'luo'shang'pin'zi'liao'shen'qing'dan'ming'xi 网络商品资料申请单明细
'wang'luo'shang'pin'zi'liao'shen'qing'dan'shang'pin'shu'ru'ma 网络商品资料申请单商品输入码
'wang'luo'shang'pin'zi'liao'shen'qing'dan'xiu'gai'shu'xing 网络商品资料申请单修改属性
'wang'luo'shi'chang'diao'yan'dan 网络市场调研单
'wang'luo'shi'chang'diao'yan'dan'ming'xi 网络市场调研单明细
'wang'luo'shi'chang'diao'yan'dan'ming'xi'ming'xi 网络市场调研单明细明细
'wang'luo'shi'chang'jia'ge'diao'cha'dan 网络市场价格调查单
'wang'luo'shi'chang'jia'ge'diao'cha'dan'ming'xi 网络市场价格调查单明细
'wang'luo'shi'chang'jia'ge'diao'cha'fang'an 网络市场价格调查方案
'wang'luo'shi'chang'jia'ge'diao'cha'fang'an'shang'pin'ming'xi 网络市场价格调查方案商品明细
'wang'luo'shi'shou'qing'dan'hui'zong 网络实收清单汇总
'wang'luo'shi'shou'qing'dan'ming'xi 网络实收清单明细
'wang'luo'shou'jia'tiao'zheng'dan 网络售价调整单
'wang'luo'shou'jia'tiao'zheng'dan'ming'xi 网络售价调整单明细
'wang'luo'shou'yin'shen'he'dan 网络收银审核单
'wang'luo'shou'yin'shen'he'dan'ming'xi 网络收银审核单明细
'wang'luo'shou'yin'shen'he'dan'ming'xi'ming'xi 网络收银审核单明细明细
'wang'luo'shu'ju'jie'bao'ri'zhi 网络数据解包日志
'wang'luo'ti'huo'dan 网络提货单
'wang'luo'ti'huo'dan'ming'xi 网络提货单明细
'wang'luo'ti'huo'deng'ji'dan 网络提货登记单
'wang'luo'ti'huo'deng'ji'dan'ming'xi 网络提货登记单明细
'wang'luo'tiao'jia'dan 网络调价单
'wang'luo'tiao'jia'dan'ming'xi 网络调价单明细
'wang'luo'tiao'jia'fang'an'ming'xi 网络调价方案明细
'wang'luo'tiao'jia'fang'an'tiao'zheng'dan'ming'xi 网络调价方案调整单明细
'wang'luo'tui'huo'shen'qing'dan'chai'fen'lai'yuan'biao 网络退货申请单拆分来源表
'wang'luo'tui'huo'tong'zhi'dan 网络退货通知单
'wang'luo'tui'huo'tong'zhi'dan'ming'xi 网络退货通知单明细
'wang'luo'tui'jian'bao'huo'dan 网络推荐报货单
'wang'luo'tui'jian'bao'huo'dan'ming'xi 网络推荐报货单明细
'wang'luo'xian'liang'cu'xiao'dan 网络限量促销单
'wang'luo'xian'liang'cu'xiao'dan'ming'xi 网络限量促销单明细
'wang'luo'xian'zhi'ye'wu'tiao'zheng'dan 网络限制业务调整单
'wang'luo'xian'zhi'ye'wu'tiao'zheng'dan'ming'xi 网络限制业务调整单明细
'wang'luo'xian'zhi'ye'wu'tiao'zheng'dan'sheng'xiao'ming'xi 网络限制业务调整单生效明细
'wang'luo'xiao'fei'ka 网络消费卡
'wang'luo'xiao'fei'ka'lei'xing 网络消费卡类型
'wang'luo'xiao'shou'bu'cha'ri'bao 网络销售补差日报
'wang'luo'xiao'shou'dan 网络销售单
'wang'luo'xiao'shou'dan'ming'xi 网络销售单明细
'wang'luo'xiao'shou'ding'huo'dan 网络销售定货单
'wang'luo'xiao'shou'ding'huo'dan'ming'xi 网络销售定货单明细
'wang'luo'xiao'shou'zu'he'cu'xiao'dan 网络销售组合促销单
'wang'luo'xiao'shou'zu'he'cu'xiao'dan'shang'pin 网络销售组合促销单商品
'wang'luo'ying'shou'qing'dan'hui'zong 网络应收清单汇总
'wang'luo'ying'shou'qing'dan'ming'xi 网络应收清单明细
'wang'luo'ying'xiao'fang'shi'tiao'zheng'dan'ming'xi 网络营销方式调整单明细
'wang'luo'yuan'gong 网络员工
'wang'luo'zeng'pin'cu'xiao'dan 网络赠品促销单
'wang'luo'zeng'pin'cu'xiao'dan'ming'xi 网络赠品促销单明细
'wang'luo'zeng'pin'cu'xiao'gui'ze 网络赠品促销规则
'wang'luo'zeng'pin'cu'xiao'gui'ze'hu'chi 网络赠品促销规则互斥
'wang'luo'zeng'pin'cu'xiao'gui'ze'shang'pin'ming'xi 网络赠品促销规则商品明细
'wang'luo'zeng'pin'cu'xiao'gui'ze'yue'shu 网络赠品促销规则约束
'wang'luo'zeng'pin'cu'xiao'gui'ze'yue'shu'can'shu'ming'xi 网络赠品促销规则约束参数明细
'wang'luo'zeng'pin'cu'xiao'gui'ze'zeng'pin'zu'he 网络赠品促销规则赠品组合
'wang'luo'zeng'pin'cu'xiao'gui'ze'zeng'pin'zu'he'ming'xi 网络赠品促销规则赠品组合明细
'wang'luo'zeng'pin'xie'yi 网络赠品协议
'wang'luo'zeng'pin'xie'yi'ming'xi 网络赠品协议明细
'wang'luo'zhi'pei'dan 网络直配单
'wang'luo'zhi'pei'dan'ming'xi 网络直配单明细
'wang'luo'zhuang'tai 网络状态
'wang'luo'zu'he'cu'xiao'you'hui'zhe'kou'biao 网络组合促销优惠折扣表
'wang'zhan'xin'xi 网站信息
'wang'zhi 网址
'wei'chu'li'de'cao'zuo'ji'lu'shu 未处理的操作记录数
'wei'chu'li'de'ling'shou'bi'shu 未处理的零售笔数
'wei'du 维度
'wei'du'ming'cheng 维度名称
'wei'fu'kuan'jin'e 未付款金额
'wei'jie'dai'lian'xiao'shang'pin 未结代联销商品
'wei'jie'jin'e 未结金额
'wei'jie'jin'huo'e 未结进货额
'wei'jie'jin'huo'shu 未结进货数
'wei'jie'shu'liang 未结数量
'wei'jie'suan'shu'liang 未结算数量
'wei'jie'suan'xiao'shou'e 未结算销售额
'wei'jie'xiao'shou'jin'e 未结销售金额
'wei'pan'ru'shang'pin'hui'zong 未盘入商品汇总
'wei'shen'he'yi'shen'he 未审核已审核
'wei'sheng'xu'ke'zheng'hao'ma 卫生许可证号码
'wei'shou'yu'e 未收余额
'wei'shu 尾数
'wei'ti'shu 未提数
'wei'tuo'ri'qi 委托日期
'wei'yi'biao'zhi 唯一标识
'wei'zhi 位置
'wen'jian'lei'xing 文件类型
'wen'jian'lu'jing 文件路径
'wen'jian'miao'shu 文件描述
'wen'jian'ming 文件名
'wen'ti'lei'xing 问题类型
'wu'liao'sun'hao'fei 物料损耗费
'wu'liu 物流
'wu'liu'bian'hao 物流编号
'wu'liu'bian'ma 物流编码
'wu'liu'cang'wei'guan'xi 物流仓位关系
'wu'liu'diao'bo'tong'zhi'dan 物流调拨通知单
'wu'liu'diao'bo'tong'zhi'dan'ming'xi 物流调拨通知单明细
'wu'liu'diao'bo'tong'zhi'dan'ri'zhi 物流调拨通知单日志
'wu'liu'fu'wu'fei 物流服务费
'wu'liu'fu'wu'fei'cu'xiao'jia'ge 物流服务费促销价格
'wu'liu'fu'wu'fei'jia'ge 物流服务费价格
'wu'liu'fu'wu'fei'yuan'jia'ge 物流服务费原价格
'wu'liu'jiao'huan'zu'zhi 物流交换组织
'wu'liu'pei'chu'dan'hao 物流配出单号
'wu'liu'zhong'xin 物流中心
'wu'ye'fei 物业费
'xi'lei'shang'pin 细类商品
'xi'tong'ban'ben'hao 系统版本号
'xi'tong'biao'zhi 系统标志
'xi'tong'biao'zhi 系统标识
'xi'tong'biao'zhi'fu 系统标识符
'xi'tong'can'shu 系统参数
'xi'tong'can'shu'shi'tu 系统参数视图
'xi'tong'gong'neng 系统功能
'xi'tong'lu'jing 系统路径
'xi'tong'nei'ma 系统内码
'xi'tong'she'bei 系统设备
'xia'ci'jie'suan'ri 下次结算日
'xia'ci'tong'ji'jie'shu'ri'qi 下次统计结束日期
'xia'ci'tong'ji'kai'shi'ri'qi 下次统计开始日期
'xia'dan'fang'shi 下单方式
'xia'dan'ri'qi 下单日期
'xia'xian 下限
'xia'yi'qu'zhi 下一取值
'xia'zai'liu'shui'hao 下载流水号
'xia'zai'shi'jian 下载时间
'xian'jin'lei'shi'fou'gu'ding'mian'e 现金类是否固定面额
'xian'jin'lei'shi'fou'shi'yong'cu'xiao'dan'gui'ze 现金类是否使用促销单规则
'xian'liang'cu'xiao'dan 限量促销单
'xian'liang'cu'xiao'dan'sheng'xiao'dan'wei'ming'xi 限量促销单生效单位明细
'xian'liang'cu'xiao'jia 限量促销价
'xian'liang'cu'xiao'jia'li'shi'biao 限量促销价历史表
'xian'liang'xiao'dan'ming'xi 限量销单明细
'xian'shi'biao'ming 显示表名
'xian'shi'quan'xian 显示权限
'xian'shi'shun'xu 显示顺序
'xian'shi'wen'ben 显示文本
'xian'shi'yang'shi 显示样式
'xian'shi'zi'duan'ming 显示字段名
'xian'zhi'jia'ge'zi'duan 限制价格字段
'xian'zhi'jie'suan 限制结算
'xian'zhi'lei'xing 限制类型
'xian'zhi'tui'huo 限制退货
'xian'zhi'tui'huo'shu'liang 限制退货数量
'xian'zhi'ye'wu 限制业务
'xian'zhi'ye'wu'fang'an 限制业务方案
'xian'zhi'ye'wu'tiao'zheng'dan 限制业务调整单
'xian'zhi'ye'wu'tiao'zheng'dan'ming'xi 限制业务调整单明细
'xian'zhi'ye'wu'tiao'zheng'dan'sheng'xiao'dan'wei'ming'xi 限制业务调整单生效单位明细
'xian'zhi'ye'wu'zu'he'lei'bie'wei'hu 限制业务组合类别维护
'xian'zhi'ye'wu'zu'he'lei'bie'yu'shang'pin 限制业务组合类别与商品
'xiang'ce 相册
'xiang'gong'si'jie'kuan'shu'e 向公司借款数额
'xiang'guan'fei'yong'dan'dan'hao 相关费用单单号
'xiang'hao 箱号
'xiang'kou'hao 箱扣号
'xiang'mu'bian'hao 项目编号
'xiang'mu'dai'ma 项目代码
'xiang'mu'hao 项目号
'xiang'mu'lei'xing 项目类型
'xiang'mu'ming 项目名
'xiang'mu'ming'cheng 项目名称
'xiang'shu 箱数
'xiang'ying'qing'kuang 响应情况
'xiao'fei'e 消费额
'xiao'fei'ji'fen 消费积分
'xiao'fei'jin'e 消费金额
'xiao'fei'ka 消费卡
'xiao'fei'ka'cheng'ben 消费卡成本
'xiao'fei'ka'hao 消费卡号
'xiao'fei'ka'lei'xing 消费卡类型
'xiao'fei'men'dian 消费门店
'xiao'fei'ri'qi 消费日期
'xiao'fei'shi'jian 消费时间
'xiao'fei'zong'e 消费总额
'xiao'gong'ju'mu'ban 小工具模板
'xiao'gong'ju'mu'ban'can'shu 小工具模板参数
'xiao'gong'ju'mu'ban'xiang 小工具模板项
'xiao'hui'dan'wei 销毁单位
'xiao'hui'ren 销毁人
'xiao'hui'shi'jian 销毁时间
'xiao'lei'shang'pin 小类商品
'xiao'piao'guang'gao'yu 小票广告语
'xiao'shou'bi'shu 销售笔数
'xiao'shou'biao'zhun 销售标准
'xiao'shou'bu'cha'dan 销售补差单
'xiao'shou'bu'cha'dan'ming'xi 销售补差单明细
'xiao'shou'bu'cha'ri'bao 销售补差日报
'xiao'shou'cang'wei 销售仓位
'xiao'shou'dan 销售单
'xiao'shou'dan'hang'hao 销售单行号
'xiao'shou'dan'hao 销售单号
'xiao'shou'dan'jia 销售单价
'xiao'shou'dan'lei'xing 销售单类型
'xiao'shou'dan'ming'xi 销售单明细
'xiao'shou'dan'ri'zhi 销售单日志
'xiao'shou'ding'dan'chi 销售定单池
'xiao'shou'ding'dan'chi'ming'xi 销售定单池明细
'xiao'shou'ding'dan'da'yin'kong'zhi'ri'zhi 销售定单打印控制日志
'xiao'shou'ding'dan'hao 销售定单号
'xiao'shou'ding'huo'dan 销售定货单
'xiao'shou'ding'huo'dan'jiao'yi'ming'xi 销售定货单交易明细
'xiao'shou'ding'huo'dan'ming'xi 销售定货单明细
'xiao'shou'e 销售额
'xiao'shou'fen'pei'tiao'zheng'e 销售分配调整额
'xiao'shou'fen'pei'tiao'zheng'shu 销售分配调整数
'xiao'shou'huo'wei 销售货位
'xiao'shou'jin'e 销售金额
'xiao'shou'jin'jia'e 销售进价额
'xiao'shou'lei'xing 销售类型
'xiao'shou'pin'shu 销售品数
'xiao'shou'shi'jian 销售时间
'xiao'shou'shu 销售数
'xiao'shou'shu'liang 销售数量
'xiao'shou'ti'cheng'jin'e 销售提成金额
'xiao'shou'ti'xing'lei'xing 销售提醒类型
'xiao'shou'ti'xing'xin'xi 销售提醒信息
'xiao'shou'tian'shu 销售天数
'xiao'shou'tui'huo'dan 销售退货单
'xiao'shou'tui'huo'dan'hao 销售退货单号
'xiao'shou'tui'huo'dan'ming'xi 销售退货单明细
'xiao'shou'yuan 销售员
'xiao'xi 消息
'xiao'xi'chu'fa 消息触发
'xiao'xiang'shui'lv 销项税率
'xie'huo'shu'xing 卸货属性
'xie'yi'bu'cha'jin'jia 协议补差进价
'xie'yi'cao'zuo'biao'zhi 协议操作标识
'xie'yi'hang'hao 协议行号
'xie'yi'hao 协议号
'xie'yi'he'tong'jin'jia 协议合同进价
'xie'yi'jin'jia 协议进价
'xie'yi'tiao'zheng'wen'ben 协议调整文本
'xie'yi'wen'ben 协议文本
'xin'cheng'ben'jia 新成本价
'xin'dan'jia 新单价
'xin'dao'xiao'qi 新到效期
'xin'dao'xiao'ri'qi 新到效日期
'xin'dian'bi'xuan 新店必选
'xin'dian'pu'huo'shu 新店铺货数
'xin'han'shui'dan'jia 新含税单价
'xin'han'shui'jin'e 新含税金额
'xin'hang'hao 新行号
'xin'he'suan'jia 新核算价
'xin'he'suan'shou'jia 新核算售价
'xin'hui'yuan'jia 新会员价
'xin'jie'suan'jin'e 新结算金额
'xin'jin'e 新金额
'xin'jing'ying'shu'xing 新经营属性
'xin'ku'cun'jia 新库存价
'xin'men'dian'pin'zhong 新门店品种
'xin'pei'huo'e 新配货额
'xin'pei'huo'fang'shi 新配货方式
'xin'pei'huo'jia 新配货价
'xin'pi'fa'jia 新批发价
'xin'pin'shi'xiao'jie'shu'qi 新品试销结束期
'xin'pin'shi'xiao'qi'jian'can'yu'jie'suan 新品试销期间参与结算
'xin'pin'zhe'kou 新品折扣
'xin'que'sheng'gong'ying'shang 新缺省供应商
'xin'ren'e'du 信任额度
'xin'shou'jia 新售价
'xin'shu'liang 新数量
'xin'shui'e 新税额
'xin'wei'jie'shu'liang 新未结数量
'xin'wei'jie'xiao'shou'jin'e 新未结销售金额
'xin'wei'suan'jin'e 新未算金额
'xin'xi'er 信息二
'xin'xi'yi 信息一
'xin'xian'zhi'ye'wu 新限制业务
'xin'xian'zhi'ye'wu'lai'yuan'dan'hao 新限制业务来源单号
'xin'xiang'shu 新箱数
'xin'ying'xiao'fang'shi 新营销方式
'xin'yong'e'du 信用额度
'xin'yu'e 新余额
'xin'zeng'zhu'ce'duan'xin'shu 新增注册短信数
'xin'zhuang'tai 新状态
'xin'zu 新组
'xin'zui'di'shou'jia 新最低售价
'xin'zui'gao'shou'jia 新最高售价
'xing'bie 性别
'xing'ming 姓名
'xing'wei'dai'ma 行为代码
'xiu'gai'mo'shi 修改模式
'xiu'gai'pi'ci 修改批次
'xiu'gai'ren 修改人
'xiu'gai'ri'qi 修改日期
'xiu'gai'shi'jian 修改时间
'xiu'zheng'dan'hao 修正单号
'xiu'zheng'de'dan'hao 修正的单号
'xu'hao 序号
'xu'ke'zheng 许可证
'xu'lie'biao 序列表
'xu'lie'dui'xiang 序列对象
'xu'lie'hao 序列号
'xu'yao'chu'shi'hua 需要初始化
'xu'yao'fa'piao 需要发票
'xuan'xiang 选项
'xuan'xiang'miao'shu 选项描述
'xuan'xiang'ming 选项名
'xuan'xiang'zhi 选项值
'xuan'xiang'zhi'biao 选项值表
'xuan'xiang'zhu'ce'biao 选项注册表
'xun'hu'ji 寻呼机
'ya'jin 押金
'ya'jin'zhi'fu'fang 押金支付方
'ya'ku'jin'e 压库金额
'ya'ku'jin'e'dang'qian'zhi 压库金额当前值
'ya'ku'jin'e'shou'fu'kuan'dan 压库金额收付款单
'ya'ku'jin'e'shou'fu'kuan'dan'ri'zhi 压库金额收付款单日志
'ya'ku'jin'e'shou'fu'kuan'dan'shi'tu 压库金额收付款单视图
'yan'cao'zheng 烟草证
'yan'qi'kou'kuan'jin'e 延期扣款金额
'yan'qi'kou'lv 延期扣率
'yan'qi'tian'shu 延期天数
'yan'zheng'ma 验证码
'yan'zheng'you'hui'quan'ma 验证优惠券码
'yao'huo'dan'wei 要货单位
'yao'huo'lei'xing 要货类型
'yao'huo'shang'pin'shu'xing 要货商品属性
'yao'huo'shi'jian 要货时间
'yao'pin'jing'ying'zheng 药品经营证
'yao'qiu'dao'huo'shi'jian 要求到货时间
'yao'qiu'gong'ying'shang'dao'huo'ri'qi 要求供应商到货日期
'yao'qiu'jin'e 要求金额
'yao'qiu'shu'liang 要求数量
'yao'qiu'song'huo'shi'jian 要求送货时间
'ye'wu'chu'li'fang'liu'shui 业务处理方流水
'ye'wu'ku'cun 业务库存
'ye'wu'lei'xing 业务类型
'ye'wu'lei'xing'ming'cheng 业务类型名称
'ye'wu'zhong'lei 业务种类
'yi'bu'cha'e 已补差额
'yi'bu'cha'shu 已补差数
'yi'chu'cang'wei 移出仓位
'yi'chu'li'de'cao'zuo'ji'lu'shu 已处理的操作记录数
'yi'chu'li'de'ling'shou'bi'shu 已处理的零售笔数
'yi'chu'li'de'ling'shou'jin'e 已处理的零售金额
'yi'chu'shu'liang 移出数量
'yi'chu'wei'zhi 移出位置
'yi'fa'song'dao'xin'shi'ke'fu'duan 已发送到信使客服端
'yi'fen'huo'zhuang'tai 已分货状态
'yi'fu'biao'zhi 已付标志
'yi'fu'jin'e 已付金额
'yi'fu'kuan'e 已付款额
'yi'fu'kuan'jin'e 已付款金额
'yi'ge'shang'pin'jin'you'yi'ge'gong'ying'shang 一个商品仅有一个供应商
'yi'gou'mai'shu'liang 已购买数量
'yi'guan'lian 已关联
'yi'jia'gong'shu'liang 已加工数量
'yi'jiang'li'de'xiao'fei'jin'e 已奖励的消费金额
'yi'jiao'e 已交额
