'an'gou 暗沟
'ying'ji'wu'zi 应急物资
'ying'ji'xiang'ying 应急响应
'ying'ji'zhao'ming 应急照明
'ying'li'zhe'jian'xi'shu 应力折减系数
'ying'lian'jiao'sha'qiang'du'shi'yan 硬练胶砂强度试验
'ying'lu'jian 硬路肩
'ying'xiang'di'tu 影像地图
'ying'zhi'li'qing 硬质沥青
'yong'bao 壅包
'yong'jiu'he'zai 永久荷载
'yong'jiu'xing'qiao 永久性桥
'yong'jiu'zuo'yong 永久作用
'yong'liu 涌流
'yong'shui 壅水
'you'hai'qi'ti 有害气体
'you'ji'jie'he'liao 有机结合料
'you'ji'liao 有机料
'you'ji'shui'ying'xing'jiao'jie'hun'ning'tu 有机水硬性胶结混凝土
'you'shi'bi 油石比
'you'shui'fen'li'chi 油水分离池
'you'xian'chuan'shu 有线传输
'yu'bao 预报
'yu'fang'xing'yang'hu 预防性养护
'yu'gong'du 预拱度
'yu'hui'shi'li'ti'jiao'cha 迂回式立体交叉
'yu'ji 淤积
'yu'ke'kan'cha 预可勘察
'yu'lie'bao'po 预裂爆破
'yu'ni 淤泥
'yu'she'ji 预设计
'yu'ya'fa 预压法
'yu'ying'li'gang'cai 预应力钢材
'yu'ying'li'gang'jin'hun'ning'tu 预应力钢筋混凝土
'yu'ying'li'hun'ning'tu 预应力混凝土
'yu'ying'li'hun'ning'tu'lu'mian 预应力混凝土路面
'yu'ying'li'hun'ning'tu'qiao 预应力混凝土桥
'yu'ying'li'mao'gan 预应力锚杆
'yu'ying'li'mao'suo 预应力锚索
'yu'zhi'zhuang 预制桩
'yu'zhi'zhuang'pei'fa 预制装配法
'yu'zhong'shui'wei'xiang'dui'ying'de'he'dao'kuan'du 与中水位相对应的河道宽度
'yu'zhu'jiang 预注浆
'yuan'hu'fa 圆弧法
'yuan'qu'xian 圆曲线
'yuan'wei'ce'shi 原位测试
'yuan'wei'shi'yan'fa 原位试验法
'yue'ling'xian 越岭线
'yue'ping'jun'ri'jiao'tong'liang 月平均日交通量
'yun'xing'shi'gu'lv 运行事故率
'yun'xing'su'du 运行速度
'za'dao 匝道
'za'dao'kong'zhi 匝道控制
'zai'sheng'ji'ceng'hun'he'liao 再生基层混合料
'zai'sheng'ji'liao 再生集料
'zai'sheng'li'qing'hun'he'liao 再生沥青混合料
'zai'sheng'li'qing'lu'mian 再生沥青路面
'zao'qiang'hun'ning'tu 早强混凝土
'zao'qiang'ji 早强剂
'zao'yan'ji 凿岩机
'zeng'da'jie'mian'jia'gu 增大截面加固
'zhan'xian 展线
'zhang'feng 胀缝
'zhang'la'gang'jin'you'beng 张拉钢筋油泵
'zhang'la'yu'ying'li'gang'jin'qian'jin'ding 张拉预应力钢筋千斤顶
'zhang'suo'lv 胀缩率
'zhao'du 照度
'zhao'mian 罩面
'zhao'ming'she'shi 照明设施
'zhe'guang'shan 遮光栅
'zhe'she'bo'kan'tan 折射波勘探
'zhen'chong'fa 振冲法
'zhen'dao'qi 振捣器
'zhen'dong'ban 振动板
'zhen'dong'nian'du'xi'shu 振动粘度系数
'zhen'dong'ping'ban'hang 振动平板夯
'zhen'dong'shai 振动筛
'zhen'dong'ya'lu'ji 振动压路机
'zhen'feng 真缝
'zhen'kong'beng 真空泵
'zhen'kong'dui'zai'lian'he'yu'ya 真空堆载联合预压
'zhen'kong'yu'ya 真空预压
'zhen'pian'zhuang'han'liang 针片状含量
'zhen'ru'du 针入度
'zheng'fa'chi 蒸发池
'zheng'jiao'cha 正交叉
'zheng'jiao'qiao 正交桥
'zheng'ping'ceng 整平层
'zheng'ping'liang 整平梁
'zheng'qiao 正桥
'zheng'tai'jie'fa 正台阶法
'zheng'ti'shi'chen'qi 整体式衬砌
'zheng'ti'shi'duan'mian 整体式断面
'zhi'cheng 支撑
'zhi'cheng'shen'gou 支撑渗沟
'zhi'cheng'shi'qiao'tai 支撑式桥台
'zhi'cheng'zhuang 支承桩
'zhi'cheng'zhuang 支撑桩
'zhi'chi 直尺
'zhi'dao'xian 支导线
'zhi'dong'dun 制动墩
'zhi'dong'yi 制动仪
'zhi'hu 支护
'zhi'jie'ding'jiao'dian'fa 直接定交点法
'zhi'jie'jian'qie'shi'yan 直接剪切试验
'zhi'ju'fa'fang'xian 支距法放线
'zhi'liu'dian'fa 直流电法
'zhi'lu'biao'zhi 指路标志
'zhi'qiang'shi'lu'di 直墙式路堤
'zhi'shang'ding'xian 纸上定线
'zhi'sheng'dai 植生袋
'zhi'shi'biao'zhi 指示标志
'zhi'shui'wei'mu 止水帷幕
'zhi'si'lv 致死率
'zhi'wu'fang'hu 植物防护
'zhi'xian'fa 直线法
'zhi'xian'gong'lu 支线公路
'zhi'zuo 支座
'zhong'cheng'shi'qiao 中承式桥
'zhong'dao'dong'fa 中导洞法
'zhong'ge'bi'fa 中隔壁法
'zhong'ji'lu'mian 中级路面
'zhong'jian'che'dao 中间车道
'zhong'jian'dai 中间带
'zhong'jian'duan 中间段
'zhong'li'shi'dang'tu'qiang 重力式挡土墙
'zhong'li'shi'qiao'dun 重力式桥墩
'zhong'li'shi'qiao'tai 重力式桥台
'zhong'ping'ce'liang 中平测量
'zhong'qiao 中桥
'zhong'qiu'qu 重丘区
'zhong'sui'dao 中隧道
'zhong'xian 中线
'zhong'xian'ce'liang 中线测量
'zhong'xin'dao 中心岛
'zhong'xiu 中修
'zhong'xiu'gong'cheng 中修工程
'zhong'yan'qiang 中岩墙
'zhong'yang'fen'ge'dai 中央分隔带
'zhong'yang'fen'ge'dai'pai'shui 中央分隔带排水
'zhong'yang'kong'zhi'tai 中央控制台
'zhong'zhuang 中桩
'zhong'zhuang'tian'wa'gao'du 中桩填挖高度
'zhou'bian'wei'yi 周边位移
'zhou'xian'wei'yi 轴线位移
'zhou'zai'pu 轴载谱
'zhu'ban'shi'dang'tu'qiang 柱板式挡土墙
'zhu'cao 主槽
'zhu'jiang 注浆
'zhu'jiang'ji 注浆机
'zhu'jiang'jia'gu 注浆加固
'zhu'jiang'yu'jia'gu 注浆预加固
'zhu'jiang'zui 注浆嘴
'zhu'lan 主缆
'zhu'liang 主梁
'zhu'pu'lu'chu'ru'kou 主铺路出入口
'zhu'qiao 主桥
'zhu'shi'qiao'dun 柱式桥墩
'zhu'xian 主线
'zhu'xian'kong'zhi 主线控制
'zhuan'dian 转点
'zhuan'jiao 转角
'zhuan'jiao'ban'jing 转角半径
'zhuan'ti'jia'qiao'fa 转体架桥法
'zhuan'ti'shi'gong'fa 转体施工法
'zhuan'wan'che'dao 转弯车道
'zhuan'yong'gong'lu 专用公路
'zhuang'chai'shi'gang'qiao 装拆式钢桥
'zhuang'chai'shi'qiao 装拆式桥
'zhuang'ji'chu 桩基础
'zhuang'ji'ren'du'shi'yan'ji 撞击韧度试验机
'zhuang'pei'shi'qiao 装配式桥
'zhuang'xue'ji 装雪机
'zhuang'zai'ji 装载机
'zhui'po 锥坡
'zhui'xing'kuai'shi 锥形块石
'zi'liu'ping'hun'ning'tu 自流平混凝土
'zi'ran'tong'feng 自然通风
'zi'ran'yan'bian'chong'shua 自然演变冲刷
'zi'xie'qi'che 自卸汽车
'zi'xing'che'dao 自行车道
'zi'you'che'su 自由车速
'zong'chen'jiang'liang 总沉降量
'zong'duan'mian'she'ji 纵断面设计
'zong'duan'mian'tu 纵断面图
'zong'feng 纵缝
'zong'he'fa'ce'tu 综合法测图
'zong'he'gong'cheng'di'zhi'tu 综合工程地质图
'zong'he'gong'cheng'wu'tan 综合工程物探
'zong'liang 纵梁
'zong'mian'xian'xing 纵面线形
'zong'mian'xian'xing 综面线形
'zong'po 纵坡
'zong'xiang'suo'feng 纵向缩缝
'zong'xiang'tong'feng 纵向通风
'zong'xiang'tuo'la'fa 纵向拖拉法
'zong'ze 总则
'zu'he'shi'li'ti'jiao'cha 组合式立体交叉
'zu'he'ti'xi'qiao 组合体系桥
'zu'sha'zhang 阻沙障
'zuan'bao'sui'dao 钻爆隧道
'zuan'kong'tai'che 钻孔台车
'zuan'tan 钻探
'zuan'xin'fa 钻芯法
'zui'da'gan'mi'du 最大干密度
'zui'da'yun'xu'liu'su 最大允许流速
'zui'da'zong'po 最大纵坡
'zui'di'shui'wei 最低水位
'zui'gao'shui'wei 最高水位
'zui'jia'han'shui'liang 最佳含水量
'zui'jia'han'shui'lv 最佳含水率
'zui'jia'ji'pei 最佳级配
'zui'xiao'tian'tu'gao'du 最小填土高度
'zui'xiao'zhuan'wan'ban'jing 最小转弯半径
'zui'xiao'zong'po 最小纵坡
'zui'zhong'jie'tou 最终接头
'zuo'yong 作用
'zuo'yong'xiao'ying 作用效应
'zuo'yong'zu'he 作用组合
