'ban'ye'li'de'bei'wo'zheng'zai're'hu'jin'shang 半夜里的被窝正在热乎劲上
'ban'ye'li'de'gua'fu'nan'guo 半夜里的寡妇难过
'ban'ye'li'huo'mian'xia'gu'dao 半夜里和面瞎鼓捣
'ban'ye'li'lun'da'fu'xia'kan'kan'yi'tong 半夜里抡大斧瞎侃砍一通
'ban'ye'li'zhuo'mi'cang'xia'mo'mo'bu'zhao 半夜里捉迷藏瞎摸摸不着
'ban'ye'liao'tian'xia'shuo 半夜聊天瞎说
'ban'ye'qi'lai'chuan'yi'fu'wei'shi'guo'zao 半夜起来穿衣服为时过早
'ban'ye'qiao'men'xin'bu'jing'wen'xin'wu'kui 半夜敲门心不惊问心无愧
'ban'ye'tan'qin'an'zhong'zuo'yue 半夜弹琴暗中作乐
'ban'ye'xia'yu'xia'luo'bu'ming'bu'zhi'xia'luo 半夜下雨下落不明不知下落
'ban'ye'zuo'e'meng'xu'jing'yi'chang'yi'chang'xu'jing 半夜做恶梦虚惊一场一场虚惊
'ban'zhe'lu'zi'kao'tou'fa'le'liao'bu'de 扳着炉子烤头发了燎不得
'ban'zhe'zhi'tou'suan'zhang'you'shu 扳着指头算帐有数
'ban'zhen'da'jia'mai'nong'feng'liu 班鸩打架卖弄风流
'ban'zhu'chi'lao'hu'da'zhi'ruo'yu 扮猪吃老虎大智若愚
'bang'chui'chui'huo'yi'qiao'bu'tong 棒槌吹火一窍不通
'bang'chui'da'gang'si'fen'wu'lie 棒槌打缸四分五裂
'bang'chui'dang'zhen'cu'xi'bu'fen 棒槌当针粗细不分
'bang'chui'gai'la'zhu'cu'xin 棒槌改蜡烛粗心
'bang'chui'jin'cheng'cheng'jing'zuo'guai 棒槌进城成精作怪
'bang'chui'li'cha'zhen'cu'zhong'you'xi 棒槌里插针粗中有细
'bang'chui'qiao'zhu'tong'kong'xiang'xiang 棒槌敲竹筒空想响
'bang'chui'shang'tian'zong'you'yi'tian'luo'di 棒槌上天总有一天落地
'bang'da'ya'zi'gua'gua'gua'gua'jiao 棒打鸭子刮刮呱呱叫
'bang'da'ya'zi'gua'gua'jiao 棒打鸭子呱呱叫
'bang'da'yuan'yang'nan'fen'kai'liang'fen'li 棒打鸳鸯难分开两分离
'bang'li'cang'zhen'zhu'hao'de'zai'li'mian 蚌里藏珍珠好的在里面
'bang'zi'li'zuo'dan'gao'bu'shi'zheng'jing'cai'liao 棒子里做蛋糕不是正经材料
'bang'zi'mian'zhu'hu'lu'hu'hu'tu'tu'hu'li'hu'tu 棒子面煮葫芦糊糊涂涂糊里糊涂
'bang'zi'mian'zhu'ji'zi'er'hu'tu'dan 棒子面煮鸡子儿糊涂蛋
'bang'zi'yi'shuai'bu'gan'le 膀子一甩不干了
'bao'ban'de'hun'yin'shen'bu'you'ji'bu'you'zi'zhu 包办的婚姻身不由己不由自主
'bao'dai'gan'liang'qing'dai'san'you'bei'wu'huan 饱带干粮晴带伞有备无患
'bao'dan'bei'dan'bu'xi'lian'da'fang 包单被单布洗脸大方
'bao'feng'yu'zhong'de'hang'chuan'ding'feng'po'lang 暴风雨中的航船顶风破浪
'bao'gong'de'shang'fang'bao'jian'xian'zhan'hou'zou 包公的尚方宝剑先斩后奏
'bao'gong'de'zha'dao'bu'ren'ren 包公的铡刀不认人
'bao'gong'duan'an'ren'li'bu'ren'ren 包公断案认理不认人
'bao'gong'fang'liang'wei'qiong'ren'zhuo'xiang 包公放粮为穷人着想
'bao'gong'sha'qin'zhi'xian'zhi'qi'nei'hou'zhi'qi'wai 包公杀亲侄先治其内后治其外
'bao'gong'shen'an'zi'tie'mian'wu'si'liu'qin'bu'ren 包公审案子铁面无私六亲不认
'bao'gong'zha'huang'qin'fa'bu'rong'ren 包公铡皇亲法不容人
'bao'gou'zi'chi'ma'lu'hao'da'de'wei'kou 豹狗子吃马鹿好大的胃口
'bao'gu'bang'zi'sheng'chong'zhuan'zuan'xin 苞谷棒子生虫专钻心
'bao'gu'mian'hu'mei'duo'da'you'shui'you'shui'bu'da 苞谷面糊没多大油水油水不大
'bao'guo'si'li'mai'luo'tuo'mei'you'na'ge'shi'si 报国寺里卖骆驼没有那个事寺
