'ai'ge'xian'ba 哀歌弦罢
'xie'yang'wo'tuo'xiu'lian'chui 斜阳倭妥绣帘垂
'xie'yi'diao'an'wu'qi'li 斜倚雕鞍无气力
'xin'bi'yu'lu'wen 心比玉炉温
'xin'ku'chi'huai'he'yong'su 辛苦痴怀何用诉
'xin'lai'qing'xing'zhou 新来情性皱
'xin'shang'wen'nun'ken 心上温黁肯
'xin'tou'ge'zhu 心头阁住
'xin'tou'mo'de'lai'sheng 心头蓦地来省
'xin'xiang'jing'jiu'meng 心香警旧盟
'xin'yu'ting'tai'ju'gu 心与亭台俱古
'xin'yue'kui'ren'zuo 新月窥人坐
'xing'jin'yi'jia'tu'yi'xiang 行近伊家土亦香
'xing'lai'shi'fang'xun'wei'wen 醒来时芳讯微闻
'xing'lai'wei'du'ren'jia'bei 行来韦杜人家北
'xing'lan'qing'duo'jian'gu'ao 性懒情多兼骨傲
'xing'shi'ru'zui 醒时如醉
'xing'song'lian'xiu'zheng'wu'yu 惺忪敛袖正无语
'xing'xiang'zi 行香子
'xing'xing 醒醒
'xing'xing'hu'die'shui'jia'su 惺惺胡蝶谁家宿
'xing'yi'yi'yun'jian 行役亦云艰
'xing'yun'yu'du'lian'jing'qu 行云欲度帘旌去
'xiu'er'han 袖儿寒
'xiu'fan'cui'bei 休翻翠被
'xiu'fo'chang'zhai'zao'zao 绣佛长斋早早
'xiu'ju'xie'bing'wan 秀句写冰纨
'xiu'li'zhen'qing'huai'li'wo 袖里珍擎怀里握
'xiu'luo'hai'shang 修罗海上
'xiu'ren'cai'luan'kan 休认彩鸾看
'xiu'xian'qun'song 绣线裙松
'xiu'yuan'shen'shen'shui'shi'zhu 绣院深沈谁是主
'xu'hua'jin'fen 须画金粉
'xu'pei'zuo'qun'ji'zong'heng 许陪坐裙屐纵横
'xu'wo'you'xun'liang'yue'xia 许我幽寻凉月下
'xu'wu'wan'die 虚无万叠
'xu'xie'xiao'lv 须携箫侣
'xu'xin'yin'ping'jin'wu'li 须信银屏金屋里
'xu'xu'yun'ping'xia 絮絮云屏下
'xu'ying'feng'guang'tai'xiao'sui 絮影风光太消碎
'xu'zhu'fu'ying'mei'hui'bi 须嘱咐莺媒回避
'xuan'lai'qi'feng 旋来泣凤
'xun'si'mo'mo'wei'cheng'mian 寻思脉脉未成眠
'xun'si'yi'yang'dao'xin'tou 寻思依样到心头
'xun'ta'rong'cui 讯他荣悴
'ya'dan'wen'rou 雅憺温柔
'yan'bing'fu'yan'chou 言病复言愁
'yan'dan'dan 烟澹澹
'yan'di'yun'ping'cai'he'chu 眼底云萍才合处
'yan'jing'ru'long'yue 艳净如笼月
'yan'le'zhong'men 掩了重门
'yan'qi 晏起
'yan'suo'deng'lin 烟锁登临
'yan'wu'qing'qing 烟雾青青
'yan'xiang'nong'chou 艳想秾愁
'yan'yan'chun'juan'he'shi'sheng 恹恹春倦何时省
'yan'zhi'dui'li'tie'wei'chang 胭脂队里铁为肠
'yan'zhi'han'yuan 胭脂含怨
'yan'zi'gui'lai 燕子归来
'yan'zi'gui'qi'ding 燕子归期定
'yan'zi'ji'tou'ye'di'chui 燕子矶头擪笛吹
'yang'fan'shi'ri 扬帆十日
'yang'hua'ling'luan 杨花零乱
'yang'liu'si 杨柳丝
'yang'xian'zai'cha 阳羡栽茶
'yang'zhou'ceng'ji'yuan'xiao 扬州曾记元宵
'yao'ban'huang'an'yi'su'ye'deng'qing 要伴荒庵一粟夜灯青
'yao'hua 瑶华
'yao'hua'mi'zhang'xu'san'sheng 瑶华密帐絮三生
'yao'hua'yan'yan'ba 瑶华筵宴罢
'yao'jian'pu'sheng 瑶笺谱剩
'yao'kong'wen'shuo 遥空闻说
'yao'neng'shao 药能烧
'yao'tai'di'yi'ceng 瑶台第一层
'yao'tian'ji'bi 要添几笔
'yao'wang'ling'yan'shan'xia'qi 遥望灵岩山下气
'yao'xiao'qian'chu'ting 要消遣除听
'yao'yue'ming'fan'ta 要瀹茗烦他
'ye'cheng'ren'jian 也称人间
'ye'cheng'xie'yang'xiao'si 也称斜阳萧寺
'ye'deng'qiao'jian'fou 夜灯瞧见否
'ye'he'ceng'kuang'zui 也何曾狂醉
'ye'he'liao'kan'chao'zou'ma 也何聊看潮走马
'ye'jing'chen'huan 夜静尘寰
'ye'lan'huo'cui'shen'shen'bi 冶蓝活翠沈沈碧
'ye'wei'nian'hua'mu 也未年华暮
'ye'wu'mo'ke'dui'hui'xi 也无墨客对挥犀
'ye'xue'chen'zhuang 也学晨妆
'ye'ye'chang'tiao 冶叶倡条
'ye'ye'chui'xiao 夜夜吹箫
'ye'ye'tie'hua'han 夜夜铁花寒
'ye'yi'ban'shi'de'qiu'zi'wei 也一般识得秋滋味
'ye'zhi'he'qi'zhong'xiao'zhu 也只合其中小住
'ye'zhong'you'jiu'lan'deng'san 也终有酒阑灯散
'yi'chun'fen'shang'zao 忆春分尚早
'yi'cong'tou 忆从头
'yi'dai'ci'qing 一代词清
'yi'deng'bai'bi'ran'shi'ju 一灯败壁然诗句
'yi'di'fei'lai 一笛飞来
'yi'duo'gu'hua 一朵孤花
'yi'fa'qian'zhi'tou'dong 一发牵之头动
'yi'fan'chun'shi'wu'ju 一番春事无据
'yi'fan'ku'ji'hou 一番枯寂后
'yi'fan'leng'yu 一帆冷雨
'yi'feng'ru 移凤褥
'yi'ge'xun'you'qu 一舸寻幽去
'yi'hang'hang'dan'yan'shu'liu 一行行澹烟疏柳
'yi'hen'qing'ruan 一痕轻软
'yi'hen'sha 一痕沙
'yi'heng'hong'lou 一桁红楼
'yi'jian'hai'jun'jun'mo'wen 一剑还君君莫问
'yi'jian'mei 一剪梅
'yi'jiao'hong'chuang'di'qian'yue 一角红窗低嵌月
'yi'jiu'mei'ren'ming'shi 依旧美人名士
'yi'jiu'neng'kuang'zhi'ru 依旧能狂只汝
'yi'jiu'wu'geng'feng'ji 依旧五更风急
'yi'ju'da'zhao'lei 一掬大招泪
'yi'ju'fu'rong 一掬芙蓉
'yi'li 一例
'yi'lu'ming 一炉茗
'yi'mao'hong'chen 一帽红尘
'yi'mo'chun'shan'luo'zi'dai 一抹春山螺子黛
'yi'nan'wang 意难忘
'yi'nong'meng'er'xun 依侬梦儿寻
'yi'nong'meng'li'yan'huan 忆侬梦里烟鬟
'yi'pian'hua'zhi'shi 一片花枝湿
'yi'pian'rong'rong'chun'kuo 一片溶溶春阔
'yi'qi'fan'ru'si'hong'pu 一齐翻入四红谱
'yi'qi'miao'fei'xi 意气渺非昔
'yi'ren'xi'wen'guo 一任檄文过
'yi'shen'gu'zhu'zhi'wen'rou 一身孤注掷温柔
'yi'shen'nan 一身难
'yi'shen'yun'ying'duo'ren'jian 一身云影堕人间
'yi'shi'jia'zhu'shu'ao'gong 忆史家柱叔敖公
'yi'shu'chun'yue 一梳春月
'yi'si'geng'tian'qi 已四更天气
'yi'ta'cha'yan'wu'ji 一榻茶烟午寂
'yi'tian'fei'xu'yin'yin 一天飞絮愔愔
'yi'wan'liang'yue 一丸凉月
'yi'wan'wei'yue'po'huang'hun 一丸微月破黄昏
'yi'wen'ou'mian 易稳鸥眠
'yi'xi'cang'huang'jia'bian 一夕仓皇家变
'yi'xi'zhui'sui'ri'jiu 忆昔追随日久
'yi'xian'dai'wo 舣舷待我
'yi'xiao'chui 一箫吹
'yi'xiao'ping'tian'you'yun 一笑平添幽韵
'yi'xiao'wo'man'you'wu'shi 一箫我漫游吴市
'yi'yang'chang'e'qiao'jian 一样嫦娥瞧见
'yi'yang'zhong'nian 一样中年
'yi'yao'ji 忆瑶姬
'yi'ye'wu'peng'meng'fei'qu 一夜乌篷梦飞去
'yi'yu'wan'zhi'jun'xiu'wen 伊余顽质君休问
'yi'yue'er'jin'hai'ji'qu 依约而今还记取
'yi'zai'wu'hu'yan'yu 亦在五湖烟雨
'yi'zhao'cang'lang'shui 一棹沧浪水
'yi'zhen'mei'hua'hong'si'jiu 一帧梅花红似酒
'yi'zhen'qiu'yin 一阵秋阴
'yi'zhi'ta 一枝榻
'yi'zhi'yan'yan'wen'chuang'wai 一枝艳艳文窗外
'yi'zhi'zeng'wo 一枝赠我
'yi'zhong'san'sheng'shui'fu 一种三生谁付
'yi'zhong'zhuang'yan'shui'jian 一种庄严谁见
'yin'bian'zui'shi'gui'lu 吟鞭醉失归路
'yin'dan'kou'zhi'hen 吟淡口脂痕
'yin'deng'chui'chu'qi'ru'lan 银灯吹处气如兰
'yin'duan'jin'yun'xiu'xun 吟断锦云休讯
'yin'han'mang'mang'ru'ye'liu 银汉茫茫入夜流
'yin'hua'qun'shang 隐花裙上
'yin'la'xin'duo'cai'you'lei 银蜡心多才有泪
'yin'qing'tai'ku 吟情太苦
'yin'shi'ye'yao 吟诗也要
'yin'xie'gong 印鞋弓
'yin'ye'qi'mi 吟也凄迷
'yin'ye'wei'nuan 银叶微暖
'yin'yin'hua'lou'di'hu 阴阴画楼低护
'yin'zhu'hua'ming'xi'zi'fei 银烛花明蟢子飞
'yin'zhu'yan 银烛燄
'ying'qi'ao'nao'mo'tian'ci 莺期懊恼莫填词
'ying'tei'si'hua'hua'si'ying 影忒似花花似影
'ying'ti'xu 莺啼序
'ying'tian'chang 应天长
'ying'wu'cui'zhuang'wu'li 鹦鹉催妆无力
'ying'xing'xiang'diao 影形相吊
'yong'men'qin'sui 雍门琴碎
'you'bi'he'shei'ba 有臂和谁把
'you'cao'nian'tian 幽草黏天
'you'ci'ke'ru'yun'er'zhi 有词客如云而至
'you'dao'shang'xin'ji'lv 又道伤心羁旅
'you'duo'shao'tang'chou'han'hen 有多少唐愁汉恨
'you'guang'ling'qi 幽光灵气
'you'he'kuang'chun'hen'xiu'ban 又何况春痕袖斑
'you'he'ren'lai'wei'deng'lin 有何人来慰登临
'you'he'ren'lai'wen'chun'han 有何人来问春寒
'you'hua'yin'yue'yin 有花阴月阴
'you'huai'geng'ku 幽怀更苦
'you'huai'man'su 幽怀漫诉
'you'huai'zhi'you'hen 幽怀知有恨
'you'jia'di 幽佳地
'you'juan'zhong'yao'he 有卷中姚合
'you'lao'na'gao'tan'qi'zi 有老衲高谈奇字
'you'lu'nan'mi 有路难觅
'you'lv'ban'sheng'si 游侣半生死
'you'man'tian'fei'hua'fei'xu 又漫天飞花飞絮
'you'meng'si'geng'xing 幽梦四更醒
'you'meng'su'yi'yi 有梦诉依依
'you'qi'zai 又七载
'you'qian'qing'ye'liu 又牵情冶柳
'you'qiao'di'lai'shi 有樵笛来时
'you'ren'lian'shang'xin'su 有人怜赏心素
'you'ren'xi 幽人喜
'you'ru'yuan'tian'hua 有如愿天花
'you'shui'sheng'fou 有谁省否
'you'wan'zhong'song'xing 有万种忪惺
'you'wei'chuan'yin'zhu 犹未传银烛
'you'wei'mang'bu'ding 又微芒不定
'you'wu'gong'qiu'liu 有吴宫秋柳
'you'xiang 幽香
'you'xiang'si'liang'zi 有相思两字
'you'xing'hua'tian'qi 又杏花天气
'you'yi'zhong'gong'chou 有一种工愁
'you'yin'zhu 又银烛
'you'zai'chang'an 犹在长安
'you'zai'jiu'ci'chang 有载酒词场
'you'zhen'shu'shu'wei'yu 有阵疏疏微雨
'you'zhen'zhong'qian'ban 有珍重千般
'you'zhong'ren'wei'gui 有中人未归
'you'zong'nian'wu'nian'qian'dao 游踪廿五年前到
'yu'chai'huan'xie 玉钗鬟卸
'yu'chuan'wei'wen'ying'shi'huan'wu'mian 玉钏微闻应是换吴棉
'yu'da'feng'chui'chao'juan'qu 雨打风吹潮捲去
'yu'fu'xian'mu'yang 欲赋仙模样
'yu'hua'yun'ye'tai'lan'shan 雨花云叶太阑珊
'yu'huai'miao'miao 予怀渺渺
'yu'jian'di'gu'song'yi'li 与涧底孤松一例
'yu'jian'fu'rong 欲剪芙蓉
'yu'jie'liang'ye'yin'yin 玉阶良夜愔愔
'yu'jin'qun'zhe'wan'lai'song 郁金裙褶晚来松
'yu'jing'gong'dian'yao 玉京宫殿杳
'yu'kong'xing'lai'huan 玉鞚行来缓
'yu'lan'gan'pan'lu 玉阑干畔路
'yu'lian'huan'ying 玉连环影
'yu'ling'ci'bi'zi'jin'shou 羽陵词笔自今收
'yu'lou'shen 玉漏沈
'yu'mei'ren 虞美人
'yu'nv'ming'deng'yi'xiao 玉女明灯一笑
'yu'nv'xuan'shuang 玉女玄霜
'yu'pao'pao'bu'de 欲抛抛不得
'yu'ru'ban'shan 遇如班扇
'yu'sheng'hong 玉笙红
'yu'shi'mao'yu'suo 馀事貌渔蓑
'yu'su'xian'chou'xiang'shui'su 欲诉闲愁向谁诉
'yuan'de'huang'jin'san'bai'wan 愿得黄金三百万
'yuan'he'bei'shan'xia 猿鹤北山下
'yuan'hong'yi'ban'xie 怨红衣半卸
'yuan'qing'qun'gao'mei 愿青裙缟袂
'yuan'qu'chui'xiao 怨去吹箫
'yuan'shu'ou'lu 原输鸥鹭
'yuan'yang'die'jin 鸳鸯牒紧
'yue'bi'mei'er'shou 月比眉儿瘦
'yue'di'gong'shang'liang'xiao'pu 月底共商量箫谱
'yue'di'lian'gou'shang 月底帘钩上
'yue'dian'xia'chuang 月殿霞窗
'yue'hua'nong 月华浓
'yue'le'ren'jia'ting'yu 黦了人家庭宇
'yue'meng'di'qiao 月梦低敲
'yue'ming'hua'man'tian'ru'yuan 月明花满天如愿
'yue'ming'nan'xiao 月明难晓
'yue'rou'rou 月柔柔
'yue'ru'gong 月如弓
'yue'wo'dan'qing'yi'shan'xiang 黦我丹青一扇香
'yue'zhui'jin'bo'gu'jiong 月坠金波孤迥
'yue'zi'xia'ping'shan 月子下屏山
'yun'chu'gong'fu'xue'shu'zi 匀出工夫学书字
'yun'de'lan'gan'tou 熨得栏干透
'yun'hang'shu'xing 云行树行
'yun'ping'yi'jiu'piao'xiao 云萍依旧飘萧
'yun'ping'ying'he 云萍影合
'yun'qi'wen'zhen'hua'luan'kan 云欹文枕画鸾看
'yun'shui'wai 云水外
'yun'wai'qi'zhu'lou 云外起朱楼
'yun'wei'yue'yong'jian'qing'qing 云围月拥见卿卿
'yun'xiao'piao'miao'feng'luan'xia 云消缥缈峰峦下
'yun'ying'jia'le 云英嫁了
'yun'zhong'xian'he'zen'long'lai 云中仙鹤怎笼来
'zai'de'qi'liang'xi'zhao'gui 载得齐梁夕照归
'zai'feng'cheng'xi 在凤城西
'zai'gan'fei 在肝肺
'zan'shi'zhu'yi'xiao'sa 暂时著意潇洒
'zang'song'yi'chun'xin'xu 葬送一春心绪
'zao'han'shi 早寒时
'zao'yan'zi'cong'mang 早燕子匆忙
'zen'sheng'yan'yu 怎生言语
'zen'xiao'kuang'ru'xu 怎笑狂如许
'zeng'yu'lang'gan'cu'ru'jian 赠与琅玕簇如箭
'zha'dao'xiang'lan'nu 乍道向兰奴
'zha'lian'fang 乍莲房
'zha'qian'le'luo'wei 乍搴了罗帏
'zha'wu'ren 乍无人
'zha'ying'jiao'ru'xue 乍迎娇如雪
'zhai'chun'xing'man'ba'lei'lei 摘春星满把累累
'zhai'fen'cuo'zhi'qing'xu 摘粉搓脂情绪
'zhan'shuang'xiu 沾双袖
'zhang'duo'chun'xiao 帐亸春宵
'zhang'jiang'yi'chuan 漳江一传
'zhang'mei'wu 障眉妩
'zhang'ying'hun'you'li 仗莺魂有力
'zhang'zheng'ren 仗征人
'zhao'zhao'song'ke'chang'ting'an 朝朝送客长亭岸
'zhe'chun'chao'bie'guan 者春潮别馆
'zhe'gu'tian 鹧鸪天
'zhe'gui'deng'xia'ban'qi'mi 折归灯下伴凄迷
'zhe'huang'mei'zan'ji 折黄梅簪髻
'zhe'mei'hua'gong'fo'gong'wo 折梅花供佛供我
'zhe'ming'meng'jiang'yun'yue'yu 者溟濛江云岳雨
'zhe'shen'yin'chang'ta'qi'yuan 者沈吟偿他凄怨
'zhe'shuang'ji'chui'sheng 者双髻吹笙
'zhe'wen'cun'yin'xiu 者温存隐秀
'zhe'xin'ju'po'hao 者新居颇好
'zhen'er'qi'ge'jin'qing'chuan 针儿七个尽情穿
'zhen'ge'xiao'ning'wu'zhu 真个销凝无主
'zhen'niao'tang'qi'luan 鸩鸟倘欺鸾
'zhen'shang'tao'chan 枕上逃禅
'zhen'yi'hong'yu 枕敧红玉
'zheng'ba'xin'hun'xiang'shou 正把心魂相守
'zheng'chen'chen'chun'shen'si'hai 正沉沉春深似海
'zheng'he'di 筝和笛
'zheng'jiao'fu'le'xiang'qin 争教负了香衾
'zheng'tian'feng'chui'lv 正天风吹绿
'zheng'wen'chuang'si'shan 正文窗四扇
'zheng'wo'tu'shu'san'wan'zhou 整我图书三万轴
'zheng'xian'ba 正献罢
'zheng'yu'yi'xi 筝语依稀
'zheng'zhu'lian'xiao'juan 正珠帘晓捲
'zhi'a'mu'han'lian 只阿母憨怜
'zhi'bi'ba 掷笔罢
'zhi'chao'chang'nian'hua'wu 祗怊怅年华误
'zhi'chou'ci'si'yong 制愁词思慵
'zhi'ci'ji 只此际
'zhi'de'xiao'hun'ru'ci 直得销魂如此
'zhi'dong'mo'xi'tu'hai'ken 只东抹西涂还肯
'zhi'fou'yuan'ting 知否园亭
'zhi'ge'zhu'jiong'ji'wan'zhong 知隔朱扃几万重
'zhi'he'ti'lang'wen'jiu 只合替郎温酒
'zhi'jun'jia'tong'mei'chang'zhao 只君家通眉长爪
'zhi'kong'bei'ren'jiao 只恐背人娇
'zhi'kong'meng'hui'xiang'lei 只恐梦回香泪
'zhi'kong'ning'zhuang 只恐凝妆
'zhi'kong'qi'wo'ru'tu 只恐弃我如土
'zhi'mi'yi'lv'chou'hong'du 制密意绿愁红妒
'zhi'mo'hu'hong'lei'nan'xiao 只模糊红泪难销
'zhi'pian'yu'gao'jun'xiu'nu 只片语告君休怒
'zhi'ping'liu'fu'hui'xiang'jiang 纸屏六幅绘湘江
'zhi'shang'cang'sheng'er'yi 纸上苍生而已
'zhi'shang'hua'kai'you'shi'nian 枝上花开又十年
'zhi'shu'tian'hua 祗树天花
'zhi'shuo'xi'zhou'qing'yuan'ji 只说西洲清怨极
'zhi'wei'bi 只未必
'zhi'wo'yi 只我已
'zhi'xu'shen'bei'quan 只许深杯劝
'zhi'yin'he'ku'qing'man 知音何苦轻瞒
'zhi'you'bian'cai'tian'nv 只有辩才天女
'zhi'you'lang'ya'da'dao'wang 只有琅琊大道王
'zhi'you'ren'yi'tian'can'zhao 滞幽人一天残照
'zhi'zai'shou 枝在手
'zhi'zi'he'nian 知自何年
'zhong'dao'he'nian 重到何年
'zhong'dao'qu'lan'gan 重到曲阑干
'zhong'kao'lan'gan 重靠栏干
'zhong'lian'ruan 重帘软
'zhong'lian'xia 重帘下
'zhong'liu'xiao'guan'zheng'fen'fen 中流箫管正纷纷
'zhong'xian'chou 种闲愁
'zhong'xun'wu'yuan'liu 重寻吴苑柳
'zhong'you'cang'sang'ying 中有沧桑影
'zhong'you'hua'chou'mou 中有话绸缪
'zhong'yu'cheng'cai'yao'xing'shi 中馀酲才要醒时
'zhong'yu'yao 钟鱼杳
'zhong'zheng'dun'qing'kuang 重整顿清狂
'zhou'yu'cha'ban'huang'han 粥鱼茶板荒寒
'zhu'bian'du'zi'si'wei 驻鞭独自思惟
'zhu'lian'juan'yue 珠帘卷月
'zhu'lian'su'di'heng 珠帘窣地横
'zhu'shu'chuan'man'bin'ke 著书传满宾客
'zhu'wai'lou'tai 竹外楼台
'zhu'wu'jin'wu 贮无金屋
'zhu'xi'lou 住西楼
'zhu'ye'ban'ban 竹叶斑斑
'zhu'yi'xiu 纻衣修
'zhu'yu'pan'zhong 著玉盘中
'zhua'zi'ai 髽子矮
'zhui'xing'hong'ban'fu'wu'ling 坠猩红半幅吴绫
'zi'chan'piao'ling 自忏飘零
'zi'dian'hong'chou'wu'xu 紫点红愁无绪
'zi'du'hong'lan'xian'qia'bian 紫杜红兰闲掐遍
'zi'gu'ji'ren'duo'xing'pi 自古畸人多性癖
'zi'jia'liao'li'hui'chang'zhi 自家料理回肠直
'zi'jin'cao'e'bei'ge 字近曹娥碑格
'zi'suan'suan'chu'chu 自酸酸楚楚
'zi'yu'wu'yan 紫玉无言
'zi'zhi'li'chou 自制离愁
'zi'zhu'tai'hen'xin'ku 自斸苔痕辛苦
'zong'bing'hou'shang'duo 纵病后伤多
'zong'shi'wen'zhang'jing'hai'nei 纵使文章惊海内
'zou'ji'lian'qian 奏记帘前
'zui'piao'miao 最飘渺
'zui'shi'ru'meng 醉时如梦
'zui'tai'ping 醉太平
'zui'xiao'shen 最销沈
'zun'qian'lei'qi 尊前酹起
'zun'qian'shuo'yu'ding'he'shi 樽前说与定何时
'zun'qian'zhu 尊前祝
'zuo'chao'xiang'jian 昨朝相见
'zuo'le'jian'hua'long'he 作了槛花笼鹤
'zuo'nuan'yi'fang'ping'di'yue 坐暖一方屏底月
'zuo'ren'jian'bing'feng'ti'luan 作人间病凤啼鸾
'zuo'ri'xian'chou 昨日闲愁
'zuo'xiao'meng'li 昨宵梦里
'zuo'ye'luo'wei 昨夜罗帏
