'ai'ai'ding'men'wai 蔼蔼鼎门外
'lang'tao'feng'bo'zi'tian'ya 浪淘风簸自天涯
'lang'tao'sha'jiu'shou 浪淘沙九首
'lang'xia'ti'shi'man'bi'chen 廊下题诗满壁尘
'lang'yin'gu'fen'ping 朗吟孤愤平
'lao'da'gui'chao'ke 老大归朝客
'lao'da'xi'feng'jiu'lin'li 老大希逢旧邻里
'lao'qu'you'shui'lian 老去有谁怜
'lao'que'zhu'ren'ru'deng'xian 老却主人如等闲
'lao'ren'shou'qi'qian'zhi'ci 老人收泣前致辞
'lao'xiang'xiang'shan'yu'chu'yun 老向湘山与楚云
'lao'zui'hua'jian'you'ji'ren 老醉花间有几人
'le'ji'tong'qi'chi 乐极同启齿
'lei'qiu'zhong'lao'wu'yu'shi 缧囚终老无余事
'li'bie'ku'duo'xiang'jian'shao 离别苦多相见少
'li'gu'kang'wang'ming 立孤抗王命
'li'guo'duo'yu'kong'fu'zi 历国多于孔夫子
'li'kong'yao'qing'zhen'xian'guan 礼空遥请真仙官
'li'luo'ge'yan'huo 篱落隔烟火
'li'pu'gan'tang'you'ji'cong 澧浦甘棠有几丛
'li'qi'shang'bai'hai 沴气伤百骸
'li'ren'li'wu 利人利物
'li'san'qiu'ting'ji 吏散秋廷寂
'li'shu'kan'shen'lu 理疏看渗漉
'li'shui'dou'shi'ma'lan'gao 漓水斗石麻兰高
'li'wei'xin'bang'dong'chang'an 礼闱新榜动长安
'li'xiang'lai'kui'qu 里巷来窥觑
'li'xu'ye'jing'guo 里胥夜经过
'li'yang'qiu'se'zheng'cheng'xian 历阳秋色正澄鲜
'li'yin'ting 吏隐亭
'li'yuan'di'zi'qing'ci'lai 梨园弟子请词来
'li'zhong'liu'yu'sai'man'shen 里中留与赛蛮神
'li'zui'ying'ren'zhe'bu'de 利觜迎人着不得
'lian'e'shou'mei'ning'qing'guang 敛蛾收袂凝清光
'lian'mao'shui'zu'nan'xiao'ri 敛毛睡足难销日
'lian'mei'deng'gao'lou 联袂登高楼
'lian'qiang'gu'ke'chui'qiang'di 连樯估客吹羌笛
'lian'que'xin'tong'zai'ji'lv 恋阙心同在羁旅
'lian'tian'lang'jing'chang'jing'xi 连天浪静长鲸息
'lian'tian'shi'qing'cao 连天是青草
'lian'yi'san'nian'bu'fei'qu 敛翼三年不飞去
'lian'zhou'la'ri'guan'mo'yao'lie'xi'shan 连州腊日观莫徭猎西山
'liang'an'shan'hua'si'xue'kai 两岸山花似雪开
'liang'an'shi'zheng'heng 两岸势争衡
'liang'jing'da'dao'duo'you'ke 两京大道多游客
'liang'ju'zhao'you'yuan 凉菊照幽院
'liang'ren'xiang'jian'luo'yang'cheng 两人相见洛阳城
'liang'shou'xin'shi'bai'zi'yu 两首新诗百字余
'liang'xin'xiang'yi'si'liu'bo 两心相忆似流波
'liang'yuan'chong'xue'lai 梁园冲雪来
'liang'yuan'ren'feng'yi'bian'chu 梁苑仁风一变初
'liao'hua'bei'di'an 蓼花被堤岸
'liao'hua'yuan'an'kou'xian'gui 蓼花缘岸扣舷归
'liao'huo'wei'xu'jin 燎火委虚烬
'liao'jiu'kong'she'mian 聊就空舍眠
'lie'lie'du'qing'lin 猎猎度青林
'lie'shi'bu'wang'si 烈士不忘死
'lie'su'lai'tian'wu'nv'guang 列宿来添婺女光
'lie'su'rong'guang'fa 裂素荣光发
'lin'dao'kai'shi'bu'zai'jia 临到开时不在家
'lin'han'chun'wan'xu 林寒春晚煦
'lin'he'qiao'wu'chen 林壑悄无尘
'lin'hong'ye'jin'bian 林红叶尽变
'lin'jia'you'xue'gong'ren'ji 邻家犹学宫人髻
'lin'jie'bi'yu'wei 鳞介避余威
'lin'jing'zhu'hou'tong'she'lang 邻境诸侯同舍郎
'lin'liu'zhi'shi'fei 临流指是非
'lin'she'ye'chui'sheng 邻舍夜吹笙
'lin'shui'deng'shan'si'ti'qing 临水登山四体轻
'lin'tang'cheng'shuang'mu 临堂瞠双目
'lin'tang'zhao'nan'rong 林塘照南荣
'lin'xing'yu'jiu'bei'wei'fu 临刑与酒杯未覆
'lin'xuan'xiao'xiang'shi 临轩笑相视
'lin'yi'dong'hui'shan'si'ji 林邑东回山似戟
'lin'ying'jiu'cen'ci 林影久参差
'lin'zheng'qie'mo'tan'yan'fang 临蒸且莫叹炎方
'ling'ge'wu'sheng'gong'li'gui 铃阁无声公吏归
'ling'hu'xiang'gong'fu'zeng'pian'zhang'fei'ran'yang'xie 令狐相公俯赠篇章斐然仰谢
'ling'jun'he'nian'ge'yi'yi 灵均何年歌已矣
'ling'lei'zhan'qing'jian 零泪沾青简
'ling'ling'shu'zhu'gen 泠泠疏竹根
'ling'ling'xiang'cao'man'jiao'shang 零陵香草满郊垧
'ling'ling'zao'chun 零陵早春
'ling'luo'can'hun'bei'an'ran 零落残魂倍黯然
'ling'nan'jiang'xing 岭南江行
'ling'quan'wu'ye'nan'yun'duan 岭泉呜咽南云断
'ling'ren'hu'yi'xiao'xiang'zhu 令人忽忆潇湘渚
'ling'ren'yin'bu'zu 令人饮不足
'ling'shan'yu'hui'shi'qian'sheng 灵山预会是前生
'ling'shu'zhong'zhe'qian'li'mu 岭树重遮千里目
'ling'tai'duo'ku'xin 灵台多苦辛
'ling'ye'wei'chen'gai 零叶委陈荄
'ling'zong'lu'zhi'zhao 灵踪露指爪
'liu'chao'yi'shi'he'chu'xun 六朝遗事何处寻
'liu'chen'yi'ming'jing 流尘翳明镜
'liu'chi'gu'an'zai 六尺孤安在
'liu'he'bu'dong'ning'feng'yan 六翮不动凝风烟
'liu'jia'xin'yang'yuan'he'jiao 柳家新样元和脚
'liu'jing'tong'xun'bo 流景同迅波
'liu'li'yi'sheng'xiao'han'zhong 浏栗一声霄汉中
'liu'men'zhu'xiang'yi'yi'zai 柳门竹巷依依在
'liu'shi'zhang'nei'shi 留诗张内史
'liu'shui'qian'bo'rang'hou'bo 流水前波让后波
'liu'shui'rao'shuang'dao 流水绕双岛
'liu'shui'tao'sha'bu'zan'ting 流水淘沙不暂停
'liu'xu 柳絮
'liu'ying'gui'bu'lai 流莺归不来
'liu'yu'xi'juan 刘禹锡卷
'liu'zhou'cheng'xi'bei'yu'zhong'gan'shu 柳州城西北隅种柑树
'liu'zhou'dong'mang 柳州峒氓
'liu'zhou'er'yue'rong'ye'luo'jin'ou'ti 柳州二月榕叶落尽偶题
'liu'zhou'liu'ci'shi 柳州柳刺史
'liu'zong'yuan'juan 柳宗元卷
'long'chi'yao'wang'qu'chen'si 龙池遥望麴尘丝
'long'lin'yue'chu'xu 龙鳞跃初旭
'long'men'xi'gong'deng 龙门昔共登
'long'su'he'you'cong 聋俗何由聪
'long'tong'bao'gu'shou'suo'cao 笼铜枹鼓手所操
'long'xiang'jie'zhong'cheng'bao'gai 龙象界中成宝盖
'long'ying'ci 笼鹰词
'lou'chuan'kong'tan'yi 漏川空叹蚁
'lou'chuan'li'qu'xiao'xiang'yue 楼船理曲潇湘月
'lou'rong'mei'fu'yang 陋容昧俯仰
'lu'bang'hu'jian'ting'sun'yu 路傍忽见停隼旟
'lu'bang'lao'ren'yi'jiu'shi 路傍老人忆旧事
'lu'bian'yang'gui'ren 路边杨贵人
'lu'cao'bai'chong'si 露草百虫思
'lu'guang'chu'zhong'jin'hua'xi 露光初重槿花稀
'lu'guang'fan'yan'cui'song'shao 露光泛滟翠松梢
'lu'hua'di'li'yue'shang'tian 露花滴沥月上天
'lu'hua'xi'zhuo'qing'feng'chui 露华洗濯清风吹
'lu'hua'yao'fei'wei 露华遥斐亹
'lu'ju'han'wan'ying 露菊含晚英
'lu'pang'shui'jia'lang 路旁谁家郎
'lu'qing'you'you'sui'han'xin 露青犹有岁寒心
'lu'ren'dan'zhi'wang'gao'tai 路人弹指望高台
'lu'ren'jie'ke'dai'gong'jian 鲁人皆科带弓箭
'lu'shang'ting'zhou'du'gu'bei 路上停舟读古碑
'lu'wei'wan'feng'qi 芦苇晚风起
'lu'ye'ru'ti'yu'xiang'shui 露叶如啼欲向谁
'lu'zu'jiao'qin'xing'zi'chi 路足交亲行自迟
'luan'liu'qi'jin'sheng'hong'ran 乱流齐进声轰然
'luan'sheng'yao'miao'guan'cen'ci 鸾声窈眇管参差
'lun'qi'ying'cu'you'pin'wang 轮欹影促犹频望
'luo'han'zhu'qian'ji 罗含著前纪
'luo'lie'fang'fen'zheng 罗列方忿争
'luo'ri'duo'qiao'mu 落日多樵牧
'luo'ri'shang'gao'tai 落日上高台
'luo'ru'xiu'dai'yi'cheng'hui 罗襦绣带已成灰
'luo'shui'qiao'bian'chun'ri'xie 洛水桥边春日斜
'luo'shui'qiao'chang'zhou'qi'lei 洛水桥长昼起雷
'luo'tuo'qiao'shang'pin'feng'ji 骆驼桥上蘋风急
'luo'wa'ling'bo'cheng'shui'xi 罗袜凌波呈水嬉
'luo'xia'yao'fen'lie'su'guang 洛下遥分列宿光
'luo'yang'ben'zi'yi'cai'zi 洛阳本自宜才子
'luo'yang'cheng'li'hao'chi'tai 洛阳城里好池台
'luo'yang'jiu'zhai'sheng'cao'lai 洛阳旧宅生草莱
'luo'yang'qiu'ri'zheng'qi'qi 洛阳秋日正凄凄
'luo'zhong'chu'dong'bai'biao'you'huai'shang'jing'gu'ren 洛中初冬拜表有怀上京故人
'luo'zhong'si'bei'lou'jian'he'jian'cao'shu'ti'shi 洛中寺北楼见贺监草书题诗
'luo'zhong'song'han'qi'zhong'cheng'zhi'wu'xing'kou'hao'wu'shou 洛中送韩七中丞之吴兴口号五首
'luo'zhong'song'yang'chu'hou'ru'guan'bian'you'shu 洛中送杨处厚入关便游蜀
'lv'ba'jian'ji'jun'nei'shu'huai'yin'er'xi'he 吕八见寄郡内书怀因而戏和
'lv'chou'sui'dong'shi 旅愁随冻释
'lv'fen'san'chi'jin'yao'li 旅坟三尺近要离
'lv'he'bao'fan'chen'xu'ren 绿荷包饭趁虚人
'lv'ji'bu'xiang'sheng'chou'yan 旅祭不飨生愁烟
'lv'jing'ping'ru'di 绿静平如砥
'lv'jue'xiang'bu'xie 缕绝香不歇
'lv'luo'yin'xia'dao'shan'zhuang 绿萝阴下到山庄
'lv'qi'wu'fu'you 履綦无复有
'lv'qing'pian'zai'ye 旅情偏在夜
'lv'ye'fu'feng'dao 绿野扶风道
'lv'zu'guang'wei'mie 履组光未灭
'ma'chui'yi'hui'men'dong'kai 马箠一挥门洞开
'ma'lie'jin'wu'suo 马鬣今无所
'ma'lie'peng'hao'cang'jiao'tu 马埒蓬蒿藏狡兔
'ma'ru'dai'qing'shuang 马乳带轻霜
'ma'sa'guang'chen'chen 摩挲光陈陈
'ma'si'bian'cao'quan'mao'dong 马思边草拳毛动
'ma'si'gu'shu'xing'ren'xie 马嘶古树行人歇
'ma'si'xun'gu'dao 马嘶循古道
'ma'ti'wei'chi'xin'dang'yang 马蹄逶迟心荡漾
'ma'wei'xing 马嵬行
'mai'long'he'feng'chui'shu'zhi 麦陇和风吹树枝
'mai'xiu'kong'cheng'ze'zhi'fei 麦秀空城泽雉飞
'man'cao'feng'chun'hua'zi'kai 蔓草逢春花自开
'man'cao'jia'cheng'bi 蔓草佳城闭
'man'cheng'ge'wu'xiang'zhu'lun 满城歌舞向朱轮
'man'cheng'tao'li'shu'chun'guan 满城桃李属春官
'man'du'tu'shu'san'shi'che 谩读图书三十车
'man'gu'xiao'shao'yin 满谷箫韶音
'man'jun'bu'wu'xiao 蛮军部伍嚣
'man'jun'ji'yan'gu 蛮军击严鼓
'man'mu'shan'chuan'duo 满目山川多
'man'ting'wu'lu'hua'fen'fen 满庭无路花纷纷
'man'xi'wu'yu'chou 蛮溪雾雨愁
'man'yi'ban'lan'bu 蛮衣斑斓布
'man'yu'gou'zhou'yin 蛮语钩辀音
'man'zhi'chuan'xiang'yi 满纸传相忆
'man'zi'ge 蛮子歌
'mao'ling'qian'xiang'ying 茅岭潜相应
'mao'wu'wu'shi'ji 茅屋午时鸡
'mao'yi'xin'cheng'xue'bu'di 毛衣新成雪不敌
'mei'gui'bao'zhu'qiu'yan'xing 玫瑰宝柱秋雁行
'mei'ren'ge'xiang'pu 美人隔湘浦
'mei'ren'lou'shang'dou'yao'zhi 美人楼上斗腰肢
'mei'ren'shou'shi'hou'wang'yin 美人首饰侯王印
'mei'ren'xiang'zeng'bi'shuang'jin 美人相赠比双金
'mei'ri'huan'yu'que'can'qi 每日欢娱却惨凄
'mei'rui'fu'jie'ling'ge'nuan 梅蕊覆阶铃阁暖
'mei'xian'chao'zong'shui 每羡朝宗水
'mei'xing'jing'jiu'chu 每行经旧处
'mei'yi'xun'si'pa'li'gong 每一寻思怕立功
'mei'yu'ci'ren'zhan'yi'chang 每遇词人战一场
'mei'yu'deng'lin'hao'feng'jing 每遇登临好风景
'mei'zhe'bu'fen'cong'zhe'huo 昧者不分聪者惑
'men'lin'han'shui'luo'jiang'feng 门临寒水落江枫
'men'qian'fu'ju'sheng 门前负局生
'men'qian'jin'ri'liu 门前尽日流
'men'qian'lv'shui'huan'jin'di 门前绿水环金堤
'men'qian'xiang'mo'san'tiao'jin 门前巷陌三条近
'men'qian'xiu'ci'kong'rong'lai 门前修刺孔融来
'men'wai'hong'chen'ren'zi'zou 门外红尘人自走
'men'wai'san'jun'wu'lian'bi 门外三军舞连臂
'men'xian'gu'li'qu 门闲故吏去
'men'yan'hou'chong'qiu 门掩候虫秋
'men'zhen'han'liu'gu'mu'shu 门枕寒流古木疏
'meng'chi 蒙池
'meng'meng'huang'zhu'xia 蒙蒙篁竹下
'meng'rao'yu'ren'qiu 梦绕羽人丘
'meng'shi'an'jian'kan'heng'shan 猛士按剑看恒山
'meng'xun'gui'lu'duo'cen'ci 梦寻归路多参差
'meng'yang'bie'hou'you'shan'ming 孟阳别后有山铭
'meng'zhi'tian'huang'chang 猛志填黄肠
'meng'zhong'xian'dao'jing'yang'lou 梦中先到景阳楼
'meng'zhu'cao'zhang'mi'chu'wang 梦渚草长迷楚望
'mi'lu'zhan'shi'duo 麋鹿占时多
'mi'luo'yu'feng 汨罗遇风
'mi'mi'du'xing'ren 靡靡渡行人
'mi'ye'gai'qi'gen 米液溉其根
'mi'yu'xie'qin'bi'li'qiang 密雨斜侵薜荔墙
'mian'man'wan'zhuan'si'yu'ren 绵蛮宛转似娱人
'miao'shi'qiu'guang'li 眇视秋光里
'miao'ting'yan'song'shi 庙庭偃松诗
'mie'mo'chi'jue'sai 灭没驰绝塞
'ming'chao'ruo'shang'jun'shan'shang 明朝若上君山上
'ming'gao'hui'suo'ji 名高毁所集
'ming'nian'ru'huai'xiu 明年入怀袖
'ming'ri'ci'jun'bu'bu'chou 明日辞君步步愁
'ming'xing'ye'ceng'juan'shi'zhu 名姓也曾镌石柱
'ming'xiong'qi'ze'sou 名雄七泽薮
'ming'yuan'qing'wang'si'long'lin 茗园晴望似龙鳞
'ming'yue'chu'zhong'yang 明月出中央
'ming'zi'wu'fu'ji 名字无符籍
'miu'wei'shuang'jin'zhong 谬委双金重
'mo'cao'zheng'chui'er 墨曹正垂耳
'mo'dao'chan'yan'ru'lang'shen 莫道谗言如浪深
'mo'dao'liang'jing'fei'yuan'bie 莫道两京非远别
'mo'dao'sang'yu'wan 莫道桑榆晚
'mo'dao'sao'ren'zai'san'chu 莫道骚人在三楚
'mo'dao'zhuan'cheng'guan'yun'yu 莫道专城管云雨
'mo'guai'lao'lang'cheng'lan'chui 莫怪老郎呈滥吹
'mo'jiang'bo'lang'wang'ming'shi 莫将波浪枉明时
'mo'jiao'feng'jing'shu'ta'ren 莫教风景属他人
'mo'jie'hua'fa'yu'wu'er 莫嗟华发与无儿
'mo'jing'pian 摩镜篇
'mo'ling'duo'shi'nv 秣陵多士女
'mo'mo'kong'zhong'qu 漠漠空中去
'mo'mo'meng'meng'an'du'chun 漠漠蒙蒙暗度春
'mo'mo'wan'zhong'qing 脉脉万重情
'mo'mo'wan'zhong'xin 脉脉万重心
'mo'shang'xing'ren'kan'shi'lin 陌上行人看石麟
'mo'ya'ti'hu'zeng 莫讶提壶赠
'mo'yan'dui'an'wu'yu'di 莫言堆案无余地
'mo'yan'qian'ke'si'sha'chen 莫言迁客似沙沉
'mo'yan'qiang'yin'shu'chi'jian 莫言墙阴数尺间
'mo'yan'yi'pian'wei'ji'zai 莫言一片危基在
'mo'yao'ge 莫瑶歌
'mo'yao'zi'sheng'zhang 莫瑶自生长
'mo'yin'qi'xi'shen 莫吟萋兮什
'mu'cheng'zai'sang'ye 目成在桑野
'mu'fu'jiu'yan'qing 幕府旧烟青
'mu'lan'qian'zai'shi 目览千载事
'mu'lan'zhui'lu'xiang'wei'si 木兰坠露香微似
'mu'nu'qian'shu'shu'lin'jia 木奴千树属邻家
'mu'se'si'shan'qi 暮色四山起
'mu'wen'hao'ku'sheng 暮闻号哭声
'mu'xia'qian'wan'zhuang 暮霞千万状
'na'nv'cheng'jiu'sheng 纳女称舅甥
'na'shuang'er'mu'bian 纳爽耳目变
'nai'wen'li'zhong'er 乃问里中儿
'nai'zhi'gu'he'qing 乃知孤鹤情
'nan'chao'ci'chen'bei'chao'ke 南朝词臣北朝客
'nan'fang'zhu'niao'yi'chao'jian 南方朱鸟一朝见
'nan'feng'wu'huo'chu'ze'xian 南烽无火楚泽闲
'nan'feng'yi'qin'qin 南风已骎骎
'nan'gong'ci'ke'ji'xin'pian 南宫词客寄新篇
'nan'gong'jiu'li'lai'xiang'wen 南宫旧吏来相问
'nan'gong'xian'lang'xia'chao'wan 南宫仙郎下朝晚
'nan'guo'shan'chuan'jiu'di'ji 南国山川旧帝畿
'nan'guo'yi'qi'hou 南国异气候
'nan'jian'zhong'ti 南涧中题
'nan'lai'bu'zuo'chu'chen'bei 南来不作楚臣悲
'nan'ling'jian'qiu'xue 南岭见秋雪
'nan'mo'dong'cheng'chun'zao'shi 南陌东城春早时
'nan'qin'sheng'li'ai 南禽声例哀
'nan'ren'shang'lai'ge'yi'qu 南人上来歌一曲
'nan'ren'xing'le'bei'ren'bei 南人行乐北人悲
'nan'shan'chao'xia'kan 南山朝下看
'nan'xu'bao'zheng'ru'wen'chang 南徐报政入文昌
'nan'zheng'za'pei'chou 难征杂佩酬
'nan'zhong'shu'lai 南中书来
'neng'bian'ren'jian'shi 能变人间世
'neng'ling'xia'guo'ren 能令下国人
'neng'shi'wu'qing'jin'you'qing 能使无情尽有情
'ni'chang'yi'qu'zai'gao'lou 霓裳一曲在高楼
'ni'jie'fei'suo'ying 逆节非所婴
'ni'sha'nan'zhen'ba 泥沙难振拔
'nian'chu'li'di'xiang 年初离帝乡
'nian'nian'bo'lang'bu'neng'cui 年年波浪不能摧
'nian'nian'wei'jun'lao'tian'ya 年年为郡老天涯
'niang'zhi'cheng'mei'jiu 酿之成美酒
'niao'chuan'xiao'xi'gan'lun'ying 鸟传消息绀轮迎
'ning'di'wan'xiang'qi 凝睇万象起
'ning'guang'you'you'han'lu'zhui 凝光悠悠寒露坠
'ning'lao'shi'cong'yan'cheng'ming 宁劳侍从厌承明
'ning'yan'wan'xiang'yi 凝艳晚相宜
'ning'zhi'chu'ke'si'gong'zi 宁知楚客思公子
'ning'zhi'shi'qing'yi 宁知世情异
'nong'fu'bai'zhu'qun 农妇白纻裙
'nong'fu'lv'suo'yi 农父绿蓑衣
'nong'ru'wu'du'shu 侬入无度数
'nong'tan'si'lin'xi 农谈四邻夕
'nu'ji'gu'keng'hong 怒激鼓铿訇
'nu'li'man'wan'dang'yun'qu 努力满挽当云衢
'nu'li'shen'jing'ying 努力慎经营
'nv'ji'hai'wen'ming'xiao'xiao 女妓还闻名小小
'nv'lang'hun'zhu'mu'yun'gui 女郎魂逐暮云归
'nv'lang'jian'xia'yuan'yang'jin 女郎剪下鸳鸯锦
'nv'zhong'shui'shi'wei'fu'ren 女中谁是卫夫人
'ou'ci'cheng'bin'zhu 偶此成宾主
'ou'ran'xiang'feng'ren'jian'shi 偶然相逢人间世
'ou'si'shan'lin'ke 偶似山林客
'ou'wei'qun'dao'de 偶为群盗得
'ou'yin'du'jian'kong'jing'mu 偶因独见空惊目
'ou'zuo'er'shou 偶作二首
'pai'huai'zhi'zi'zhi 徘徊只自知
'pan'lang'xie'dan'wu'qing'sun 潘郎挟弹无情损
'pan'zhe'wei'shui'cai'wu'shu 叛者为谁蔡吴蜀
'pan'zhi'nong'xue'shi'hui'gu 攀枝弄雪时回顾
'pao'que'cheng'lang'zheng'nai'he 抛却丞郎争奈何
'pei'cui'da'shang'shu'ji'zhu'ge'lao'yan'xing'yuan 陪崔大尚书及诸阁老宴杏园
'pei'sai'bao'fu'dun'ku'zhi 毰毸饱腹蹲枯枝
'pei'sheng'jiu'zai'feng'chen'li 裴生久在风尘里
'pei'xi 裴溪
'pen'sa'ru'fen'si 喷洒如棼丝
'pen'xue'han'feng'yi'si'sheng 喷雪含风意思生
'peng'ze'yin'jia'fan'ji'shi 彭泽因家凡几世
'pi'li'che'dian'shao'ping'gang 霹雳掣电捎平冈
'pi'ma'zai'san'si 疲马再三嘶
'pian'neng'shi'zhu'wei'qing'tong 偏能识主为情通
'pian'pian'ma'shang'lang 翩翩马上郎
'pian'shi'ting'ting'hao'nv'lang 片石亭亭号女郎
'pian'yi'qu'jiang'shang 偏宜曲江上
'pian'zhou'jin'shi'pin'xiang'zhu 扁舟尽室贫相逐
'piao'ling'jin'ri'zai'tian'ya 飘零今日在天涯
'piao'yang'nan'mo'qi'dong'lin 飘飏南陌起东邻
'pie'xia'yun'zhong'zheng'fu'shu 瞥下云中争腐鼠
'pin'mei'yan'lao'zhong'nan'qu 嚬眉厌老终难去
'pin'wei'lou'ju'qi 频为偻句欺
'pin'xue'huan'ren'yuan'xing'hui 频学唤人缘性慧
'ping'an'chu'ling'ren 平安出岭人
'ping'cai'zhou'san'shou 平蔡州三首
'ping'feng'you'shi'qi 苹风有时起
'ping'hu'wan'fan'kui'qing'jing 平湖晚泛窥清镜
'ping'ji'huan'xiang'meng 凭寄还乡梦
'ping'ji'kuang'fu'shu'yi'zhi 凭寄狂夫书一纸
'ping'kai'lv'chi'man 苹开绿池满
'ping'qi'xing'er'shou 平齐行二首
'ping'sheng'fu'xing'dan 平生服杏丹
'ping'sheng'you'ji'zhi 平生有几知
'ping'yang'bu'du'rong'bin'zui 平阳不独容宾醉
'ping'ye'duo'ceng'yin 平野多层阴
'ping'zhang'zhai'li'yi'lan'hua 平章宅里一栏花
'po'e'shan'qian'bi'yu'liu 破额山前碧玉流
'po'shan'gong'jian'ming 颇擅弓剑名
'pu'su'wei'chao'xiang'mu'shi 朴樕危巢向暮时
'pu'tao'ge 蒲桃歌
'pu'yi'lou'shang'fu'xiang'qun 曝衣楼上拂香裙
'qi'ba 其八
'qi'bu'shan'tu'hou 岂不善图后
'qi'chang'tian'zhong'ge 齐唱田中歌
'qi'chuang'ding'gu'zhuang'ru'jian 奇疮钉骨状如箭
'qi'chui'xi'fan'yin 骑吹息繁音
'qi'er 其二
'qi'feng'xi'li'fei'yan'shuang 凄风淅沥飞严霜
'qi'feng'yi'jian'jing'hun'po 奇峰一见惊魂魄
'qi'fu'lai'xiang'xun 齐斧来相寻
'qi'ji'yi'guan'cheng'bin'mian 绮季衣冠称鬓面
'qi'jin'yan'gao'shao'zhi'ji 气劲言高少知己
'qi'jiu 其九
'qi'kuo'hua'liang'wen 契阔话凉温
'qi'li'yi'wei'xin'shang'zai 气力已微心尚在
'qi'liang'cong'ci'hou 凄凉从此后
'qi'liang'shu'gu'ji 凄凉蜀故妓
'qi'liang'tong'dao'gu'ren'ju 凄凉同到故人居
'qi'liang'wo'zhou'seng 凄凉沃州僧
'qi'liu 其六
'qi'luo'sui'shi'jin 绮罗随世尽
'qi'nai'ming'nian'hao'chun'ri 其奈明年好春日
'qi'qi 其七
'qi'ren'bu'fu'wen'xiao'shao 齐人不复闻箫韶
'qi'rong'hua'fa'dai'liu'nian 岂容华发待流年
'qi'ru'chun'se'sou'ren'kuang 岂如春色嗾人狂
'qi'ru'huai'shan'duo'qi'ting 气如坏山堕其庭
'qi'ru'xin'si'bu'ran'hui 其如心似不然灰
'qi'san 其三
'qi'shi'bu'si'ru'teng'xian 气势不死如腾屳
'qi'shu'chun'chao'feng'zheng'chui 琪树春朝风正吹
'qi'si 其四
'qi'wang'dong'bei'xin'tao'tao 起望东北心滔滔
'qi'wei'piao'yang'shi'jian'gao 旗尾飘扬势渐高
'qi'wu 其五
'qi'wu'san'qian'nv 岂无三千女
'qi'xi'qi'shu'xing 栖息岂殊性
'qi'xi'yin 萋兮吟
'qi'yi 其一
'qi'yin'ji'qing'zheng 凄音激清徵
'qi'yu'shi'shi'xin 其余事事新
'qi'zhen'xian'kan'zhi'zi'shi 欹枕闲看知自适
'qi'zhou'ci'shi'zhang'gong'zi 蕲州刺史张公子
'qian'bo'wei'mie'hou'bo'sheng 前波未灭后波生
'qian'cao'yao'ying'su'shuang'ma 浅草邀迎鹔鹴马
'qian'du'liu'lang'jin'you'lai 前度刘郎今又来
'qian'huan'jian'cheng'xi 前欢渐成昔
'qian'jin'mai'jue'jing 千金买绝境
'qian'jun'meng'ju'shun'liu'xia 千钧猛虡顺流下
'qian'li'jiang'li'chun 千里江蓠春
'qian'li'tong'yi'se 千里同一色
'qian'lin'zhen'ze'bo 前临震泽波
'qian'ma'chu'wang'cheng 前马出王城
'qian'men'jiu'mo'fei'you'yang 千门九陌飞悠扬
'qian'men'sheng'zao'han 千门生早寒
'qian'qi'chen'zhong'bai'mian'ren 千骑尘中白面人
'qian'qian'shi'qiang'yuan 嗛嗛事强怨
'qian'qiu'shang'lin'ran 千秋尚凛然
'qian'qiu'ting'xia'fu'chu'cheng 千秋亭下赋初成
'qian'qu'bu'jian'ji 潜去不见迹
'qian'ri'qin'men'tong 前日寝门恸
'qian'shan'niao'fei'jue 千山鸟飞绝
'qian'shan'zheng'wu'yun 前山正无云
'qian'shen'hou'shen'fu'yu'xi 前身后身付余习
'qian'shi'ming'yue'zhong 前时明月中
'qian'tang'shan'shui'you'qi'sheng 钱塘山水有奇声
'qian'tao'wan'lu'sui'xin'ku 千淘万漉虽辛苦
'qian'tiao'jin'lv'wan'tiao'si 千条金缕万条丝
'qian'wang'shun'yang'lu 前望顺阳路
'qian'xiao'di'huan'chu'mu'cheng 浅笑低鬟初目成
'qian'xun'tie'suo'chen'jiang'di 千寻铁锁沉江底
'qian'zai'wei'ling'jin 千载威灵尽
'qian'zhe'cong'cong'fu'bei'xing 前者匆匆幞被行
'qiang'dong'bian'shi'shang'xin'de 墙东便是伤心地
'qiang'feng'hu'zhen'dang 戕风忽震荡
'qiang'nei'chi'ting'wan'jing'xian 墙内池亭晚境闲
'qiang'yin'ge 墙阴歌
'qiang'yu'shui'ji'ge'xiao'yao 抢榆水击各逍遥
'qiao'cui'chai'sang'zai 憔悴柴桑宰
'qiao'dong'qiao'xi'hao'yang'liu 桥东桥西好杨柳
'qie'jin'jiang'ya'lian'shou'tu 且尽姜芽敛手徒
'qie'lai'shi'ru'shu 朅来事儒术
'qie'sui'yu'niao'fan'yan'bo 且随鱼鸟泛烟波
'qie'yun'ting 切云亭
'qin'gui'jiang'xi'shou 禽归讲席收
'qin'jia'jing'you'qian'shi'jie 秦嘉镜有前时结
'qin'sheng'yi'qu'ci'shi'wen 秦声一曲此时闻
'qin'shou'ji'you'zai 秦狩迹犹在
'qin'xing'da'pei'yao 禽兴大旆摇
'qin'yu'ge'you'hua 禽鱼各有化
'qin'yun'bai'pin'feng 琴韵白蘋风
'qing'bo'zhu'qi'hui 轻波逐砌回
'qing'gao'dong'gui'fa'ba'qiao'que'ji'zhu'liao'you 请告东归发灞桥却寄诸僚友
'qing'ge'bu'shi'shi'jian'yin 清歌不是世间音
'qing'guang'men'wai'yi'qu'shui 清光门外一渠水
