'ai'san'ba 艾三把
'jing'shui'shi'duan 经水适断
'jing'shui'shi'lai 经水适来
'jing'wei'bing'yi'ben'jing'zi'shang'you'gang'zi 痉为病一本痉字上有刚字
'jing'wei'xue 经为血
'jing'xiang'qiang 颈项强
'jing'xiang'qiang'ji 颈项强急
'jing'yi'yue'zai'jian'zhe 经一月再见者
'jing'yue 经曰
'jing'yun 经云
'jiu'bu'shou'tai 久不受胎
'jiu'bu'yu 久不愈
'jiu'cheng'fei'yong 久成肺痈
'jiu'cheng'zheng'bing 久成症病
'jiu'ci'zhu'yao'bu'neng'zhi 灸刺诸药不能治
'jiu'cuo 纠错
'jiu'cuo'gu'ji 纠错古籍
'jiu'dan 酒疸
'jiu'dan'xia'zhi 酒疸下之
'jiu'fu'fang'cun'bi 酒服方寸匕
'jiu'fu'yi'qian'bi 酒服一钱匕
'jiu'gen'yi'ba 韭根一把
'jiu'he 酒和
'jiu'huang'dan 酒黄疸
'jiu'huang'dan'zhe 酒黄疸者
'jiu'jiu'bi'shen'mu'run 久久必身目闰
'jiu'jiu'de'zhi 久久得之
'jiu'jiu'fa'huang'wei'gu'dan 久久发黄为谷疸
'jiu'jiu'qi'shen'bi'jia'cuo 久久其身必甲错
'jiu'jiu'tu'nong'ru'mi'zhou'zhe 久久吐脓如米粥者
'jiu'jiu'wei'hei'dan 久久为黑疸
'jiu'ke'shu'sui 久咳数岁
'jiu'ni'si'fang 救溺死方
'jiu'qi'he'shang'ge'yi'zhuang 灸其核上各一壮
'jiu'shi'xiao'dou 久食小豆
'jiu'shou'zu'liang'zhao'hou'shi'si'zhuang'le 灸手足两爪后十四壮了
'jiu'tong'wan 九痛丸
'jiu'wei'jia'lai 久为痂癞
'jiu'xia 酒下
'jiu'xia'shi'wu'wan 酒下十五丸
'jiu'xiao'er'zu'si'er'tu'li 救小儿卒死而吐利
'jiu'xin'xia'yi'cun 灸心下一寸
'jiu'yi'ran 韭亦然
'jiu'yin'fu'er'shi'wan 酒饮服二十丸
'jiu'yin'fu'fang'cun'bi 酒饮服方寸匕
'jiu'yin'fu'wu'wan 酒饮服五丸
'jiu'yong'chui'dan'bu'yi'chi 久用炊单布一尺
'jiu'ze'lei'shou 久则羸瘦
'jiu'ze'yu 久则愈
'jiu'zi'yi'si 救自缢死
'jiu'zu'si 救卒死
'jiu'zu'si'er'mu'bi'zhe'fang 救卒死而目闭者方
'jiu'zu'si'er'si'zhi'bu'shou 救卒死而四肢不收
'jiu'zu'si'er'zhang'kou'fan'zhe'zhe'fang 救卒死而张口反折者方
'jiu'zu'si'er'zhuang're'zhe'fang 救卒死而壮热者方
'jiu'zu'si'fang 救卒死方
'ju'hua'si'shi'fen 菊花四十分
'ju'ji 拘急
'ju'pi 橘皮
'ju'pi'er'liang'ban 橘皮二两半
'ju'pi'yi'jin 橘皮一斤
'ju'pi'yi'liang 橘皮一两
'ju'si'wei 咀四味
'ju'you'duo'shi 橘柚多食
'ju'zhe 聚者
'ju'zhe'bu'neng'shi 剧者不能食
'ju'zhe'xin'tong'che'bei 剧者心痛彻背
'ju'zhe'zai'nei'zhi 剧者再内之
'ju'zhi'jiang'tang'fang 橘枳姜汤方
'ju'zhi'jiang'tang'yi'zhu'zhi 橘枳姜汤亦主之
'juan'shang 卷上
'juan'xia 卷下
'juan'zhong 卷中
'jue'di'shen'san'chi 掘地深三尺
'jue'er'bi'mao 厥而必冒
'jue'er'pi'shui'zhe 厥而皮水者
'jue'yang'du'xing 厥阳独行
'jue'yin'zhi'wei'bing 厥阴之为病
'jun'yang'juan'ji'chi'se'zhe'bu'ke'shi 菌仰卷及赤色者不可食
'ke'bu'cha'zhe 渴不差者
'ke'er'bu'e'han'zhe 渴而不恶寒者
'ke'er'chuan 咳而喘
'ke'er'mai'fu'zhe 咳而脉浮者
'ke'er'shang'qi 咳而上气
'ke'er'xia'li 渴而下利
'ke'er'xiong'man 咳而胸满
'ke'fan'xiong'zhong'tong'zhe 咳烦胸中痛者
'ke'fu 渴服
'ke'ji'xiong'zhong'yin'yin'tong 咳即胸中隐隐痛
'ke'jia'gua'lou'gen'san'fen 渴加栝蒌根三分
'ke'jia'qi'mai'xian 咳家其脉弦
'ke'man'ji'zhi 咳满即止
'ke'ni'shang'qi 咳逆上气
'ke'ni'yi'xi 咳逆倚息
'ke'qi'xie'feng 客气邪风
'ke'shang'qi'chuan'hui'yan'chang'ming'zhang'man'xin'tong'ju'ji 咳上气喘哕咽肠鸣胀满心痛拘急
'ke'shao'yu'gui'zhi'tang'ji'zhou'qing 可少与桂枝汤及粥清
'ke'sou'ze'zhe'yi'yi'zuo'zhuan'shen 咳嗽则辄已一作转甚
'ke'tuo'nong'xue 咳唾脓血
'ke'tuo'yin'tong 咳唾引痛
'ke'wu'si 客忤死
'ke'xi'zhang'kou 咳息张口
'ke'xia'zhi 可下之
'ke'yin'shui 渴饮水
'ke'yin'zhou'er'sheng 可饮粥二升
'ke'yu'da'cheng'qi'tang 可与大承气汤
'ke'yu'de'yin'er'bu'neng'yin 渴欲得饮而不能饮
'ke'yu'ma'huang'jia'shu'tang 可与麻黄加术汤
'ke'yu'ma'huang'xing'ren'yi'yi'gan'cao'tang 可与麻黄杏仁薏苡甘草汤
'ke'yu'yang'dan'tang 可与阳旦汤
'ke'yu'yin'shui 渴欲饮水
'ke'yu'yin'shui'bu'zhi'zhe 渴欲饮水不止者
'ke'zhe'jia'mang'xiao'ban'liang 渴者加芒硝半两
'ke'zhe'wei'yu'jie 渴者为欲解
'ke'zhi 可治
'ke'zhi 咳止
'ke'zhi'san'si'ji 可至三四剂
'kong'ci'dang'yan'yin'qi'sheng'gu'ye 恐此当言阴气盛故也
'kong'ci'wu'leng 恐此物冷
'kong'fu'jiu'fu'yi'wan 空腹酒服一丸
'kong'shang'hun'ye 恐伤魂也
'kong'xin'fu'qi'wan 空心服七丸
'kong'yi'sheng'duo'zhe 恐一升多者
'kou'bu'bi 口不闭
'kou'bu'neng'yan 口不能言
'kou'fu 口父
'kou'gan'chuan'man 口干喘满
'kou'gan'da'ke 口干大渴
'kou'gan'she'zao'zhe 口干舌燥者
'kou'gan'zao'er'ke 口干燥而渴
'kou'jin'bu'de'yu 口噤不得语
'kou'jin'niu'bu'kai 口噤拗不开
'kou'kai 口开
'kou'ku 口苦
'kou'she'gan'zao 口舌干燥
'kou'tu'dan 口吐诞
'kou'zao 口燥
'kou'zao'er'chuan 口燥而喘
'kou'ze'wei'xu 芤则为虚
'kou'zhong'you'jin'ye 口中有津液
'ku'ji 苦极
'ku'jiu'yi'sheng 苦酒一升
'ku'leng'zhe'si'yi'yun'fu'zhong'leng 苦冷者死一云腹中冷
'ku'lian'wu'zi'zhe'sha'ren 苦练无子者杀人
'ku'shen'er'liang 苦参二两
'ku'shen'ge'si'liang 苦参各四两
'ku'shen'san'liang'ku'jiu'yi'sheng'ban 苦参三两苦酒一升半
'ku'shen'tang'fang 苦参汤方
'ku'shen'tang'xi'zhi 苦参汤洗之
'ku'shen'yi'sheng 苦参一升
'ku'tong'zhe'si 苦痛者死
'ku'xie'xiang'bo 枯泄相搏
'kuai'shi'zhi 鲙食之
'kuan'dong'hua'san'liang 款冬花三两
'kui'xin'bu'ke'shi 葵心不可食
'kui'zi'fu'ling'san'fang 葵子茯苓散方
'kui'zi'fu'ling'san'zhu'zhi 葵子茯苓散主之
'kui'zi'yi'jin 葵子一斤
'kun'wei 困萎
'lan'ren'qi 烂人脐
'lang'ya'san'liang 狼牙三两
'lang'ya'tang'fang 狼牙汤方
'lang'ya'tang'xi'zhi 狼牙汤洗之
'lao'xiao'liang'zhi 老小量之
'lao'xiao'zai'fu 老小再服
'lao'ze'rong'qi'jie 劳则荣气竭
'lao'zhi'wei'bing 劳之为病
'lei'ming'qie'tong 雷鸣切痛
'lei'zhe'jian'zhi 羸者减之
'leng'shi'zi'neng'zhu'yao'li 冷食自能助药力
'leng'yin'che'tong 冷阴掣痛
'li'bu'ke'duo'shi 李不可多食
'li'bu'ke'duo'shi 梨不可多食
'li'fan'kuai 利反快
'li'ji'yu'shui'chi 利及浴水赤
'li'jie'feng 历节风
'li'jie'huang'han'chu 历节黄汗出
'li'jie'nan'liao 例皆难疗
'li'jie'teng 历节疼
'li'li'you'sheng 沥沥有声
'li'lu'gan'cao'tang'fang'wei'jian 藜芦甘草汤方未见
'li'lu'gan'cao'tang'zhu'zhi 藜芦甘草汤主之
'li'qi 立起
'li'rang'zhu'zhi 黎穰煮汁
'li'shui 里水
'li'shui'zhe 里水者
'li'xia'rou'fang 利下肉方
'li'xiao 立效
'li'xu'ye 里虚也
'li'yu 立愈
'li'yu'bu'ke'he'quan'rou'shi'zhi 鲤鱼不可合犬肉食之
'li'yu'zha'bu'ke'he'xiao'dou'huo'shi'zhi 鲤鱼鲊不可合小豆藿食之
'li'zhe 理者
'lian'mi'he'wan 炼蜜和丸
'lian'mi'he'wan'wu'tong'zi'da 炼蜜和丸梧桐子大
'lian'mi'he'wan'xiao'dou'da 炼蜜和丸小豆大
'lian'mi'he'wan'zao'he'da 炼蜜和丸枣核大
'lian'mi'he'wei'si'jiu 炼蜜和为四九
'lian'mi'wan'ru'ma'zi'da 炼蜜丸如麻子大
'lian'mi'wan'ru'tong'zi'da 炼蜜丸如桐子大
'lian'mi'wan'ru'wu'zi'da 炼蜜丸如梧子大
'lian'mi'wan'ru'xiao'dou'da 炼蜜丸如小豆大
'lian'mi'wan'wu'zi'da 炼蜜丸梧子大
'liang'bi'bu'ju 两臂不举
'liang'duo'shao 量多少
'liang'jing'zi'leng 两胫自冷
'liang'jiu'zai'fu 良久再服
'liang'mu'an'hei 两目黯黑
'liang'qu'teng'tong 两胠疼痛
'liang're'suo'de 两热所得
'liang'xie'tong 两胁痛
'liang'zhong'fan'luan 两种烦乱
'liao'duo'shi 蓼多食
'liao'he'sheng'yu'shi'zhi 蓼和生鱼食之
'liao'zhi'fang 疗之方
'lin'fa'shi'fu'yi'qian'bi 临发时服一钱匕
'lin'jia'bu'ke'fa'han 淋家不可发汗
'lin'qin'bu'ke'duo'shi 林檎不可多食
'lin'zhi'wei'bing 淋之为病
'ling'cong'chi'jian'de'ru 令从齿间得入
'ling'gan'wu'wei'jia'jiang'xin'ban'xia'xing'ren'tang'fang 苓甘五味加姜辛半夏杏仁汤方
'ling'gan'wu'wei'jia'jiang'xin'ban'xing'da'huang'tang'fang 苓甘五味加姜辛半杏大黄汤方
'ling'gan'wu'wei'jiang'xin'tang'fang 苓甘五味姜辛汤方
'ling'gui'shu'gan'tang'fang 苓桂术甘汤方
'ling'gui'shu'gan'tang'zhu'zhi 苓桂术甘汤主之
'ling'gui'shu'gan'tang'zhu'zhi'fang'jian'shang 苓桂术甘汤主之方见上
'ling'mai'he 令脉和
'ling'mei'huai 令没踝
'ling'neng'shi 令能食
'ling'ren'bai'mai'ruo 令人百脉弱
'ling'ren'bing 令人病
'ling'ren'bing'zeng 令人病增
'ling'ren'chang'jie 令人肠结
'ling'ren'dong'tan'yin 令人动痰饮
'ling'ren'duo'qi 令人夺气
'ling'ren'duo'ti'tuo 令人多涕唾
'ling'ren'duo'wang 令人多忘
'ling'ren'fa'chuang 令人发疮
'ling'ren'fa'qi'li 令人乏气力
'ling'ren'fu'zhong'sheng'chong 令人腹中生虫
'ling'ren'han'zhong 令人寒中
'ling'ren'jin'jia'suo 令人筋甲缩
'ling'ren'kou'shuang 令人口爽
'ling'ren'ku'zao 令人枯燥
'ling'ren'kuang'luan 令人狂乱
'ling'ren'lu'zhang 令人胪胀
'ling'ren'mian'fa'huang 令人面发黄
'ling'ren'mian'sheng'you'feng 令人面生游风
'ling'ren'mian'wu'guang 令人面无光
'ling'ren'qi'qiao'jing'nian'liu'xue 令人七窍经年流血
'ling'ren'qi'zhang 令人气胀
'ling'ren'qiang'zhuang'yi 令人强壮宜
'ling'ren're'ke 令人热渴
'ling'ren'shi'gan 令人嗜甘
'ling'ren'shou 令人瘦
'ling'ren'tu'xian 令人吐涎
'ling'ren'xiao'shuo'tuo'rou 令人消铄脱肉
'ling'ren'xin'men 令人心闷
'ling'ren'xin'tong 令人心痛
'ling'ren'xue'jia 令人血瘕
'ling'ren'yi'gui'xie'zhe'she'xia 令人以桂屑着舌下
'ling'ren'yin'shi'bu'hua 令人饮食不化
'ling'ren'zuo 令人作
'ling'ru'hou 令濡喉
'ling'wen 令温
'ling'xiao'jin 令消尽
'ling'ya'chu 令芽出
'ling'yao'li'xing 令药力行
'ling'zhong'shen'bu'yu 令终身不愈
'ling'zi'qing'mang 令子青盲
'ling'zi'wu'sheng'yin 令子无声音
'ling'zi'yin'luan'wu'chi 令子淫乱无耻
'ling'zi'yu'zhi 令子余指
'liu'chu'rou 六畜肉
'liu'chu'zi'si 六畜自死
'liu'jia'ri 六甲日
'liu'qi'jie'zai'xiong 留气结在胸
'liu'shi'ri'nai'yu 六十日乃愈
'liu'yin'zhe 留饮者
'liu'yue'qi'yue'wu'shi'zhu'yu 六月七月勿食茱萸
'liu'zhu'xin'xiong'tong 流主心胸痛
'long'dai'jing'ru'qin'cai'zhong 龙带精入芹菜中
'long'gu 龙骨
'long'gu'deng'fen 龙骨等分
'long'gu'ge'si'liang 龙骨各四两
'long'gu'san'liang 龙骨三两
'long'gu'si'liang 龙骨四两
'lou'pu 漏脯
'lou'xia'hei'bu'jie 漏下黑不解
'lu'gen'zhu'zhi 芦根煮汁
'lu'rou'bu'ke'he'pu'bai'zuo'geng 鹿肉不可和蒲白作羹
'luan'fa'er'fen'shao 乱发二分烧
'luan'fa'ru'ji'zi'da'san'mei 乱发如鸡子大三枚
'luan'fa'ru'ji'zi'da'shao'hui'yong 乱发如鸡子大烧灰用
'lun'er'shou 论二首
'lun'qi'shou 论七首
'lun'san'shou 论三首
'lun'yi'shou 论一首
'lun'yue 论曰
'luo'di'bu'zhao'chen'tu'zhe 落地不着尘土者
'luo'ma'zhui'che'xue'ji'deng 落马坠车血疾等
'luo'mai'kong'xu 络脉空虚
'lv'ma'rou 驴马肉
'ma'an'xia'rou 马鞍下肉
'ma'bian'cao 马鞭草
'ma'gan'ji'mao'bu'ke'wang'shi 马肝及毛不可妄食
'ma'huang 麻黄
'ma'huang'deng'fen 麻黄等分
'ma'huang'er'liang 麻黄二两
'ma'huang'er'liang'qu'jie 麻黄二两去节
'ma'huang'fa'qi'yang'gu'ye 麻黄发其阳故也
'ma'huang'fu'zi'tang'fang 麻黄附子汤方
'ma'huang'jia'shu'tang'fang 麻黄加术汤方
'ma'huang'liu'liang 麻黄六两
'ma'huang'liu'liang'qu'jie 麻黄六两去节
'ma'huang'qu'jie'ban'liang'tang'pao 麻黄去节半两汤泡
'ma'huang'qu'jie'si'liang 麻黄去节四两
'ma'huang'san'liang 麻黄三两
'ma'huang'san'liang'qu'jie 麻黄三两去节
'ma'huang'si'liang 麻黄四两
'ma'huang'wu'fen 麻黄五分
'ma'huang'xing'ren'yi'yi'gan'cao'tang'fang 麻黄杏仁薏苡甘草汤方
'ma'jiao'wu'ye'yan'zhe 马脚无夜眼者
'ma'ren'ban'sheng 麻仁半升
'ma'rou'bu'ke're'shi 马肉不可热食
'ma'rou'rou'gong'shi'bao 马肉肉共食饱
'ma'shi'yi'sheng 马屎一升
'ma'zi'ren'er'sheng 麻子仁二升
'ma'zi'ren'wan'fang 麻子仁丸方
'ma'zi'ren'wan'zhu'zhi 麻子仁丸主之
'mai'chen 脉沉
'mai'chen'er'xi'yi'zuo'huan'zhe 脉沉而细一作缓者
'mai'chen'er'xi'zhe 脉沉而细者
'mai'chen'er'xian'zhe 脉沉而弦者
'mai'chen'xian'zhe'nv 脉沉弦者衄
'mai'chen'xiao'chi 脉沉小迟
'mai'chen'zhe 脉沉者
'mai'chen'zhe'yi'ma'huang'fu'zi'tang 脉沉者宜麻黄附子汤
'mai'chi'gu'ye 脉迟故也
'mai'chi'zhe 脉迟者
'mai'chu'you 脉出右
'mai'chu'zuo 脉出左
'mai'da'er'jin'zhe 脉大而紧者
'mai'da'wei'lao 脉大为劳
'mai'de'zhu'chen 脉得诸沉
'mai'de'zhu'kou'dong'wei'jin 脉得诸芤动微紧
'mai'dong'er'wu'qi 脉动而无气
'mai'er'shi'yi'tiao 脉二十一条
'mai'fan'chen'chi 脉反沉迟
'mai'fan'hua'shu 脉反滑数
'mai'fu 脉伏
'mai'fu 脉浮
'mai'fu'bu'ke 脉浮不渴
'mai'fu'da'zhe 脉浮大者
'mai'fu'er'hong 脉浮而洪
'mai'fu'er'jin 脉浮而紧
'mai'fu'er'shu 脉浮而数
'mai'fu'er'xi'hua 脉浮而细滑
'mai'fu'fa're 脉浮发热
'mai'fu'shen'zhong 脉浮身重
'mai'fu'shen'zhong'han'chu'e'feng'zhe 脉浮身重汗出恶风者
'mai'fu'wei'zai'biao 脉浮为在表
'mai'fu'xu'er'se'zhe 脉浮虚而涩者
'mai'fu'zhe 脉浮者
'mai'ge'yi'yuan 脉各异源
'mai'hong'shu'zhe 脉洪数者
'mai'ji'xu'kou'chi 脉极虚芤迟
'mai'jie'ji 脉结悸
'mai'jin 脉紧
'mai'jin'da'er'chi'zhe 脉紧大而迟者
'mai'jin'ji 脉紧急
'mai'jin'ru'zhuan'suo'wu'chang'zhe 脉紧如转索无常者
'mai'jing'yun 脉经云
'mai'lai'xi'er'fu'gu'zhe 脉来细而附骨者
'mai'liang'chu 脉两出
'mai'men'dong 麦门冬
'mai'men'dong'ban'sheng 麦门冬半升
'mai'men'dong'qi'sheng 麦门冬七升
'mai'men'dong'tang'fang 麦门冬汤方
'mai'men'dong'tang'zhu'zhi 麦门冬汤主之
'mai'men'dong'yi'sheng'qu'xin 麦门冬一升去心
'mai'pian'xian'zhe'yin'ye 脉偏弦者饮也
'mai'ru'gu 脉如故
'mai'shang'xia'xing 脉上下行
'mai'shu 脉数
'mai'shu'er'hua'zhe'shi'ye 脉数而滑者实也
'mai'shu'wu'chuang 脉数无疮
'mai'shu'xian'zhe 脉数弦者
'mai'shu'xu'zhe'wei'fei'wei 脉数虚者为肺痿
'mai'shuang'xian'zhe'han'ye 脉双弦者寒也
'mai'tuo 脉脱
'mai'wei'da'lai'chi 脉微大来迟
'mai'wei'er'shu 脉微而数
'mai'xian'er'da 脉弦而大
'mai'xian'er'jin 脉弦而紧
'mai'xian'fa're 脉弦发热
'mai'xian'shu'zhe 脉弦数者
'mai'xu'duo'han 脉虚多寒
'mai'xu'ruo'xi'wei'zhe 脉虚弱细微者
'mai'zheng'jian'shang'juan 脉证见上卷
'mai'zheng'jiu'tiao 脉证九条
'mai'zheng'san'tiao 脉证三条
'mai'zheng'shi'er'tiao 脉证十二条
'mai'zheng'shi'liu'tiao 脉证十六条
'mai'zheng'shi'qi'tiao 脉证十七条
'mai'zheng'shi'si'tiao 脉证十四条
'mai'zheng'si'tiao 脉证四条
'mai'zheng'wu'shi'si'tiao 脉证五十四条
'mai'zheng'wu'tiao 脉证五条
'mai'zheng'yi'tiao 脉证一条
'mai'zhi 脉之
'mai'zhi'bu'yan'shui 脉之不言水
'mai'zi'chen 脉自沉
'man'chuan'ke'tu 满喘咳吐
'mang'xiao'san'he 芒硝三合
'mao'er'zhong'zhang 冒而肿胀
'mao'fa'xiang'hou'shun'zhe 毛发向后顺者
'mao'jia'yu'jie 冒家欲解
'mao'mei'bu'zhi'tong'chu 冒昧不知痛处
'mao'wu'lou'xia 茅屋漏下
'mao'zhe'bi'ou 冒者必呕
'mei'chao'wu'qian'bi 每抄五钱匕
'mei'duo'shi 梅多食
'mei'fu'ren'ru'zhi'yi'liang 每服人乳汁亦良
'mei'fu'si'qian'bi 每服四钱匕
'mei'fu'wu'qian'bi 每服五钱匕
'mei'li'guo'shi'zhi 梅李果食之
'mei'ni'shi'tou'tong'zhe 每溺时头痛者
'mei'qi'qian'bi 每七钱匕
'mei'ri'shi'qian'fu'yi'wan 每日食前服一丸
'mei'tie'fen'zuo'san'xiao'tie 每贴分作三小贴
'mei'wu'qian 每五钱
'mei'xiao'tie'yi'shui'yi'sheng 每小贴以水一升
'men'luan'yu'si 闷乱欲死
'meng'chong'san'shi'ge'ao'qu'chi'zu 虻虫三十个熬去翅足
'meng'chong'yi'sheng 虻虫一升
'meng'shi'jing 梦失精
'meng'yuan'xing'er'jing'shen'li'san 梦远行而精神离散
'mi'bu'ke'shi 弥不可食
'mi'he'wan'yi'jia 蜜和丸亦佳
'mi'qi'gai'zhi 密器盖之
'mi'qi'zhong'zhu'zhi 密器中贮之
'mi'si'liang 蜜四两
'mi'wan'ru'wu'zi'da 蜜丸如梧子大
'mi'wan'wu'zi'da 蜜丸梧子大
'mi'wan'yi'ke 蜜丸亦可
'mi'zhi'ji'mei'li'zi 麋脂及梅李子
'mi'zhou'zi'yang 糜粥自养
'mian'chi 面赤
'mian'chi'ban'ban'ru'jin'wen 面赤斑斑如锦文
'mian'fan'shou 面反瘦
'mian'fu'zhong 面浮肿
'mian'guo 绵裹
'mian'guo'nei'zhi 绵裹内之
'mian'huang'er'chuan 面黄而喘
'mian'mu'fu'zhong 面目浮肿
'mian'mu'qing 面目青
'mian'mu'shen'ti'si'zhi'jie'zhong 面目身体四肢皆肿
'mian'mu'shou'zu'fu'zhong 面目手足浮肿
'mian'mu'xian'ze 面目鲜泽
'mian'mu'zhong'da 面目肿大
'mian'se'bai 面色白
'mian'se'li'hei 面色黧黑
'mian'zheng'chi 面正赤
'ming'feng'shi 名风湿
'ming'jiao'long'bing 名蛟龙病
'ming'ju 名句
'ming'mu'chen 名目沉
'ming'ren'shen 名妊娠
'ming'ri'geng'fu 明日更服
'ming'ri'geng'jia'ban'qian 明日更加半钱
'ming'tuo'qi 名脱气
'ming'yang'xuan'jin 名羊悬筋
'ming'yue'dan'nue 名曰瘅疟
'ming'yue'duan'xie 名曰断泄
'ming'yue'feng'shui 名曰风水
'ming'yue'fu 名曰伏
'ming'yue'gang'jing 名曰刚痉
'ming'yue'gu'dan 名曰谷疸
'ming'yue'jing 名曰痉
'ming'yue'jiu'dan 名曰酒疸
'ming'yue'ku 名曰枯
'ming'yue'mu'nue 名曰牡疟
'ming'yue'nue'mu 名曰疟母
'ming'yue'nv'lao'dan 名曰女劳疸
'ming'yue'qi'fen 名曰气分
'ming'yue'rou'jing 名曰柔痉
'ming'yue'shui 名曰水
'ming'yue'shui'ni 名曰水逆
'ming'yue'xie 名曰泄
'ming'yue'xue'fen 名曰血分
'mo'bing'yin'yao'zhe 摩病引腰者
'mo'chu 沫出
'mo'ling'xie 莫令歇
'mo'mo'dan'yu'wo 默默但欲卧
'mo'mo'yu'mian 默默欲眠
'mo'zhi 末之
'mu'bu'de'bi 目不得闭
'mu'chi 目赤
'mu'chi'ru'jiu'yan 目赤如鸠眼
'mu'dan'pi'er'liang'qu'xin 牡丹皮二两去心
'mu'dan'pi'ge'san'liang 牡丹皮各三两
'mu'dan'pi'san'liang 牡丹皮三两
'mu'dan'qu'xin 牡丹去心
'mu'dan'wu'fen'qu'xin 牡丹五分去心
'mu'dan'yi'liang 牡丹一两
'mu'er'chi'se 木耳赤色
'mu'fang'ji'qu'shi'gao'jia'fu'ling'mang'xiao'tang'fang 木防己去石膏加茯苓芒硝汤方
'mu'fang'ji'tang'zhu'zhi 木防己汤主之
'mu'fang'yi'er'liang 木防已二两
'mu'fang'yi'san'liang 木防已三两
'mu'fang'yi'tang'fang 木防已汤方
'mu'ji'fa're 暮即发热
'mu'jing'hui'le 目睛慧了
'mu'jing'yun'huang 目睛晕黄
'mu'le 沐了
'mu'li 牡蛎
'mu'li'ao'deng'fen 牡蛎熬等分
'mu'li'ge'er'liang 牡蛎各二两
'mu'li'ge'san'liang'you'qi'wei 牡蛎各三两右七味
'mu'li'san'fen 牡蛎三分
'mu'li'san'liang'ao 牡蛎三两熬
'mu'li'si'liang'ao 牡蛎四两熬
'mu'li'tang 牡蛎汤
'mu'li'wu'liang'ao 牡蛎五两熬
'mu'qi'zi'chu 目泣自出
'mu'qing'mian'hei 目青面黑
'mu'ru'tuo'zhuang 目如脱状
'mu'run 目闰
'mu'se'xin'tong 目涩心痛
'mu'si'zi'yi'ben'ci'you'huang'zi'hei 目四眦一本此有黄字黑
'mu'xia'you'wo'can 目下有卧蚕
'mu'xuan 目眩
'mu'xuan'yi'zuo'mu'kuang'tong 目眩一作目眶痛
'mu'yu'wan'fang 暮蓣丸方
'mu'zao'bu'de'mian 暮躁不得眠
'mu'ze'zhan'yu 暮则谵语
'mu'zhi'dan 暮至旦
'mu'zhong'fan'you'zhuo'tuo'dan'mo'zhe'he 目中反有浊唾诞沫者何
'nai'fu'xia'zhi 乃复下之
'nai'ji'ye 乃积也
'nai'jin 乃进
'nai'ke'shi'zhi 乃可食之
'nai'qing'kou'zhong 乃倾口中
'nai'zhi'ke 乃治咳
'nai'zhi'pi 乃治痞
'nan'yi'fu'yang 难以俯仰
'nan'yi'qu'shen'fang'jian'feng'shi'zhong 难以屈伸方见风湿中
'nan'zhi 难治
'nan'zi'huang 男子黄
'nan'zi'mai'fu'ruo'er'se 男子脉浮弱而涩
'nan'zi'mai'xu'chen'xian 男子脉虚沉弦
'nan'zi'mian'se'bo'zhe 男子面色薄者
'nan'zi'ping'ren 男子平人
'nan'zi'shang'jing 男子伤精
'nan'zi'shi'jing 男子失精
'nan'zi'xiao'ke 男子消渴
'nan'zi'ze'wang'xue 男子则亡血
'nan'zi'ze'wang'xue'fu'jing 男子则亡血夫精
'nan'zi'ze'xiao'bian'bu'li 男子则小便不利
'nei'bi'liang'kong'zhong'chui'zhi 内鼻两孔中吹之
'nei'cang'zhong 内藏中
'nei'da'huang 内大黄
'nei'di'huang'zhi 内地黄汁
'nei'er'wei 内二味
'nei'fen'mi 内粉蜜
'nei'gan'cao 内甘草
'nei'ji'zi'huang 内鸡子黄
'nei'jiao 内胶
'nei'jiao'ling'xiao'jin 内胶令消尽
'nei'jiao'xiao'jin 内胶消尽
'nei'jiao'yang'xiao 内胶烊消
'nei'jiao'yi 内胶饴
'nei'jiao'yi'yi'sheng 内胶饴一升
'nei'jiu'yi'da'zhan 内酒一大盏
'nei'jiu'zhong 内臼中
'nei'mang'xiao 内芒硝
'nei'mi'er'sheng 内蜜二升
'nei'mi'jian'zhong 内蜜煎中
'nei'rou 馁肉
'nei'ting'li 内葶苈
'nei'xiao 内硝
'nei'yao'bi'zhong'ze'yu 内药鼻中则愈
'nei'yao'mo 内药末
'nei'you'gan'xue 内有干血
'nei'ze'qi'zhi'zhong 内泽漆汁中
'nei'zhen'zhu'wei'se 内真朱为色
'nei'zhu'yao 内诸药
'neng'shi 能食
'ni'leng 逆冷
'nian'qu'bai'zhi 捻取白汁
'nian'sheng'bu'jue 年盛不觉
'niao'bu'zhuo'zhe 鸟不啄者
'niao'ru'zao'jiao'zhi'zhuang 尿如皂角汁状
'niao'shou'you'zhong'du'jian'si'zhe 鸟兽有中毒箭死者
'ning'jian'zai'shang 凝坚在上
'niu'du'xi'qie 牛肚细切
'niu'fei'cong'san'yue'zhi'wu'yue 牛肺从三月至五月
'niu'rou'gong'zhu'rou'shi'zhi 牛肉共猪肉食之
'niu'yang'zhu'rou 牛羊猪肉
'nong'cheng'ze'si 脓成则死
'nong'jian'zhi 浓煎汁
'nong'wei'cheng 脓未成
'nong'yi'cheng 脓已成
'nong'yi'cheng'ye 脓已成也
'nuan'che'gang 暖车缸
'nuan'ji'bu'zhong 暖肌补中
'nuan'yin'zhi 暖饮之
'nue'bing'mai'zheng'bing'zhi'di'si 疟病脉证并治第四
'nue'duo'han'zhe 疟多寒者
'nue'fa'shi'shou'zu'shi'zhi'zhao'jie'qing 疟发时手足十指爪皆青
'nue'mai'zi'xian 疟脉自弦
'nv'jia'bu'ke'han 衄家不可汗
'nv'wei'zhi 衄未止
