'a'du'li'yu'fo'shen'tong 阿闍梨与佛身同
'chan'sheng'wan'cu'zhi'zhi'ji 蝉声晚簇枝枝急
'chan'shi'zhou'wo'jing 禅师昼卧惊
'chan'ting'lu'zhu'shi'er'yun'cheng'zheng'gu'lang'zhong 禅庭芦竹十二韵呈郑谷郎中
'chan'wai'qiu'shi'miao 禅外求诗妙
'chan'wai'sheng'ta'ming 禅外剩他名
'chan'wei'lao'bu'sheng 孱微老不胜
'chan'xin'jin'ru'kong'wu'ji 禅心尽入空无迹
'chan'xin'shui'zhi'shi 禅心谁指示
'chan'xuan'wu'ke'bing 禅玄无可并
'chan'yan'nan'hou'dao'shi'yan 禅言难后到诗言
'chan'yi'du'shu'gan'yin'ku 蝉依独树干吟苦
'chan'yu'shi'qiao'qu 禅馀石桥去
'chan'yuan'fu'chu'dian 潺湲浮楚甸
'chan'yue'tang'lin'jin'shui'kai 禅月堂临锦水开
'chan'yue'you'ming'zi 禅月有名子
'chan'zhong'bu'zhu'fang'wei'ding 禅中不住方为定
'chan'zong'yi'yue'lan'you'xing 禅宗异岳懒游行
'chang'an'yi'tu'tan 长安已涂炭
'chang'bai'shan'chu'chu 长白山初出
'chang'bang'xi'shan'shu'pian'yun 长傍西山数片云
'chang'cha'wei'bu'tong 尝茶味不同
'chang'ji'cai'kuang'tai'bai'dian 长吉才狂太白颠
'chang'ji'xi'chuang'ping'wei'kan 常寄溪窗凭危槛
'chang'ji'zai'yin'zhong 长记在吟中
'chang'jiang'chun'qi'han 长江春气寒
'chang'jiang'wei'wu'geng 长江未五更
'chang'jiang'yan'zuo'zhong 常将宴坐中
'chang'jie'shi'yan'wu'zhen'jian 常嗟世眼无真鉴
'chang'jing'jiu'suo'jing 常经旧所经
'chang'kong'ting'duo'er'jian'fan 常恐听多耳渐烦
'chang'meng'yuan'fen'hui 常蒙远分惠
'chang'ming'yan'yan'deng 长明焰焰灯
'chang'ming'yu'he'wei 长命欲何为
'chang'ri'ping'lan'kan'shui'liu 长日凭栏看水流
'chang'ri'wo'jing'shen 长日卧精神
'chang'sheng'yuan'shen'shou 长生缘甚瘦
'chang'wang'qi'fei'wan 长往期非晚
'chang'wen'bing'yi'yin 常闻病亦吟
'chang'wen'jing'zhu'tong'hou'lun 常闻荆渚通侯论
'chang'wen'shuo'ci'xin 常闻说此心
'chang'wen'xiang'mu'yuan'hong'xing 常闻相幕鸳鸿兴
'chang'wen'zhong'you'bai'xiang'wang 常闻中有白象王
'chang'xiang'xun'jun'dao'lu'yao 长想寻君道路遥
'chang'ya'gao'mian'de'wen'wu 长讶高眠得稳无
'chang'yan'xie'shi'qu 常言谢时去
'chang'yi'gao'chuang'xia'tian'li 长忆高窗夏天里
'chang'yi'jiu'shan'qing'bi'li 长忆旧山青壁里
'chang'yi'jiu'shan'ri 长忆旧山日
'chang'yi'qian'nian'song'xing'chu 长忆前年送行处
'chang'yi'si'men'song 长忆寺门松
'chang'yi'su'shan'men 长忆宿山门
'chang'yi'xiang'zhao'su'hua'guan 长忆相招宿华馆
'chang'yi'zhao'yin'ye 长忆招吟夜
'chang'yin'qiu'gong'ke 常因秋贡客
'chang'yu'ji'liao'cun 长与寂寥存
'chang'zhi'gu'zi'qing 尝知骨自轻
'chao'fei'lv'ye'han 朝飞绿野寒
'chao'fu'jiu'yong'pi 朝服久慵披
'chao'hun'zhi'shi'dan'fen'shao 朝昏只是但焚烧
'chao'kai'mu'yi'shuai 朝开暮亦衰
'chao'qi'mu'dao'xuan'yuan'jun 朝祈暮祷玄元君
'chao'tian'lu'bu'tong 朝天路不同
'chao'xian'ri'xian'chou 朝贤日献酬
'chao'yang'zhao'zi'yan 朝阳照紫烟
'chao'yi'xian'dian'jin 朝衣闲典尽
'chao'zong'shui'lu'chang 朝宗水路长
'chao'zui'ba'ling'shi 朝醉巴陵市
'che'shu'dou'wang'qin 彻曙都忘寝
'chen'ai'he'suo'dao 尘埃何所到
'chen'ai'jia'dao'shi 尘埃贾岛诗
'chen'chu'cuan'su'hong 晨厨爨粟红
'chen'guang'jin'dian'li 晨光金殿里
'chen'liang'xian'ke'pian'shi'wu 趁凉闲客片时无
'chen'lin'bi'yan'gan'qian'xi 陈琳笔砚甘前席
'chen'lu'shui'hui'yan 尘路谁回眼
'chen'man'ma'yi'xiu'ku'yin 尘满麻衣袖苦吟
'chen'meng'shi'fei'dou'jue'le 尘梦是非都觉了
'chen'tao'chu'shi'zai'lin'qiu 陈陶处士在林丘
'chen'wu'shu'feng'zu 晨午殊丰足
'chen'xiao'zuo'tu'gao 尘销作土膏
'chen'ye'shu'li'chun'mo'mo 晨野黍离春漠漠
'chen'yi'dong'gui'hou 称意东归后
'chen'zhai'lai'hai'ke 晨斋来海客
'chen'zhong'ming'li're 尘中名利热
'cheng'bian'bai'yu'han 澄边白羽翰
'cheng'chuan'fan'yue'hua 乘船泛月华
'cheng'dong'yi'xi'zhu'cheng'xi 城东移锡住城西
'cheng'dui'ou'xiang'feng 成队偶相逢
'cheng'en'wei'yu'qian'guan'bie 承恩位与千官别
'cheng'feng'shi'bu'huan 承风势不还
'cheng'hei'tian'tai'yu 城黑天台雨
'cheng'hui'shu'jun'shan 程回数郡山
'cheng'jiang'xiao'ying'yu'xia'hui 澄江晓映馀霞辉
'cheng'li'shui'zhi'zai'shang'ceng 城里谁知在上层
'cheng'li'wu'xian'chu 城里无闲处
'cheng'li'xun'chang'jian'bi'leng 城里寻常见碧棱
'cheng'lin'yuan'zhao'fu'yan'bo 城临远棹浮烟泊
'cheng'liu'ni'zhuo'ying 乘流拟濯缨
'cheng'ming'wu'yan'nan 澄明物掩难
'cheng'qiu'hao'xie'qu 乘秋好携去
'cheng'wai'si'qiu'xun 城外寺秋寻
'cheng'xian'zi'you'yuan 澄鲜自有源
'cheng'xiang'jia'tong'jing'yi'ju 丞相家同井邑居
'cheng'xing'shang'gou'lou 乘兴上岣嵝
'cheng'zhong'gu'xiang'xun'shi'ke 城中古巷寻诗客
'cheng'zhong'huai'shan'you 城中怀山友
'cheng'zhong'shi'you'ren 城中示友人
'cheng'zhong'wan'xia'si'shan 城中晚夏思山
'cheng'zhu'qiong'you'zhong 撑拄筇犹重
'cheng'zun'du'ju'gu'shan'ding 称尊独踞鼓山顶
'chi'bi'wei'tian'xia'chi 耻必为天下耻
'chi'chi'ri'you'xi 迟迟日又西
'chi'dong'wan'bing'ru'tie'jian 痴冻顽冰如铁坚
'chi'jing'gong'li'neng'ru'shi 持经功力能如是
'chi'lai'wei'ru'chen'ai'lu 持来未入尘埃路
'chi'ri'tong'xia'zhao'wan'po 赤日彤霞照晚坡
'chi'shang'gan'xing 池上感兴
'chi'shang'kan'chun'bing 池上看春冰
'chi'shuai'qi'ju'jing'he'kan 齿衰气沮竟何堪
'chi'shui'wu'jing'hua 赤水无精华
'chi'shui'zhu'he'mi 赤水珠何觅
'chi'tang'wan'jian'fu 池塘晚见浮
'chi'tang'zhuo'xi'wei 池塘啄细微
'chi'xin'chang'xie'bi'sha'long 赤心长谢碧纱笼
'chi'xing'da'guo'zhong 持行大国中
'chi'ye'lu'fen'fen 赤叶路纷纷
'chi'ying'sui'fan'hong'han'dan 池影碎翻红菡萏
'chi'zhou'li'xu'zi'yun'zuo 持咒力须资运祚
'chong'chong'suo'dao'cha'ya'dian 重重锁到槎牙颠
'chong'chong'wan'li'ya'tian'qian 爞爞万里压天堑
'chong'die'ji'wu'ming 重叠记无名
'chong'die'zai'cang'tai 重叠在苍苔
'chong'die'zao'shuang'chen 重叠早霜晨
'chong'lai'geng'shang'nan 重来更上难
'chong'lai'jing'han'pu 重来经汉浦
'chong'lai'rao'ta'xing 重来绕塔行
'chong'lai'yu'shui'yue 重来与谁约
'chong'niao'mo'shi'sheng 虫鸟默时声
'chong'sheng'rao'wu'wu'ren'yu 虫声绕屋无人语
'chong'sheng'ye'zhuan'chou 虫声夜转稠
'chong'wei'wen'xuan'lou 重为文选楼
'chong'wei'zao'sheng'ling 重为造生灵
'chong'wei'ze'guo'han 重为泽国寒
'chong'xue'xi'shan'shan 冲雪锡珊珊
'chong'xue'xiang'nan'chao 冲雪向南朝
'chong'zhai'ye'dian'shu'wu'wei 充斋野店蔬无味
'chou'chang'dan'shang'yan 惆怅但伤颜
'chou'chang'po'ying'xiang 酬唱颇盈箱
'chou'chang'qiu'jiang'yue 惆怅秋江月
'chou'chang'wu'seng'si'hui'xiu 惆怅无僧似惠休
'chou'chang'xue'wen'zhang 惆怅学文章
'chou'chang'ya'sheng'xiao'xie'qu 惆怅雅声消歇去
'chou'chang'you'xin'wen 酬唱有新文
'chou'chang'zai'long'lou 酬唱在龙楼
'chou'chu'zi'hui'shou 踌蹰自回首
'chou'da'tui'shang'ren 酬答退上人
'chou'dong'ting'chen'xiu'cai 酬洞庭陈秀才
'chou'guang'shang'ren 酬光上人
'chou'hun'bang'zhen'bu'ken'qu 愁魂傍枕不肯去
'chou'jiu'jing'zhe 酬九经者
'chou'lu'shan'zhang'chu'shi 酬庐山张处士
'chou'ou'yang'xiu'cai'juan 酬欧阳秀才卷
'chou'sha'sao'ren'lu 愁杀骚人路
'chou'shang'yan'shang'ren 酬尚颜上人
'chou'shu'guo'ou'yang'xue'shi 酬蜀国欧阳学士
'chou'wang'xiu'cai 酬王秀才
'chou'wei'shang'ren 酬微上人
'chou'xi'chuan'chu'luan'shang'ren'juan 酬西川楚峦上人卷
'chou'xi'shu'guang'ji'da'shi'jian'ji 酬西蜀广济大师见寄
'chou'xiang'mu'xu'yuan'wai'jian'ji 酬湘幕徐员外见寄
'chou'yuan'yuan'wai 酬元员外
'chou'yuan'yuan'wai'jian'ji 酬元员外见寄
'chou'yuan'yuan'wai'jian'ji'ba'yun 酬元员外见寄八韵
'chou'yue'yang'li'zhu'bu'juan 酬岳阳李主簿卷
'chou'zhang'shui'zhi'ji 酬章水知己
'chu'chu'bi'qi'qi 处处碧萋萋
'chu'chu'chun'wu'yan 出处春无雁
'chu'ci'er'men'wu'bie'miao 除此二门无别妙
'chu'guan'qing'xiang'zhu'guo'xun 出官卿相驻过寻
'chu'guo'jing'ling'chun 初过竟陵春
'chu'guo'seng'ying'zhu'zi'gui 楚国僧迎著紫归
'chu'hou'ping'tai'xia 楚后萍台下
'chu'ke'li'huai'mu'bu'sheng 楚客离怀暮不胜
'chu'ke'xi'lai'guo'jiu'ju 楚客西来过旧居
'chu'lei'feng'sao'yuan 触类风骚远
'chu'lu'jie'wu'yan 楚路接吴烟
'chu'luo'di'wu'chen 初落地无尘
'chu'men'yi'bu'nan 出门移步难
'chu'ni'an'chan'li 除泥安禅力
'chu'que'gui'zhen'jue 除却归真觉
'chu'que'tu'zhi'ji'bu'zhi 除却徒知即不知
'chu'ren'luo'de'ban'cui'can 楚人罗得半摧残
'chu'ru'hua'ping'zhong 出入画屏中
'chu'shi'chao'tian'ju'wei'de 出世朝天俱未得
'chu'shi'qi'jiang'zhi'fo'xin 出世期将指佛心
'chu'shi'shen'xin'he'xiang'xian 出世身心合向闲
'chu'shi'wu'ta'wang 处世无他望
'chu'shi'zhong'wu'ji 触石终无迹
'chu'shu'chu'wu'tou 楚树出吴头
'chu'shu'xue'qing'hou 楚树雪晴后
'chu'si'bi'xiao'sao 楚寺闭萧骚
'chu'si'han'ye'zuo 楚寺寒夜作
'chu'si'xin'wei'ke 楚寺新为客
'chu'wai'tong'wen'zai 楚外同文在
'chu'wai'yi'gan'tui'jue'chang 楚外已甘推绝唱
'chu'wang'qiao'cui'hun'yu'xiao 楚王憔悴魂欲销
'chu'xiao'fei'xian'ji 初宵飞霰急
'chu'xiao'wen'nian'jing 初宵闻念经
'chu'xie'song'zi'xiang 触鞋松子响
'chu'xue'lian'wu'shu 楚雪连吴树
'chu'xue'sa'lai'qiao'mu'ming 初雪洒来乔木暝
'chu'ye'ru'wu'shen 楚野入吴深
'chu'yue'yin'qian'luo 楚月吟前落
'chu'yue'yu'ru'yue 出岳与入岳
'chuan'de'an'gong'hao'xin'lai 传得安公好信来
'chuan'jia'you'da'shi 传家有大诗
'chuan'lin'ping'ying'mie 穿林瓶影灭
'chuan'man'qin'shu'yu'jiu'bei 船满琴书与酒杯
'chuan'tong'jian'ye'seng 船通建业僧
'chuan'wen'hao'shi'shi 传闻好时世
'chuan'xie'hui'feng'jing'jian'zhe 传写会逢精鉴者
'chuan'xin'mo'xue'luo'fu'qu 传心莫学罗浮去
'chuan'xin'xiu'wen'zu'shi'shan 传心休问祖师山
'chuan'yun'zao'zao'hou 传云遭凿后
'chuan'zao'kan'shang'gu 穿凿堪伤骨
'chuan'zhong'jiang'shang'jing 船中江上景
'chuan'zhong'ting'zhe'gu 船中听鹧鸪
'chuang'duo'xie'beng'shi 窗多斜迸湿
'chuang'fei'chu'yan'yue'cha'xiang 窗扉初掩岳茶香
'chuang'fei'xiang'zao'chao 窗扉向早朝
'chuang'feng'lian'dao'shu 窗风连岛树
'chuang'ge'fei'e'hen'bu'tong 窗隔飞蛾恨不通
'chuang'hu'bi'xiao'xiang 窗户碧潇湘
'chuang'kai'wan'he'chun'quan'luan 窗开万壑春泉乱
'chuang'lin'yao'ai'han'qian'zhang 窗临杳霭寒千嶂
'chuang'nan'jian'yue'yun 窗南见岳云
'chuang'qian'dao'qiu'he 床前倒秋壑
'chuang'sheng'jie'yu'chi 窗声接雨池
'chuang'wai'feng'tao'lian'jian'ye 窗外风涛连建业
'chuang'wai'jian'zhu'lin 窗外见诸邻
'chuang'xi'shu'shi'yin 窗西树石阴
'chuang'xiao'beng'xue'hen 窗销迸雪痕
'chui'bai'kan'si'da'luan'qian 垂白堪思大乱前
'chui'bai'kan'yang'hua 垂白看杨花
'chui'chang'qi'yan'lian 吹长碛雁连
'chui'luo'hong'wu'yan 吹落红无言
'chui'san'ba'biao'wai 吹散八表外
'chui'ta'hao'feng'zhong'ri'you 吹榻好风终日有
'chui'ye'yin'feng'fa 吹叶阴风发
'chui'yuan'ye'feng'tao'ye'bi 吹苑野风桃叶碧
'chun'can'jie'shu'gui 春残结束归
'chun'can'tao'li'you'kai'hu 春残桃李犹开户
'chun'can'wu'wei'yong 春残舞未慵
'chun'can'xiang'yi'jing'jiang'an 春残相忆荆江岸
'chun'cao'you'yao'hua 春草有瑶花
'chun'cao'zhen'wei'ru'meng'cai 春草真为入梦才
'chun'cheng'lai'wang'tao'li'bi 春城来往桃李碧
'chun'cheng'yu'xue'ji 春城雨雪霁
'chun'feng'ban'zhu'sheng 春风斑竹声
'chun'feng'chang'jian'wei 春风长涧薇
'chun'feng'chui'qi'xi 春风吹绮席
'chun'feng'chui'suo'yi 春风吹蓑衣
'chun'feng'dong'liu'si 春风动柳丝
'chun'feng'luan'he'fei 春风鸾鹤飞
'chun'feng'ri'ri'yu'shi'shi 春风日日雨时时
'chun'feng'si'shi'nian 春风四十年
'chun'feng'ye'shui'ya 春风野水涯
'chun'feng'you'he'qing 春风有何情
'chun'feng'zha'chuan'shang 春风霅川上
'chun'guan'ru'bai'fu 春官如白傅
'chun'han'you'zi'lu 春寒游子路
'chun'he'luo'shui'qing'wu'lang 春和洛水清无浪
'chun'he'shui'guo'zhong 春和水国中
'chun'hong'xing'shi'tan 春红杏湿坛
'chun'huang'li'tuo'jin 春篁离箨尽
'chun'ji'shang'yan 春寄尚颜
'chun'jian'shui'quan'xiang 春涧水泉香
'chun'ju'ji'you'sheng 春居寄友生
'chun'lai'you'lai'lin'seng'shu 春来犹赖邻僧树
'chun'lin'pu'bu'chui 春霖瀑布垂
'chun'nuan'shua'mao'yi 春暖刷毛衣
'chun'nuan'xiang'e'mei 春暖向峨嵋
'chun'pei'xiang'fu'you'xian'dong 春陪相府游仙洞
'chun'qing'gan'xing 春晴感兴
'chun'qing'jin'yu'gan 春晴锦羽干
'chun'ri'shang'fang'zhou 春日上芳洲
'chun'ri'xi'hu'zuo 春日西湖作
'chun'rong'han'zhong'xiu 春容含众岫
'chun'se'shi'seng'jin'ju'ni 春色湿僧巾屦腻
'chun'shan'gu'yu'qian 春山谷雨前
'chun'shan'lie'yu'yu 春山列雨馀
'chun'shan'qi'song'jun 春山起送君
'chun'shan'xiu'ji'zhe'gu'ti 春山休记鹧鸪啼
'chun'she'ji'yi'xian 唇舌既已闲
'chun'shi'you'si'ke 春时游寺客
'chun'song'tuo'lao'lin 春松脱老鳞
'chun'sun'he'ru'ying'sun'shi 椿笋何如樱笋时
'chun'tan'ying'nong'sha 春潭影弄砂
'chun'xiao'hai'zhong'qing 春晓海中青
'chun'xing'jiu'xiang'xun'fei'fu 春兴酒香薰肺腑
'chun'xue'chu'qing'xi'you'sheng'zhi 春雪初晴喜友生至
'chun'yi'ke'zi'luo'yang'lai 鹑衣客自洛阳来
'chun'zui'xing'lai'you'yu'xing 春醉醒来有馀兴
'ci'bie'bu'neng'wei'hou'yue 此别不能为后约
'ci'chu'bu'mi'jin 此处不迷津
'ci'dao'nai'he'shen 此道奈何深
'ci'dao'yi'shu'shi 此道亦殊时
'ci'dao'zhen'qing'qi 此道真清气
'ci'di'shi'gong'qing 此地识公卿
'ci'en'ta'xia'qu'jiang'bian 慈恩塔下曲江边
'ci'huai'he'yi'ji 此怀何以寄
'ci'jing'ci'shen'shui'geng'ai 此境此身谁更爱
'ci'jing'zhen'ti'ji'pi'lu 此经真体即毗卢
'ci'jing'zhong'pao'qu 此境终抛去
'ci'jun'chu'bi'luo 辞君出薜萝
'ci'ke'fen'zhang'kan'yu'jin 词客分张看欲尽
'ci'ke'xie'wen'fang'bing'fu 词客携文访病夫
'ci'lei'yang'zuo 次耒阳作
'ci'lu'bian'kan'gui'shui'shi 此路便堪归水石
'ci'lu'mo'jian'nan 此路莫艰难
'ci'lu'wo'ceng'jing 此路我曾经
'ci'men'ceng'gong'shuo 此门曾共说
'ci'men'cong'zi'gu 此门从自古
'ci'men'jiang'wei'zong'wu'xiu 此门将谓总无休
'ci'qu'fen'ming'li'bu'sun 此去分明吏部孙
'ci'qu'qing'liang'ding 此去清凉顶
'ci'qu'yi'ru'seng 此去亦如僧
'ci'qu'zhong'jing'guo 此去重经过
'ci'ri'deng'xian'zhong 此日登仙众
'ci'ri'jiang'bian'zeng'jun'hou 此日江边赠君后
'ci'ri'xiang'zheng'rong 此日向峥嵘
'ci'ri'yu'jun'liao'hua'bie 此日与君聊话别
'ci'shen'wei'bie'jiang'bian'si 此身未别江边寺
'ci'shen'wu'ji'she'qian'cheng 此身无计舍前程
'ci'shen'you'di'nan'pao'shi 此身有底难抛事
'ci'sheng'hai'ke'xi 此生还可喜
'ci'sheng'han'tai'gu 此声含太古
'ci'shi'ou'lu'wu'ren'jian 此时鸥鹭无人见
'ci'shi'xun'ju'an 此时寻橘岸
'ci'shi'yu'mai'jun'shan'zhu 此时欲买君山住
'ci'shi'zhi'bu'si 此时知不死
'ci'wen'jing'da'jiang 此文经大匠
'ci'xin'ren'xin'fou 此心人信否
'ci'xin'ta'yue'yu'shui'xie 此心他约与谁携
'ci'xin'zhong'dai'xiang'feng'shuo 此心终待相逢说
'ci'xing'kan'si'er'gu'xian 此兴堪思二古贤
'ci'yi'jiang'he'ru 此意将何如
'ci'you'you'sheng'hou 此游幽胜后
'ci'yun'chou'zheng'gu'lang'zhong 次韵酬郑谷郎中
'ci'zhong'shan'niao'zao'chui'yang 此中山鸟噪垂杨
'ci'zhong'xiao'xi'xing'he'kan 此中消息兴何堪
'ci'zhong'yin'de'xie'chen'huan 此中因得谢尘寰
'ci'zhu'ren'jue'ju'si'shou 辞主人绝句四首
'cong'ci'hua'dong'zhou 从此化东周
'cong'ci'pin'yin'rao 从此频吟绕
'cong'ci'ru'nan'huang 从此入南荒
'cong'ci'yi'men'xiu'wang'duan 从此倚门休望断
'cong'fang'duan'chang'ming'yue'zhong 从放断肠明月中
'cong'feng'huo'you'wen 从风或有闻
'cong'feng'zi'juan'shu 从风恣卷舒
'cong'jiao'bian'lv'tai 从教遍绿苔
'cong'lai'gua'wang'huan 从来寡往还
'cong'lai'wo'you'yu 从来我友于
'cong'lai'xin'bu'shi'you'you 从来心不是悠悠
'cong'li'xiang'kan'ben 从离向坎奔
'cong'ling'ru'jin'wu'shi'hui 葱岭如今无使回
'cong'pin'qi'yi'shu 从贫乞已疏
'cong'rong'ri'yi'guo 从容日易过
'cong'rong'wei'gao'zuo 从容味高作
'cong'rong'yi'jiao'qing'liang'meng 从容一觉清凉梦
'cong'ta'xiao'qing'shi 从他笑轻事
'cui'dou'rong'xian'qi 翠窦容闲憩
'cui'e'di'han'lu 翠萼低含露
'cui'shi'seng'chuang'li 翠湿僧窗里
'cui'wo'dong'liang 摧我栋梁
'cui'wo'zhu'lan'hu'lie'xian 翠幄朱栏护列仙
'cui'xiu'cai'su'hua 崔秀才宿话
'cui'yi'dan'xin'leng 翠裛丹心冷
'cui'yi'lan'guang'di 翠忆蓝光底
'cui'zhong'xian'zhuo'zhan'qi'hong 翠中闲卓战旗红
'cun'cun'chou'jun'zhu'yu'bi 寸寸酬君珠与璧
'cun'ju'ji'huai 村居寄怀
'cun'ming'hai'qiao'xia 村明海峤霞
'cun'wan'zhu'ren'jia 村晚主人家
'cun'xin'xiu'wei'liao 寸心修未了
'cun'yan'qing'mang'cang 村烟晴莽苍
'cun'yao'hong'shu'yuan 村遥红树远
'cuo'cuo'zai'chan'ting 错错在禅庭
'cuo'jie'zhong'ni'tan 错解仲尼叹
'cuo'tuo'er'shi'qiu 蹉跎二十秋
'cuo'tuo'zhi'dao'jin 蹉跎直到今
'da'chang'sha'ding'xiu'cai'shu 答长沙丁秀才书
'da'chao'you'sheng'jun 大朝有圣君
'da'chen'xiu'cai 答陈秀才
'da'cui'xiao'shu 答崔校书
'da'dao'duo'da'xiao 大道多大笑
'da'du'lang'hou'qing'dui'mei 大都浪后青堆没
'da'er'xian'ren'man'han'xu 大耳仙人满颔须
'da'fu'duo'cai'zi 大府多才子
'da'fu'xiang'xi'shan 大府向西山
'da'guan'wu'yi'wu 大观无遗物
'da'guo'chen'hun'ju'sha'shang 大国尘昏惧杀伤
'da'hua'zhong'hua'ding 大化终华顶
'da'jia'kai'chu'bu'xu'kai 大家开处不须开
'da'kong'xiu'cai 答孔秀才
'da'peng'shua'he'xie'ming'bo 大鹏刷翮谢溟渤
'da'pi'lu'cang'bian'xu'kong 大毗卢藏遍虚空
'da'ren'jie'yi'guan 达人皆一贯
'da'ru'fu'zi'xi 达如夫子稀
'da'sheng'wei'ling'di 大圣威灵地
'da'shi'sheng'dou'lv 大士生兜率
'da'wei'xin'fu'bai'ya'qian 大沩心付白崖前
'da'wen'sheng'da'shi'qing'zhu'shu 答文胜大师清柱书
'da'wu'yuan'shang'ren'shu 答无愿上人书
'da'xian'shang'ren'juan 答献上人卷
'da'xiang'ying'he'shan'mian'luo 大象影和山面落
'da'yang'chan'qi'chu 大仰禅栖处
'da'ye'you'xian'ren 大野有贤人
'da'you'sheng'shan'ju'ji'shi 答友生山居寄示
'da'ze'ming'han'yan 大泽鸣寒雁
'da'zhi'ji'zi'que'xia'ji'shu 答知己自阙下寄书
'da'zhi'zhong'nan'qi 大志终难起
'dai'de'yue'guang'lai 待得月光来
'dai'he'qu'cheng'jian'di'gu 带鹤驱成涧底孤
'dai'lai'zhao'mu'fu'ping'yu 待来朝暮拂瓶盂
'dai'yue'di'chang'yuan 待月底长圆
'dai'zan'jin'you'bie'guan'yan 玳簪今又别官筵
'dai'zhe'dong'tang'gui 待折东堂桂
'dan'bi'qiong'cang 霮蔽穹苍
'dan'bo'men'nan'dao 澹泊门难到
'dan'dang'guang'zhong'fei'cui'fei 澹荡光中翡翠飞
'dan'ding'shuang'mao'xing'ke'lian 丹顶霜毛性可怜
'dan'fang'ge'hong'wu'jiu'zao 丹访葛洪无旧灶
'dan'huai'lin'quan'sheng 但怀林泉声
'dan'jue'ya'feng'qing 但觉雅风清
'dan'kong'fang'fei'wu'zheng'se 但恐芳菲无正色
'dan'kong'lian'hua'qi'duo'yi'shi'zhe 但恐莲花七朵一时折
'dan'kong'tian'long'ye'cha'qian'ta'zhong 但恐天龙夜叉乾闼众
'dan'mu'lai'lin'yuan 旦暮来林园
'dan'mu'yu'sheng'zai 旦暮馀生在
'dan'nian'jiu'feng'yun 但念旧峰云
'dan'qi'yi'ying'xiong 胆气亦英雄
'dan'qing'miao'xie'shi'cai'ren 丹青妙写十才人
'dan'qu'wo'gu'feng 担去卧孤峰
'dan'sha'jiu'fu'zhi 丹砂久服之
'dan'xi'duo'yuan'you 旦夕多猿狖
'dan'xia'li'shi'qiao 丹霞里石桥
'dan'xin'lao'bi'yi 丹心劳避弋
'dan'xue'hong'xia'yan'ying'shen 丹穴红霞掩映深
'dan'yi'bei'bei'feng 单衣背北风
'dan'zhi'ru'ji'fen 丹枝如计分
'dang'dang'ruo'zhao'xu 荡荡若朝旭
'dang'men'ji'yuan'sha 当门即远沙
'dang'nian'ruo'tong'fang 当年若同访
'dang'shi'kong'you'ge'zhui'pei 当时空有个追陪
'dang'shi'liu'zu'zai'huang'mei 当时六祖在黄梅
'dang'shi'xiao'ku'du 当时消酷毒
'dang'shi'xie'zhi'tou 当时獬豸头
'dang'xuan'wei'yan'wei 当轩未厌危
'dao'an'hai'kua'chi'lv'xing 道安还跨赤驴行
'dao'ben'tong'sao'ya 道本同骚雅
'dao'bi'shui'xiang'wei 到彼谁相慰
'dao'chu'qian'tu'wai 道出千途外
'dao'chu'qin'qi'bang 到处琴棋傍
'dao'chu'ting'shi'lun 到处听时论
'dao'ci'ji'liao'hui 到此寂寥回
'dao'cuo'shi'ji'jin 道挫时机尽
'dao'gu'shen'lao'zheng'shang'xin 道孤身老正伤心
'dao'hai'jian'wu'hong 到海渐无鸿
'dao'he'tian'ji'zuo'ke'kui 道合天机坐可窥
'dao'ji'xu'wu'he 道寄虚无合
'dao'lin'si'ju'ji'yue'lu'chan'shi'er'shou 道林寺居寄岳麓禅师二首
'dao'lin'yu'ju 道林寓居
'dao'lu'chang'wu'zu 道路长无阻
'dao'lu'mian'qi'qu 道路免崎岖
'dao'lu'shen'qiu'shi 岛露深秋石
'dao'lun'yan'tong'bai'jian'zhen 道论研通白见真
'dao'miao'shen'kua'you'zuo'mo 道妙深夸有琢磨
'dao'miao'yan'he'qiang 道妙言何强
'dao'qu'bi'yun'zheng'ji'cheng 道去碧云争几程
'dao'seng'liu'su'wei'shuai'yan 岛僧留宿慰衰颜
'dao'si'zhu'ren'xin 道似主人心
'dao'tou'cong'suo'yu 到头从所欲
'dao'tou'xu'pu'po 到头须扑破
'dao'tou'zhong'ce'jian 到头重策蹇
'dao'xian'fa'jin'diao 刀闲发尽凋
'dao'xiao'wang'yan'shen 道笑忘言甚
'dao'xiao'yu'seng'tong 到晓与僧同
'dao'xing'yi'ru'shui 道性宜如水
'dao'yin'wu'zi'jie 叨因五字解
'dao'ying'gui'dan'bo 道应归淡泊
'dao'you'jing'jun'kan'tuo'ji 道有静君堪托迹
'dao'yu'chan'fen'su 岛屿蝉分宿
'dao'yuan'chun'tai'jing 道院春苔径
'dao'zai'shui'kai'kou 道在谁开口
'dao'zhong'gui'zheng'shi 道终归正始
'dao'zhong'jiang'xian'yang 道种将闲养
'dao'zi'xian'ji'zhang 道自闲机长
'de'bi'dong'jing'shen 得必洞精深
'de'dao'kuang'lu'si'bian'xiu 得到匡庐死便休
'de'er'zhi'qing'liang 得尔致清凉
'de'gui'qing'zhang'si 得归青嶂死
'de'ji'dong'zhi'yin 得即动知音
'de'jian'jiao'qin'hou 得见交亲后
'de'li'tui'guan'jin'ji'huai 得李推官近寄怀
'de'lu'ying'xiang'xiao 得路应相笑
'de'shi'liang'tu'ju'bu'shi 得失两途俱不是
'de'shi'xian'shi'shi 得诗先示师
'de'shuo'qiu'xu'shen 地说丘墟甚
