'a'la'tan'wu'wei'wan 阿拉坦五味丸
'zhen'zhu'tong'luo'wan 珍珠通络丸
'zheng'chai'hu'yin'jiao'nang'he'ji 正柴胡饮胶囊合剂
'zheng'chai'hu'yin'ke'li 正柴胡饮颗粒
'zheng'gu'shui 正骨水
'zheng'gu'zi'jin'wan 正骨紫金丸
'zheng'hong'hua'you 正红花油
'zheng'qing'feng'tong'ning'huan'shi'pian 正清风痛宁缓释片
'zheng'qing'feng'tong'ning'pian'jiao'nang 正清风痛宁片胶囊
'zheng'qing'feng'tong'ning'zhu'she'ye 正清风痛宁注射液
'zheng'tian'wan'jiao'nang 正天丸胶囊
'zheng'xin'tai'pian'jiao'nang'ke'li 正心泰片胶囊颗粒
'zhi'bai'di'huang'pian'jiao'nang'ke'li 知柏地黄片胶囊颗粒
'zhi'bai'di'huang'wan 知柏地黄丸
'zhi'bi'tai'jiao'nang 脂必泰胶囊
'zhi'bi'tuo'jiao'nang 脂必妥胶囊
'zhi'bi'tuo'pian 脂必妥片
'zhi'chuan'ling'kou'fu'ye 止喘灵口服液
'zhi'chuan'ling'zhu'she'ye 止喘灵注射液
'zhi'chuang'pian'jiao'nang 痔疮片胶囊
'zhi'chuang'shuan 痔疮栓
'zhi'gan'cao'he'ji 炙甘草合剂
'zhi'kang'jiao'nang 致康胶囊
'zhi'kang'pian'jiao'nang 痔康片胶囊
'zhi'ke'chuan'bei'pi'pa'lu'di'wan 治咳川贝枇杷露滴丸
'zhi'ke'ju'hong'wan'jiao'nang'ke'li 止咳橘红丸胶囊颗粒
'zhi'ke'wan'pian'jiao'nang 止咳丸片胶囊
'zhi'ling'jiao'nang 至灵胶囊
'zhi'mi'kang'shuan 治糜康栓
'zhi'shang'jiao'nang 治伤胶囊
'zhi'shang'ruan'gao 治伤软膏
'zhi'shi'dao'zhi'wan 枳实导滞丸
'zhi'shu'kuan'zhong'jiao'nang 枳术宽中胶囊
'zhi'shu'wan'ke'li 枳术丸颗粒
'zhi'sou'hua'tan'wan'jiao'nang'ke'li 止嗽化痰丸胶囊颗粒
'zhi'tong'hua'zheng'pian'jiao'nang'ke'li 止痛化癥片胶囊颗粒
'zhi'tuo'jie'bai'wan 智托洁白丸
'zhi'xue'qu'yu'ming'mu'pian 止血祛瘀明目片
'zhi'xue'wan 痔血丸
'zhi'xue'zhen'tong'jiao'nang 止血镇痛胶囊
'zhong'feng'hui'chun'wan'pian'jiao'nang 中风回春丸片胶囊
'zhong'jie'feng'pian'jiao'nang'ke'li 肿节风片胶囊颗粒
'zhong'jie'feng'zhu'she'ye 肿节风注射液
'zhong'man'fen'xiao'wan 中满分消丸
'zhong'tong'an'jiao'nang 肿痛安胶囊
'zhong'tong'qi'wu'ji 肿痛气雾剂
'zhou'che'wan 舟车丸
'zhu'huang'san 珠黄散
'zhu'ling'duo'tang'jiao'nang 猪苓多糖胶囊
'zhu'ling'duo'tang'zhu'she'ye 猪苓多糖注射液
'zhu'sha'an'shen'wan'pian 朱砂安神丸片
'zhu'she'yong'deng'zhan'hua'su 注射用灯盏花素
'zhu'she'yong'shuang'huang'lian'dong'gan 注射用双黄连冻干
'zhu'she'yong'xie'sai'tong'dong'gan 注射用血塞通冻干
'zhu'she'yong'xue'shuan'tong'dong'gan 注射用血栓通冻干
'zhu'yu'tong'mai'jiao'nang 逐瘀通脉胶囊
'zhuang'gu'guan'jie'wan'jiao'nang 壮骨关节丸胶囊
'zhuang'gu'she'xiang'zhi'tong'gao 壮骨麝香止痛膏
'zhuang'gu'shen'jin'jiao'nang 壮骨伸筋胶囊
'zhuang'gu'zhi'tong'jiao'nang 壮骨止痛胶囊
'zhuang'yao'jian'shen'wan'pian 壮腰健肾丸片
'zhui'feng'tou'gu'wan'pian'jiao'nang 追风透骨丸片胶囊
'zi'di'ning'xue'san 紫地宁血散
'zi'jin'ding'san 紫金锭散
'zi'long'jin'pian 紫龙金片
'zi'shen'yu'tai'wan 滋肾育胎丸
'zi'xin'yin'jiao'nang'ke'li'kou'fu'ye 滋心阴胶囊颗粒口服液
'zi'xue 紫雪
'zi'xue'jiao'nang'san'ke'li 紫雪胶囊散颗粒
'zu'ka'mu'ke'li 祖卡木颗粒
'zu'shi'ma'gao'yao 祖师麻膏药
'zu'shi'ma'pian 祖师麻片
'zuo'gui'wan 左归丸
'zuo'jin'wan'pian'jiao'nang 左金丸片胶囊
'zuo'zhu'da'xi 坐珠达西
