'a'bi'de 阿比德
'kuang'you'bu'xiu'zhi'ming'xi 况有不朽之铭兮
'kuang'yu'shi'shi'wu'jiao'she 况於时事无交涉
'kuang'zi'zhi'wu'di'pu'tong 况子植物低仆僮
'kui'er'qi'men'mo'jian'ren 愧尔期门磨剑人
'kui'gong'yi'kui 亏功一篑
'kui'ran'heng'zhen'hu'zhe'jiang 岿然横枕乎浙江
'kun'peng'shui'ji'san'qian'li 鲲鹏水击三千里
'kuo'ran'yan'jie'san'wan'li 廓然眼界三万里
'kuo'yu'zhou'yi'wei'liang'xi 廓宇宙以为量兮
'lai'he'chu 来何处
'lai'jing'shi'yi'liang'nian'xu 来京师已两年许
'lai'xiang'shi'mao'da'lou'ce 来向世贸大楼侧
'lai'you'shen'nong'zhi'xue'cun'zhi'jin 赖有神农之学存至今
'lai'zhe'wu'you'wang'xi 来者吾犹望兮
'lai'zong'you'er'zi'du'xi 来宗牖而自度兮
'lan'cao'cang'tai'gong'lang'ji 烂草苍苔共狼藉
'lan'feng'zhi'gao'xi'wang'bu'ji 兰风之皋兮望不极
'lan'guo'pi'er'jia'shan 揽国辟而家擅
'lan'hao'qi'yi'wei'gui 揽灏气以为圭
'lan'jiu'zhou'xi'yu'you 揽九州兮余忧
'lan'ping'sheng'zhi'yu'zhi'xi 擥平生之余制兮
'lan'shuang'zai'jiu'jiang'qing'yao 兰艭载酒桨轻摇
'lan'xun'er'shi'fa'xi 兰薰而时发兮
'lan'zhi'jiang'xi'you'zhou 兰之江兮有洲
'lao'di'li'xi'mang'mang 老帝力兮茫茫
'lao'luo'jiang'shan'wu'sheng'qi 牢落江山无胜气
'lao'qi'ling'han'man 老气凌汗漫
'lao'ran'ran'qi'liu'lian 老冉冉其流连
'lao'ren'zhi'yang'an 老人之养安
'lao'sheng'chang'tan'xing'ting'zhi 老生常谈幸听之
'lao'shu'cang'ya'han'gu'se 老树苍崖含古色
'lao'shu'cha'ya'ban'ku'zhe 老树杈枒半枯折
'lao'si'bu'jian'chuan'bian'feng 老死不见传边烽
'lao'weng'bai'shou'ru'xiao'er 老翁白首如小儿
'lao'xue'an'bei'jing 老学庵北井
'le'jin'wan'wu'er'wu'qiu 乐尽万物而无求
'le'mo'le'xi'chen'zhi'tu 乐莫乐兮郴之土
'lei'gong'da'nu'dian'mu'xiao 雷公大怒电母笑
'lei'jun'gong'zhou'xi'dong'you'mu 诔君輁轴兮冬又暮
'lei'lei'qiang'fu'xiang'ye'jian 累累襁负襄叶间
'lei'niu'ling'po'geng'bu'xi 羸牛领破耕不息
'lei'qu'bu'xiang'dian'hui'sao 雷驱不祥电挥扫
'lei'ru'xing'he'fan'que'qiao 泪入星河翻鹊桥
'lei'xing'ba'qu 雷行八区
'lei'yue'xi'dong'ting 酹月兮洞庭
'leng'qing'bai'shou'tai'guan'si 冷卿白首太官寺
'leng'qing'xiao'wu'po'cang'chun 冷卿小坞颇藏春
'leng'qing'zhi'duo'fa'cang'lang 冷卿智多发苍浪
'leng'zuo'xi'bian'shi 冷坐溪边石
'li'ai'gu'gui'nong'ai'jian 吏爱谷贵农爱贱
'li'bu'neng'da'ye'qin'wang'tan'nang'wu 力不能大野擒王探囊物
'li'dong'yang'bi'huo'xing 李东阳避火行
'li'dong'yang'chang'jiang'xing 李东阳长江行
'li'dong'yang'shan'shui'tu 李东阳山水图
'li'dong'yang'yi'yun'lou'ge 李东阳怡云楼歌
'li'dong'yang'zhang'yang'zhi'jian'tao 李东阳张养止检讨
'li'fang'wu'xi'jian'jun'tang 历芳芜兮荐君堂
'li'fu'diao'li'jiao'shou 李复调李教授
'li'gong'dian'ge'ai'fei'niao 离宫殿阁碍飞鸟
'li'hai'xun'zheng 利害薰蒸
'li'he'qu'zhong'chang'yin'sheng 唳鹤曲终长引声
'li'hu'zhong'pi'zhi'shang 立乎众埤之上
'li'jian'ji'jiu'wei'nong'huan 吏奸积久为农患
'li'juan'zhang'tai'jun'mo'xian 李娟张态君莫嫌
'li'lian'yu'er'bu'gui 厉廉隅而不刿
'li'ming'hua'duan'mo'gua'kou 利名画断莫挂口
'li'qian'yue'shi'deng'mian'yan'er'shang 历潜岳石磴绵延而上
'li'shi'xiang'ming'ji'lian'jie 莅事详明己廉洁
'li'shui'huo'er'tian'xi 离水火而天兮
'li'ya'zhuan'shi'wan'he'lei 砅崖转石万壑雷
'li'yan'cun'yao'wu'bu'you 里谚村谣无不有
'li'yin'na'neng'jiu'yan'qu 吏隐那能久淹屈
'lian'bo'wei'yi'ren'mo'shi 帘箔为衣人莫识
'lian'chuang'ye'yu'ji'jie'xiao 连床夜语鸡戒晓
'lian'gu'xiang'zhui'pan 连鼓相追攀
'lian'shan'zhi'gang 连山之冈
'lian'shan'zhi'gang'xi 连山之冈兮
'liang'gong'zhi'cai'niu'dai'niu 良弓之材牛带牛
'liang'hou'bu'ru'cao'zi'fang 两侯不如曹子方
'liang'ren'cao'xing'sui'bu'tong 两人操行虽不同
'liang'ren'qu'hou'feng'ci'yang 良人去后逢此殃
'liang'wan'tiao'dang'gong'mo'fu 两丸跳荡供摩抚
'liang'zao'ning'shen'chi'zi'bu'cu'xia 两造凝神持子不猝下
'liao'e'qu'lao'lei'zhan'yi 蓼莪劬劳泪沾臆
'liao'li'pu'xi'xiao'yao 聊澧浦兮消遥
'liao'ren'lan'wei'jiu'ying'zhi 撩人蓝尾酒盈卮
'liao'wei'ji'jie'chang'jiang'ge 聊为击节长江歌
'liao'yi'zhong'wu'zhi'yong'nian 聊以终吾之永年
'liao'yu'hua'er'xiao'yao 聊与化而逍遥
'lie'que'hui'bian'qi'long'hu 列缺挥鞭起龙虎
'lie'ri'ran'yan'li'xian'yang 烈日燃焰离咸旸
'lie'shi'er'chen'pei'long'hu 列十二辰配龙虎
'lie'tu'wang'lai'xia'xiu 列土王来下休
'lin'jia'yan'de'xu'duo'ji 邻家焉得许多鸡
'lin'jiang'jun'cheng'kan'kong'bi 临江郡城瞰空碧
'lin'jing'yi'ye'xi'wei'feng'chu'xiu 林惊一叶兮微风触袖
'lin'liu'zhuo'zu 临流濯足
'lin'ru'ren'yi'chang'de'cheng 凛如人以常德称
'lin'shi'dao'zhi'e'xi'liang'shi'qu'qu 凛世道之腭兮良士瞿瞿
'lin'tian'lu'er 临天路而
'lin'you'zhi'er'bu'di 麟有趾而不踶
'ling'chen'bu'liu 灵辰不留
'ling'chen'bu'liu'xi 灵辰不留兮
'ling'gong'cang'yan'yin'lao'bai 灵宫苍烟荫老柏
'ling'jun'bi'xian'yi'sao'jing 灵均蔽贤遗骚经
'ling'long'kong'hou'xie'hao'zheng 玲珑箜篌谢好筝
'ling'peng'peng'xi'fang'qiu 菱芃芃兮方秋
'ling'san'guang'ji'ming 令三光继明
'ling'xin'guai'xi'lai'xia 灵心怪兮来下
'ling'xing'qu'jian'ru'ji'feng 令行去奸如疾风
'liu'bu'gui'xi'yan'qiu 留不归兮焉求
'liu'ding'xia'qu'jiang 六丁下取将
'liu'e'luo'ye'shi 刘鹗落叶诗
'liu'e'zhi'ling'yun'ge 刘鹗致凌云阁
'liu'ke'zhuang'guo'xi'shan'shui'zhang'zi 刘克庄郭熙山水障子
'liu'ke'zhuang'yun'liang'xing 刘克庄运粮行
'liu'ke'zhuang'zhao'hun'ge 刘克庄招魂歌
'liu'ke'zhuang'zhu'cheng'xing 刘克庄筑城行
'liu'qi'shi'bian'le'yi'sheng'xi 六七十便了一生兮
'liu'ren'fu'he'yi 流人复何倚
'liu'su'luo'dai'pian'ru'xian 流苏络带翩如仙
'liu'xia'jing'feng'jin'yao'niao 柳下惊逢金騕袅
'liu'ying'cai'yuan'xiao'hong'fei 流莺才怨晓红飞
'liu'yuan'ya'ti'gong'zhu'zui 柳苑鸦啼公主醉
'liu'yue'han'ru'bing 六月寒如冰
'liu'yue'yang 六月羊
'liu'zi'cheng'bing'ge'qi'shou 刘子澄并歌七首
'long'bo'wei'yu'zhi'hui 龙伯为余指麾
'long'jun'bei'zha'bo'chen'qi 龙君悲咤波臣泣
'long'men'xi'zu'chang 龙门兮阻长
'lou'bing'wen'zhang'fei'gong'qiao 镂冰文章费工巧
'lou'lu'wan'sou'tun'hu'men 楼橹万艘屯虎门
'lou'tai'cheng'die'yin'yin'cheng'fen'mang 楼台城叠隐隐呈纷哤
'lou'wang'yu'tuo'chou'jing'kun 漏网欲脱愁鲸鲲
'lu'chan'jue'xi'yuan'mo'zhi 路巉绝兮远莫致
'lu'ci'bei 鸬鹚杯
'lu'ge'you'ming'sheng'wang'jue 路隔幽冥生望绝
'lu'hua'dian'yi'bi'cheng'shui 露花点衣碧成水
'lu'hua'qin'yi'han'geng'geng 露华侵衣寒耿耿
'lu'jiao'xiang'ji'duan'gui'lu 鹿角相犄断归路
'lu'ju'ceng'jian'gu'zhong'jing 鲁鶋曾见鼓钟惊
'lu'lian'zi'xi'yi'bu'di'qin 鲁连子兮义不帝秦
'lu'lu'san'zhang'qing'si'sheng 辘轳三丈青丝绳
'lu'man'man'hu'chang'ye 路曼曼乎长夜
'lu'men'si 鹿门寺
'lu'qing'shan'bian'bie'xing 卢青山扁鳖行
'lu'qing'shan'chu'cao'shi 卢青山除草诗
'lu'qing'shan'hu'wei'ge 卢青山胡为歌
'lu'qing'shan'qi'ge 卢青山泣歌
'lu'qing'shan'shi'mao'san'ge 卢青山世贸三歌
'lu'qing'shan'shu'shi 卢青山书事
'lu'qing'shan'wu'ti 卢青山无题
'lu'qing'shan'xia'ke'xing 卢青山侠客行
'lu'quan'ru'lian'zhao'qiu'yang 卢泉如练照秋阳
'lu'quan'zhi'bin'ke'wang'si 卢泉之滨可忘死
'lu'quan'zhi'mu'bai'chi'chang 卢泉之木百尺长
'lu'shan'xiu'chu'nan'dou'bang 庐山秀出南斗傍
'lu'yi'qiong 路已穷
'lu'you'bi'shi'xing 陆游避世行
'lu'you'dui'jiu'tan 陆游对酒叹
'lu'you'he'fan'she'ren'zuo 陆游和范舍人作
'lu'you'ji'shan'nong 陆游稽山农
'lu'you'jiang'zong'guan 陆游姜总管
'lu'you'lao'xue'an'jing 陆游老学庵井
'lu'you'shan'zhong'guan'can'ju 陆游山中观残菊
'lu'you'ye'wen'xi'shuai 陆游夜闻蟋蟀
'lu'you'you'shu'shan 陆游游疏山
'luan'li'zou'cuan'qian'li'shan 乱离走窜千里山
'luan'shu'yi'qi'sui'che'lun 鸾书驿骑随车轮
'luan'yue 乱曰
'lue'jiang'zhou'gong'shi'er'zheng 略讲周公十二政
'lun'jiao'yi'xin'bu'yi'ji 论交以心不以迹
'lun'ru'yi'jiao'fei'wu'quan 沦入异教非吾泉
'lun'wen'bo'zhi'xing'hai'wai 论文拨置形骸外
'lun'xin'he'bi'xian'tong'diao 论心何必先同调
'luo'hua'qi'zuo'hui'feng'wu 落花起作回风舞
'luo'ma'kui'zhi'lun'piao'bo 罗马溃之沦飘泊
'luo'ye'bie'shu 落叶别树
'lv'an'diao'li'fen'hao'mang 驴鞍钓笠分毫芒
'lv'bin'nian'shao'jin'chai'ke 绿鬓年少金钗客
'lv'er'zhi'ma'jiao'teng'xiang 绿耳之马骄腾骧
'lv'sang'yu'yu'an'wei'jing 绿桑郁郁暗微径
'lv'weng'zhi'ye'yu'tian'tong 吕翁之冶与天通
'ma'bu'yong'xi'dou'qie'xian 马不用兮都且闲
'ma'ju'ta'sha'tian'xia'ren 马驹蹋杀天下人
'ma'yuan'zhe'xian'ren 麻源谪仙人
'ma'zu'pang'gong 马祖庞公
'mai'jiu'du'shang'chun'meng'po 买酒独赏春梦婆
'mai'long'tong'er'lian'zhi'ru 麦陇童儿怜雉乳
'man'cheng'sa'bai'yu 满城撒白雨
'man'chuan'feng'yue'yi'jiang'hu 满船风月忆江湖
'man'chuan'ming'yue'wo'lu'hua 满船明月卧芦花
'man'kou'xiang'tan 满口乡谈
'man'shen'bian'bai'wei'you'hei 满身变白尾犹黑
'mang'gu'jiang'xi'sheng'ai 莽故疆兮生埃
'mang'mang'ceng'li'ji'hun'chao 茫茫曾历几昏朝
'mao'ling'san'shi'lao 茂陵三十老
'mao'yan'chui'hong'qiu'qi'liang 茅檐垂虹秋气凉
'mei'ci'zhen'gui'san'bai'pian 美刺箴规三百篇
'mei'jian'pi'pa'yi'zhao'yun 每见琵琶忆朝云
'mei'jiu'bai'chuan'chou'yi'chun 美酒百船酬一春
'mei'li'jian'guo'shu'di'yi 美利坚国数第一
'mei'li'jian'zhuo'ru'shan'li 美利坚卓如山立
'mei'li'shu 没礼数
'mei'ren'bu'yi'feng 美人不易逢
'mei'ren'tiao'di'ge'yun'duan 美人迢递隔云端
'mei'ren'yan'ba'xiang'yu'ti 美人燕罢项羽啼
'mei'ren'zi'you'mei'ren'lian'yu'xi 美人自有美人怜与惜
'mei'ru'pei'ze'shi'xia'tu 浼汝沛泽施下土
'mei'xian'ce'ran'lin'jing'pang 梅仙恻然临井旁
'mei'yi'ren'xi'yan'zhi'jiong 美一人兮巖之扃
'mei'yi'shen'yin'lei'hen'shi 每一呻吟泪痕湿
'men'wai'bai'pao'ru'li'hu 门外白袍如立鹄
'meng'rong'chu'mo'xi'zhu'luo 蒙茸出磨细珠落
'meng'ti'si'xue'dan'xin'po 梦啼死血丹心破
'mi'mi'xing'ren'bu'gui'qu 靡靡行人不归去
'mi'ru'zhi'zu'lei'ru'er'tong 觅汝之族类汝儿童
'mian'gao'qiong'er'tan'xi 面高穹而叹息
'mian'gua'die'yi'cheng'fang 绵瓜瓞以承芳
'mian'mian'zi'lei'tian'suo'shou 绵绵紫藟天所寿
'mian'nan'an 眠难安
'miao'ba'he'er'qu'chi 眇八合而驱驰
'miao'bei'gong'xi'shui'liu 渺贝宫兮谁留
'miao'chen'cheng'xi'chu'ya 藐郴城兮楚涯
'miao'da'wu'er'cheng'ren 眇大物而成仁
'miao'jia'ren'xi'yu'huai 眇佳人兮余怀
'miao'tang'fang'hui'kou'da'zei 庙堂方讳口打贼
'miao'tang'yi'yong'yi'lv'tu 庙堂已用伊吕徒
'mie'shen'ru'qin 灭身辱亲
'min'jiang'yu'xi'shui'chou 民将鱼兮谁瘳
'min'shan'lou'shang'yi'xi'yi 岷山楼上一徙倚
'min'shi'ming'zhi'bu'dang'xi 悯时命之不当兮
'min'zhong'chan'bie'gui 闽中产鳖龟
'min'zi'si'zhi'xiang'yu'ji 民自思之相与纪
'ming'chao'zui'qi'xue'sai'men 明朝醉起雪塞门
'ming'chuang'jing'ji'you'su'qi 明窗净几有宿契
'ming'chui'zhu'bo'sheng'ying'xiong 名垂竹帛生英雄
'ming'hu 鸣呼
'ming'mu'guan'xiang'you'shen'chi 冥目观想尤神驰
'ming'nian'sui'jian'jiu'hua'kai 明年虽见旧花开
'ming'ri'ci'qiu'ruo'lu'kun'ran'kong 明日此球若颅髡然空
'ming'ri'jie'cheng'wu'wu'dou 明日解酲无五斗
'ming'sheng'hui'yu'zhi'guan'xi 名声毁誉之观兮
'ming'yin'ren'chong'feng'su'xian 名因人重逢苏仙
'ming'yu'xi'jiang'liu 名与兮江流
'ming'yue'qing'he'jia'ke'you 明月清河佳可游
'ming'zhao'ai'tong'ru'fu'mu 明诏哀痛如父母
'mo'ba'gang'chang'mu'liang'rou 莫把刚肠慕粱肉
'mo'jiao'xi'zhao'cui'chang'di 莫教夕照催长笛
'mo'qi'jian'zhong'sheng'qi'weng 摩其肩踵声其嗡
'mo'qiong'du'jue'xue'man'ban 陌穷渡绝雪满坂
'mo'que'ma'shi'san'chi'zui 磨却马师三尺觜
'mo'yi'chuan'wan'gu'wen'zhang'zhi'yin 墨以传万古文章之印
'mu'dan'dan'er'wai'fu'xi 目眈眈而外浮兮
'mu'guan'xi'cuo'cuo 沐冠兮嵯嵯
'mu'gui'de'tu'shi'liu'qi 暮归得兔十六七
'mu'han'mo'de 穆罕默德
'mu'ji'qian'li'yi'ceng'kan 目极千里倚层槛
'mu'ji'xin'yi'chuan 目击心已传
'mu'nian'yi'lao'yi'sang'zhe 暮年遗老依桑柘
'mu'qiong'qiong'er'bu'mei'xi 目茕茕而不寐兮
'mu'su'jing'mang'jian 暮宿荆莽间
'mu'yi'cai'er'zhuo 木以材而斲
'mu'zhi'bin'bin 木之彬彬
'na'zhi'yi'zhi'cun'wei'hong 捺之以指存微红
'nai'chen'wo'yu'di'yu'zhi'yuan 乃沉我于地狱之渊
'nai'dei'shi'shi'zi'wo 乃得使实自我
'nai'he'wu'lai'chun'feng'zhi 奈何无赖春风至
'nai'he'you'qu'xi'er'yan'zi'xing 奈何有躯兮而焉自形
'nai'hui'gui'yu'wu'xue 乃会归於无学
'nai'jian'wo'zhi'si'zi 乃见我之死子
'nai'shi'qian'ri'ku'xiu'lin 乃是前日枯朽林
'nai'shi'tian'tai'tao'yuan'wei'gui'ke 乃是天台桃源未归客
'nai'yi'yu'xi'fang'du 乃遗余兮芳杜
'nai'you'de'ren'xiang'yu'you'xi 乃有德人相与友兮
'nai'zhi'bu'bi'hui'xian'ju 乃知不必徽弦具
'nai'zhi'da'feng'yang'sha'shi'bai'zhou 乃知大风扬沙失白昼
'nan'bei'bing'zhi 南北并峙
'nan'feng'za'di'song'gui'ke 南风匝地送归客
'nan'feng'zhi'xun'xi'qin'wu'xian 南风之薰兮琴无弦
'nan'shan'shan'sou'gui'wei'xin 南山山叟桂为薪
'nan'shan'you'ge'xi'ge'you'ben 南山有葛兮葛有本
'nan'shen'nv'yin'bu'de'jiang 男呻女吟不得将
'nan'you'jiang'hai'kong'xiao'se 南游江海空萧瑟
'nang'zhong'tan'wan'qi'ren'si 囊中探丸起人死
'nen'ru'qin'shi'tong'nv'deng'peng'ying 嫩如秦时童女登蓬瀛
'neng'cui'bi'feng'li'ru'zhui 能淬笔锋利如锥
'neng'du'li'yu'xue'shuang 能独立於雪霜
'ni'chang'shi'lu'zai'qi'zhong 霓裳实录在其中
'ni'hu'can'chuan'reng'tiao'liang 逆胡残喘仍跳梁
'ni'jie'ting'xi'ji'zhu'zi 睨阶庭兮激诸子
'nian'bi'luo'ye 念彼落叶
'nian'lai'bing'lan'bai'bu'kan 年来病懒百不堪
'nian'lai'xing'de'yang'hua'tian 年来幸得养花天
'nian'wo'ping'sheng'xi'si'jun'yu'tao 念我平生兮思君郁陶
'niao'fu'chao'yu'zhu'ren 鸟覆巢于主人
'niao'sheng'wu'ren'xi'wo'you'lai'ji 鸟声无人兮我友来即
'niao'shou'qi'yi'qi'shi'ge'zhe 鸟兽泣以其势格磔
'niao'shou'shan'lin 鸟兽山林
'niao'ti'ling'yu'meng'chang'ying 鸟啼铃语梦常萦
'nie'ju'xu'kong'yao'bo'lu 捏聚虚空要泊路
'nie'yun'gen 蹑云根
'nie'zhan'xue'jiao'shen'bu'rong 齧毡雪窖身不容
'ning'chen'man'xia'bu'ming'xian 凝尘满匣不鸣弦
'ning'shi'di'ting'shu'wei'zu 凝视谛听殊未足
'ning'wei'li'luo'zhi'xi'pao 宁为篱落之系匏
'ning'yu'lei'ma'tie'er'er'qiu'chu 宁与羸马帖耳而求刍
'ning'yun'jue'xi'wu'sheng 宁陨绝兮无生
'niu'dao'fa'xing'si'yi'bang 牛刀发硎思一邦
'nong'pin'zhu'xi'bing'xue 弄蠙珠兮冰穴
'nong'xian'keng'keng'deng'zhu'guang 弄弦铿铿灯烛光
'nv'wa'bu'tian'bu'bu'di 女娲补天不补地
'nv'wu'xi'ji'gu 女巫兮击鼓
'ou'ran'qing'shan'wu'dou'mi 偶然青衫五斗米
'ou'zhou'da'lu'xiong'wu'pi 欧洲大陆雄无匹
'pai'di'yi'gui 排地以跪
'pan'gu'dang'nian'yi'tai'ku 盘古当年亦太苦
'pan'pan'da'sang'ran'ru'ji 盘盘大颡髯如戟
'pan'shui'piao'piao 鞶帨彯彯
'pang'fo'xi'meng'yu'shen'yu 彷佛兮梦与神遇
'pei'bi'yue'xi'jian'zhu'xing 佩璧月兮间珠星
'pei'xian'xun'zhi'bu'hui 佩先训之不回
'pen'cheng'dan'ting'shan'xiao'yu 湓城但听山魈语
'peng'cha'zhu'bing'zuo'seng'fang 烹茶煮饼坐僧房
'peng'cheng'gu'guan'dao 彭城古官道
'peng'kong'wei'jin'bu'de'an 蓬空煨烬不得安
'peng'men'xi'ma'wan'se'jing 蓬门系马晚色净
'peng'shan'ruo'shui'qi'bu'le 蓬山弱水岂不乐
'pi'rou'dong'si'shang'qi'han 皮肉冻死伤其寒
'pi'zhong'zhou 披众皱
'pian'pian'qiu'duo'jie'ying'cai 篇篇遒铎皆应采
'pian'yao'yong'ci'yi'zhu 偏要用此一著
'pian'zhou'qing'chen'zao'wo'lu 扁舟清晨造我庐
'piao'fen'hu'zhong'chen'hu'po 缥粉壶中沉琥珀
'piao'ling'sui'feng 飘零随风
'piao'piao'lai'wen'mo'tian'sha 飘飘来吻摩天厦
'piao'ran'zhuan'xuan'hui'xue'qing 飘然转旋回雪轻
'pin'di'wei'rong'wu'de'shi 品第未容无得失
'pin'feng'he'yu'sa'mian'liang 蘋风荷雨洒面凉
'ping'sha'yi'pian'bai'mang'mang 平沙一片白茫茫
'ping'sheng'jing'ji'hua'huang'hu 平生荆鸡化黄鹄
'ping'sheng'xing'zhuo'chu'shi'zhen 平生性拙触事真
'ping'shi'wen'xun'ru'niu'yang 平时温驯如牛羊
'ping'ting'si'bu'ren'luo'qi 娉婷似不任罗绮
'ping'xiang'chang'ren'zhi'hao'xi 平乡常人之号兮
'ping'xu'yu'zhi'bu'zai'de'xi 凭须臾之不再得兮
'po'si'long'wei'zhuo'zi'yan 颇似龙尾琢紫烟
'pu'chi'si 酺池寺
'pu'chui'tian'xi'lei'ting'zai'xia 瀑垂天兮雷霆在下
'pu'mian'huang'chen'fei 扑面黄尘飞
'pu'tian'zhi'xia'jin'qi'feng 溥天之下尽其封
'pu'xiang'dong'hai'shui'cang'cang 匍向东海水苍苍
'qi'ba 其八
'qi'ba'yue'hou'qian'tang'chao 七八月後钱塘潮
'qi'bai'jia'zi'lao'weng 七百甲子老翁
'qi'bi'man'chu'bu'xiang'rong 岂必蛮触不相容
'qi'bu'huai'yu'shan 岂不怀玉山
'qi'bu'ke'zhi 泣不可止
'qi'bu'neng'zai'yu'hang'chuan'cang'xi 岂不能载宇航船舱隙
'qi'bu'nian'chou'lv 岂不念俦侣
'qi'chi'gu'yin'xi 栖迟故隐兮
'qi'da'ru'gu'kong'zong'heng 其大如股空纵横
'qi'dai'shi'er'bu'xiu 岂待是而不朽
'qi'de'zu'yi'shen 其德足以伸
'qi'du'jiao'gui'yu'jiang'li 岂独椒桂与江蓠
'qi'er 其二
'qi'er'wan'li'dai'niu'li 妻儿挽犁代牛力
'qi'gai'he'ceng'you'er'qi 乞丐何曾有二妻
'qi'heng'jue'zhi'rang'rang 其横决之瀼瀼
'qi'huai'zhong'xi'fang'qi 岂怀忠兮放弃
'qi'jian'guo'zheng'zui'qin'qie 其间国政最亲切
'qi'jiu 其九
'qi'ju'zhang'ce'er'yi'you'xi 綦屦杖策而一游兮
'qi'juan'du'zhong'xi'san'sui'bu'hui 弃捐椟中兮三岁不会
'qi'jun'yi'shi'ming'yue'ye 期君异时明月夜
'qi'liu 其六
'qi'long'guai'feng'ai'piao'bo 奇龙怪凤爱漂泊
'qi'lou'you'xi'gu'gong 栖楼游兮故宫
'qi'ma'tian'jin'kan'shi'shui 骑马天津看逝水
'qi'mao'yuan'zi'bai 其毛元自白
'qi'nan'dang 泣难当
'qi'pi'zhi'mei'ye 其皮之美也
'qi'qi 其七
'qi'qi'ji'er'jia'nu'tai 弃骐骥而驾驽骀
'qi'qi'kua'yi'shi'yi'qiu'zhi 岂其跨一世以求直
'qi'ren'jian'xi'sheng'di 岂人见兮胜帝
'qi'rou'zhi'yao'ye 其肉之肴也
'qi'ru'si'wo'wu'zhao'feng 岂如死我五爪锋
'qi'san 其三
'qi'she'tang'zhi'ye'tai 启社塘之夜台
'qi'shou'yi'zhong'jin'yu'gong 奇兽异种尽于弓
'qi'shui'zao'fu'zhi 其谁早服之
'qi'si 其四
'qi'wen'ke'yi'jie'heng'ni'zhi'yan 其温可以解横逆之颜
'qi'wu 其五
'qi'wu'dao'zhi'qiong'yu 其吾道之穷欤
'qi'wu'shu'shu'shi'yi'du 岂无熟书试一读
'qi'xi'xiang'chuang'diao'yu'zhen 绮席象床琱玉枕
'qi'xian'bu'ke'pan 其险不可攀
'qi'xiang'ci'di'qing'yan'zhi 齐向此地倾胭脂
'qi'xing'yi'tai 奇形异态
'qi'yan'lao'fa'shi 栖岩老法师
'qi'yao'ji'yu'fu'sang 期遥集于扶桑
'qi'yi 其一
'qi'yong'su'ren'zhi'ding'qi 岂用俗人之町畦
'qi'you'you'chou'ci'gong'bi 岂莸有臭刺公鼻
'qi'yu'qi'bi 泣于其鼻
'qi'yu'qi'er 泣于其耳
'qi'yu'qi'mu 泣于其目
'qi'yu'xue'mai'zhi'beng'che 泣于血脉之崩坼
'qi'yue'hou 七月猴
'qi'yue'ru'zhi'he 岂曰如之何
'qi'ze'yin'feng'wu'bi'chu 七泽阴风无避处
'qi'zhang'he'shi 齐掌合什
'qi'zhi'yu'yi'zhi'er'zi'hui 岂直欲以之而自悔
'qi'zhi'yu'zu 泣之于足
'qi'zhong'ke'yi'hui'jin'zao'zhi'shou 其重可以回进躁之首
'qia'yu'zhao'yang'wu'zhe'tong 恰与昭阳舞者同
'qian'er'zhe'qu'ku'zhu'nv'jian'tang 遣儿折取枯竹女煎汤
'qian'fang'hua'xi'yu'rui 搴芳华兮玉蕤
'qian'ge'bai'wu'bu'ke'shu 千歌百舞不可数
'qian'ge'bu'fei'jing'e'yu 千戈不废菁莪育
'qian'geng'xi'bing'sui 浅耕兮病岁
'qian'gu'feng'liu'you'shi'zai 千古风流有诗在
'qian'gu'ming'chui 千古名垂
'qian'gu'qi'cang 千古其藏
'qian'hou'zhi'ying'san'du'an 前后祗应三度按
'qian'hui'hou'ying'xing'jian'qi'chang'xin 前辉后映行见旗常新
'qian'jin'qing'zhi'zhong'yi'qi 千金轻掷重意气
'qian'kun'beng'che'hai'shui'li 乾坤崩坼海水立
'qian'li'wen'wu'yang 遣吏问无恙
'qian'ling'de'shi'cun'xin'zhi 千龄得失寸心知
'qian'liu'wan'pai'suo'suo'bu'zu'shu 千流万派琐琐不足数
'qian'nian'hu'gong'yi'yan'zhu 前年胡公以言逐
'qian'qiu'wan'sui'tong'shan'he 千秋万岁同山河
'qian'ri'guo'jun'yin'bu'duo 前日过君饮不多
'qian'san'hou'zhi'chun'ying'xi 搴三后之纯英兮
'qian'sui'chao'ju'chang'bi'shi 千岁巢居常避世
'qian'tai'qing'yi'wei'pei'xi 搴太清以为佩兮
'qian'you'meng'hu'hou'cang'si 前忧猛虎后苍兕
'qian'zi'wan'zhuang'fen'ming'jian 千姿万状分明见
'qiang'di'xiu'chi'fu'ma'shu 强敌休驰缚马书
'qiang'he'ri'xi'gong'you 羌何日兮公游
'qiang'ling'xiu'zhi'bu'wu'you'xi 羌灵修之不吾祐兮
'qiang'mao'xing'zhi'jiao'jiao'xi 羌茂行之皎皎兮
'qiang'qian'xiu'zhi'dian'xing'xi 羌前脩之典刑兮
'qiang'ren'zi'cun'xin'zi'chi 戕人自存心自耻
'qiang'ruo'ren'xi'da'dai'er'shen'yi 羌若人兮大带而深衣
'qiang'ruo'ren'zhi'bing'de'xi 羌若人之秉德兮
'qiang'xi'li'zhi'yi'ran'xi 羌西屴之屹然兮
'qiang'yu'gong'bie'xi'ji'er'shi'nian 羌与公别兮几二十年
'qiang'zuo'zhong'xi'you'qing 羌左重兮右轻
'qiao'bi'li'zhi'wan'ren'xi 峭壁立之万仞兮
'qiao'bi'shu'liang'xia 峭壁束两峡
