'a'jiao'pian 阿胶片
'kun'ming'zhen'hua'zhi'yao'chang'you'xian'gong'si 昆明振华制药厂有限公司
'kun'ming'zhi'yao'ji'tuan'gu'fen'you'xian'gong'si 昆明制药集团股份有限公司
'kun'ming'zhong'yao'chang'you'xian'gong'si 昆明中药厂有限公司
'la'jiao'feng'shi'gao 辣椒风湿膏
'la'xi'di'ping'pian 拉西地平片
'lai'su'er'xiao'du'ye 来苏儿消毒液
'lan'jia'tang'sheng'wu'yi'yao'fu'jian'you'xian'gong'si 蓝佳堂生物医药福建有限公司
'lan'suo'la'zuo'chang'rong'pian 兰索拉唑肠溶片
'lan'suo'la'zuo'pian 兰索拉唑片
'lan'wei'xiao'yan'pian 阑尾消炎片
'lan'xi'shi'bai'di'er'yi'yao'yong'pin'you'xian'gong'si 兰溪市拜迪尔医药用品有限公司
'lan'zhou'he'sheng'tang'zhi'yao'you'xian'gong'si 兰州和胜堂制药有限公司
'lang'du'pen'ya'jing 狼毒喷丫净
'lang'shuang'jie'yin'wei'sheng'shi'jin 浪爽洁阴卫生湿巾
'le'ge'wang'pian 了哥王片
'le'li'fu'he'an'ji'suan'ao'he'jiao'nang 乐力复合氨基酸螯合胶囊
'lei'bei'la'zuo'chang'rong'jiao'nang 雷贝拉唑肠溶胶囊
'lei'bei'la'zuo'na'chang'rong'pian 雷贝拉唑钠肠溶片
'lei'yun'shang'yao'ye'you'xian'gong'si 雷允上药业有限公司
'li'ba'wei'lin'ke'li 利巴韦林颗粒
'li'ba'wei'lin'kou'fu'rong'ye 利巴韦林口服溶液
'li'ba'wei'lin'pen'wu'ji 利巴韦林喷雾剂
'li'ba'wei'lin'zhu'she'ye 利巴韦林注射液
'li'bi'pian 利鼻片
'li'dan'pai'shi'pian 利胆排石片
'li'fei'pian 利肺片
'li'fu'ping'jiao'nang 利福平胶囊
'li'ge'wan 利膈丸
'li'ke 力克
'li'qi'shu'xin'pian 理气舒心片
'li'xin'wan 利心丸
'li'yan'ling'pian 利咽灵片
'li'zhu'ji'tuan'li'zhu'zhi'yao'chang 丽珠集团丽珠制药厂
'lian'hua'qing'wen'jiao'nang 连花清瘟胶囊
'lian'huang'jia'yang'bian'ding'pian 联磺甲氧卞啶片
'lian'huang'jia'yang'bian'ding'pian 联磺甲氧苄啶片
'lian'pu'shuang'qing'pian 连蒲双清片
'lian'qiao'bai'du'pian 连翘败毒片
'lian'zhi'xiao'yan'pian 莲芝消炎片
'liao'ning'hai'shen'lian'sheng'zhi'yao'you'xian'gong'si 辽宁海神联盛制药有限公司
'liao'ning'hua'run'ben'xi'san'yao'you'xian'gong'si 辽宁华润本溪三药有限公司
'liao'ning'hua'yuan'tian'li'yao'ye'you'xian'gong'si 辽宁华源天利药业有限公司
'liao'ning'ke'ji'yao'ye'you'xian'gong'si 辽宁可济药业有限公司
'liao'ning'li'ke'zhi'yao'you'xian'gong'si 辽宁力克制药有限公司
'liao'ning'lv'dan'yao'ye'you'xian'gong'si 辽宁绿丹药业有限公司
'liao'ning'min'kang'zhi'yao'you'xian'gong'si 辽宁民康制药有限公司
'liao'ning'shen'yang'shi'tie'xi'qu 辽宁沈阳市铁西区
'liao'ning'sheng'wu'ke'ji'kai'fa'you'xian'gong'si 辽宁生物科技开发有限公司
'liao'ning'xian'cao'tang'yao'ye'gu'fen'you'xian'gong'si 辽宁仙草堂药业股份有限公司
'liao'yuan'shi'bai'kang'yao'ye'you'xian'ze'ren'gong'si 辽源市百康药业有限责任公司
'liao'yuan'yu'long'ya'dong'yao'ye'you'xian'ze'ren'gong'si 辽源誉隆亚东药业有限责任公司
'lin'dan'ru'gao 林旦乳膏
'lin'fen'bao'zhu'zhi'yao'you'xian'gong'si 临汾宝珠制药有限公司
'lin'ke'mei'su'li'duo'ka'yin'ning'jiao 林可霉素利多卡因凝胶
'lin'mei'su'gai'pian 磷霉素该片
'lin'suan'ben'bing'pai'lin'pian'ke'kuai'hao 磷酸苯丙哌林片咳快好
'lin'suan'chuan'xiong'qin'lv'hua'na'zhu'she'ye 磷酸川芎嗪氯化钠注射液
'lin'suan'chuan'xiong'qin'pian 磷酸川芎嗪片
'lin'suan'pai'qin'bao'ta'tang 磷酸哌嗪宝塔糖
'lin'zhou'shi'ya'shen'zhi'yao'you'xian'gong'si 林州市亚神制药有限公司
'ling'hai'shi'shuang'er'jia'wei'sheng'yong'pin'you'xian'gong'si 凌海市爽尔佳卫生用品有限公司
'ling'yang'gan'mao'pian 羚羊感冒片
'ling'yang'jiao'kou'fu'ye 羚羊角口服液
'ling'yang'qing'fei'wan 羚羊清肺丸
'liu'gan'wan 流感丸
'liu'he'wei'sheng'su'wan 六和维生素丸
'liu'ling'wan 六灵丸
'liu'shen'wan 六神丸
'liu'suan'a'mi'ka'xing'zhu'she'ye 硫酸阿米卡星注射液
'liu'suan'a'tuo'pin'zhu'she'ye 硫酸阿托品注射液
'liu'suan'mei'zhu'she'ye 硫酸镁注射液
'liu'suan'qing'da'mei'su'huan'shi'pian 硫酸庆大霉素缓释片
'liu'suan'qing'da'mei'su'ke'li 硫酸庆大霉素颗粒
'liu'suan'qing'da'mei'su'tan'suan'bi'jiao'nang 硫酸庆大霉素碳酸铋胶囊
'liu'suan'qing'da'mei'su'zhu'she'ye 硫酸庆大霉素注射液
'liu'suan'qing'lv'bi'ge'lei'pian 硫酸氢氯吡格雷片
'liu'suan'sha'ding'an'chun'qi'wu'ji 硫酸沙丁胺醇气雾剂
'liu'suan'te'bu'ta'lin'pian 硫酸特布他林片
'liu'tang'lv'ju'jue'pian 硫糖铝咀嚼片
'liu'wei'an'xiao'jiao'nang 六味安消胶囊
'liu'wei'di'huang'di'wan 六味地黄滴丸
'liu'wei'di'huang'jiao'nang 六味地黄胶囊
'liu'wei'di'huang'wan 六味地黄丸
'liu'wei'di'huang'wan'nong'suo'wan 六味地黄丸浓缩丸
'liu'wei'neng'xiao'wan 六味能消丸
'liu'wei'zhuang'gu'ke'li 六味壮骨颗粒
'long'bi'shu'pian 癃必舒片
'long'dan'tan'suan'qing'na'pian 龙胆碳酸氢钠片
'long'dan'xie'gan'pian 龙胆泻肝片
'long'dan'xie'gan'wan 龙胆泻肝丸
'long'kou'shi'shuang'ying'yi'liao'qi'xie'you'xian'gong'si 龙口市双鹰医疗器械有限公司
'long'mu'zhuang'gu'ke'li 龙牡壮骨颗粒
'long'sheng'zhi'jiao'nang 龙生蛭胶囊
'long'ze'xiong'dan'jiao'nang 龙泽熊胆胶囊
'lu'an'hua'yuan'zhi'yao'you'xian'gong'si 六安华源制药有限公司
'lu'ding'pian 芦丁片
'lu'he'ding'zhong'wan 六合定中丸
'lu'hui'sha'jun'jie'yin'wei'sheng'jin 芦荟杀菌洁阴卫生巾
'lu'nan'bei'te'zhi'yao'you'xian'gong'si 鲁南贝特制药有限公司
'lu'tai'gao 鹿胎膏
'lu'tai'ke'li 鹿胎颗粒
'luo'han'guo'han'pian 罗汉果含片
'luo'he'shi'fang'hui'yao'ye'you'xian'gong'si 漯河市方汇药业有限公司
'luo'hong'mei'su'fen'san'pian 罗红霉素分散片
'luo'hong'mei'su'gong'san'pian 罗红霉素公散片
'luo'hong'mei'su'huan'shi'jiao'nang 罗红霉素缓释胶囊
'luo'hong'mei'su'jiao'nang 罗红霉素胶囊
'luo'hong'mei'su'ke'li 罗红霉素颗粒
'luo'hong'mei'su'pian 罗红霉素片
'luo'nei'zhi'pian 螺内酯片
'luo'suo'luo'fen'na 洛索洛芬钠
'luo'suo'luo'fen'na'pian 洛索洛芬钠片
'luo'yang'jun'shan'zhi'yao'you'xian'gong'si 洛阳君山制药有限公司
'luo'yang'kang'hua'sheng'wu'zhi'pin'you'xian'gong'si 洛阳康华生物制品有限公司
'luo'yang'ning'zhu'yao'ye'you'xian'gong'si 洛阳宁竹药业有限公司
'luo'yang'shi'mu'chun'yao'ye'you'xian'gong'si 洛阳市沐春药业有限公司
'luo'yang'tian'sheng'yao'ye'you'xian'gong'si 洛阳天生药业有限公司
'luo'yang'wei'er'jian'sheng'wu'gong'cheng'you'xian'gong'si 洛阳维尔健生物工程有限公司
'lv'hua'jia'pian 氯化钾片
'lv'hua'jia'zhu'she'ye 氯化钾注射液
'lv'hua'na'gai'zhu'she'ye 氯化钠钙注射液
'lv'hua'na'zhu'she'ye 氯化钠注射液
'lv'jiao'bu'xue'ke'li 驴胶补血颗粒
'lv'lei'ta'ding'jiao'nang 氯雷他定胶囊
'lv'lei'ta'ding'pian 氯雷他定片
'lv'mei'su'di'yan'ye 氯霉素滴眼液
'lv'mei'su'pian 氯霉素片
'lv'sen'lin'pai'lu'hui'ruan'jiao'nang 绿森林牌芦荟软胶囊
'lv'tan'suan'mei'ju'jue'pian 铝碳酸镁咀嚼片
'lv'zuo'sha'zong'pian 氯唑沙宗片
'ma'ka'yi'kang'ju'jue'pian 玛卡益康咀嚼片
'ma'lai'suan'lv'ben'na'min'pian 马来酸氯苯那敏片
'ma'lai'suan'sai'ma'luo'er'di'yan'ye 马来酸噻吗洛尔滴眼液
'ma'lai'suan'yi'na'pu'li'pian 马来酸依那普利片
'ma'ren'ruan'jiao'nang 麻仁软胶囊
'ma'ren'run'chang'wan 麻仁润肠丸
'ma'ren'wan 麻仁丸
'ma'ren'zi'pi'wan 麻仁滋脾丸
'ma'ying'long'she'xiang'zhi'chuang'gao 马应龙麝香痔疮膏
'ma'ying'long'yao'ye'ji'tuan'gu'fen'you'xian'gong'si 马应龙药业集团股份有限公司
'mai'di'mei'su'pian 麦迪霉素片
'mai'wei'di'huang'wan 麦味地黄丸
'mai'xue'kang'jiao'nang 脉血康胶囊
'mang'guo'zhi'ke'pian 芒果止咳片
'mao'dong'qing'pian 毛冬青片
'mei'gui'mei'bai'qu'huang'jing'you'zao 玫瑰美白祛黄精油皂
'mei'guo'an'shi'zhi'yao'you'xian'gong'si 美国安市制药有限公司
'mei'luo'xi'kang'pian 美洛昔康片
'mei'suo'ba'mo'jiao'nang 美索巴莫胶囊
'meng'tuo'shi'san 蒙脱石散
'mi'ge'lai'ning 米格来宁
'mi'ge'lai'ning'pian 米格来宁片
'mi'jue'qing'liang'san 秘诀清凉散
'mian'yi'qiu'dan'bai'fen 免疫球蛋白粉
'mian'yi'qiu'dan'bai'kang'ti'kang'jun'ye 免疫球蛋白抗体抗菌液
'miao'zu'zuo'gu'shen'jing'tie 苗族坐骨神经贴
'mie'jun'zhu'she'yong'shui 灭菌注射用水
'min'li'xiao 敏力消
'min'sheng'yao'ye'ji'tuan'you'xian'gong'si 民生药业集团有限公司
'ming'mu'di'huang'wan 明目地黄丸
'ming'mu'ji'li'wan 明目蒺藜丸
'ming'mu'shang'qing'pian 明目上清片
'mo'pi'luo'xing'ruan'gao 莫匹罗星软膏
'mu'dan'jiang'you'bo'zhi'yao'gu'fen'you'xian'gong'si 牡丹江友搏制药股份有限公司
'mu'gua'wan 木瓜丸
'mu'li'qi'cao'ya'pian'guo'tang 牡蛎杞草压片果糖
'mu'li'tan'suan'gai'ke'li 牡蛎碳酸钙颗粒
'mu'xiang'shun'qi'wan 木香顺气丸
'na'ru'san'wei'wan 那如三味丸
'nai'min'wei'di'yan'ye'fen'run'jie 萘敏维滴眼液粉润洁
'nai'pai'di'er'pian 萘哌地尔片
'nai'pu'sheng'jiao'nang 萘普生胶囊
'nan'bao'jiao'nang 男宝胶囊
'nan'chang'chuan'qi'bao'jian'pin'you'xian'gong'si 南昌川奇保健品有限公司
'nan'chang'hong'yi'yao'ye'you'xian'gong'si 南昌弘益药业有限公司
'nan'chang'hua'yi'yi'liao'qi'xie'you'xian'gong'si 南昌华益医疗器械有限公司
'nan'chang'shi'xing'xing'yi'liao'qi'xie'you'xian'gong'si 南昌市兴兴医疗器械有限公司
'nan'chang'shi'yi'er'kang'yi'liao'qi'xie'you'xian'gong'si 南昌市意尔康医疗器械有限公司
'nan'chang'wei'cai'yi'liao'qi'xie'you'xian'gong'si 南昌卫材医疗器械有限公司
'nan'jing'bai'jing'yu'zhi'yao'you'xian'gong'si 南京白敬宇制药有限公司
'nan'jing'hai'chen'yao'ye'you'xian'gong'si 南京海辰药业有限公司
'nan'jing'hai'jing'yao'ye'you'xian'gong'si 南京海鲸药业有限公司
'nan'jing'xin'bai'yao'ye'you'xian'gong'si 南京新百药业有限公司
'nan'shi'kong'you'yi'man'jie'mian'ru 男士控油抑螨洁面乳
'nan'tong'shi'yi'shi'sheng'wu'ji'shu'you'xian'gong'si 南通市伊士生物技术有限公司
'nan'yang'li'xin'zhi'yao 南阳利欣制药
'nan'yang'shi'ao'fu'lai'yao'ye'you'xian'ze'ren'gong'si 南阳市澳福来药业有限责任公司
'nan'yang'shi'xin'sheng'zhi'yao'you'xian'gong'si 南阳市新生制药有限公司
'nan'yue'sheng'wu'zhi'yao'you'xian'gong'si 南岳生物制药有限公司
'nao'luo'tong'jiao'nang 脑络通胶囊
'nao'xin'shu'kou'fu'ye 脑心舒口服液
'nao'xin'tong'jiao'nang 脑心通胶囊
'nao'xue'shuan'pian 脑血栓片
'nei'meng'gu'bai'yi'zhi'yao'gu'fen'you'xian'gong'si 内蒙古白医制药股份有限公司
'nei'meng'gu'cheng'zi'yao'ye'you'xian'gong'si 内蒙古诚梓药业有限公司
'nei'meng'gu'jing'xin'yao'ye'you'xian'gong'si 内蒙古京新药业有限公司
'nei'meng'gu'ke'er'qin'yao'ye'you'xian'gong'si 内蒙古科尔沁药业有限公司
'nei'meng'gu'meng'yao'gu'fen'you'xian'gong'si 内蒙古蒙药股份有限公司
'nei'meng'gu'shuang'qi'yao'ye'gu'fen'you'xian'gong'si 内蒙古双奇药业股份有限公司
'nei'meng'gu'tian'qi'zhong'meng'yao'gu'fen'you'xian'gong'si 内蒙古天奇中蒙药股份有限公司
'nei'meng'gu'tong'liao'zhi'yao'gu'fen'you'xian'gong'si 内蒙古通辽制药股份有限公司
'ni'mei'shu'li'fen'san'pian 尼美舒利分散片
'ni'mei'shu'li'ke'li 尼美舒利颗粒
'ni'mo'di'ping'huan'shi'pian 尼莫地平缓释片
'ni'mo'di'ping'pian 尼莫地平片
'ni'qun'di'ping'pian 尼群地平片
'ning'bo'shi'tian'heng'zhi'yao'you'xian'gong'si 宁波市天衡制药有限公司
'ning'shen'bu'xin'pian 宁神补心片
'ning'shen'ling'ke'li 宁神灵颗粒
'ning'xia'kang'ya'yao'ye'you'xian'gong'si 宁夏康亚药业有限公司
'ning'xin'bao'jiao'nang 宁心宝胶囊
'niu'huang'jiang'ya'wan 牛黄降压丸
'niu'huang'jie'du'pian 牛黄解毒片
'niu'huang'jie'du'wan 牛黄解毒丸
'niu'huang'jing'nao'pian 牛黄净脑片
'niu'huang'qing'fei'san 牛黄清肺散
'niu'huang'qing'wei'wan 牛黄清胃丸
'niu'huang'shang'qing'pian 牛黄上清片
'niu'huang'shang'qing'wan 牛黄上清丸
'niu'huang'suan'di'yan'ye 牛磺酸滴眼液
'niu'huang'xiao'yan'pian 牛黄消炎片
'niu'lai'fo'pai'dan'bai'zhi'fen 纽徕佛牌蛋白质粉
'niu'lai'fo'pai'gai'tie'xin'ruan'jiao'nang 纽徕佛牌钙铁锌软胶囊
'niu'lai'fo'pai'luan'lin'zhi'ruan'jiao'nang 纽徕佛牌卵磷脂软胶囊
'niu'lai'fo'pai'yu'you'ruan'jiao'nang 纽徕佛牌鱼油软胶囊
'niu'lai'fo'pai'yu'you'ruan'jiao'nang'te'hui'zhuang 纽徕佛牌鱼油软胶囊特惠装
'nuan'gong'tie 暖宫贴
'nuan'wei'shu'le'pian 暖胃舒乐片
'nuo'fu'sha'xing'jiao'nang 诺氟沙星胶囊
'nuo'fu'sha'xing'pian 诺氟沙星片
'nuo'fu'sha'xing'pu'tao'tang'zhu'she'ye 诺氟沙星葡萄糖注射液
'nuo'he'bi 诺和笔
'nuo'he'nuo'de'zhong'guo'zhi'yao'you'xian'gong'si 诺和诺德中国制药有限公司
'nuo'he'zhen 诺和针
'nv'bao'jiao'nang 女宝胶囊
'nv'zhen'yu'zhu'jiao'nang 女贞玉竹胶囊
'ou'lai'ya'guo'ji'ji'tuan'xiang'gang'you'xian'gong'si 欧莱雅国际集团香港有限公司
'pai'du'yang'yan'pian 排毒养颜片
'pai'luan'shi'bi 排卵试笔
'pai'luan'shi'zhi 排卵试纸
'pai'shi'ke'li 排石颗粒
'pan'tuo'la'zuo'na'chang'rong'jiao'nang 泮托拉唑钠肠溶胶囊
'pan'tuo'la'zuo'na'chang'rong'pian 泮托拉唑钠肠溶片
'pang'da'hai'tang 胖大海糖
'pao'jiao'yan'lao'jiang'wang 泡脚盐老姜王
'pao'jiao'yan'xian'mei'gui 泡脚盐鲜玫瑰
'pao'jiao'yan'xun'yi'cao 泡脚盐熏衣草
'peng'lai'nuo'kang'yao'ye'you'xian'gong'si 蓬莱诺康药业有限公司
'pi'fu'bing'xue'du'wan 皮肤病血毒丸
'pi'wei'shu'wan 脾胃舒丸
'pian'tan'fu'yuan'wan 偏瘫复原丸
'pu'di'lan'xiao'yan'pian 蒲地蓝消炎片
'pu'fa'ta'ting'na'jiao'nang 普伐他汀钠胶囊
'pu'gong'ying'ke'li 蒲公英颗粒
'pu'le'an'jiao'nang 普乐安胶囊
'pu'le'an'pian 普乐安片
'pu'tao'tang'suan'gai'kou'fu'rong'ye 葡萄糖酸钙口服溶液
'pu'tao'tang'suan'gai'tan'suan'gai'pao'teng'pian 葡萄糖酸钙碳酸钙泡腾片
'pu'tao'tang'suan'gai'xin'kou'fu'rong'ye 葡萄糖酸钙锌口服溶液
'pu'tao'tang'suan'gai'zhu'she'ye 葡萄糖酸钙注射液
'pu'tao'tang'suan'xin'ke'li 葡萄糖酸锌颗粒
'pu'tao'tang'suan'xin'kou'fu'rong'ye 葡萄糖酸锌口服溶液
'pu'tao'tang'suan'xin'kou'fu'ye 葡萄糖酸锌口服液
'pu'tao'tang'suan'ya'tie'tang'jiang 葡萄糖酸亚铁糖浆
'pu'tao'tang'zhu'she'ye 葡萄糖注射液
'pu'tao'zi'fen 葡萄籽粉
'qi'feng'zhi'yang'ji 绮峰制氧剂
'qi'guan'yan'wan 气管炎丸
'qi'ju'di'huang'wan 杞菊地黄丸
'qi'lu'zhi'yao'you'xian'gong'si 齐鲁制药有限公司
'qi'pi'wan 启脾丸
'qi'qi'ha'er'shi'wan'da'wei'sheng'xiao'du'ji'chang 齐齐哈尔市万达卫生消毒剂厂
'qi'ye'yang'di'shuang'gan'di'yan'ye 七叶洋地双苷滴眼液
'qi'yue'hua'xiang'duan'shu'mi 七月花香椴树蜜
'qi'yue'hua'xiang'duan'shu'yuan'mi 七月花香椴树原蜜
'qi'zhi'wei'tong'ke'li 气滞胃痛颗粒
'qi'zhi'xiang'fu'wan 七制香附丸
'qian'bai'bi'yan'pian 千柏鼻炎片
'qian'li'guang'pian 千里光片
'qian'lie'an'tong'jiao'nang 前列安通胶囊
'qian'lie'hui'chun'pian 前列回春片
'qian'lie'jin'dan'pian 前列金丹片
'qian'lie'long'bi'tong'pian 前列癃闭通片
'qian'lie'shu'le'jiao'nang 前列舒乐胶囊
'qian'lie'shu'tong'jiao'nang 前列舒通胶囊
'qiang'ben'huang'suan'gai'jiao'nang 羟苯磺酸钙胶囊
'qiang'di'pai'chuang'kou'tie 强迪牌创口贴
'qiang'di'pai'gao'tan'fang'shui'chuang'ke'tie 强迪牌高弹防水创可贴
'qiang'jia'si'tan'pian 羟甲司坦片
'qiang'jia'yan'an'pian 羟甲烟胺片
'qiang'li'nao'qing'su'pian 强力脑清素片
'qiang'li'tian'ma'du'zhong'wan 强力天麻杜仲丸
'qiao'qiao'le'jing'jian'bei'yao'duo'gong'neng'an'mo'qi 敲敲乐颈肩背腰多功能按摩器
'qin'bao'hong'zhi'ke'jiao'nang 芩暴红止咳胶囊
'qin'cai'zi'fen 芹菜籽粉
'qin'huang'dao'huang'wei'zhi'yao'you'xian'gong'si 秦皇岛皇威制药有限公司
'qin'shi'li'yan'kou'fu'ye 芩石利咽口服液
'qing'dao'guo'feng'yao'ye'gu'fen'you'xian'gong'si 青岛国风药业股份有限公司
'qing'dao'hai'nuo'sheng'wu'gong'cheng'you'xian'gong'si 青岛海诺生物工程有限公司
'qing'dao'huang'hai'zhi'yao'you'xian'ze'ren'gong'si 青岛黄海制药有限责任公司
'qing'dao'ke'mei'sheng'wu'gong'cheng'you'xian'gong'si 青岛科美生物工程有限公司
'qing'fei'hua'tan'wan 清肺化痰丸
'qing'fei'yi'huo'pian 清肺抑火片
'qing'hai'jing'zhu'zang'yao'ji'tuan 青海晶珠藏药集团
'qing'hai'zhi'yao'chang'you'xian'gong'si 青海制药厂有限公司
'qing'hou'li'yan'ke'li 清喉利咽颗粒
'qing'hou'yan'ke'li 清喉咽颗粒
'qing'huan'huo'yan'shuang 清焕活眼霜
'qing'huo'pian 清火片
'qing'huo'zhi'mai'pian 清火栀麦片
'qing'jie'pian 清解片
'qing'jin'tang'jiang 清金糖浆
'qing'kai'ling'zhu'she'ye 清开灵注射液
'qing'liang'you 清凉油
'qing'lv'jie'yin'zhuan'jia 情侣洁阴专家
'qing'lv'sai'qin'pian 氢氯噻嗪片
'qing'lv'sai'qin'pian 氢氯塞嗪片
'qing'nao'jiang'ya'pian 清脑降压片
'qing'peng'ruan'gao 青鹏软膏
'qing'qing'le 清清乐
'qing're'jie'du'jiao'nang 清热解毒胶囊
'qing're'jie'du'kou'fu'ye 清热解毒口服液
'qing're'san'jie'pian 清热散结片
'qing'wei'huang'lian'wan 清胃黄连丸
'qing'xiu'suan'you'mei'sha'fen'ke'li 氢溴酸右美沙芬颗粒
'qing'xiu'suan'you'mei'sha'fen'pian 氢溴酸右美沙芬片
'qing'xuan'jiang'ya'pian 清眩降压片
'qing'xuan'pian 清眩片
'qing'xuan'wan 清玄丸
'qing'xuan'wan 清眩丸
'qing'yan'wan 清咽丸
'qing'yi'li'dan'ke'li 清胰利胆颗粒
'qing'yi'li'dan'wan 清胰利胆丸
'qing'yin'wan 清音丸
'qing'zhou'yao'wang'zhi'yao'you'xian'gong'si 青州尧王制药有限公司
'qiu'li'run'fei'gao 秋梨润肺膏
'qiu'shui'xian'jian'pian 秋水仙碱片
'qu'an'nai'de'lv'mei'su'rong'ye 曲安柰德氯霉素溶液
'qu'an'nai'de'xin'mei'su'tie'gao 曲安奈德新霉素贴膏
'qu'an'nai'de'yi'kang'zuo'ru'gao 曲安奈德益康唑乳膏
'qu'an'nai'de'zhu'she'ye 曲安奈德注射液
'qu'ban'liang'bai'su 祛斑亮白素
'qu'dou'huang'jin'ning'jiao 祛痘黄金凝胶
'qu'dou'huang'jin'ning'jiao'tao'zhuang 去痘黄金凝胶套装
'qu'dou'jie'mian'ru 祛痘洁面乳
'qu'feng'zhi'tong'jiao'nang 祛风止痛胶囊
'qu'huang'he'ban'jiao'nang 祛黄褐斑胶囊
'qu'huang'he'ban'pian 祛黄褐斑片
'qu'ke'lu'ding'pian 曲克芦丁片
'qu'ke'lu'ding'zhu'she'ye 曲克芦丁注射液
'qu'mi'xin'ru'gao 曲咪新乳膏
'qu'pi'bu'tong'pian 曲匹布通片
'qu'tong'pian 去痛片
'qu'yang'yun'xi'que'ci'chun'pian 去氧孕烯炔雌醇片
'qu'yi'xian'mao'hua'gan'zhu'she'ye 去乙酰毛花苷注射液
'quan'lu'wan 全鹿丸
're'gan'kang'dong'shuang 热感抗冻霜
'ren'ben'chun'mi'shuan 壬苯醇醚栓
'ren'gong'huang'jia'xiao'zuo'jiao'nang 人工黄甲硝唑胶囊
'ren'gong'niu'huang'jia'xiao'zuo'jiao'nang 人工牛黄甲硝唑胶囊
'ren'shen'gui'pi'wan 人参归脾丸
'ren'shen'jian'pi'wan 人参健脾丸
'ren'shen'yang'rong'wan 人参养荣丸
'ren'shen'zai'zao'wan 人参再造丸
'ren'ti'run'hua'ji 人体润滑剂
'rou'suan'dan'bai'jiao'mu'san 鞣酸蛋白酵母散
'ru'he'nei'xiao'ye 乳核内消液
'ru'kuai'xiao'pian 乳块消片
'ru'mei'sheng'pian 乳酶生片
'ru'ning'pian 乳宁片
'ru'pi'xiao'pian 乳癖消片
'ru'suan'huan'bing'sha'xing'lv'hua'na'zhu'she'ye 乳酸环丙沙星氯化钠注射液
'ru'suan'jun'su'ke'li 乳酸菌素颗粒
'ru'suan'jun'su'pian 乳酸菌素片
'ru'suan'ya'tie'kou'fu'ye 乳酸亚铁口服液
'ru'suan'zuo'yang'fu'sha'xing'lv'hua'na'zhu'she'ye 乳酸左氧氟沙星氯化钠注射液
'rui'ge'lie'nai'pian 瑞格列奈片
'run'chun'gao 润唇膏
'sai'ke'xiao'zuo'jiao'nang 塞克硝唑胶囊
'sai'xue'feng'shi'jiao'nang 塞雪风湿胶囊
'san'he'gai'ju'jue'pian 三合钙咀嚼片
'san'huang'fu'yan'kang'xi'ye 三黄妇炎康洗液
'san'huang'jiao'nang 三黄胶囊
'san'huang'pian 三黄片
'san'jin'pian 三金片
'san'jiu'wei'tai'ke'li 三九胃泰颗粒
'san'lin'suan'xian'gan'er'na'zhu'she'ye 三磷酸腺苷二钠注射液
'san'men'xia'guang'yu'sheng'wu'zhi'yao'you'xian'gong'si 三门峡广宇生物制药有限公司
'san'men'xia'hua'yuan'zhi'yao'you'xian'gong'si 三门峡崋原制药有限公司
'san'men'xia'sai'nuo'wei'zhi'yao'you'xian'gong'si 三门峡赛诺维制药有限公司
'san'nuo'sheng'wu'chuan'gan'gu'fen'you'xian'gong'si 三诺生物传感股份有限公司
'san'qi'shang'yao'pian 三七伤药片
'san'shen'wan 三肾丸
'sang'ju'gan'mao'pian 桑菊感冒片
'sang'tuo'ni'shuang 桑拓妮爽
'sao'ri'lao'lao'fei'zhi'ke'jiao'nang 扫日老劳肺止咳胶囊
'sha'kou'zhao 纱口罩
'sha'lun'pian 砂轮片
'shan'dong'bai'cao'yao'ye'you'xian'gong'si 山东百草药业有限公司
'shan'dong'bai'wei'yao'ye'you'xian'gong'si 山东百维药业有限公司
'shan'dong'bo'shi'lun'fu'rui'da'zhi'yao'you'xian'gong'si 山东博士伦福瑞达制药有限公司
'shan'dong'bu'chang'zhi'yao'gu'fen'you'xian'gong'si 山东步长制药股份有限公司
'shan'dong'da'lu'yao'ye'you'xian'gong'si 山东大陆药业有限公司
'shan'dong'fang'jian'zhi'yao'you'xian'gong'si 山东方健制药有限公司
'shan'dong'fang'ming'yao'ye'ji'tuan'gu'fen'you'xian'gong'si 山东方明药业集团股份有限公司
'shan'dong'hua'lu'zhi'yao'you'xian'gong'si 山东华鲁制药有限公司
'shan'dong'jian'min'yao'ye'you'xian'gong'si 山东健民药业有限公司
'shan'dong'jing'wei'zhi'yao'you'xian'gong'si 山东京卫制药有限公司
'shan'dong'liang'fu'zhi'yao'you'xian'gong'si 山东良福制药有限公司
'shan'dong'lu'kang'dong'yue'zhi'yao'you'xian'gong'si 山东鲁抗东岳制药有限公司
'shan'dong'lu'kang'yi'yao'gu'fen'you'xian'gong'si 山东鲁抗医药股份有限公司
'shan'dong'lu'yao'zhi'yao'you'xian'gong'si 山东鲁药制药有限公司
'shan'dong'luo'xin'yao'ye'gu'fen'you'xian'gong'si 山东罗欣药业股份有限公司
'shan'dong'qi'dou'yao'ye'you'xian'gong'si 山东齐都药业有限公司
'shan'dong'qi'kang'yao'ye'you'xian'gong'si 山东齐康药业有限公司
'shan'dong'ren'he'tang'yao'ye'you'xian'gong'si 山东仁和堂药业有限公司
'shan'dong'run'hua'yao'ye'you'xian'gong'si 山东润华药业有限公司
'shan'dong'shan'da'kang'nuo'zhi'yao'you'xian'gong'si 山东山大康诺制药有限公司
'shan'dong'sheng'hai'bao'jian'pin'you'xian'gong'si 山东圣海保健品有限公司
