'ban'shi'de'sheng 班师得胜
'ban'shi'hui'chao 班师回朝
'ban'shi'zai'xiang 伴食宰相
'ban'si'ban'lv 半丝半缕
'ban'si'bu'huo 半死不活
'ban'tu'er'fei 半涂而废
'ban'tu'er'fei 半途而废
'ban'tui'ban'jiu 半推半就
'ban'tun'ban'tu 半吞半吐
'ban'wen'ban'bai 半文半白
'ban'xin'ban'jiu 半新半旧
'ban'xin'ban'yi 半信半疑
'ban'xin'bu'jiu 半新不旧
'ban'ye'san'geng 半夜三更
'ban'yi'ban'xin 半疑半信
'ban'yi'xi'cai 斑衣戏彩
'ban'yi'xi'cai 班衣戏彩
'ban'zhen'ban'jia 半真半假
'ban'zhu'fan'niu 版筑饭牛
'bang'bing'cheng'zhu 蚌病成珠
'bang'da'yao'yuan 膀大腰圆
'bang'da'yuan'yang 棒打鸳鸯
'bang'guan'leng'yan 傍观冷眼
'bang'guo'tian'cui 邦国殄瘁
'bang'hu'chi'shi 帮虎吃食
'bang'hua'sui'liu 傍花随柳
'bang'ren'li'bi 傍人篱壁
'bang'ren'li'luo 傍人篱落
'bang'ren'men'hu 傍人门户
'bang'ruo'wu'ren 傍若无人
'bang'shang'wu'ming 榜上无名
'bang'xian'zuan'lan 帮闲钻懒
'bang'yi'min'wei'ben 邦以民为本
'bao'an'shi'gu 饱谙世故
'bao'ban'dai'ti 包办代替
'bao'ben'fan'shi 报本反始
'bao'bian'yu'duo 褒贬与夺
'bao'bing'gong'shi 报冰公事
'bao'bu'mao'si 抱布贸丝
'bao'can'shou'que 抱残守缺
'bao'can'shou'que 抱残守阙
'bao'can'yi'dun 饱餐一顿
'bao'cang'huo'xin 包藏祸心
'bao'cang'jian'xin 包藏奸心
'bao'cheng'shou'zhen 抱诚守真
'bao'cheng'yi'tuan 抱成一团
'bao'chou'xue'chi 报仇雪耻
'bao'chou'xue'hen 报仇雪恨
'bao'da'bu'ping 抱打不平
'bao'da'tian'xia 包打天下
'bao'dao'bu'lao 宝刀不老
'bao'dao'wei'lao 宝刀未老
'bao'fa'chu'shi 抱法处势
'bao'feng'ji'yu 暴风疾雨
'bao'fu'bu'fan 抱负不凡
'bao'guan'ji'tuo 抱关击柝
'bao'guo'an'min 保国安民
'bao'hen'zhong'tian 抱恨终天
'bao'hu'ping'he 暴虎冯河
'bao'huo'wo'xin 抱火卧薪
'bao'jia'wei'guo 保家卫国
'bao'jing'cang'sang 饱经沧桑
'bao'jing'feng'shuang 饱经风霜
'bao'jing'feng'yu 饱经风雨
'bao'jing'shi'gu 饱经世故
'bao'ju'yu'nei 包举宇内
'bao'lan'ci'song 包揽词讼
'bao'ling'shou'lv 抱令守律
'bao'lu'wu'yi 暴露无遗
'bao'luo'wan'xiang 包罗万象
'bao'luo'wan'you 包罗万有
'bao'ma'xiang'che 宝马香车
'bao'nei'ling'wai 暴内陵外
'bao'nuan'sheng'yin'yu 饱暖生淫欲
'bao'nuan'si'yin'yu 饱暖思淫欲
'bao'nue'wu'dao 暴虐无道
'bao'pu'han'zhen 抱朴含真
'bao'shan'bian'e 褒善贬恶
'bao'shan'kong'hui 宝山空回
'bao'shi'nuan'yi 饱食暖衣
'bao'shi'zhong'ri 饱食终日
'bao'si'liu'pi 豹死留皮
'bao'tian'tian'wu 暴殄天物
'bao'tiao'ru'lei 暴跳如雷
'bao'tiao'ru'lei 爆跳如雷
'bao'tou'da'ku 抱头大哭
'bao'tou'huan'yan 豹头环眼
'bao'tou'shu'cuan 抱头鼠窜
'bao'tou'tong'ku 抱头痛哭
'bao'wan'zhai'gua 抱蔓摘瓜
'bao'weng'guan'yuan 抱瓮灌园
'bao'xi'bu'bao'you 报喜不报忧
'bao'xin'jiu'huo 抱薪救火
'bao'xiu'ren'chi 包羞忍耻
'bao'xue'zhi'shi 饱学之士
'bao'yi'bo'dai 褒衣博带
'bao'yi'lao'quan 饱以老拳
'bao'ying'bu'shuang 报应不爽
'bao'yu'wo'zhu 抱玉握珠
'bao'yu'zhi'si 鲍鱼之肆
'bao'yuan'xue'chi 抱怨雪耻
'bao'zao'ru'lei 暴躁如雷
'bao'zhu'shi'bing 宝珠市饼
'bao'zhu'zhi'xin 抱柱之信
'bao'zi'nong'sun 抱子弄孙
'bei'an'tou'ming 背暗投明
'bei'bei'fu'ju 背碑覆局
'bei'ben'jiu'mo 背本就末
'bei'ben'qu'mo 背本趋末
'bei'bi'wo'chuo 卑鄙龌龊
'bei'bi'wu'chi 卑鄙无耻
'bei'bi'zhi'sheng 北鄙之声
'bei'bu'zi'sheng 悲不自胜
'bei'bu'zu'dao 卑不足道
'bei'chang'jian'ku 备尝艰苦
'bei'chang'xin'ku 备尝辛苦
'bei'chen'xing'gong 北辰星拱
'bei'cheng'jie'yi 背城借一
