'a'tong'san'chi'chui 阿童三尺棰
'luo'wei'sheng'zhuan'ji 络纬声转急
'luo'xia'geng'zai'xi'yang'xi 落霞更在夕阳西
'luo'xing'kai'shi'shen'jie'wu 落星开士深结屋
'luo'yue'dan'gu'deng 落月淡孤灯
'luo'yue'gua'liu'kan'xuan'zhu 落月挂柳看悬蛛
'lv'ben'zhong'chun'wan'jiao'ju 吕本中春晚郊居
'lv'ben'zhong'ding'wei'er'yue'shang'xun 吕本中丁未二月上旬
'lv'ben'zhong'hu'di 吕本中胡笛
'lv'ben'zhong'huai'jing'shi 吕本中怀京师
'lv'ben'zhong'jing'cheng'wei'kun'zhi'chu 吕本中京城围困之初
'lv'ben'zhong'ye'zuo 吕本中夜坐
'lv'fan'kun'san'jiu 旅饭困三韭
'lv'shi'nan'lin'chun'shi'yue 屡失南邻春事约
'lv'shu'wu'ren'zhou'meng'yu 绿树无人昼梦余
'lv'yin'you'cao'sheng'hua'shi 绿阴幽草胜花时
'lv'zhang'ye'zou'tong'ming'dian 绿章夜奏通明殿
'ma'mao'yu'chui'jiang 马毛欲吹僵
'ma'shang'xu'can'meng 马上续残梦
'mai'bu'yi'chang'shi 卖卜益昌市
'mai'long'qing'qing'sang'yu'yu 麦陇青青桑郁郁
'mai'yi'de'qian'dou'na'que 卖衣得钱都纳却
'mai'yu'shu'xi'you 买鱼熟溪友
'man'cheng'feng'yu'pa'huang'hun 满城风雨怕黄昏
'man'chuan'feng'yu'du'ping'lan 满川风雨独凭栏
'man'chuan'feng'yu'kan'chao'sheng 满川风雨看潮生
'man'cun'ting'shuo'cai'zhong'lang 满村听说蔡中郎
'man'feng'dan'yu'chou'huang'hun 蛮风蜑雨愁黄昏
'man'jun'gui'bo'qian'wan'wan 蛮君鬼伯千万万
'man'lou'yun'yi'se 满楼云一色
'man'yan'wu'chu'shuo 蛮烟无处说
'man'yi'zheng'lang'gu 蛮夷正狼顾
'man'yi'zuo'qiu'sheng 满意作秋声
'man'you'gao'yin'li'shang'kuang 漫有高吟力尚狂
'man'zuo'wan'yun'bo'bu'kai 满坐顽云拨不开
'mang'cang'tian'wu'bei 莽苍天物悲
'mang'mang'qu'ri'ru'fei'ai 茫茫去日如飞埃
'mang'mang'tai'cang'zhong 茫茫太仓中
'mao'she'ye'shen'ying'huo'man 茅舍夜深萤火满
'mao'wu'lin'qing'jiong 茅屋临清炯
'mao'yan'gu'zhen'guan 茅檐古镇官
'mei'e'sui'yi'zao 美恶随意造
'mei'hua'zhu'li'wu'ren'jian 梅花竹里无人见
'mei'ji'yu'nan'le 美极语难了
'mei'jiu'ru'dao'jie'duan'chou 美酒如刀解断愁
'mei'mu'lue'bu'sheng 眉目略不省
'mei'qiong'du'wo'zhi 梅穷独我知
'mei'ren'le'you'du 美人乐幽独
'mei'ren'you'zi'yi'xian'qing 美人犹自意嫌轻
'mei'rui'bu'sheng'qing 梅蕊不胜清
'mei'sui'yan'hua'yi'wan'chong 每岁烟花一万重
'mei'weng'shi'qing'qie 梅翁事清切
'mei'yao'chen'dong'xi 梅尧臣东溪
'mei'yao'chen'fan'rao'zhou'zuo'zhong'ke'yu 梅尧臣范饶州坐中客语
'mei'yao'chen'huai'bei 梅尧臣怀悲
'mei'yao'chen'kan'shan'ji'song'zhong'dao 梅尧臣看山寄宋中道
'mei'yao'chen'lu'shan'shan'xing 梅尧臣鲁山山行
'mei'yao'chen'meng'gan 梅尧臣梦感
'mei'yao'chen'qiu'ye'gan'huai 梅尧臣秋夜感怀
'mei'yao'chen'ru'fen'pin'nv 梅尧臣汝坟贫女
'mei'yao'chen'san'yue'er'shi'yi'ri 梅尧臣三月二十一日
'mei'yao'chen'tao'zhe 梅尧臣陶者
'mei'yao'chen'zheng'yue'shi'wu'ye'chu'hui 梅尧臣正月十五夜出回
'mei'zhong'jiu'ri'li'qi'ku 每重九日例凄苦
'men'bin'zhi'de'dong 扪鬓只得冻
'men'leng'wu'che'chu'wei'ni 门冷无车出畏泥
'men'qian'liang'cong'zhu 门前两丛竹
'meng'duan'xiang'xiao'si'shi'nian 梦断香消四十年
'meng'gu'bu'meng'xin 梦故不梦新
'meng'hui'guan'zhu'bu'ying'ba 梦回官烛不盈把
'meng'hui'liang'leng'run'yi'jin 梦回凉冷润衣襟
'meng'hun'you'rao'gu'liang'zhou 梦魂犹绕古梁州
'meng'jian'qian'tang'chun'jin'chu 梦见钱塘春尽处
'meng'jue'qiong'lou'kong'duan'hun 梦觉琼楼空断魂
'meng'li'dou'wang'kun'wan'tu 梦里都忘困晚途
'meng'li'hu'jia'xue'mei'jian 梦里胡笳雪没鞯
'meng'mei'shi'shi'you'jian'zhi 梦寐时时犹见之
'meng'rao'jiang'nan'shen'wei'huan 梦绕江南身未还
'meng'sui'qiu'yan'dao'dong'hu 梦随秋雁到东湖
'meng'yun'hu'bian'se 梦云忽变色
'meng'zhong'bo'han'cheng 梦中波撼城
'meng'zhong'xiang'dui'ge'hua'dian 梦中相对各华颠
'mi'feng'duo'rui'sui'chi'gu 蜜蜂掇蕊随翅股
'mi'fu'chui'hong'ting 米芾垂虹亭
'mian'huai'jing'shi'you 缅怀京师友
'mian'shi'mai'mo'sui'hui'ai 免使埋没随灰埃
'miao'chu'yuan'zai'yan'yu'zhong 妙处元在烟雨中
'miao'guan'da'ying'hai 眇观大瀛海
'miao'miao'gu'cheng'bai'shui'huan 渺渺孤城白水环
'miao'tang'ci'ri'wu'yi'ce 庙堂此日无遗策
'miao'tang'wu'ce'ke'ping'rong 庙堂无策可平戎
'miao'xiang'jing'wu'lv 妙香净无虑
'miao'yi'you'zai'zhong'wu'yan 妙意有在终无言
'miao'zhi'bu'wei'ping'shi'de 妙质不为平世得
'min'mai'nei'yi'tian 民买内医田
'min'shan'dao'jiang'shu'yu'gong 岷山导江书禹贡
'min'xin'jie'yu'dou 民心皆欲斗
'min'xin'kong'you'wang 民心空有望
'ming'chan'geng'luan'xing'ren'er 鸣蝉更乱行人耳
'ming'chao'chong'shang'gui'tian'zou 明朝重上归田奏
'ming'chao'juan'di'chun'feng'e 明朝卷地春风恶
'ming'chuang'jing'ji'feng'ri'nuan 明窗净几风日暖
'ming'da'tian'nan'zhe 名大天难着
'ming'jiu'de'mei'yin 鸣鸠得美荫
'ming'ming'hong'yan'fei 冥冥鸿雁飞
'ming'ming'jiao'dong'yi'gang'shi 明明搅动一缸屎
'ming'nian'bu'pa'cui'zu'ku 明年不怕催租苦
'ming'ri'yue'yang'lou'shang'qu 明日岳阳楼上去
'ming'yue'fan'hua'shi'jin'xiang 明月繁华是锦乡
'ming'yue'ru'hu'xun'you'ren 明月入户寻幽人
'mo'bai'shi'zhu'zuo'hou'sheng 抹白施朱作后生
'mo'dao'zhong'chao'di'yi'ren 莫道中朝第一人
'mo'jiang'bai'fa'zhao'cang'lang 莫将白发照沧浪
'mo'jiao'xian'guan'zuo'li'sheng 莫教弦管作离声
'mo'jie'ben'shi'lao 摩诘本诗老
'mo'jie'de'zhi'yu'xiang'wai 摩诘得之于象外
'mo'jie'liu'shou'hen 摩诘留手痕
'mo'jie'shen'shi'hun'wu'shi 莫嗟身世浑无事
'mo'ru'er'zi'zun 莫如二子尊
'mo'sha'bu'fen'ming 磨杀不分明
'mo'shi'xiang'jiang'yu 莫食湘江鱼
'mo'shu'huai'zhong'shi'wang'lai 默数淮中十往来
'mo'yan'xia'ling'bian'wu'nan 莫言下岭便无难
'mo'yin'wu'jiang'shui 莫饮吴江水
'mo'zuo'fen'wai'lv 莫作分外虑
'mu'luo'you'hu'ming'jiang'hu 木落牖户明江湖
'mu'luo'zhi'feng'tao 木落知风饕
'mu'nian'chui'lei'xiang'xi'feng 暮年垂泪向西风
'mu'qi'chen'zhou'an'yu'gu 暮气沉舟暗鱼罟
'mu'qian'san'zi'hou 母前三子后
'mu'ran'zhong'wei'liang 穆然中微凉
'mu'xing'ku'zhan'hui 暮行苦邅回
'mu'xu'lian'yun'ma'ti'jian 苜蓿连云马蹄健
'mu'yun'juan'yu'shan'juan'juan 暮云卷雨山娟娟
'na'jiao'suo'mi'xiang'chang'an 那教索米向长安
'na'xia'gu'zhi'shou 那暇顾炙手
'na'yin'yuan'shi'geng'zhan'jin 那因远适更沾巾
'nai'zhi'ji'shui'hou 乃知积水厚
'nan'er'ming'zhong'tai'shan'shen'ru'ye 男儿名重太山身如叶
'nan'guo'yin'shu'xu'zao'ji 南国音书须早寄
'nan'hai'ying'hun'huan'bu'xing 南海英魂唤不醒
'nan'pu'sui'hua'qu 南浦随花去
'nan'ren'feng'nian'zi'wu'shi 南人丰年自无食
'nan'yan'qu'lai'jin 南雁去来尽
'neng'yi'tian'ya'wan'li'ren 能忆天涯万里人
'ni'kou'jiu'guan'jian'di'suo 拟扣九关笺帝所
'nian'bi'qian'li'xing 念彼千里行
'nian'er'ge'shang'you 念尔各尚幼
'nian'lai'wang'nian'xiao'chu'jin 年来妄念消除尽
'nian'lai'yin'xing'shuai'nan'qiang 年来饮兴衰难强
'nian'nian'chun'xia'chao'ying'pu 年年春夏潮盈浦
'nian'zi'he'ren'ju'mo'yan 念子何忍遽磨研
'niao'yu'lin'jian'jing 鸟语林间静
'ning'duo'huang'han'bang'mao'dian 宁堕荒寒傍茅店
'ning'neng'shi'wo'ji'wu'qing 宁能使我即无情
'ning'shi'han'guan'yi 宁识汉官仪
'ning'zhi'yu'wan'ren'jian'jian 宁知玉碗人间见
'ning'zuo'jiang'hu'duan'hang'yan 宁作江湖断行雁
'niu'dou'can'wo'zhu 牛斗残我竹
'niu'li'jiao'shang'ke 牛砺角尚可
'niu'zhu'dang'zi'fu 牛渚荡子妇
'nong'feng'jiao'ma'pao'kong'li 弄风骄马跑空立
'nong'ming'xi'ji'hun 浓茗洗积昏
'nong'ying'qing'ye'lan 弄影清夜阑
'nu'mu'you'wu'wa 怒目犹吴蛙
'ou'ban'gu'yun'su'ling'dong 偶伴孤云宿岭东
'ou'hua'wu'shu'man'ting'zhou 藕花无数满汀洲
'ou'qing'shui'bu'cheng 鸥清睡不成
'ou'yang'xiu'bie'chu 欧阳修别滁
'ou'yang'xiu'chun'ri'xi'hu 欧阳修春日西湖
'ou'yang'xiu'lu'shan'gao'zeng'tong'nian 欧阳修庐山高赠同年
'ou'yang'xiu'meng'zhong'zuo 欧阳修梦中作
'ou'yang'xiu'shui'gu'ye'xing 欧阳修水谷夜行
'ou'yang'xiu'xi'da'yuan'zhen 欧阳修戏答元珍
'pa'jun'zhuo'yan'wei'fen'ming 怕君着眼未分明
'pan'weng'gui'bai'mo'lao'yan 潘翁跪拜摩老眼
'pan'yuan'shi'deng'kui'kong'hong 攀缘石磴窥空谾
'pao'jian'gou'shi'suo 庖煎苟失所
'pei'zhi'xi'fang'sun 佩芷袭芳荪
'pen'shui'dong'lai'ru'jiu'zhi 湓水东来入酒卮
'peng'chu'bi'bo'xin 捧出碧波心
'peng'chuang'lao'bao'heng'xing'lue 蓬窗老抱横行略
'peng'hao'jin'ri'xiang'fen'pi 蓬蒿今日想纷披
'peng'hao'tan'yu'lu 蓬蒿贪雨露
'peng'lai'yin'que'lang'man'man 蓬莱银阙浪漫漫
'peng'lai'zhi'yuan'chang'yi'han 蓬莱之远常遗寒
'pi'bing'gan'fan'quan'yang'feng 疲兵敢犯犬羊锋
'pi'kai'qing'yu'xia 劈开青玉峡
'pi'pa'xian'se'bing'bao'luan 琵琶弦色冰雹乱
'pi'ru'qian'li'ma 譬如千里马
'pi'ru'yao'shao'nv 譬如妖韶女
'pi'yi'qi'shi'ye 披衣起视夜
'pi'yi'ri'zai'fang 披衣日在房
'pi'yun'ji'dian'cong'tian'lai 披云激电从天来
'pian'zhang'fu'zong'heng 篇章富纵横
'pian'zhou'ci'qu'he'dang'hai 扁舟此去何当还
'pian'zhou'di'wan'jin 扁舟抵万金
'pian'zhou'fa'gu'cheng 扁舟发孤城
'pian'zhou'xi'an'yi'lin'yue 扁舟系岸依林樾
'pian'zhou'yi'zhao'gui'he'chu 扁舟一棹归何处
'piao'ling'bu'zi'you 飘零不自由
'piao'miao'xiang'wu'jian 缥缈香雾间
'pin'lai'dao'lu'an 频来道路谙
'pin'weng'sang'gu'ru 贫翁丧故襦
'ping'chuan'wo'ye'wang'bu'jin 平川沃野望不尽
'ping'fu'jian'zhao'bu'yu'wang 平甫见招不欲往
'ping'ming'chang'an'ling 平明长安岭
'ping'ping'sha'shi'jing'yu'shai 平平沙石净于筛
'ping'ri'nai'yu'chang'ren'tong 平日乃与常人同
'ping'shan'shi'wo'you 屏山时卧游
'ping'sheng'hao'shi'reng'hao'hua 平生好诗仍好画
'ping'sheng'shi'you'di 平生师友地
'po'fu'da'men'jiao'lin'li 颇复打门搅邻里
'po'yi'dao'ren'san'mei'li 颇疑道人三昧力
'pou'xin'mo'xie'gu'chen'fen 剖心莫写孤臣愤
'pu'men'yu'kai'yuan 普门与开元
'pu'tao'sui'man'jia 葡萄虽满架
'pu'ti'fang'li'bing'wei'mo 菩提坊里病维摩
'pu'tuan'chan'ban'wu'ren'fu 蒲团禅板无人付
'qi'ba'bu'zhi'ren'huan'shi 棋罢不知人换世
'qi'du'bu'jian'ren 岂独不见人
'qi'du'yi'mo'jia 其毒亦莫加
'qi'feng'ying'ma'hai'shuai'weng 奇峰迎马骇衰翁
'qi'jia'zan'hu'ming'guang'gong 起家簪笏明光宫
'qi'jian'su'yu'mei 其间苏与梅
'qi'jie'chun'yin'hu'hai'tang 乞借春阴护海棠
'qi'ju'fa'xin'ying 畦菊发新颖
'qi'ju'mei'zuo'yin 棋局每坐隐
'qi'kan'tian'di'se'qi'liang 起看天地色凄凉
'qi'lei'xiang'cang'cang 泣泪向苍苍
'qi'li'ku'zhan'bing'shuang'kai 气力苦战冰霜开
'qi'liang'ke'zi'xin 凄凉客子心
'qi'liang'wan'li'gui'wu'ri 凄凉万里归无日
'qi'liang'yue'yi'hen 凄凉月一痕
'qi'liao'yi'xi'qu 岂料一夕去
'qi'lu'mang'mang'kong'wang'yan 岐路茫茫空望眼
'qi'ma'hao'shi'ren 骑马好事人
'qi'mian'ou'ya'ru'ming'lu 欹眠呕轧如鸣橹
'qi'nu'qie'jiu'ju 妻孥且旧居
'qi'qi'qi'zhi'tun'xiang'yu 其气岂止吞项羽
'qi'qi'wu'lu'he'you'jiang 其气兀硉何由降
'qi'shen'yu'zhu'hua 其身与竹化
'qi'shi'bu'jian'chu 起视不见处
'qi'shi'you'bi'zhi 岂时有必至
'qi'ting'feng'ou'yu 起听风瓯语
'qi'wei'you'guang'liu'ye'se 岂惟幽光留夜色
'qi'wo'xu'tang'zi'zai'mian 乞我虚堂自在眠
'qi'wu'gao'tai'xie 岂无高台榭
'qi'wu'san'ren'man'xiang'zhu 起舞三人谩相属
'qi'wu'tang'shi'shen 岂无堂室深
'qi'xian'san'xia'qiao 栖贤三峡桥
'qi'xing'xi'yuan'zhong 起行西园中
'qi'xun'wei'ji'kuang'shi'wu 奇勋伟绩旷世无
'qi'ya'san'jiang'wu'hu'shang 气压三江五湖上
'qi'yan'gu'shi 七言古诗
'qi'yan'jue'ju 七言绝句
'qi'yan'lv'shi 七言律诗
'qi'yu'ru'chui'fu 气郁如炊釜
'qi'yuan'di'zi'jin'he'gu 祇园弟子尽鹤骨
'qi'zai'yi'jiang'shui 奇哉一江水
'qi'zhao'qian'zhang'jing 起照千丈镜
'qi'zhen'feng'xuan'ke'meng'chang 欹枕风轩客梦长
'qi'zhi'liu'luo'fu'xiang'jian 岂知流落复相见
'qi'zhi'qiong'hai'kan'fei'long 岂知穷海看飞龙
'qi'zhuang'yi'ke'guai 其状已可怪
'qi'zuo'ru'shi'jiong'tong'nu 岂作蓐食窘僮奴
'qi'zuo'xin'bing'ying 起坐心屏营
'qia'fang'huang'hua'yi'liang'zhi 恰放黄花一两枝
'qian'bo'chong'zhuang'you'beng'tai 千波舂撞有崩态
'qian'diao'xu'shan'gong'mi'luo 遣吊胥山共汨罗
'qian'gu'luo'hua'yu 千古落花雨
'qian'gu'yi'qian'lang 千古一潜郎
'qian'kun'man'qun'dao 乾坤满群盗
'qian'kun'zheng'fan'fu 乾坤正翻覆
'qian'lai'dang'ting'li'bu'ding 牵来当庭立不定
'qian'li'dao'hua'ying'xiu'se 千里稻花应秀色
'qian'lin'heng'bai'yun 前林横白云
'qian'lin'you'ji'jiao 潜鳞有饥蛟
'qian'nian'yi'ji'ren'you'song 千年遗迹人犹诵
'qian'niu'qiu'zheng'zhong 牵牛秋正中
'qian'pin'chang'bi'tao'li'xue 浅颦常鄙桃李学
'qian'ren'liu'yu'hou'ren'ai 前人留与后人哀
'qian'ren'zhu'cheng'guan'yi'gao 前人筑城官已高
'qian'ri'bei'pan'gong'jiang'zhu 前日杯盘共江渚
'qian'shan'bu'ai'yuan 前山不碍远
'qian'shan'dong'lin'jia 千山动鳞甲
'qian'shan'gao'fu'di 千山高复低
'qian'shan'yi'jin'yi'feng'gu 千山已尽一峰孤
'qian'shi'sheng'suo'zang 前识圣所臧
'qian'shu'leng'kuai'ji'gu'xing 千梳冷快肌骨醒
'qian'tao'cheng'kou'gong 蒨桃呈寇公
'qian'wang'qu'cheng'xing 前望去成行
'qian'yan'wan'he'xiang'song'gui 千岩万壑响松桧
'qian'yi'bu'yue'ta'hua'ying 褰衣步月踏花影
'qian'yi'zhu'feng'xia 褰衣竹风下
'qian'zai'shui'kan'bo'zhong'jian 千载谁堪伯仲间
'qian'zhang'qiao'keng'jie'gu'cui 千杖敲铿羯鼓催
'qiang'tou'yu'que'yi'you'shi 墙头语鹊衣犹湿
'qiao'bian'zheng'dao'wan'bu'zhi 桥边争道挽不止
'qiao'nan'shui'zhang'hong'chui'ying 桥南水涨虹垂影
'qiao'yi'zhuang'dian'shi'mo'xie 巧意妆点使莫偕
'qiao'zuo'song'shen'yu'jing'mian 巧作松身与镜面
'qie'ju'hai'jiao'song'chao'tou 妾居海角送潮头
'qie'kan'huang'hua'wan'jie'xiang 且看黄花晚节香
'qie'xi'xi'liu'an'an'shen 且喜溪流岸岸深
'qie'xin'ru'jing'mian 妾心如镜面
'qie'zai'jing'kang'chu 妾在靖康初
'qin'guan'han'yuan'wu'xiao'xi 秦关汉苑无消息
'qin'guan'si'zhou'dong'cheng'wan'wang 秦观泗州东城晚望
'qin'huai'lang'bai'jiang'shan'qing 秦淮浪白蒋山青
'qin'huai'lv'ru'jiu 秦淮绿如酒
'qin'jian'qu'nian'cheng'po'shi 亲见去年城破时
'qin'lang'bai'hao'ju'di'yi 秦郎百好俱第一
'qin'ling'lou'zhi'bei 秦岭楼之北
'qin'nian'dang'xi'ju 亲年当喜惧
'qin'qin'zhu'si'lin 勤勤嘱四邻
'qing'bian'wei'yi'guan'jiu'jing 清汴逶迤贯旧京
'qing'cheng'cha'zao'qi 青城插皂旗
'qing'chi'bu'shou'shu 清池不受暑
'qing'dun'xi'pan'long'zhong'ke 青墩溪畔龙钟客
'qing'feng'bu'fu'ke 清风不负客
'qing'feng'nong'shui'yue'xian'shan 清风弄水月衔山
'qing'feng'su'su'yao'chuang'fei 清风肃肃摇窗扉
'qing'feng'wu'li'tu'de're 清风无力屠得热
'qing'gai'qian'tou'dian'zao'qi 青盖前头点皂旗
'qing'han'bu'ke'yun 清寒不可云
'qing'han'ru'shan'gu 清寒入山骨
'qing'hong'sui'qiu'shen 轻红随秋深
'qing'jing'guo'yan'neng'xu'yu 清境过眼能须臾
'qing'ke'fu'zai'zi 顷刻复在兹
'qing'lian'sui'bu'jian 青莲虽不见
'qing'lou'yan'yu'ren'xiang'wang 青楼烟雨忍相忘
'qing'lu'jian'yu'ma 轻橹健于马
'qing'ming'feng'lu'fei'ren'shi 青冥风露非人世
'qing'ming'shi'jie'chu'jiao'yuan 清明时节出郊原
'qing'qin'wei'ken'shu 情亲未肯疏
'qing'ri'nuan'feng'sheng'mai'qi 晴日暖风生麦气
'qing'shan'bai'shi'kun'yi'bang 青山白石困一邦
'qing'shan'dang'men'hua'bu'ru 青山当门画不如
'qing'shan'yi'fa'shi'zhong'yuan 青山一发是中原
'qing'shen'qu'you'yu 清深趣有余
'qing'shi'duan'ren'chang 清诗断人肠
'qing'sui'bu'yan'zhu'bu'de 情虽不厌住不得
'qing'tai'man'di'chu'qing'hou 青苔满地初晴后
'qing'tian'dou'jing'jian'shan'gu 青天都净见山孤
'qing'xuan'xi'yuan'kou 轻轩息源口
'qing'yan'liao'yin'mei'jiu'heng 青眼聊因美酒横
'qing'ye'cheng'guang'he'tai'hu 清夜澄光合太湖
'qing'zun'wei'zhi'dao 清樽为之倒
'qiu'cheng'gao'xia'ping 丘塍高下平
'qiu'hao'wei'he'tian'di'ge 秋毫未合天地隔
'qiu'lai'dong'ge'liang'ru'shui 秋来东阁凉如水
'qiu'ma'chuan'lei'jiu'ji'lv 裘马穿羸久羁旅
'qiu'qi'zhi'dao'zhe 求岂知道者
'qiu'qian'cu'ju'fen'peng'cao 秋千蹴踘分朋曹
'qiu'sheng'lian'zhong'shan 秋声连众山
'qiu'zhe'lu'hua'liang'an'shuang 秋着芦花两岸霜
'qu'cai'shang'zu'dang'shi'yong 取材尚足当世用
'qu'chi'ning'fu'shou'bian'ce 驱驰宁复受鞭策
'qu'gong'xie'dian'you'jia'chu 曲肱薤簟有佳处
'qu'jia'zai'yan'yuan'li'li 屈贾在眼元历历
'qu'meng'wu'yi'cun 去梦无一寸
'qu'ni'lao'bu'hou 曲逆老不侯
'qu'nian'yi'jin'dao'jia'kou 去年衣尽到家口
'qu'nian'yin'wen'ge'huai'zhou 去年音问隔淮州
'qu'nian'yu'mu'chu 去年与母出
'qu'ping'shen'huang'bi'you'xiang 曲屏深幌閟幽香
'qu'qi'zhu'zi'ke'gong'cheng 驱妻逐子课工程
'qu'ri'fei'qiu'man'lu'pang 去日飞球满路旁
'qu'yuan'ji'xiang'wang 去远即相忘
'quan'jun'qie'xi'bei'zhong'yue 劝君且吸杯中月
'quan'ku'shi'zao'fu'chan'yuan 泉枯石燥复潺湲
'quan'lu'ping'shui'shuo'duan'chang 泉路凭谁说断肠
'quan'yang'zi'guan'du'qi'meng 犬羊自惯渎齐盟
'que'ba'she'xiang'shao'yi'ni 却把麝香烧旖旎
'que'hai'jian'er'nv 却还见儿女
'que'jiang'hai'shui'lai'xiang'jie 却将海水来相接
'que'shi'gui'hong'bu'neng'yu 却是归鸿不能语
'que'xian'gui'bin'zhu'chen'sha 却嫌归鬓逐尘沙
'que'xiang'du'liang'ji'xing'ming 却向都梁记姓名
'que'yong'guan'zhong'zuo'ben'gen 却用关中作本根
'que'yu'shan'chuang'zhang'bei'feng 却与山窗障北风
'que'yue'hun'hun'lou'wei'yang 缺月昏昏漏未央
'qun'fang'lan'bu'shou 群芳烂不收
'qun'gong'mo'zi'yi 群公莫自疑
'qun'lai'li'ru'zhen 群来立如阵
'ran'ran'lv'wu'zhan'ren'yi 冉冉绿雾沾人衣
'rao'jie'song'yi'zhao'shang'ren 饶节送以照上人
'rao'jie'sui'mu 饶节岁暮
'rao'jie'xi'wang'xin'min'jiao'shou 饶节戏汪信民教授
'rao'jun'shi'yu'li 绕郡十余里
'rao'shu'you'you'sheng 绕树犹有声
'ren'chi'bao'xiu'shi'bei'ting 忍耻包羞事北庭
'ren'dao'chou'lai'wu'chu'hui 人到愁来无处会
'ren'dao'huai'he'yi'bu'jia 人到淮河意不佳
'ren'fei'da'shou'bi'fei'chuan 人非大手笔非椽
'ren'gu'yi'ju'jiang'hai'jie 人固已惧江海竭
'ren'jia'zai'he'xu 人家在何许
'ren'jian'ku'wu'huan 人间苦无欢
'ren'jian'wan'shi'xiao'mo'jin 人间万事消磨尽
'ren'jin'cheng'chuan'ma'ru'gou 人尽乘船马如狗
'ren'jing'cui'yu'chuan'lin'fei 人静翠羽穿林飞
'ren'lei'shi'sheng'xun'shi'zhe 忍泪失声询使者
'ren'lian'hong'yan'duo'ying'su 人怜红艳多应俗
'ren'ren'zhi'shi'lin'feng'tong 仁人志士临风恸
'ren'sheng'kan'de'ji'qing'ming 人生看得几清明
'ren'sheng'nan'de'qiu'qian'yu 人生难得秋前雨
'ren'sheng'xing'le'er 人生行乐耳
'ren'sheng'you'wu'bu'bi'you 人生尤物不必有
'ren'sheng'zi'gu'shui'wu'si 人生自古谁无死
'ren'wang'shou'ren'hui 人亡首忍回
'ren'yu'zhu'li'feng'dong'liao 人语朱离逢峒獠
'ren'zai'hai'men'xi 人在海门西
'ri'gao'shan'chan'bao'ye'xiang 日高山蝉抱叶响
'ri'luo'hua'qiao'xi 日落画桥西
'ri'mu'yong'jie'huang'ye'shen 日暮拥阶黄叶深
'ri'wan'qiang'wei'zhong 日晚蔷薇重
'ri'zhao'hai'men'kai 日照海门开
'ri'zhuan'peng'shan'wan'shai'shu 日转蓬山晚晒书
'rong'hua'shi'li'shu'ren'guan 荣华势利输人惯
'rong'rong'qing'gang'yang'chun'hui 溶溶晴港漾春晖
'rong'wo'nie'fei'luan 容我蹑飞鸾
'rong'ye'xiang'zhui'bu 融液相缀补
'rong'zhi'jie'bai'ru'ying'hai 容质洁白如婴孩
'ru'du'yue'ban'gong 如渡月半弓
'ru'fen'pin'jia'nv 汝坟贫家女
'ru'hou'wei'mo'ye 入喉为镆鎁
'ru'jin'pan'que'shi'cheng'zhu 如今判却十程住
'ru'ku'you'zai'er 汝哭犹在耳
'ru'men'bin'ke'bu'fu'tong 入门宾客不复通
'ru'ming'he'bu'chang 汝命何不长
'ru'sheng'bu'ji'zhen'guan'zhong 汝生不及贞观中
'ru'sheng'da'lu'dong'xi'chu 如绳大路东西出
'ru'wo'zheng'yi'shang 入我征衣裳
'rui'si'dian'li'chun'ye'ban 睿思殿里春夜半
'ruo'ci'sang'qu'ti 若此丧躯体
'ruo'shui'hui'feng'yu'dao'nan 弱水回风欲到难
'ruo'wei'yi'zhen'jing'hu'yan 若为一震静胡烟
'ruo'zhi'wu'yi'tuo 弱质无以托
'sa'luo'sheng'xiao'bian'han'shu 洒落生绡变寒暑
'sa'sao'liang'guan'ju 洒扫凉冠屦
'sa'xiang'feng'yan'fu'shui'bo 洒向风烟付水波
'sai'shang'chang'cheng'kong'zi'xu 塞上长城空自许
'sai'yuan'ku'han'feng'qi'e 塞垣苦寒风气恶
'san'feng'jie'li'cha'yun'jian 三峰杰立插云间
'san'geng'hua'chuan'chuan'ou'hua 三更画船穿藕花
'san'guo'yi'guan'tong'cao'mang 三国衣冠同草莽
'san'luo'shang'you'qian'xue'dui 散落尚有千雪堆
'san'nian'ye'lang'ke 三年夜郎客
'san'nian'zuo'xia'bao'hu'shan 三年坐夏饱湖山
'san'wei'bai'dong'po 散为百东坡
'san'xia'yuan'cui'qing'lei'luo 三峡猿催清泪落
'sang'zao'wo'yi'guang 桑枣沃以光
'sao'di'cong'jiao'cao'jing'xie 扫地从教草径斜
'sao'di'fen'xiang'bi'ge'mian 扫地焚香闭阁眠
'sao'shou'chang'ge'hai'tan'xi 搔首长歌还叹息
'sen'ran'yu'zuo'bu'ke'hui 森然欲作不可回
'sen'ru'shu'chun'jiu 森如束春韭
'seng'kai'xiao'kan'long'sha'jie 僧开小槛笼沙界
'sha'an'can'chun'yu 沙岸残春雨
'sha'mo'hui'kan'gong'jin'yue 沙漠回看宫禁月
'sha'ping'shui'dan'xi'jiang'pu 沙平水淡西江浦
'sha'ren'bai'zhou'hong'chen'zhong 杀人白昼红尘中
'shan'bi'yue'dao'gua 山壁月倒挂
'shan'cheng'bo'jiu'bu'kan'yin 山城薄酒不堪饮
'shan'chuan'guang'hui'wei'wo'yan 山川光辉为我妍
'shan'fan'shi'di'mei'shi'xiong 山矾是弟梅是兄
'shan'fan'shui'xian'wan'jiao'chu 山矾水仙晚角出
'shan'gu'zui'hou'tu 山骨醉后土
