'a'fu'lue'gu'shi 阿夫略顾视
'xia'zhe'zui'er'qian'shi 下者罪二千石
'xian'bei'qie'xiao'tao'peng'ze 衔杯且效陶彭泽
'xian'bo'cheng'shan'shi'zuo'di 掀波成山石作底
'xian'chuang'ting'yu'tan'shi'juan 闲窗听雨摊诗卷
'xian'dao'bu'kan'guo'hou'xiang 险道不堪过后想
'xian'ge'chu'sang'zhe 弦歌出桑柘
'xian'guan'ju'zui'ji'ru'huo 县官惧罪急如火
'xian'guan'zhang'deng'zheng'ma'cao 县官张灯征马草
'xian'guo'jiang'ping'xiang'yi'ting 险过江平响亦停
'xian'huang'yu'zuo'ling'he'dian 先皇玉座灵和殿
'xian'jia'tiao'que'she 纤甲挑雀舌
'xian'ling'shen'xiao'pu'fu'gui 县令深宵匍匐归
'xian'lu'ge'qin'feng 仙路隔秦封
'xian'lu'ru'shan'wan'shang'ji 衔舻如山万商集
'xian'mu'dao'zhong'gu 衔木到终古
'xian'qiu'wu'deng'feng 先求五等封
'xian'ren'zhang'shang'jie'ming'xing 仙人掌上接明星
'xian'sheng'qie'wei'yao'ming'ju 先圣且为要名具
'xian'wang'ai'ma'ru'ai'ren 贤王爱马如爱人
'xian'wei'jue'liang'ren 先慰绝粮人
'xian'xia'cha'xiao'han 仙霞插霄汉
'xian'yue'yin'you'tu 弦月阴犹吐
'xiang'feng'bu'xin'wu'ling'cun 相逢不信武陵村
'xiang'feng'jin'yi'ku 相逢尽一哭
'xiang'feng'nan'yan'jie'chou'lv 相逢南雁皆愁侣
'xiang'feng'wei'shao'du'shu'ren 相逢未少读书人
'xiang'gu'bei'shang'shen 相顾倍伤神
'xiang'guo'bu'kan'zhong'zhu'wang 乡国不堪重伫望
'xiang'guo'zheng'kai'di 相国争开第
'xiang'jian'chu'jing'tian'dou'jia 相见初经田窦家
'xiang'jian'yin'hun'zi'wang'lai 想见吟魂自往来
'xiang'jing'chen'sheng'niao'zi'ti 香径尘生鸟自啼
'xiang'jun'ge'wu'bei'jun'ti 向君歌舞背君啼
'xiang'lan'yuan'zhi'nian'nian'lv 湘兰沅芷年年绿
'xiang'lao'dan'yao'nan'guo'song 香老但邀南国颂
'xiang'li'xiao'min'ji'fu'tong 乡里小民肌肤痛
'xiang'lu'yan'san'ban'hu'yun 香炉烟散半湖云
'xiang'nan'san'liang'cun 向南三两村
'xiang'qi'xing'shan'se'wu'ran 香气腥膻色污染
'xiang'qu'bai'li'xu 相去百里许
'xiang'sheng'mo'ti'zi'hua'da'shu 项圣谟题自画大树
'xiang'shu'jing'sui'da 乡书经岁达
'xiang'xi'wei'zhi'hai 向夕未知还
'xiang'xin'ban'xiang'zao'han'sheng 乡心半向早寒生
'xiang'yang'da'gu'bo'jiang'zhu 襄阳大估泊江渚
'xiang'yi'you'ou'lu 相依有鸥鹭
'xiang'yin'lian'tong'zui'bu'ci 香饮连筒醉不辞
'xiang'yin'yi'jian'xi 乡音已渐稀
'xiang'yin'yi'shou'qi 乡音易受欺
'xiang'yu'tao'wang'min 相遇逃亡民
'xiang'yue'en'shen'xiang'jian'nan 相约恩深相见难
'xiao'bu'jun'wang'dai'xiao'kan 小部君王带笑看
'xiao'chu'hao'qi'bin'xing'xing 消除豪气鬓星星
'xiao'chuan'wu'zhi'chang'ge'qu 小船无知唱歌去
'xiao'di'zhong'dou 小弟种豆
'xiao'dian'qing'lian'shu'yu'hou 小店青帘疏雨后
'xiao'dian'qing'lian'you'xi'yang 小店青帘又夕阳
'xiao'dou'da'dou'yi'di'pin 小豆大豆驿递频
'xiao'er'bu'gan'ku 小儿不敢哭
'xiao'feng'can'yue'tun'tian'mu 晓风残月屯田墓
'xiao'feng'cui'wo'gua'fan'xing 晓风催我挂帆行
'xiao'feng'luo'song'zi 小风落松子
'xiao'fu'nian'shi'er 小妇年十二
'xiao'ge'fu'jiang'hu 小阁俯江湖
'xiao'gu'yu'chen'huai'shi'yue 箫鼓欲沉淮市月
'xiao'guan'cheng'die'wang'zhong'fen 萧关城堞望中分
'xiao'hu'xiao'ye'fen 枭狐啸野坟
'xiao'hun'wan'li'sheng'qian'guo 销魂万里生前果
'xiao'ji'yi'zhao'shui'yun'kuan 蟂矶一棹水云宽
'xiao'jian'gong'jia'cui'fu'ru 晓见公家催赋入
'xiao'jing'ping'jiang'lu 晓经平江路
'xiao'jun'pi'ai'jiang'di'yan 笑君癖爱江底砚
'xiao'lai'feng'se'se 晓来风瑟瑟
'xiao'mei'zheng'xue'yu 小妹正学语
'xiao'niang'xing'yu'zhi'he'chu 萧娘行雨知何处
'xiao'ran'hu'shui'bin 萧然湖水滨
'xiao'ren'yuan'you'shu'mu'tian 小人原有数亩田
'xiao'sa'xi'feng'dong'ke'chou 萧飒西风动客愁
'xiao'se'san'chui'gang'pan'lu 萧瑟三垂冈畔路
'xiao'se'xi'wei'ling'shang'heng 晓色熹微岭上横
'xiao'shan'hua'luan'cheng'wu'qu 小扇画鸾乘雾去
'xiao'shan'qing'wei'liao 晓山青未了
'xiao'shang'jiang'lou'zui'shang'ceng 晓上江楼最上层
'xiao'sheng'he'meng'zong'chen'ai 箫声鹤梦总尘埃
'xiao'shi'gao'shi'lian'qian'song 晓事篙师敛钱送
'xiao'shui'jiao'yun'ya 小水浇云牙
'xiao'tan'yi'pian'qing'ju'jian 晓叹一篇情具见
'xiao'tiao'gu'die'shu'qi'wu 萧条古堞树栖乌
'xiao'tiao'yi'die'mu'chao'ai 萧条遗堞暮潮哀
'xiao'wu'jin'xie'xie'sun'lan 晓雾浸鞋携笋篮
'xiao'wu'ya'cheng'tou 晓雾压城头
'xiao'xi'zhuan'mang'mang 消息转茫茫
'xiao'xiang'bi'sai'tong'po'si 小巷逼塞通破寺
'xiao'xiao'han'yu'du'qing'liu 潇潇寒雨渡清流
'xiao'xiao'mu'ma'qun 萧萧牧马群
'xiao'xiao'ri'ying'bei'feng'dong 萧萧日影悲风动
'xiao'yu'tian'zhan'cao 晓雨天沾草
'xiao'yue'dan'chang'kong 晓月淡长空
'xiao'yun'dong'bao'guan'he'zi 晓云东抱关河紫
'xiao'zhi'chuan'ru'shui'sa'xie 笑指船如水靸鞋
'xiao'zhi'nong'ru'jiang'shang'yue 笑指侬如江上月
'xiao'zi'da'zhong'cheng 小字达中丞
'xie'fei'zhu'ge'cang'lin'yong 斜飞珠阁苍林拥
'xie'gu'yun'shen'qi'hua'lou 斜谷云深起画楼
'xie'hou'zao'pao'zhi 邂逅遭抛掷
'xie'lang'ren'qu'tai'kong'lv 屟廊人去苔空绿
'xie'lang'yi'de'zhu'luo'chun 屟廊移得苎萝春
'xie'nan'bao'nv'chong'che'niu 携男抱女充车牛
'xie'nv'huai'xiang'yi'yu'lou 谢女怀香倚玉楼
'xie'qian'fu'tuo'nang 携钱负橐囊
'xie'shou'hua'qian'gong'chou'chang 携手花前共惆怅
'xie'yan'gui'lai'zeng'bi'zhuo 携砚归来赠毕卓
'xie'yang'ge'liang'shu 斜阳各量数
'xin'chou'bu'yi'zhi 新愁不易支
'xin'chou'di'zi'bei'jin'ri 新愁帝子悲今日
'xin'chou'qi'yue'shi'liu'ye 辛丑七月十六夜
'xin'fu'fei'bu'liang 新夫非不良
'xin'ge'xi'zi'xie'bing'wan 新歌细字写冰纨
'xin'gui'wu'ren'zang 新鬼无人葬
'xin'guo'juan'qu'fu'yan'shi 信国捐躯赴燕市
'xin'ku'wu'liu'li 辛苦五流离
'xin'lai'guan'zhang'yi'ai'min 新来官长亦爱民
'xin'lai'lin'li'bie 新来邻里别
'xin'lan'fu'yuan'shu 新岚浮远树
'xin'liang'ban'dai'jiu'liang'cui 新粮半待旧粮催
'xin'nian'xue'ya'ke'nian'xue 新年雪压客年雪
'xin'su'jia'zhou'ru'jiu'shi 信宿嘉州如旧识
'xin'xue'hao'jin'jian'chu'cheng 心血耗尽茧初成
'xin'zeng'you'ming'guan'you'xian 新增有名官有限
'xin'zhi'da'hai'zhen'nan'liang 信知大海真难量
'xin'zi'feng'bo'huan'hai'hui 新自风波宦海回
'xing'cang'yi'diao'zhou 行藏倚钓舟
'xing'dong'lian'jiang'suo 星动连江锁
'xing'fang'bai'gu 邢昉白骨
'xing'fang'bing'xu'wu'ri'ji'shi 邢昉丙戌五日即事
'xing'feng'xian'ling'you'zi'ke 行逢县令犹自可
'xing'huai'wu'xian'lan'ting'gan 兴怀无限兰亭感
'xing'jin'lan'cang'dong'du'kou 行近澜沧东渡口
'xing'ke'luo'hua'xin'shi'bie 行客落花心事别
'xing'li'lu'ye'xi 行李芦叶席
'xing'ming'huang'hu'yun'bu'zhi 姓名恍惚云不知
'xing'ming'wei'ji'bu'ce'yuan 性命危寄不测渊
'xing'qie'zi'you'zui 兴惬兹游最
'xing'ren'bian'jue'xu'mei'lv 行人便觉须眉绿
'xing'ren'jin'ye'su'qing'huai 行人今夜宿清淮
'xing'ren'li'ma'qiu'feng'li 行人立马秋风里
'xing'ren'rao'rao'jing'zhui'dao 行人扰扰竞锥刀
'xing'ren'xi'yi'ting'bei'jia 行人徙倚听悲笳
'xing'ren'xia'ma'bai'qiu'se 行人下马拜秋色
'xing'shi'cang'huang'na'ke'dai 形势苍黄那可待
'xing'xing'yu'huo'ru'xiang'lin 星星渔火入香林
'xing'ye'tao'fei'ke'nai'he 杏靥桃绯可奈何
'xing'yi'shen'jiang'lao 行役身将老
'xing'yin'ji'qu'song'lin'lu 行吟记取松林路
'xing'yin'yuan'cao'ze 行吟原草泽
'xing'yu'xin'zhu'ren 幸遇新主人
'xing'zhe'ce'zu 行者侧足
'xiong'ci'zi'xuan'jing'hai'wang 雄词自炫惊海王
'xiong'guan'zhi'shang'ling'yun'gu 雄关直上岭云孤
'xiong'tu'jin'bu'jian 雄图今不见
'xiu'chi'wang'xiang'yu'tian'zheng 休持妄想与天争
'xiu'guo'gong'zi'sha'tang'zhou 羞过公子沙棠舟
'xiu'jue'xia'zhong'shan'se'wu 秀绝下钟山色无
'xiu'shuo'jiu'shi'wang'yu'xie 休说旧时王与谢
'xu'fu'lou'chuan'jing'bu'hai 徐巿楼船竟不还
'xu'huai'ji'mu'shou 徐淮极目收
'xu'jiang'qi'li'kong'hou'ji 许将戚里空侯伎
'xu'jie'jing'yi'fang'yong'bing 吁嗟荆益方用兵
'xu'lan'chu'guan 徐兰出关
'xu'li'ben'san'ru'fei'yan 胥隶奔散如飞烟
'xu'mei'lv'ru'hua 须眉绿如画
'xu'qiu'xiao'fa'jing'kou 徐釚晓发京口
'xu'qiu'zhe'yang'liu'ge'shi'shou'xuan'yi'shou 许虬折杨柳歌十首选一首
'xu'xiao'qing'zhuan'qian 胥效轻转迁
'xu'yu'chu'bai'lang 须臾出白浪
'xu'yu'hu'zi'bo'xin'shang 须臾忽自波心上
'xuan'fu'chi'yin'shi 悬釜炽饮食
'xuan'heng'chui'you'zhi 悬桁垂卣觯
'xuan'suo'ke'lian'ting'yu'shi 宣索可怜停玉食
'xuan'zhang'nan'bei'shui 旋涨南陂水
'xue'da'seng'bao'he'wei'jia 学打僧包何为家
'xue'fei'han'shi'hou 雪飞寒食后
'xue'hou'qian'feng'ban'ru'cheng 雪后千峰半入城
'xue'ji'yun'zhong'an'ze'zhou 雪积云中暗泽州
'xue'ling'san'geng'ren'shang'lie 雪岭三更人尚猎
'xue'mian'can'jun'wu'qu'yu 雪面参军舞鸜鹆
'xue'pian'chao'fei'da'ru'zhang 雪片朝飞大如掌
'xue'pian'xiang'shu'xia 雪片降书下
'xue'se'you'gao'gao 雪色犹暠暠
'xue'ya'da'he'liu 雪压大河流
'xue'zhong'feng'wei'geng'qing'qi 雪中风味更清奇
'xue'zi'bai'gu'man'jiang'chang 雪胔白骨满疆场
'xun'chang'bai'xing'yi'wu'jia 寻常百姓亦无家
'xun'chang'shou'ru'shi'qian'shen 寻常守辱失钱神
'xun'tian'yi'qi'lian'gong'ye 熏天意气连宫掖
'ya'gu'san'sheng'shang'tang'zuo 衙鼓三声上堂坐
'ya'gu'shi 鸦鹘石
'ya'guang'yun'mao'jiang'luo'ru 砑光熨帽绛罗襦
'ya'shan'shang'zhu'song'yi'min 崖山尚住宋遗民
'ya'shi'chan'yan'si'bo'luo 崖石巉岩似钵罗
'ya'xuan'bi'xue'li'yi'seng 崖悬壁削立一僧
'ya'ya'wu'ti'qi'shu'lou 哑哑乌啼起戍楼
'yan'bi'dan'xian'si'shi'chou 掩鼻但嫌死尸臭
'yan'bo'jin'chu'zhou'zhu'wei 烟波尽处洲渚微
'yan'cheng'nie'ye'xing 严城啮夜星
'yan'chou'wei'bao'han'chou'fu 燕仇未报韩仇复
'yan'cu'ying'xian'he'tai'ji 燕蹴莺衔何太急
'yan'er'mei'cai'sang'qu 阎尔梅采桑曲
'yan'er'mei'cang'zhou'dao'zhong 阎尔梅沧州道中
'yan'er'mei'jue'zei'chen'hu'qian'guang 阎尔梅绝贼臣胡谦光
'yan'han'cun'wang'liu'chi'gu 炎汉存亡六尺孤
'yan'hua'zong'dai'shi'jun'xian 烟花总待使君闲
'yan'huo'shu'jia'ju 烟火数家聚
'yan'jian'chang'jiang'qu'da'hai 眼见长江趋大海
'yan'jian'zhu'hou'jin'ru'guan 眼见诸侯尽入关
'yan'jiang'sha'shi'duo'beng'qiao 沿江沙石多崩峭
'yan'liu'cong'cong'liang'si'zuo 檐溜淙淙凉四座
'yan'liu'feng'pu'dao'chu'sheng 烟柳风蒲到处生
'yan'luo'yuan'sha'ji'dian'pai 雁落圆沙几点排
'yan'men'si'ma'hen'ru'he 雁门司马恨如何
'yan'qian'bian'huan'zhen'qi'jue 眼前变幻真奇绝
'yan'qian'sheng'ke'pa'shu'xin 眼前生客怕输心
'yan'qiu'men'wai'zou'cun'cun 延秋门外走踆踆
'yan'que'chu'tang'zhao'xi'ji 燕雀处堂朝夕计
'yan'shui'wu'duan'ni 烟水无端倪
'yan'sui'cheng'qu'yu'zhen'yuan'tiao 严遂成曲峪镇远眺
'yan'sui'cheng'san'chui'gang 严遂成三垂冈
'yan'sui'cheng'tao'hua 严遂成桃花
'yan'sui'cheng'ti'lin'cheng'gong'xie'bi 严遂成题临城公廨壁
'yan'sui'cheng'wu'jiang'xiang'wang'miao 严遂成乌江项王庙
'yan'wang'gao'cheng'bu'gan'qian 眼望高城不敢前
'yan'wu'heng'yao'he 烟雾横腰合
'yan'xiao'ling'ren'chu 言笑令人楚
'yan'yu'mi'li'bu'zhi'chu 烟雨迷离不知处
'yan'yu'qiu'shen'an'bai'bo 烟雨秋深暗白波
'yan'yu'tai'kong'bei'wang'ran 烟雨台空倍惘然
'yan'yu'xie'yang'li'qian'sha 燕语斜阳立浅沙
'yan'yun'bu'qu'huo'zhong'sheng 燕云不取祸终生
'yan'zhong'ban'bo'yi'min'lei 砚中斑驳遗民泪
'yan'zi'chun'zhi'xia 言自春至夏
'yan'zi'di'fei'lue'jiu'jia 燕子低飞掠酒家
'yang'hou'qi'li'jiang'e'xiao 阳侯起立江娥笑
'yang'hua'jiang'shang'bian'fu'ping 杨花江上变浮萍
'yang'hua'lou'ge'yu'cong'jiao 杨花楼阁玉骢骄
'yang'hua'yan'zi'gong'you'you 杨花燕子共悠悠
'yang'jiao'shen'yu'hou'huo'ming 羊角魫鱼堠火明
'yang'jing'qi 扬旌旗
'yang'kan'fei'niao'du 仰看飞鸟度
'yang'kan'jue'bi'qing'cuo'e 仰看绝壁青嵯峨
'yang'qu'shi'yi'xing 飏去势已形
'yang'wu'chi'pu'guang'shu'chuan 阳乌翅扑光倏穿
'yang'xiong'ni'wo'kui'fei'lun 扬雄拟我愧非伦
'yang'yang'han'wei'ming 漾漾含微明
'yang'you'ceng'fang'zhou'zhi'xia'zhong'shan 杨右曾放舟至下钟山
'yang'zhan'ru'jin'yue 仰瞻如浸月
'yang'zhou'bu'si'kong'keng'si 扬州不死空坑死
'yang'zhou'xi'qu'zhen'zhou'lu 扬州西去真州路
'yang'zi'qiao'tou'ji'wei'ming 扬子桥头鸡未鸣
'yao'che'yi'liang 轺车一两
'yao'cun'hong'shu'xi'yang'jian 遥村红树夕阳间
'yao'ding'qing'shan'bu'fang'song 咬定青山不放松
'yao'fan'shan'xing 姚范山行
'yao'gu'dong'dong'zi'mai'tang 摇鼓冬冬自卖糖
'yao'hu'xin'yi'yi 遥呼心依依
'yao'ji'ri'xi'wu'qi'yan 妖姬日夕舞绮筵
'yao'kong'mo'ying'kuang'xiang'de 遥空摩影狂相得
'yao'li'zhong'yi'gu 要离冢亦孤
'yao'meng'cheng'yi'ni 妖梦成佁儗
'yao'shan'dan'wu'ying 遥山淡无影
'yao'tian'gua'dou'niu 遥天挂斗牛
'yao'tian'yu'bo'shi 遥天与波逝
'yao'wen'qi'lu'jiao 遥闻齐鲁郊
'yao'wen'yan'chi'bi 姚文焱赤壁
'yao'wen'yu'fu'chang'ge'lai 遥闻渔父唱歌来
'yao'xian'feng'liu'gu'kai'zhi 遥羡风流顾恺之
'yao'xun'su'wu'miao 遥寻苏武庙
'yao'yao'san'qian'li 遥遥三千里
'yao'zhi'qiao'cui'mo'chou'cun 腰肢憔悴莫愁村
'ye'ban'ceng'lou'kan'hai'guang 夜半层楼看海光
'ye'ban'ju'feng'sheng'nu'hao 夜半飓风声怒号
'ye'ban'li'ling'tai'shang'yue 夜半李陵台上月
'ye'ban'qiao'bian'hu'ru'zi 夜半桥边呼孺子
'ye'deng'wo'zhou'wei'kuan'yu 夜登我舟为款语
'ye'dian'fei'you'yan 野店扉犹掩
'ye'dian'jiu'xiang'fan'jin'luo 野店酒香帆尽落
'ye'guang'jin 夜光锦
'ye'han'xiang'jie'bai 夜寒香界白
'ye'ji'juan'lu'chui'bai'ri 野霁卷芦吹白日
'ye'jiao'ji'shu'kan'deng'ming 夜骄饥鼠阚灯明
'ye'lai'suo'de'lin'jia'weng 夜来锁得邻家翁
'ye'lai'wei'yu'xie 夜来微雨歇
'ye'mei'han'shui'bai 野梅含水白
'ye'niang'e'si'zang'huang'jiao 爷娘饿死葬荒郊
'ye'qing'qi'geng'qing 夜清气更清
'ye'ru'jun'diao'qu'yuan'lai 也如君吊屈原来
'ye'se'ji'niao'fei 野色迹鸟飞
'ye'shan'tian'yuan'shuo'feng'hui 冶山天远朔风回
'ye'shao'nan'cang'mi'su'ya 叶少难藏觅宿鸦
'ye'shen'gong'ran'shang'fu'chuang 夜深公然上妇床
'ye'shui'chen'jia'wei 野水沉葭苇
'ye'shui'huang'fen'rao'yi'wan 野水荒坟绕一湾
'ye'xie'jing'kou'zuo 叶燮京口作
'ye'xie'ke'fa'tiao'xi 叶燮客发苕溪
'ye'ye'feng'fan'xia'hai'men 叶叶风帆下海门
'ye'ye'huai'zhong'sheng 咽咽怀中声
'ye'ye'ming'liu'man'gao'yan 夜夜名流满高宴
'ye'ye'qing'fan'qi'bai'ou 叶叶轻帆起白鸥
'ye'yue'ling'qi'yao'tie'weng 夜月灵旗摇铁瓮
'ye'zhi'guang'yi'nan'wei'di 也知光义难为弟
'ye'zhi'tu'mu'fei'jing'ying 也知土木费经营
'ye'zhong'huai'gu'zheng'qiu'feng 邺中怀古正秋风
'yi'ai'xiang'xiang'qian'qiu'chui 遗爱想像千秋垂
'yi'ban'feng'wu'ke'qi'ran 一般风物客凄然
'yi'ban'yi'shu'wang'song'shi 一半已书亡宋事
'yi'bei'si'hou'ming 遗碑死后名
'yi'bie'he'shan'shi'bu'tong 一别河山事不同
'yi'bu'wen'lv'mu 亦不闻履亩
'yi'bu'wen'sheng'jiao 亦不闻省郊
'yi'cheng'you'qi'shao'kang'jia 一成犹启少康家
'yi'chuan'lai 一船来
'yi'chuan'qu 一船去
'yi'chuan'yan'jing'pin'lai'wang 一川烟景频来往
'yi'chuang'qi'wei'nong'fu'ji 医疮岂为农夫计
'yi'chun'bu'de'pei'you'shang 一春不得陪游赏
'yi'cong'ji'ji'bei'huang'lei 已从击楫悲荒垒
'yi'dai'hong'zhuang'zhao'han'qing 一代红妆照汗青
'yi'dai'liu'feng'duo'gan'ji 异代流风多感激
'yi'dan'sheng'jing'qi 一旦生荆杞
'yi'de'bu'yi'zha 以德不以诈
'yi'deng'qun'dong'xi 一灯群动息
'yi'di'yan'tai'jing'xue'yin 已滴燕台颈血殷
'yi'die'bu'fu'ju 一跌不复举
'yi'fa'bian'deng'zhou 一发辨登州
'yi'feng'ru'cheng'zhuan'pi'ceng 一峰如城砖甓层
'yi'feng'zhuan'jiang'jiang'bi'cheng 一峰转江江碧澄
'yi'fu'bao'kong'du 役夫抱空肚
'yi'fu'gan'yi'yu 役夫敢一语
'yi'fu'he'dang'di'liang'jing 一赋何当敌两京
'yi'ge 一舸
'yi'ge'hu'a'fu 以哥呼阿夫
'yi'ge'ru'kou'chan 一歌如扣镡
'yi'guan'shui'you'xian'chao'zhi 衣冠谁有先朝制
'yi'guan'wen'jiu'he'xiang'qin 衣冠文酒何相亲
'yi'guo'chao'tian'xia 一过朝天峡
'yi'guo'han'shang'bao 一过罕伤抱
'yi'hang'bai'lu'gan'yu'xue 一行白鹭干于雪
'yi'hang'bai'lu'liang'yan'sheng 一行白鹭凉烟胜
'yi'hang'feng'liu'pu'ren'fei 一行风柳扑人飞
'yi'hen'can'yue'xing'hua'xiang 一痕残月杏花香
'yi'hu'wan'ying'qi'hui'quan 一呼万应齐挥拳
'yi'hu'zhu'lian'wan'hu'chou 一斛珠连万斛愁
'yi'ji'di'jiang'lao'mo'leng 一矶砥江老模棱
'yi'ji'zhu'jun'dong'tian'di 义激诸军动天地
'yi'jia'ci'fu'zui'lian'jun 一家词赋最怜君
'yi'jia'yue'fu'shang'sheng'lao 一家乐府商声老
'yi'jian'jin'jiao'shuang'yan'ming 一见金焦双眼明
'yi'jiang'feng'qian'zheng'luo'xia 倚桨风前正落霞
'yi'jiao'huang'qi'wan'sui'sheng 一角黄旗万岁声
'yi'jie'yi'xi'qu 一节亦奚取
'yi'ju'can'qi'jian'liu'chao 一局残棋见六朝
'yi'jue'lin'ji'bai 已觉林际白
'yi'jun'qi'gu'xiang'tian'ya 一军旗鼓向天涯
'yi'kan'chun'feng'yu'shu'piao 倚槛春风玉树飘
'yi'kan'jiang'hu'wang'zhuan'you 倚槛江湖望转幽
'yi'kun'luan'shu'shi'wa'bo 一捆乱书十瓦钵
'yi'lan'liao'yong'zhi 倚阑聊咏志
'yi'li'cui'shi'yu'fu'yi 驿吏催时雨拂衣
'yi'li'dai'can'yu 一犁带残雨
'yi'li'yi'qian'jia 一里一千家
'yi'lin'hong'shu'qing'shuang'ping 一林红树清霜凭
'yi'ling'gu'sui'gan 已令骨髓干
'yi'lu'chan'sheng'guo'xu'zhou 一路蝉声过许州
'yi'lu'chui'hong'shang'yi'lou 一路吹红上驿楼
'yi'lu'chun'feng'qing'hua'zhen 一路春风清化镇
'yi'lu'liu'wei'bian 驿路柳为鞭
'yi'lu'mei'hua'sui'yue'cu 驿路梅花岁月徂
'yi'lu'xie'yang'ting'zhe'gu 一路斜阳听鹧鸪
'yi'lun'bai'ri'hu'bu'jian 一轮白日忽不见
'yi'ma'bu'jian 一马不见
'yi'ma'lin'jiang'ru'zi'chen 一马临江入紫宸
'yi'men'chou'sha'lao'hou'ying 夷门愁杀老侯嬴
'yi'nan'yi'yi'shi'diao'juan 亦难一一施雕镌
'yi'nian'chui'yu'jin 一年垂欲尽
'yi'nian'qiang'ban'shi'chun'chou 一年强半是春愁
'yi'nian'san'bian'xing 一年三变姓
'yi'niao'bu'ming'fan'jiu'an 一鸟不鸣翻旧案
'yi'nuo'qing'che'qi 一诺轻车骑
'yi'pai'kong'ming'hu'hui'dang 一派空明互回荡
'yi'pian'xi'feng'zuo'chu'sheng 一片西风作楚声
'yi'po'xiang'fei'yang 毅魄想飞扬
'yi'qi'jiao'chong'ji 揖妻交重寄
'yi'qian'chang'sha'you'bu'fan 已遣长沙忧不返
'yi'qu'ai'xian'xiang'shui'su 一曲哀弦向谁诉
'yi'qu'lin'ling'wan'gu'xin 一曲淋铃万古心
'yi'qun'xian'shu'yi'wei'jia 一群仙鼠依为家
'yi'ran'ji'pu'sheng'qiu'shui 依然极浦生秋水
'yi'ren'guang'bu'ding 依人光不定
'yi'ren'ye'wu'yue 一任夜无月
'yi'ri'zhi'yi'chi 一日织一尺
'yi'shan'hai'shan'chuan'zi'chuan 以山还山川自川
'yi'shao'lin'wen'xie'xian'qian 逸少临文写现前
'yi'shao'lin'wen'zong'shi'chou 逸少临文总是愁
'yi'shen'bei'qu'shi 一身被驱使
'yi'shen'jin'tui'lei'xuan'jing 一身进退类悬旌
'yi'sheng'ai'nai'yi'sheng'jiang 一声欸乃一声桨
'yi'sheng'gu'zhao'xiang 一声孤棹响
'yi'sheng'huo'ji'shui'bian'duo 一生活计水边多
'yi'sheng'wang'di'ti'huang'dian 一声望帝啼荒殿
'yi'sheng'xu'xia'lie 义声嘘侠烈
'yi'shi'pan'gu'si'hou'bu'ken'hua 疑是盘古死后不肯化
'yi'shi'qian'zhi'ci 译使前致词
'yi'shi'qin'lou'chuan 疑是秦楼船
'yi'shi'sheng'han'ying'mai'qiu 疑是生寒应麦秋
'yi'shi'teng'yong'fu'ba'yan 移时腾涌覆八埏
'yi'shu'sou'kong'bi 遗书搜孔壁
'yi'si'dong'shi'yue 乙巳冬十月
'yi'si'yi'li'jin'sou'suo 一丝一粒尽搜索
'yi'tiao'luo'dai'bian'huang'liu 一条罗带变黄流
'yi'wan'mei'ping'jie 一丸每凭借
'yi'wan'ye'shui'shi'xin'cheng 一湾野水是新城
'yi'wei'chang'an'gui'ren'wu 一为长安贵人屋
'yi'wei'cui'ke'da'li'tang 一为催科大吏堂
'yi'wei'shi'jun'fan 以为使君饭
'yi'wen'you'zhen'kui 已闻右甄溃
'yi'wo'ni'jin'xiang 遗我泥金箱
'yi'xi'can'meng'zai'yang'zhou 依稀残梦在扬州
'yi'xi'luo'jiang'qiao'yin'teng 一溪落江桥隐藤
'yi'xian'chang'jiang'san'li'si 一线长江三里寺
'yi'xian'huang'liu'ben'yu'dian 一线黄流奔禹甸
'yi'xiao'jun'wang'jing'li'tou 一笑君王镜里头
'yi'xiao'wu'qin'di 一笑无秦帝
'yi'xiao'zhi'fu'da 一笑置弗答
'yi'yan'du'fen'he 一雁渡汾河
'yi'yan'ji'gu'e 一言及姑恶
'yi'ye'bo'tao'ru'kui'hai 一夜波涛如溃海
'yi'ye'luo'long'dui 一夜落龙堆
'yi'ye'xi'feng'gong'bai'tou 一夜西风共白头
'yi'yi'kou'zhong'yu 咿咿口中语
'yi'yi'ming'zhu'bang'ou'ran 薏苡明珠谤偶然
'yi'you'can'bao'yu'can'ji 亦有蚕饱与蚕饥
'yi'yu'qi'shu'san'zi'yu 意欲岂殊三字狱
'yi'yue'qian'tan'liang'yue'shai 依约前滩凉月晒
'yi'yue'su'e'tu'you'shu 倚月素娥徒有树
'yi'zai'piao'ling'jin'lian'mei 一载飘零尽敛眉
'yi'zhang'wen'wei'zhong 倚杖闻微钟
'yi'zhao'chang'ping'bai 一朝长平败
'yi'zhao'huang'pao'sui'ba'bing 一着黄袍遂罢兵
'yi'zhao'yi'zei'man'chang'an 一朝蚁贼满长安
'yi'zhi'shang'guan'yi 亦知上官意
'yi'zhong'feng'liu'de'zi'chi 一种风流得自持
'yi'zhong'lei'lei'zhang'shui'tou 疑冢累累漳水头
'yi'zhong'shang'cun'bing'fa'yi 疑冢尚存兵法意
'yi'zhou'ci'jue'sai 益州此绝塞
'yi'zhou'ye'jin'jiang'nan 舣舟夜近江南
'yi'zhou'zhu'bie'feng 移舟住别峰
'yi'zhu'shen'shan'que'gui'qu 已住神山却归去
'yi'zi'huan'tou'jian'huan'yun 已自换头兼换韵
'yi'zi'le'tian'ji 一自乐天记
