'a'mu 阿姆
'bu'deng'su'ma'la'gu'shuo'hua 不等苏麻喇姑说话
'bu'duan'de'yin'yong 不断地引用
'bu'duan'qian'jin 不断前进
'bu'duan'wan'shan'ci'ci'yan'chu'de'yi'shu'shui'ping 不断完善此次演出的艺术水平
'bu'fang'po'li 不妨破例
'bu'gai'biao'da'ta 不该表达它
'bu'guan'ta'shi'ji'shi'xiong 不管它是吉是凶
'bu'guan'ta'shuo'shen'me 不管他说什么
'bu'guan'wo'he'you'zui'wu'zui 不管倭赫有罪无罪
'bu'guo 不过
'bu'guo'bai'tian'chu'le'su'ke'sa'ha'na'jian'shi 不过白天出了苏克萨哈那件事
'bu'guo'ci'ci'shi'guan'gong'ye 不过此次事关宫掖
'bu'guo'huang'shang'ye'bu'bi'zong'shi'tan'wan 不过皇上也不必总是贪玩
'bu'guo'mei'you'gong'ming'er'yi 不过没有功名而已
'bu'guo'shi'yi'ge'wu'zhi'wan'tong'ba'le 不过是一个无知顽童罢了
'bu'guo'su'ke'sa'ha'zhong'tang'shi'zheng'zhu'kao 不过苏克萨哈中堂是正主考
'bu'guo'xian'sheng'bing'bi'zhi'chen'shi'zheng 不过先生秉笔直陈时政
'bu'guo'ye'bu'fang'dang'zuo'er'xi 不过也不妨当作儿戏
'bu'hen'xin'xian 不很新鲜
'bu'hui'bao 不汇报
'bu'jian 不见
'bu'jin'da'le'yi'ge'han'jin 不禁打了一个寒噤
'bu'jin'dai'le 不禁呆了
'bu'jin'suo'she'ji'de'fan'wei'xiang'tong 不仅所涉及的范围相同
'bu'jin'yao'kao'tian'yi'shen'yi 不仅要靠天意神意
'bu'jin'you'xie'lin'ran 不禁有些凛然
'bu'jin'you'xie'shen'se'su'ran 不禁有些神色肃然
'bu'jin'you'zao'yi'cheng'jiu'de'ren 不仅有早已成就的人
'bu'ke'qu'zhong'qiu'er 不可曲中求耳
'bu'ke'xing'ci'da'li 不可行此大礼
'bu'ku 布库
'bu'lu'ke'lin'zhi'ying 布鲁克林之鹰
'bu'lun'gong'ming'lun'jiu'yun 不论功名论酒运
'bu'lun'he'shi'chu'xian 不论何时出险
'bu'lv'liang'qiang'di'jin'le'shang'shu'fang 步履踉跄地进了上书房
'bu'man'fen 不满分
'bu'neng'bu'shi'wo'men'you'zhong'de'qin'pei 不能不使我们由衷地钦佩
'bu'neng'dan'du'sui'jia'jie'jian'da'chen 不能单独随驾接见大臣
'bu'neng'gen'zhang'fu 不能跟丈夫
'bu'neng'kuang'sheng'jun'zhen'yu'long'zhi 不能匡圣君臻于隆治
'bu'neng'qin'zi'cao'zhao 不能亲自草诏
'bu'neng'zuo'wei'bao'xian'li'yi 不能作为保险利益
'bu'qing'chu'zi'ji'gai'shuo'shen'me 不清楚自己该说什么
'bu'qu'jue'yu'tou'bao'ren'de'zhu'guan'yi'zhi 不取决于投保人的主观意志
'bu'shao'xue'yuan 不少学员
'bu'shao'xue'yuan'zun'xun'ka'nai'ji'de'fang'fa 不少学员遵循卡耐基的方法
'bu'shao'zhu'zhe'hao'hua'bie'shu 不少住着豪华别墅
'bu'shi'dang'shi'ren'zhu'guan'yi'duan'de'li'yi 不是当事人主观臆断的利益
'bu'shi'zhi'chong'bai'ta'men'shen'shang'de'guang'huan 不是只崇拜他们身上的光环
'bu'si'ye'dei'si 不死也得死
'bu'tong'de'guo'jia'you'bu'tong'de'bao'xian'fu'zhu'ren 不同的国家有不同的保险辅助人
'bu'tuo'dang'de'pi'ping'de'xi'sheng'zhe'shi 不妥当的批评的牺牲者时
'bu'wei'fan'fa'lv'huo'zhe'she'hui'gong'gong'li'yi 不违反法律或者社会公共利益
'bu'wei'zhe'ge 不为这个
'bu'wei'zhe'xie'pi'ping'suo'kun'rao 不为这些批评所困扰
'bu'wu'you'mo'de'xie'dao 不无幽默地写道
'bu'xiang'hai'shi'liao'zhun'le 不想还是料准了
'bu'xin'ni'wen'xiao'wu'zi 不信你问小吴子
'bu'xing 不幸
'bu'xing'de'shi 不幸的是
'bu'yan'yu'le 不言语了
'bu'yao'cheng'wei'zhang'fu'bei'hou'de'nv'hai 不要成为丈夫背后的女孩
'bu'yao'geng'geng'yu'huai 不要耿耿于怀
'bu'yao'shi'zhe'mo'fang'ta'ren 不要试着模仿他人
'bu'yao'shou'ji'qiao'de'shang'hai 不要受讥诮的伤害
'bu'yao'shou'jiang'gao'de'yue'shu 不要受讲稿的约束
'bu'yao'zai'hu'bie'ren'de 不要在乎别人的
'bu'yao'zai'jie'shou'wen'hua'jiao'yu'shi'xin'li'qian 不要在接受文化教育时心里牵
'bu'yi'bao'xian'biao'di'de'zhuan'yi'wei'ji'chu 不以保险标的的转移为基础
'bu'ying'gai'pin'qiong 不应该贫穷
'bu'ying'pin'qiong 不应贫穷
'bu'yong'kan'shu'du'bao 不用看书读报
'bu'yong'le 不用了
'bu'yong'wen 不用问
'bu'you'shuang'mei'yi'tiao 不由双眉一挑
'bu'zheng'dang'de'peng'ji 不正当的抨击
'bu'zhi 布置
'bu'zhi'jie'biao'shi'tai'du'de'yi'si 不直接表示态度的意思
'bu'zhi'zhu'zi'qin'lin 不知主子亲临
'bu'zou'er'zhan 不奏而斩
'bu'zun'sheng'xun 不遵圣训
'cai'chan 财产
'cai'chan'bao'xian'de'bao'xian'li'yi'you'xia'lie'qing'kuang 财产保险的保险利益有下列情况
'cai'chan'bao'xian'he'tong'de'zhu'ti'bian'geng 财产保险合同的主体变更
'cai'chan'bao'xian'you'guang'yi'yu'xia'yi'zhi'fen 财产保险有广义与狭义之分
'cai'chan'bao'xian'yu'ren'shen'bao'xian'de'hua'fen 财产保险与人身保险的划分
'cai'chan'bao'xian'zhong 财产保险中
'cai'chan'de'bao'guan'ren 财产的保管人
'cai'chan'de'suo'quan'ren 财产的所权人
'cai'chan'suo'you'ren 财产所有人
'cai'da'chun 才打春
'cai'fu'bing'bu'deng'yu'shou'ru 财富并不等于收入
'cai'fu'de'zeng'jia 财富的增加
'cai'fu'shi'ji'lei'qi'lai'de 财富是积累起来的
'cai'neng'jie'jin'sun'shi'gai'lv 才能接近损失概率
'cai'qu'qi'zha'xie'po'deng'shou'duan'ding'li'de'he'tong 采取欺诈胁迫等手段订立的合同
'cai'qu'qiang'zhi'yu'shang'ye'bao'xian 采取强制与商业保险
'cai'shi'zhen'zheng'de'ying'jia 才是真正的赢家
'cai'si'she'ying'shi'he'wo'reng 蔡斯摄影师和我仍
'cai'suan'kai'le'yan'jie 才算开了眼界
'cai'ting'dao'tai'huang'tai'hou'ping'jing'de'shuo'dao 才听到太皇太后平静地说道
'cai'yong'zong'huo 采用纵火
'cai'yue'you'geng'da'de'man'zu'gan 才越有更大的满足感
'cai'zhi'de'duo'le'ne 才值得多了呢
'can'kui 惭愧
'can'min'li'ji 残民利己
'cao'jie'er 草芥耳
'ce'wo'wei'li'gui 册我为厉鬼
'ceng'jiu'shang'shu'wen'ti'jie'shou'guo'ka'nai'ji'de'fang 曾就上述问题接受过卡耐基的访
'cha'dian'zai'zhe'dian'men'kou'zao'ta'le'gui'ren 差点在这店门口糟蹋了贵人
'cha'kai'hua'tou'wen'dao 岔开话头问道
'chai'you 柴油
'chan'pin'ze'ren'bao'xian 产品责任保险
'chan'shu'le'zhong'zhong 阐述了种种
'chang'de'ren'ge'xing'zhi 常的人格性质
'chang'ke 常客
'chang'tai 常态
'chao'dian'wai'jiao'dao 朝殿外叫道
'chao'e'bu'fen'wu'xiao'deng 超额部分无效等
'chao'guo'gui'ding'qi'xian 超过规定期限
'chao'ren'zhi'chu 超人之处
'chao'ting 朝廷
'chao'ting'nan'zheng'ku'fu'zhi'liang 朝廷难征库府之粮
'chao'tuo'er'yi 超脱而已
'chao'xi'zuo'ye'zi'liao 抄袭作业资料
'che'zhe'sang'zi'hao'jiao 扯着嗓子嚎叫
'chen'ao'bai'zou'qing'sheng'an 臣鳌拜奏请圣安
'chen'deng'bing'wei'jing'dao'da'nei'na'ren 臣等并未径到大内拿人
'chen'deng'bing'wei'yi'ding 臣等并未议定
'chen'fu'zhong'ceng'shou'liu'yi'mai'yi'lao'ren 臣府中曾收留一卖艺老人
'chen'jiu'cha'qi'xin 臣久察其心
'chen'kong'yu'quan'nian'zhi'hou 臣恐于犬年之后
'chen'qing'zhu'ao'bai'yi'xie'tian'xia 臣请诛鳌拜以谢天下
'chen'yi'du'guo 臣已读过
'chen'yi'lao'bei'zhi'nian 臣以老悖之年
'chen'yi'nian'mai 臣已年迈
'chen'yi'wei'huang'shang'wu'se'hao'le'yi'wei'shi'fu 臣已为皇上物色好了一位师傅
'chen'yi'ye'shi'ru'ci 臣意也是如此
'chen'zhi'hao'dou'dan'dai'lao'le 臣只好斗胆代劳了
'chen'zhi'zhi'yi 臣知之矣
'chen'zi'bing'zhong 臣子病重
'chen'zi'suo'e'tu 臣子索额图
'cheng'bao'ren'deng 承包人等
'cheng'dan'min'shi'yi'wu'de'fa'lv'yi'ju 承担民事义务的法律依据
'cheng'dan'min'shi'yi'wu'de'zi'ge 承担民事义务的资格
'cheng'dan'pei'chang'huo'ji'fu'bao'xian'jin'de'ze'ren 承担赔偿或给付保险金的责任
'cheng'gong'de'li'zi'hen'duo 成功的例子很多
'cheng'gong'zhi'zhi 成功之至
'cheng'hu'she'shu'ba'min'chan'ye 城狐社鼠霸民产业
'cheng'jie'jiang'su'sheng'fen'hang 承接江苏省分行
'cheng'jie'quan'hang'wen'dang'ying'xiang'xi'tong'jian'she 承接全行文档影像系统建设
'cheng'shi'de'peng'you 诚实的朋友
'cheng'shu'de'ren'sheng 成熟的人生
'cheng'wai'na'qian'li'wo'ye'que'cheng'le'hu'tu'zhi'xiang 城外那千里沃野却成了狐兔之乡
'cheng'wei'yi'ming'liang'hao'de'gou'tong'zhe 成为一名良好的沟通者
'cheng'xiao'zhuo'zhu'de'yan'shuo 成效卓著的演说
'cheng'zhi'yi 程之一
'cheng'zu'ren 承租人
'cheng'zu'ren'deng'de'bao'xian'li'yi 承租人等的保险利益
'chi'le'yi'jing 吃了一惊
'chi'ze'dao 斥责道
'chong'fu'bao'xian 重复保险
'chong'fu'bao'xian'he'gong'tong'bao'xian 重复保险和共同保险
'chong'fu'yu'ling'yi'ge 重复于另一个
'chong'man'qing'gan'de'qi'fen'ling'ren'yong'nan'wang'huai 充满情感的气氛令人永难忘怀
'chong'shi'ni'de'sheng'huo 充实你的生活
'chong'shu'zhe 重述着
'chong'xin'chu'fa 重新出发
'chong'xin'huan'ge'wan'fa'ba 重新换个玩法吧
'chong'zhe'zhe'nu'cai'zhe'fen'ao'qi 冲着这奴才这份傲气
'chou'you'shu'deng 臭鼬鼠等
'chu'ban'hou'de'shi'liu'nian 出版后的十六年
'chu'chang'hou'ta'zi'ji'ye'po'you'dian'tan'te'bu'an 出场后他自己也颇有点忐忑不安
'chu'chong'pei'de'qing'gan 出充沛的情感
'chu'ci 初次
'chu'du'jia'shi 出度假时
'chu'ka'nai'ji'de'xin'nian 出卡耐基的信念
'chu'kou'mao'yi'jie'hui'shi 出口贸易结汇时
'chu'le'ji'yi'ren'ming'wai 除了记忆人名外
'chu'le'ne'mo'he'mu'li'ma'you'dian'mian'shu'wai 除了讷谟和穆里玛有点面熟外
'chu'le'yi'shen'han 出了一身汗
'chu'le'yue'peng'dian 出了悦朋店
'chu'li'de'lin'shi'bao'xian'ping'zheng 出立的临时保险凭证
'chu'nu'ta'ren'er'biao'xian 触怒他人而表现
'chu'qian'kuan'gui'ding'wai 除前款规定外
'chu'qu'jiu'bu'xiang'hui'lai 出去就不想回来
'chu'wai'ze'ren 除外责任
'chu'xian'wen'ti'li'ji'xiang'shang'ji'hui'bao 出现问题立即向上级汇报
'chu'xu'bu'shu'yu'shang'ye'bao'xian 储蓄不属于商业保险
'chu'yi'xie'xiang'fa'shi 出一些想法时
'chu'yin'he'tong'bei'jie'xian'wai 除因合同被解险外
'chu'yin'jie'chu'er'zhong'zhi'wai 除因解除而终止外
'chuai'zhe'jing'zi'chu'men 揣着镜子出门
'chuan'chu'ling'jun'xin'min'xin'dou'da'wei'zhen 传出令军心民心都大为振
'chuan'jiao'shi 传教士
'chuan'jing'shi'fang'guan'shi'de'lai 传敬事房管事的来
'chuan'yu'jia'ren'bu'yao'zou'lou'feng'sheng 传谕家人不要走漏风声
'chuan'zhe'jiu'mang'wu'zhao'de'pao'zi 穿着九蟒五爪的袍子
'chuan'zhe'xian'ming'de'bu'fu 穿着鲜明的补服
'chuan'zhi 传旨
'chuang'li'zhe'men'ke'cheng 创立这门课程
'chuang'zao'ying'jia 创造赢家
'ci'ci'chao'ting'ce'shi 此次朝廷策试
'ci'deng'zheng'shi'dang'zhao'xian'di'yi'zhi 此等政事当照先帝遗制
'ci'fu'bi'qi 此伏彼起
'ci'hou'ta'men'bian'zhan'kai'le'zhou'ji'lv'xing'yan'shuo 此后他们便展开了州际旅行演说
'ci'ke 此刻
'ci'le'zhong'ren'chu'lai 辞了众人出来
'ci'lei'ming'ling'fang'shi'huo'shang'ye'kou'wen 此类命令方式或商业口吻
'ci'nai'ao'zhong'tang'shan'zi'jue'ding 此乃鳌中堂擅自决定
'ci'nai'shi'ye'yun'ye'ming'ye'shu'ye 此乃时也运也命也数也
'ci'qu'gong'zuo 辞去工作
'ci'shi 此时
'ci'shi'bao'xian'he'tong'ye'sui'zhi'er'zhong'zhi 此时保险合同也随之而终止
'ci'shi'ming'zhu'zao'ren'bu'zhu 此时明珠早忍不住
'ci'shi'yin'fa'le'ta'de'ling'gan 此事引发了他的灵感
'ci'wai 此外
'ci'wai'hai'you'huang'jin'he'wai'bi 此外还有黄金和外币
'ci'xiang'yan'shuo'shi'wei'le'pei'he'mei 此项演说是为了配合美
'ci'yi'bu'de'yi'er'wei'zhi 此亦不得已而为之
'cong'bao'xian'fa'lv'guan'xi'de'yao'su'shang'kan 从保险法律关系的要素上看
'cong'bao'xian'gong'si'he'cai'wu'guan'li'de'jiao'du'kan 从保险公司和财务管理的角度看
'cong'bei'ge'er'de'jian'jie'zhong 从贝格尔的见解中
'cong'bu'pi'ping'ni 从不批评你
'cong'ci 从此
'cong'ci'yi'hou 从此以后
'cong'er'dang'di'le'ta'yuan'xian'de'yi'yu'sheng'huo 从而荡涤了他原先的抑郁生活
'cong'er'dao'zhi'bao'xian'he'tong'zhu'ti'de'bian'geng 从而导致保险合同主体的变更
'cong'er'dian'ding'le'hou'lai'de'shi'ye'ji'chu 从而奠定了后来的事业基础
'cong'er'jie'yi'huo'de'mou'zhong'kuai'gan 从而借以获得某种快感
'cong'er'jin'yi'bu'ren'qing'bao'xian'de'zuo'yong 从而进一步认清保险的作用
'cong'er'shi'min'shi'fa'lv'guan'xi'fa'sheng 从而使民事法律关系发生
'cong'er'shi'qu'ke'xue'xing'he'wen'ding'xing 从而失去科学性和稳定性
'cong'er'xing'cheng'le'yi'zhong'jing'ji'hu'zhu'guan'xi 从而形成了一种经济互助关系
'cong'er'yin'qi'bao'xian'li'yi'fa'sheng'bian'hua 从而引起保险利益发生变化
'cong'er'zao'dao'shang'di'he'da'zhong'de'yan'qi 从而遭到上帝和大众的厌弃
'cong'fa'lv'jiao'du'kan 从法律角度看
'cong'fang'jian 从房间
'cong'feng'xian'guan'li'jiao'du'kan 从风险管理角度看
'cong'jiao'tan'zhong 从交谈中
'cong'jing'ji'jiao'du'kan 从经济角度看
'cong'liu'sui'qi 从六岁起
'cong'ming'de'fu'jia'zai'zhu'fang 聪明的富家在住房
'cong'she'hui'de'jiao'du'kan 从社会的角度看
'cong'tiao'kuan'de'si'ding'shang'kan 从条款的似定上看
'cong'xiao'jiu'you'xie'zuo'shen'tong'he'tui'xiao'zhuan 从小就有写作神童和推销专
'cong'xiu'zi'li'mo'chu'yi'zhang'zhi'lai'kan'le'kan 从袖子里摸出一张纸来看了看
'cong'yan'jiang'de'yi'xie'zhong'yao'fang'fa'shang'er'yan 从演讲的一些重要方法上而言
'cong'zhong'duo'gu'shi'zhong'qu'jiao'xun 从众多故事中取教训
'cu'shi'ta'fen'fa'xiang'shang 促使他奋发向上
'cui'gu'lian'shang'ye'fan'qi'le'hong'yun 翠姑脸上也泛起了红晕
'cui'gu'mang'wen 翠姑忙问
'cui'gu'xiao'dao 翠姑笑道
'cun'dao 忖道
'cun'luo'hang'hui'deng'ge'zhong'hang'hui 村落行会等各种行会
'da'an'shi 答案是
'da'bu'jing 大不敬
'da'chen'men'qing'guo'sheng'an 大臣们请过圣安
'da'cong'shun'zhi'ye'yu'ji 打从顺治爷御极
'da'dai'kuan'wei'huan'zhi'qian 大贷款未还之前
'da'dao'bao'hu'bei'bao'xian'ren'qian'quan'yi'de'mu'di 达到保护被保险人佥权益的目的
'da'dao'san'shi'lai'xia 打到三十来下
'da'dao'si'wei 达到思维
'da'de'bu'xing'le 打得不行了
'da'dou'ke'yi'fu'zhu'yi'xiao 大都可以付诸一笑
'da'duo'chang'ta'liang'bei 大多长他两倍
'da'duo'shu'shi'hou'ta'men'bing'bu'shi'yong 大多数时候他们并不使用
'da'fu 答复
'da'gai'ni'de'di'ye'bei'quan'le'qu'ba 大概你的地也被圈了去吧
'da'gai'ye'jiu'zhi'you'tui'ran'er'tui'le 大概也就只有颓然而退了
'da'gai'ying'yu'ci'hui'zhong'suo'you'de'e'du 大概英语词汇中所有的恶毒
'da'ge 大哥
'da'ge'dao'de'wen'zhang 大哥道德文章
'da'ge'guo'yu'geng'jie 大哥过于耿介
'da'ge'ting'ni'men'de 大哥听你们的
'da'jia'an'xi'jiu'zuo 大家安席就座
'da'jia'dou'gan'zhe 大家都赶着
'da'jia'dou'kan'de'jian 大家都看得见
'da'jia'dou'xi 大家都喜
'da'jia'fen'xiang'zhu'yi'li 大家分享注意力
'da'jia'gao'xing'gao'xing'zai'qu 大家高兴高兴再去
'da'jia'he'le'san'bei 大家喝了三杯
'da'jia'ping'an 大家平安
'da'jia'zheng'cha'yi'ta'zen'me'shuo'zhe'xie 大家正诧异她怎么说这些
'da'li'shi'de'li'liang'he'zhun'que'lai'tou'zhi 大力士的力量和准确来投掷
'da'liang'feng'xian'de'ji'he 大量风险的集合
'da'liang'feng'xian'de'ji'he'ti 大量风险的集合体
'da'ma'dao 大骂道
'da'qing'zao'er'jiu'chu'qu'le 大清早儿就出去了
'da'sheng'shuo'dao 大声说道
'da'si'zhe'ge'chou'wan'yi'er 打死这个臭玩艺儿
'da'suan'bian'cheng'xian'shi 打算变成现实
'da'ta'men'de'xin'zhi'shui'ping 大她们的心智水平
'da'ting 大厅
'da'xin'di'qi'le'yi'zhen'han'chan 打心底起了一阵寒颤
'da'xue'shi'xiong'ci'lv 大学士熊赐履
'da'ying'zan'zhu'wo'men'qu'kai'zhan'zhou'ji'yan'shuo 答应赞助我们去开展州际演说
'da'you'xi'huo'sui'yi'chu'ru'gong'si'qi'ta'bu'men 打游戏或随意出入公司其它部门
'dai'biao'gu'ke'man'yi 代表顾客满意
'dai'chen'deng'hui'shang'hou'zai'zou'wan'sui 待臣等会商后再奏万岁
'dai'dao'qian'qing'men 待到乾清门
'dai'er 戴尔
'dai'er'bi'xu'ting'zhi'yan'shuo 戴尔必须停止演说
'dai'er'ka'nai'ji 戴尔卡耐基
'dai'er'ka'nai'ji'bu'shi'xin'li'xue'jia 戴尔卡耐基不是心理学家
'dai'er'ka'nai'ji'de'ke'cheng 戴尔卡耐基的课程
'dai'er'ka'nai'ji'ping'lun'dao 戴尔卡耐基评论道
'dai'er'ka'nai'ji'yu'nian'shou'ci'zhuan 戴尔卡耐基于年首次撰
'dai'jin'kun'ning'gong 带进坤宁宫
'dai'wei'zhui'chang 代位追偿
'dai'zhe'hun'er'men'huan'tian'xi'di'di'qu'le 带着混儿们欢天喜地地去了
'dan'ao'bai'de'zheng'huang'qi'zhi'jin'reng'zai'quan'di 但鳌拜的正黄旗至今仍在圈地
'dan'bing'wei'ru 但并未如
'dan'bu'fa'sheng'fa'lv'xiao'li 但不发生法律效力
'dan'bu'zuo'de'hua 但不做的话
'dan'cha'kou'you'shi'zuo'er'de 但茬口又是昨儿的
'dan'chun'de'chu'xu'xing'wei'bu'shu'yu'bao'xian'fan'chou 单纯的储蓄行为不属于保险范畴
'dan'dan'liu'xia'wei'dong'ting'wen'dao 单单留下魏东亭问道
'dan'dang'su'ma'la'gu'zhu'zhang 但当苏麻喇姑主张
'dan'du'he'hai'zi'zai'yi'ping'shi 单独和孩子在一平时
'dan'e'bi'long'yi'xiang'yu'zi'ji'wei'yi'xiang'qu 但遏必隆一向与自己委蛇相屈
'dan'gan'shan'zi'zai'da'nei'na'ren 胆敢擅自在大内拿人
'dan'ge'ye'wu'bao'xian'fei'lv'bu'shi'du 单个业务保险费率不适度
'dan'gen'ju'fa'lv 但根据法律
'dan'hai'you'xie'xu'yao'jin'yi'bu'shang'ji'shang'tao 但还有些需要进一步商计商讨
'dan'he'tong'de'qi'ta'bu'fen'reng'ran'you'xiao 但合同的其他部分仍然有效
'dan'jie'guo'shi'mei'you'zhuan'qian 但结果是没有赚钱
'dan'jing'cheng'nei'wai'jie'shi'ji'min 但京城内外皆是饥民
'dan'ka 但卡
'dan'kao'yun'qi 单靠运气
'dan'qi'chuang'hou'zhao'li'zai'ting'yuan'zhong'da'le'ji'quan 但起床后照例在庭院中打了几圈
'dan'qi'zhong'xin'ke'jian 但其忠心可鉴
'dan'que 但却
'dan'ren'ji'zhe 担任记者
'dan'ren'shen'bao'xian'he'tong'chu'wai 但人身保险合同除外
'dan'ru'jin'ta'zong'jue'de'lu'hai'hen 但如今他总觉得路还很
'dan'ruo'dui'zhe'zhong'ke'cheng'zuo'chu'ping'jia 但若对这种课程作出评价
'dan'shi 但是
'dan'shi'bao'xian'he'tong'duo'wei'fu'tiao'jian'he'tong 但是保险合同多为附条件合同
'dan'shi'peng'you'ze'shi'yi'ge'li'zhi'de'ren 但是朋友则是一个理智的人
'dan'shi'shu'yi'bai'wan'de'yin'du'ren 但是数以百万的印度人
'dan'shi'ta'cheng'gong'le 但是他成功了
'dan'shi'ting'hua'zhe 但是听话者
'dan'shi'zai'jin'tian 但是在今天
'dan'shi'zai'ka'nai'ji'ke'cheng'de'ke'tang'shang 但是在卡耐基课程的课堂上
'dan'shi'zhong'mei'neng'chao'guo 但始终没能超过
'dan'si'hu'you'dou'mei'shen'me 但似乎又都没什么
'dan'ta'de'kun'huo'ye'yue'lai'yue'duo'le 但他的困惑也越来越多了
'dan'ta'de'xiao'shou'ji'lu'dou'bu'shi'hen'hao 但他的销售记录都不是很好
'dan'ta'du'jia'de'xiao 但他度假的消
'dan'ta'dui'ci'xian'de'shi'fen'chao'ran'sa'tuo 但他对此显得十分超然洒脱
'dan'ta'fa'xian 但他发现
'dan'ta'hai'shi'chu'yu'shen'shen'de'kun'huo'zhi'zhong 但他还是处于深深的困惑之中
'dan'ta'he'fu'lan'ke'lin'xiang'si 但他和富兰克林相似
'dan'ta'huo'de'le'shao'nian'de 但他获得了少年的
'dan'ta'que'mei'you'chen'ni'yu'cai'fu'zhi'zhong 但他却没有沉溺于财富之中
'dan'ta'reng'xu'yao'yi'ming'neng'wei'ta'zheng'li'zi'liao 但他仍需要一名能为他整理资料
'dan'ta'xi'wang'ka'nai'ji'neng'dan'ren'ta'xun'hui 但他希望卡耐基能担任他巡回
'dan'ta'xian'zai'hai'mei'you'zhe'me'da'de'quan'li 但他现在还没有这么大的权力
'dan'ta'zai'shang'chao'zhi'qian 但他在上朝之前
'dan'tang'mu 但汤姆
'dan'tong'guo'zhe'ge'ke'cheng 但通过这个课程
'dan'tou'bao'ren'ke'yi'zi'you'xuan'ze'bao'xian'ren 但投保人可以自由选择保险人
'dan'tui'zhao'di'da'le'ge'qian'er'shuo'dao 单腿着地打了个千儿说道
'dan'wei'shi'ying'guo'ji'mao'yi'guan'lie 但为适应国际贸易惯列
'dan'wo'ren'wei 但我认为
'dan'wo'xiang'xin'wo'yi'ding'ban'de'dao 但我相信我一定办得到
'dan'wu'fa'jiao'dao'qi'zhong'de'wei'miao'zhi'chu 但无法教导其中的微妙之处
'dan'xiao'gui 胆小鬼
'dan'xu'yi'chu'sheng'shi'cun'huo'wei'bi'yao'tiao'jian 但须以出生时存活为必要条件
'dan'ye'wei'bi 但也未必
'dan'yi'ban'bu'zuo'wei'ke'bao'cai'chan 但一般不作为可保财产
'dan'yi'dan'fa'sheng 但一旦发生
'dan'zai'cai'chan'bao'xian'he'ren'shen'bao'xian'zhong 但在财产保险和人身保险中
'dan'zai'ci'shi 但在此时
'dan'zai'shou'sun'suo'pei'shi 但在受损索赔时
'dan'zai'xia'shu'liang'zhong'qing'kuang'xia 但在下述两种情况下
'dan'zhan'hou'na'duan'hui'se'qing'xu'reng'long'zhao 但战后那段灰色情绪仍笼罩
'dan'zhe'xie'ding'dan'suo'yao'qiu'de'shi'jian'fei'chang'duan 但这些订单所要求的时间非常短
'dan'zhe'zhong'qi'zhong'qia'qia'fan'ying 但这种器重恰恰反映
'dan'zheng'yin'wei'ci'yin'qi'le'ping'lun'jia'de'zheng'yi 但正因为此引起了评论家的争议
'dan'zi'bi'dou'hai'da 胆子比斗还大
'dan'zui'zhong'que'yi'yi'zhong'jian'jie'fang'shi 但最终却以一种间接方式
'dang'ai'ke'ka'xiu'ke'shi 当艾柯卡修课时
'dang'bao'xian'shi'gu'fa'sheng'hou 当保险事故发生后
'dang'bao'xian'shi'gu'fa'sheng'shi 当保险事故发生时
'dang'bei'bao'xian'ren'si'wang 当被保险人死亡
'dang'bo'li'zai 当伯利再
'dang'dai'mei'guo'ren'yi 当代美国人已
'dang'fa'sheng'bao'xian'ze'ren'fan'wei'nei'de'sun'shi'shi 当发生保险责任范围内的损失时
'dang'ka'nai'ji'wan'cheng'le 当卡耐基完成了
'dang'ka'nai'ji'yi'jia'zai'jia'na'da'du'jia'shi 当卡耐基一家在加拿大度假时
'dang'ni'bei'pi'ping'shi 当你被批评时
'dang'ni'cheng'wei'bu'gong'ping 当你成为不公平
'dang'ni'de'peng'you'tan'lun'sang'ping'shi 当你的朋友谈论丧平时
'dang'ni'huan'ying'mou'ren'er'bu'ji'de'ta 当你欢迎某人而不记得他
