'a'mu'bu'jia'nv 阿母不嫁女
'lai'zhe'jian'xiang'cha 来者肩相差
'lai'zi'tong'gan'ku 赖子同甘苦
'lai'zi'wo'wa'chi 来自渥洼池
'lan'gan'luo'dong'ting 阑干落洞庭
'lan'man'qi'zuo'hua 烂漫齐作花
'lan'pei'xiang'qian'lu 揽辔向前路
'lan'ren'ti'gu'mu'cang'teng'tu 蓝仁题古木苍藤图
'lan'ren'ti'he'chi'bai'lu 蓝仁题荷池白鹭
'lan'ren'xi'mao'yuan 蓝仁惜猫怨
'lan'xi'san'ri'tao'hua'yu 兰溪三日桃花雨
'lan'ya'ju'ben'yi'dong'si 兰芽菊本已冻死
'lan'zhi'po'wu 蓝智破屋
'lan'zhi'xi'qiao'wan'li 蓝智溪桥晚立
'lan'zhuang'yi'mian'chu'shan'jia 懒妆宜面出山家
'lang'fan'yi'kai'san'bai'li 郎帆一开三百里
'lang'guan'kang'shu'zui'zhi'ming 郎官抗疏最知名
'lang'jia'zuo'song'yu'sao'tou 郎家昨送玉搔头
'lang'xi'lai 郎西来
'lang'xia'jing'wu'you'yi'nian 郎下荆吴又一年
'lang'xin'zhong'li'qing'feng'bo 郎心重利轻风波
'lang'yong'fan'qiang'tian'ji'luan 浪涌帆樯天际乱
'lao'can'shang'bo'sang'ye'xi 老蚕上箔桑叶稀
'lao'fu'gao'wo'wen'shu'tai 老夫高卧文殊台
'lao'huai'rong'yi'bian'zhan'jin 老怀容易便沾襟
'lao'lai'wan'lv'zu'qiu'si 老来万缕足秋思
'lao'mu'san'nian'bing 老母三年病
'lao'seng'lai'dian'jiu'qian'deng 老僧来点柩前灯
'lao'shen'bu'dao'zhou'xian'qian 老身不到州县前
'lao'tai'sui'nian'chu 老态随年出
'lao'wu'ding'ning'ke'wu'lv 老巫丁宁客无虑
'lao'wu'fen'ming'zuo'shen'yu 老巫分明作神语
'lao'wu'kai'men'ma'wu'ji 老巫开门马无迹
'lao'xiao'ye'xiao'bai'zhou'mian 老枭夜啸白昼眠
'lao'ya'ming'zao'ri'jin'wu 老鸦鸣噪日近屋
'lao'yan'bu'zhi'yuan'shi'hua 老眼不知原是画
'lao'yu'lan'zui'huan'bu'xing 老渔烂醉唤不醒
'le'ming'feng'shang'wu'shei'yu 勒名峰上吾谁与
'lei'jin'qiong'yuan'de'jiu'jing 泪尽穷辕得旧京
'lei'mei'si'qin'duo 泪每思亲堕
'lei'qiang'zhe'xue'fang'zhou'feng 磊墙遮雪防骤风
'lei'ran'tuo'qi'wei 累然妥其尾
'lei'sa'chang'he'sheng'bei'feng 泪洒阊阖生悲风
'leng'feng'xiao'se'dong'ling'qun 冷风萧瑟动灵裙
'leng'luo'shu'li'qu'jing'zhong 冷落疏篱曲径中
'leng'qiong'ti'yu'ting'sheng'hou 冷蛩啼雨停声后
'li'ba'xi'feng'ye'wu'mei 立罢西风夜无寐
'li'bian'rong'yan'zi'fen'ming 里边容眼自分明
'li'chang'qi'gui'zi'nan'yang 李昌祺归自南阳
'li'chang'qi'xiang'ren'zhi'ye'hua 李昌祺乡人至夜话
'li'chou'gong'lu'chang 离愁共路长
'li'dong'yang'bai'yang'xing 李东阳白杨行
'li'dong'yang'feng'yu'tan 李东阳风雨叹
'li'dong'yang'guo'guo'fu'ren'zao'chao'tu 李东阳虢国夫人早朝图
'li'dong'yang'jing'du'yao 李东阳竞渡谣
'li'dong'yang'jiu'ri'du'jiang 李东阳九日渡江
'li'dong'yang'ti'qing'ming'shang'he'tu 李东阳题清明上河图
'li'dong'yang'xin'feng'xing 李东阳新丰行
'li'dong'yang'yu'qian'tai'shou'zhu'gong 李东阳与钱太守诸公
'li'dong'yang'zhou'zhong'za'yun 李东阳舟中杂韵
'li'fu'deng'men'ru'suo'chou 吏符登门如索仇
'li'guan'ren'jiang'shuang'que'tong 立观忍将双阙同
'li'hua'ting'yuan'leng'qin'yi 梨花庭院冷侵衣
'li'kai'xian'ye'yan'guan'zhan 李开先夜宴观战
'li'kai'xian'yu'yan 李开先寓言
'li'li'shao'wei'xing 历历少微星
'li'li'shui'neng'xuan 历历谁能宣
'li'liu'fang'feng'xiang'ren'nan'hai 李流芳逢乡人南还
'li'liu'fang'wu'ti 李流芳无题
'li'liu'fang'xi'hu'xi'ti 李流芳西湖戏题
'li'ma'ceng'ya'ji'wang'ai 立马层崖极望哀
'li'ma'men'qian'cui'hua'mei 立马门前催画眉
'li'meng'yang'bian'jing'yuan'xi 李梦阳汴京元夕
'li'meng'yang'gen'yue'pian 李梦阳艮岳篇
'li'meng'yang'jing'xing'sai'shang 李梦阳经行塞上
'li'meng'yang'lin'liang'hua'liang'jiao'ying'ge 李梦阳林良画两角鹰歌
'li'meng'yang'shu'fen'xuan'yi'shou 李梦阳述愤选一首
'li'meng'yang'tu'bing'xing 李梦阳土兵行
'li'meng'yang'xiang'he'ge 李梦阳相和歌
'li'meng'yang'xiao'ying 李梦阳晓莺
'li'meng'yang'xuan'ming'gong'xing 李梦阳玄明宫行
'li'meng'yang'zheng'sheng'zhi'zi'tai'shan 李梦阳郑生至自泰山
'li'min'biao'wen'jie'bao 黎民表闻捷报
'li'min'biao'yan'jing'shu'shi 黎民表燕京书事
'li'nu'tu'er'kua'xian'chan 狸奴徒尔夸衔蝉
'li'pan'long'ao'nong'ge 李攀龙懊侬歌
'li'pan'long'deng'hua'bu'zhu'shan 李攀龙登华不注山
'li'pan'long'deng'huang'yu'ma'ling 李攀龙登黄榆马陵
'li'pan'long'ji'bie'yuan'mei 李攀龙寄别元美
'li'pan'long'lu'bie 李攀龙录别
'li'pan'long'ming'fei'qu 李攀龙明妃曲
'li'pan'long'sui'miao'fang'ge 李攀龙岁杪放歌
'li'pan'long'wan'wang'zhong'cheng 李攀龙挽王中丞
'li'ren'cang'huang'shen'lv'bian 里人仓皇神屡变
'li'shan'xia'gu'san'quan'kai 骊山下锢三泉开
'li'ying'sheng'shu'yi'ting'bi 李应升书驿亭壁
'li'ying'sheng'zou'xian'dao'zhong'kou'zhan 李应升邹县道中口占
'li'yuan'san'jin'gong'huai'luo 梨园散尽宫槐落
'li'zai'wei'wen'hua'shan'shui 李在唯闻画山水
'li'zhi'ku'huai'lin 李贽哭怀林
'li'zhi'lao'bing'shi'su 李贽老病始苏
'li'zhi'lu'ju'wei'neng'xian 荔枝卢橘未能先
'lian'chang'gong'wai'ting'qiu'sheng 连昌宫外听秋声
'liang'bin'shuang'hua'qian'li'ke 两鬓霜华千里客
'liang'bin'xiu'kan'xue'luan'ming 两鬓羞看雪乱明
'liang'feng'si'qi'qiu'yun'ji 凉风四起秋云急
'liang'fu'dao'jin'chuan 两赋到今传
'liang'fu'wei'shui'yin 梁甫为谁吟
'liang'hu'liang'hu 良乎良乎
'liang'jiao'hun'ru'shui'zhong'shi 两脚浑如水中石
'liang'jiu'qing'zhe'ru 良久磬折入
'liang'nian'wei'ke'feng'qiu'jie 两年为客逢秋节
'liang'ren'wan'li'qu'wei'shang 良人万里去为商
'liang'ying'tu'chu'shuang'ya'gao 两鹰突出霜崖高
'liang'you'yu'han'gong'ci 梁有誉汉宫词
'liang'you'yu'qiu'ye'yu'zhong 梁有誉秋夜雨中
'liang'yue'ru'mei'gua'liu'wan 凉月如眉挂柳湾
'liang'zhou'pi'ni'ji'ruo'chou 两舟睥睨疾若仇
'liao'er'cong'wu'yi 聊尔从吾意
'liao'fu'yi'shi'rong 聊复一时荣
'liao'rao'xi'liu'qu'you'xie 缭绕溪流曲又斜
'lie'duo'pie'peng'ju'you'shen 捩舵撇篷俱有神
'lie'fu'hong'yan'yi'dan'qing 烈妇红颜一旦倾
'lie'huang'cheng'yun'yu'liu'long 烈皇乘云御六龙
'lie'huo'shui'fen'wa'yu'zhu 烈火谁分瓦与珠
'lie'shi'yu'chang'jie'pin'jian 猎师虞长皆贫贱
'lie'wang'chi'zeng'bian'shan'yu 列网持矰遍山域
'lie'ying'zhi'ru'yi 列映直如一
'lin'gong'bao'yu'jiang'an'xiong 琳宫宝宇将安雄
'lin'hong'pi'pa'shan'niao 林鸿枇杷山鸟
'lin'hong'xi'yang 林鸿夕阳
'lin'hong'yong'cao 林鸿咏草
'lin'jia'chu'quan'lao'geng'kuang 邻家畜犬老更狂
'lin'jia'xiang'ji'zhu 邻家响机杼
'lin'ke'wu'jing'ye 林柯无静叶
'lin'liang'xie'niao'zhi'yong'mo 林良写鸟只用墨
'lin'liu'yu'xie'yi'lan'yi 临流欲写猗兰意
'lin'shui'bu 临水步
'lin'xia'fu'teng'zhang 林下扶藤杖
'lin'zhong'shang'you'huang'ying'sheng 林中尚有黄莺声
'lin'zhuang'lian'yao'tiao 临妆怜窈窕
'ling'biao'liu'ren'gui'man'tu 岭表流人归满涂
'ling'feng'si'ge'yi'song'feng 灵峰寺阁倚松风
'ling'hua'ling'ye'gong'cen'ci 菱花菱叶共参差
'ling'ji'han'shi'ci 灵鸡寒失次
'ling'ti'fu'ying'bao 零涕复盈抱
'ling'wo'zhe'hao'zhi 令我折好枝
'ling'xing'ai'wu'mao'shu'ba 零星矮屋茅数把
'liu'chao'jiu'hen'xie'yang'li 六朝旧恨斜阳里
'liu'deng'dai'tian'ming 留灯待天明
'liu'du'feng'han'shi 六度逢寒食
'liu'fu'hong'qun'jiao'bu'wa 六幅红裙脚不袜
'liu'ji'bing'fu'xing 刘基病妇行
'liu'ji'chang'men'yuan 刘基长门怨
'liu'ji'guo'su'zhou 刘基过苏州
'liu'ji'kong'qin'si 六籍空覃思
'liu'ji'ling'feng'si'song'feng'ge 刘基灵峰寺松风阁
'liu'ji'lv'ye 刘基旅夜
'liu'ji'mei'ren'shao'xiang'ci 刘基美人烧香词
'liu'ji'qi'sang'ci 刘基畦桑词
'liu'ji'song'wang'nei'jing 刘绩送王内敬
'liu'jing'fei'zhi'wen 六经非至文
'liu'ling'cao'mei'mi'dong'xi 六陵草没迷东西
'liu'ling'feng'yu'da'jiang'dong 六陵风雨大江东
'liu'song'guo'xin'wu'si 刘崧过新吴寺
'liu'song'lie'quan'pian 刘崧猎犬篇
'liu'song'yi'ding'er 刘崧忆鼎儿
'liu'sui'zi'bao'chi 六岁自抱持
'liu'tiao'fu'di'ru'chang'ying 柳条拂地如长缨
'liu'xu'chi'tang'xiang'ru'meng 柳絮池塘香入梦
'liu'ying'bi'shu'xi 流莺碧树西
'liu'ying'du'shui'bu'yi'dian 流萤渡水不一点
'liu'ying'jin'ling'mu 柳映金陵暮
'liu'ying'ye'fei'shi'hu'dian 流萤夜飞石虎殿
'liu'zong'dai'lang'gui 留踪待郎归
'long'sheng'ba'zou'feng'xian'ting 龙笙罢奏凤弦停
'lou'chu'fei'tao'ban'shu'hua 露出绯桃半树花
'lou'chuan'che'ma'ri'xiang'wang 楼船车马日相望
'lou'tou'meng'xing'jiang'sheng'fa 楼头梦醒江声发
'lou'yi'xue'qi'gen 蝼蚁穴其根
'lu'can'chang'men'yuan 陆粲长门怨
'lu'can'dan'fu'yao 陆粲担夫谣
'lu'can'man'shu'san'shou 陆粲漫述三首
'lu'chu'da'liang'cheng 路出大梁城
'lu'di'xiao'xiao'yu'gu'lei 芦荻萧萧余故垒
'lu'gou'qiao'xia'dong'liu'shui 芦沟桥下东流水
'lu'he'can'dan'mi'qian'kun 六合惨淡迷乾坤
'lu'jia'chui'chen'chen'man'he 芦笳吹尘尘满河
'lu'jing'bai'yang'he 路经白杨河
'lu'lu'yong'yong'si'shi'yu 碌碌庸庸四十余
'lu'pang'shang'wo'shuang'shi'ma 路旁尚卧双石马
'lu'shang'xing'ren'ye'zi'bei 路上行人也自悲
'lu'xia'bai'cao'qi 露下百草凄
'lu'zai'yang'chang'di'ji'pan 路在羊肠第几盘
'lu'zhong'wu'xiang'wei'shen'guai 炉中无香畏神怪
'luan'hou'na'kan'geng'bie'li 乱后那堪更别离
'luan'hou'xie'yang'mei'gu'gong 乱后斜阳没故宫
'luan'jing'xiu'ge'kai 鸾惊绣阁开
'luan'shi'shi'lian'cai 乱世始怜才
'luo'bi'sheng'qiu'han 萝薜生秋寒
'luo'hua'liu'shui'ren'jia'jin 落花流水人家近
'luo'hua'qu'gu'tiao 落花去故条
'luo'li'bu'zhi'ming 逻吏不知名
'luo'luo'wei'shuang'pi 落落惟霜皮
'luo'mu'bei'feng'hong'yan'xia 落木悲风鸿雁下
'luo'pa'xun'xiang'ban'zhe'e 罗帕薰香半遮额
'luo'que'mo'luo'yan 罗雀莫罗燕
'luo'ri'chang'lin'er'shui'han 落日长临二水寒
'luo'ri'gu'cheng'ge'shui'kan 落日孤城隔水看
'luo'ri'gu'cheng'zao'bi'men 落日孤城早闭门
'luo'ri'han'jiang'dong 落日寒江动
'luo'ri'kai'yan'mian'qiu'shui 落日开筵面秋水
'luo'ri'kan'ma'shou 落日看马首
'luo'ri'xie'ming'gua'shu'piao 落日斜明挂树瓢
'luo'ye'gui'ya'wu'shu'lai 落叶归鸦无数来
'luo'ye'man'shan'xun'bu'de 落叶满山寻不得
'lv'bo'cu'zuo'huang'jin'lin 绿波蹙作黄金鳞
'lv'guan'feng'chu'xi 旅馆逢除夕
'lv'ji'bai'shou'jin'lu'bian 吕纪白首金炉边
'lv'liu'yin'fen'xia'ri'xie 绿柳阴分夏日斜
'lv'pen'xiao'shu'zhi'zhi'hao 绿盆小树枝枝好
'lv'shui'chang'men'dao 绿水阊门道
'lv'yin'ru'shui'bi'ren'qing 绿阴如水逼人清
'ma'qian'shi'zu'lian 马迁失组练
'ma'sa'hua'bi'chen'wang'li 摩挲画壁尘网里
'ma'shang'chang'sui'cui'nian'you 马上长随翠辇游
'ma'shang'cong'cong'ri'yu'xie 马上匆匆日欲斜
'ma'shang'xiang'feng'tuo'zi'diao 马上相逢脱紫貂
'ma'shi'lai'shi'dao 马失来时道
'ma'ti'you'shang'tai'hang'shan 马蹄又上太行山
'ma'yi'long'dui'lu'shi'qian 马邑龙堆路十千
'ma'zhong'xi'yuan'shi'zu'miao 马中锡元世祖庙
'ma'zhong'xi'zhi 马中锡织
'mai'hua'zhu'men'ji'hui'gai 买花朱门几回改
'mai'lun'qian'qi'tu 埋轮潜泣兔
'mai'yu'hai'chuan'zhong'hua'jue 卖与还传种花诀
'mai'zhuang'jia'ji'yi'e'ran 买妆假髻亦峨然
'man'chuan'shuang'yin'suo'yi'ying 满船霜印簑衣影
'man'di'li'hua'fen'shang'yu 满地梨花坟上雨
'man'nang'sheng'zhu'qiu 满囊剩贮秋
'man'nu'nu'yan'wan'li'ru'er'dou 蛮奴怒言万里入尔都
'man'tian'chun'hen'si'yang'hua 漫天春恨似杨花
'man'ting'ji'xue'yi'deng'hun 满庭积雪一灯昏
'man'ting'zi'yan'zuo'chun'wu 满庭紫焰作春雾
'man'tou'ming'yue'tuo'sha'jin 满头明月脱纱巾
'man'yan'you'you'xing'lu'ren 满眼悠悠行路人
'man'yi'nan'yun'wang'nan'tu 漫倚南云望南土
'mang'mang'bu'zhi'chu 茫茫不知处
'mang'mang'jiang'huai'di 茫茫江淮地
'mang'mang'si'hai'jiang'an'gui 茫茫四海将安归
'mang'mang'yi'nan'xun 茫茫已难寻
'mao'ren'gong'suo'hao 贸人供所好
'mao'wu'ku'han'zhong'ye'ti 茅屋苦寒中夜啼
'mei'jin'xin'ci'meng'shang'xi 每进新词蒙上喜
'mei'jiu'da'rou'chui'sheng'yu 美酒大肉吹笙竽
'mei'ren'chu'lian'wen'jiao'sheng 美人出帘闻叫声
'mei'ren'luo'dai'chang 美人罗带长
'mei'ren'zhe'xin'qun 美人着新裙
'mei'shi'jing'nian'bie 每是经年别
'mei'wen'you'qi'ji 每闻有奇籍
'mei'yi'shang'fang'shui'qing'jian 每忆上方谁请剑
'men'qian'bian'ma'ming 门前边马鸣
'men'qian'you'jiang'shui 门前有江水
'men'qian'zhi'ya'hai'shi'fan 门前只讶海势翻
'men'wai'you'ren'kong'zhu'ma 门外游人空驻马
'men'wai'yun'feng'du'mu'qiao 门外云封独木桥
'men'xiang'xiao'sen'niao'que'fei 门巷萧森鸟雀飞
'meng'gong'si'hai'wen'zhang'bo 孟公四海文章伯
'meng'jue'zhi'wen'ling'suo'xiang 梦觉只闻铃索响
'meng'li'jiang'hu'ge 梦里江湖隔
'meng'wu'shi'shi'kan'jie'xu 猛物失势堪嗟吁
'meng'zi'wei'zhi'ren'shi'shi 孟子未知人世事
'mi'de'qing'luo'chuan'zhu'jing 觅得轻罗穿竹径
'mi'jing'shen'lin'duo'hu'ji 密箐深林多虎迹
'mi'ling'jun'fu'hao'ling'ming 密领军符号令明
'mi'lou'gou'bei'chen 迷楼构北辰
'mi'mi'gu'pu'yi'man'bei 靡靡菰蒲已满陂
'mi'xi'zheng'xi'yu 秘戏征西域
'mian'mian'man'man'duan'fu'xu 绵绵蛮蛮断复续
'mian'mian'si'qu'zhi'zhi'chi 面面斯觑只咫尺
'mian'shang'qian'fen'sui'shou'mo 面上铅粉随手抹
'miao'miao'fei'ren'jing 渺渺非人境
'miao'tou'chu'shui'qing'you'you 苗头出水青幽幽
'miao'yan'jiang'shang'huai 渺焉江上怀
'min'chuan'shu'guan'shui 民船输官税
'min'feng'gu'you'fu 民风古有赋
'min'zai'fan'chu'yi'guan'zhong 民灾翻出衣冠中
'ming'bo'xing'yu'gen 命薄幸余根
'ming'chao'yi'shi'xin'nian'dao 明朝亦是新年到
'ming'chi'dao'yu'ti'li'yue 溟池岛屿鳀鲤跃
'ming'fei'kang'kai'zi'qing'xing 明妃慷慨自请行
'ming'guan'jue'di'tian'zhi'tong 命官绝地天之通
'ming'he'you'ying'wei'yun'wai 明河有影微云外
'ming'ji'qun'hu'yu'shui'shi 命寄群虎欲谁恃
'ming'ji'zhi'fu'lao 鸣机织妇劳
'ming'ming'bai'ri'xi'shan'xia 冥冥白日西山下
'ming'ming'lv'li'xu'gui'xiu 明明律例许归休
'ming'qin'yi'wu'xiang'ru'xin 鸣琴已悟相如心
'ming'ri'qie'mian'qun'chen'chao 明日且免群臣朝
'ming'ri'xing'ren'yao'zao'chui 明日行人要早炊
'ming'shan'da'he'deng'lin'bian 名山大壑登临遍
'ming'tang'rao'wu'zhu 明堂饶梧竹
'ming'ying'bo'na'quan'teng'nie 名鹰搏拏犬腾啮
'ming'yue'chu'dong'fang 明月出东方
'ming'yue'lian'tuan'shan 明月怜团扇
'ming'yue'tian'men'qiu 明月天门秋
'ming'yue'wu'yuan'rong'she'lie 明月五原容射猎
'ming'yue'xi'yuan'shi'yan'hui 明月西园侍宴回
'ming'zhi'fei'meng'mei 明知非梦寐
'mo'guai'chun'lai'bian'gui'qu 莫怪春来便归去
'mo'guai'mei'hua'zhao'di'chui 莫怪梅花着地垂
'mo'guo'yang'mei'shu 莫过杨梅树
'mo'jiang'yan'se'xiang'ren'kua 莫将颜色向人夸
'mo'jiao'sheng'qian'gong'yang'ri 莫较生前供养日
'mo'jiao'xiang'han'shi'ni'feng 莫教香汗湿泥封
'mo'qian'chang'sheng'dian'li'zhi 莫遣长生殿里知
'mo'qian'di'xia'peng'xian'zhi 莫遣地下彭咸知
'mo'qian'gu'zhou'zhu'ke'wen 莫遣孤舟逐客闻
'mo'shang'gui'lai'wan 陌上归来晚
'mo'ta'men'qian'cao 莫踏门前草
'mo'tou'dan'de'chun'feng'xing 陌头担得春风行
'mo'tou'kong'wen'pi'pa'bu 陌头空问琵琶卜
'mo'wang'jie'shan'ai 莫忘介山哀
'mo'wen'xi'qiao'gui 莫问西樵桂
'mo'xi'guo'jiang'ti 莫惜过江题
'mo'xiang'zhao'yang'dian'li'fei 莫向昭阳殿里飞
'mo'xue'can'yu'shang 莫学参与商
'mo'ye'xian'shan'ying'yu'shou 抹野衔山影欲收
'mo'zuo'xu'shan'wan'li'tao 莫作胥山万里涛
'mou'shen'bu'jie'qiu'yi'shi 谋身不解求衣食
'mu'ai'qian'jia'wang'yu'ping 暮霭千家望欲平
'mu'chan'you'zuo'guan'xian'sheng 暮蝉犹作管弦声
'mu'duan'lou'chuan'hai'qi'hun 目断楼船海气昏
'mu'fu'gao'lin'jie'shi'kai 幕府高临碣石开
'mu'gui'jian'huan'ying 暮归见欢迎
'mu'men'zhu'ji'bi'hu'zhong 墓门朱戟碧湖中
'mu'mian'fang'bu'han'shu'chuan 木绵纺布寒暑穿
'mu'shi'yan'yu'ji 暮食盐与虀
'mu'yan'wo'nong'nian'shao'shi 母言我侬年少时
'mu'yi'cheng'lou'jiang'ri'xun 暮倚城楼江日曛
'mu'yi'guan'yuan'guo 暮亦官员过
'mu'yu'qiu'feng'man'han'nan 暮雨秋风满汉南
'na'dei'bu'chou'nong 那得不愁侬
'na'qi'guo'guo'fu'ren'dao 那期虢国夫人到
'na'zhi'bai'zhong'chou 那知百种愁
'na'zhi'ge'feng'cheng 那知隔凤城
'na'zhi'jian'dao'leng 那知剪刀冷
'na'zhi'shi'ji'you'xiao'xie 那知势极有消歇
'nai'he'jie'xu'yi'ren'qing 奈何节序移人情
'nai'jian'qing'song'qi 乃见青松奇
'nai'ling'yi'chou'jing'cheng'dong 乃令遗臭京城东
'nai'shi'yue'zhong'zhi'zhe'xian 乃是月中之谪仙
'nai'zhi'tu'hua'xiao'ren'yi 乃知图画小人艺
'nan'an'xiang'qi'bei'an'liu 南岸相期北岸留
'nan'er'jing'wei'zhong'yi'si 男儿竟为忠义死
'nan'hai'xi'hu'chi'dao'huang 南海西湖驰道荒
'nan'long'dong'gang'qu'xiang'zhu 南陇东冈去相逐
'nan'nei'qi'liang'tou'jin'bai 南内凄凉头尽白
'nan'ni'dao'quan'tai 难拟到泉台
'nan'pu'xin'chou'xi'yu'zhong 南浦新愁细雨中
'nan'qu'qing'shan'leng'xiao'ren 南去青山冷笑人
'nao'ge'heng'chui'e'tong'yun 铙歌横吹遏彤云
'nei'shi'cui'ci'li'dou'shi 内史催词礼斗时
'nei'shi'pin'hu'shao'zhu'huan 内使频呼烧烛换
'nen'bi'rou'xiang'yuan'geng'nong 嫩碧柔香远更浓
'neng'cang'bi'shou'ru'guan'zhong 能藏匕首入关中
'neng'chang'xin'sheng'shui'di'yi 能唱新声谁第一
'neng'cui'bai'fa'sheng 能催白发生
'neng'shi'xin'feng'wei'gu'feng 能使新丰为故丰
'ni'hong'shen'yun'tao'hua'jia 腻红深晕桃花颊
'ni'lv'wu'ren'xin'mo'tong 逆旅无人信莫通
'nian'bi'quan'xia'ren 念彼泉下人
'nian'kou'ge'dong'xi 廿口各东西
'nian'lai'xiao'ai'guo'san'chi 年来萧艾过三尺
'nian'nian'chun'se'huan'qing'hong 年年春色换青红
'nian'nian'ci'di'lai 年年此地来
'nian'nian'de'biao'hao'men'hu 年年得标好门户
'nian'nian'li'zuo'bu'wei'shi 年年力作不违时
'nian'nian'mai'fan'ge'chun'feng 年年麦饭隔春风
'nian'nian'qiu'se'xia 年年秋色下
'nian'nian'xian'na'xian'guan'tang 年年先纳县官堂
'nian'zai'sang'yu'shen'da'tong 年在桑榆身大同
'niao'ge'ji'hui'fei 鸟革及翚飞
'niao'qi'dang'ye'shu 鸟栖当野树
'niao'que'jiu'jiu'hu'bao'ji 鸟雀啾啾虎豹饥
'niao'ya'xiang'che'zhuan 鸟讶香车转
'nie'shu'fan'pen'fu'dao'weng 啮书翻盆复倒瓮
'ning'ci'mao'yu'xing 宁辞冒雨行
'ning'neng'geng'chi'chi 宁能更迟迟
'ning'shi'er'hua'bu'zhi'qian 宁使尔画不值钱
'ning'si'wu'yuan'ji'hu'tu 宁饲乌鸢及狐兔
'ning'wei'xiao'ru'si 宁为孝孺死
'ning'yan'ke'zhi'liu 宁言客滞留
'niu'lao'niu'ji'wei'wo'zhi 牛劳牛饥唯我知
'niu'shang'chang'ge'niu'xia'zuo 牛上唱歌牛下坐
'nong'chen'jin'xun'zu 弄臣矜迅足
'nong'jia'xiong'di'she'fan'lan 侬家兄弟舌翻澜
'nong'jia'ye'qi'zhu'di'zhang 农家夜起筑堤障
'nong'ru'ye'shang'shuang 侬如叶上霜
'nong'shi'chun'gao'ji 农事春告及
'nv'er'jie'ge'shan'zhe'gu 女儿解歌山鹧鸪
'nv'er'shi'wu'wei'zhi'xiu 女儿十五未知羞
'nv'luo'dang'nai'he 女萝当奈何
'nv'luo'yi'song'bai 女萝依松柏
'nv'nu'fu'zui'ta'cang'tai 女奴扶醉踏苍苔
'ou'da'ren'jiu'jiang'guan'she'chu'xi 欧大任九江官舍除夕
'ou'da'ren'ying'yuan 欧大任萤苑
'ou'lu'hai'lai'fou 鸥鹭还来否
'pa'can'zai'fu'yu'da'guan 怕参宰辅与达官
'pai'huai'chu'han'lin 徘徊出寒林
'pai'huai'nan'dou'xia 徘徊南斗下
'pai'huai'you'zuo'han'gong'kan 徘徊犹作汉宫看
'pai'shang'que'gai'xin'guan'ming 牌上却改新官名
'pan'ran'kong'yu'xian'wen'zhong 攀髯控驭先文忠
'pan'wo'hai'lang'shui'neng'ping 盘涡骇浪谁能平
'pan'xuan'da'hua'zhong 盘旋大化中
'pan'yuan'yu'liu'liu'bu'zhu 攀辕欲留留不住
'pei'dao'chang'yi'xiang'dou'ting 佩刀长揖向都亭
'peng'bei'qian'shou'lu'sen'sen 捧杯纤手露森森
'peng'ci'chan'tou'shu'du'qi 捧赐缠头蜀都绮
'peng'hu'pian'pian'piao'bai'yu 彭湖翩翩飘白旟
'peng'shi'sang'gong'she'bu'de 蓬矢桑弓射不得
'pi'bi'shu'kai'hua 辟彼数开花
'pi'cu'geng'bi'qi'qi'shen 批蹴更比其妻甚
'pi'pa'jie'gu'xiang'zhui'zhu 琵琶羯鼓相追逐
'pi'xiao'sui'can'dan 匹绡虽惨淡
'pi'yi'ju'chuang'ye'fu'zhou 披衣踞床夜复昼
'pian'hao'gu'mo'juan 偏好固莫捐
'pian'pian'fei'hua'ma'shang'can 片片飞花马上残
'pian'pian'gao'ju'chu'ming'hong 翩翩高举出冥鸿
'pian'ru'cao'liu'fu 偏入曹刘赋
'pian'ru'qiu'lai'qian'shi'yu 偏入秋来遣示余
'pian'zhou'ming'yue'liang'feng'jian 扁舟明月两峰间
'piao'feng'xiang'fan'ji 飘风向帆集
'piao'miao'cang'mang'bu'ke'jie 缥缈苍茫不可接
'piao'miao'song'yan'ru'wu'chui 缥缈松烟入午炊
'pie'yan'feng'chen'sui'lv'qian 瞥眼风尘岁屡迁
'pin'jia'mai'nan'fu'gui'tian 贫家卖男富贵田
'pin'jian'qiu'zhi'ji 贫贱求知己
'pin'jian'sheng'bie'li 贫贱生别离
'ping'an'zhang'chuan'yu 平安仗传语
'ping'an'zhi'liang'zi 平安只两字
'ping'chuan'shi'li'ren'gui'wan 平川十里人归晚
'ping'fen'nan'bei'shi'jiang'liu 平分南北是江流
'ping'mei'jia'zuo'ta'jia'fu 凭媒嫁作他家妇
'ping'sha'qian'cao'lian'tian'yuan 平沙浅草连天远
'ping'sheng'jie'jiao'jin'xian'hao 平生结交尽贤豪
'ping'sheng'qi'yan'an'zai'zai 平生气焰安在哉
'ping'sheng'yi'qi'an'zai'zai 平生意气安在哉
'ping'shi'xia'dong'fan 凭轼下东藩
'ping'shui'da'ke'tu 凭谁达客途
'ping'tian'han'duo'shu'shao'shu 平田旱多黍少熟
'ping'ting'di'zi'ling 娉婷帝子灵
'po'ni'hua'ji'chuan 颇溺滑稽传
'po'sui'yao'bu'zhui 破碎要补缀
'po'suo'shi'ren'lian 婆娑使人怜
'po'wen'xi'shi'jin'pao'ke 颇闻昔时锦袍客
'po'wu'san'jian'bu'zi'liao 破屋三间不自聊
'pou'ke'si'hai'zhen'kun'qiong 掊克四海真困穷
'pu'cong'yi'yan'jia 仆从已严驾
'pu'fu'bu'shi'lu 仆夫不识路
'qi'bu'dan'jian'xian 岂不惮艰险
