'a'jiao'yu'yun 阿娇馀韵
'pian'xiang'yue'ming'ti 偏向月明啼
'pian'zhao'kong'chuang'cui'bei 偏照空床翠被
'pian'zhou'geng'ru'pi'ling'dao 扁舟更入毗陵道
'pian'zhou'xing'bu'xi 扁舟幸不系
'pian'zhou'zhi'zai'chou 扁舟只载愁
'piao'bo 飘泊
'piao'jing'mei'ying'xue'wei'rong 飘径梅英雪未融
'piao'miao 缥缈
'piao'miao'guan'shan'tai'guan 缥缈关山台观
'piao'miao'ying'ren'ge'yi'duan 缥缈郢人歌已断
'piao'miao'zhu'yan'hua'mu'an 缥缈烛烟花暮暗
'pin'ting'bo'wan 蘋汀薄晚
'pin'zai'jiu 频载酒
'ping'dan'jiang'shan'luo'zhao'zhong 平淡江山落照中
'ping'dou'jiu 平斗酒
'ping'hu'di 平湖底
'ping'hu'wen'yin'cui'zhi'cheng 屏护文茵翠织成
'ping'hu'yi'jing'lv'ping'kai 平湖一镜绿萍开
'ping'lan'xin'meng'hou 凭阑新梦后
'ping'lan'yu 凭阑语
'ping'ling'can'zui'bu'hua'jian 凭陵残醉步花间
'ping'qiao'nan'pan 平桥南畔
'ping'shui'zhao'duan'hun 凭谁招断魂
'ping'yang'xing 平阳兴
'po'chu'jin'ye'ye'ru'nian 破除今夜夜如年
'po'de'zun'qian'he'xian'hen 破得尊前何限恨
'po'jin'qiong'chou'zhi'ji'qian 破尽穷愁直几钱
'po'tai'huang'cao 破台荒草
'pu'huang'chen 扑黄尘
'qi'bai'san'shi'li 七百三十里
'qi'chuang'yan'yu'meng'jia'qi 绮窗烟雨梦佳期
'qi'feng'can'zhao 凄风残照
'qi'feng'lu 凄风露
'qi'kan'yue'ping'xi 起看月平西
'qi'liang'lu'shui'qiao'nan'lu 凄凉渌水桥南路
'qi'luo'cong 绮罗丛
'qi'niang'zi 七娘子
'qi'shuang'hu'die'zi 七双胡蝶子
'qi'xi'jin'hu'dao 绮席金壶倒
'qi'xiu'zhang'yan 绮绣张筵
'qi'yan'shang 绮筵上
'qi'yan'zhang 绮筵张
'qi'ying'he'ji'sheng'zhen'chu 齐应和几声砧杵
'qi'yuan'bu'kan'ting 凄怨不堪听
'qi'yuan'lin'fen 凄怨临分
'qi'yue'wu'ling'xi'kou 期约武陵溪口
'qia'er'jin'shi'jie 恰而今时节
'qian'ban'liu'lang'bie'hou'hun 牵绊刘郎别后魂
'qian'dai'ning'chou 浅黛凝愁
'qian'dai'yi'pin 浅黛宜颦
'qian'du'liu'lang'ying'lao'yi 前度刘郎应老矣
'qian'e'dai 浅蛾黛
'qian'fang'wan'jing 千坊万井
'qian'gu'ru'he 千古如何
'qian'hu'men'wai'fei'chen'jing 钱湖门外非尘境
'qian'jin'xiao 千金笑
'qian'li'di 千里地
'qian'li'wang'peng'shan 千里望蓬山
'qian'li'yi'xi'jian 千里依稀见
'qian'ling'ye'ying 千龄叶应
'qian'ning'pin 浅凝颦
'qian'pin'qing'xiao 浅颦轻笑
'qian'qing'chu 牵情处
'qian'shou'zhi 纤手指
'qian'wen'zun'qian'tao'yu'li 倩问尊前桃与李
'qian'xi'bai'niao'ti'cong'cong 前溪百鸟啼匆匆
'qian'ye'lian 千叶莲
'qian'ye'tou'qi 前夜偷期
'qian'zai'ru'zuo 千载如昨
'qian'zhuang'nong'xiao'you'yu'yan 浅妆浓笑有馀妍
'qiang'fen'duo'shao 强分多少
'qiang'jin'jiu 将进酒
'qiang'lai'chuang'xia'xun'zhen'xian 强来窗下寻针线
'qiang'shang'yao'tao'su'su'hong 墙上夭桃簌簌红
'qiang'tou'yan 樯头燕
'qiang'wei'xie'hou 蔷薇谢后
'qiang'ying'luo'han'sha 樯影落寒沙
'qiang'ying'wai 樯影外
'qiao'cui 憔悴
'qiao'cui'ji'qiu'feng 憔悴几秋风
'qiao'jia'shen'bi'yu'jin'tang 乔家深闭郁金堂
'qiao'jian'he'huan'luo'sheng'zi 巧翦合欢罗胜子
'qiao'jian'zheng'pao'dou'chu'hua 巧翦征袍斗出花
'qiao'qing'yu'wo'he'cang'lang 樵青与我和沧浪
'qiao'shang'dong'feng'ce'mao'yan 桥上东风侧帽檐
'qiao'sui'qing'xu'ru'lian'long 巧随轻絮入帘栊
'qiao'xiao'xiang'qin 巧笑相亲
'qiao'xiao'yan'ge'jie'wo'yi 巧笑艳歌皆我意
'qie'ban'deng'lin 且伴登临
'qie'chun'han 怯春寒
'qie'leng'zhong'xun'bei 怯冷重熏被
'qie'zhui'sui'sun'yu'xing'le 且追随隼旟行乐
'qin'bin'wu'shuang 侵鬓吴霜
'qin'chuang'leng'yu'deng'sheng'yun 侵窗冷雨灯生晕
'qin'hai'jiao 侵海角
'qin'ji'yu'xiang'yong 衾藉馀香拥
'qin'jie'ye'se'liang'jing'yu 侵阶夜色凉经雨
'qin'qin'sui'hua'xing'mu 骎骎岁华行暮
'qin'qin'yue'dao'xuan'ting 骎骎月到萱庭
'qin'sai'xian 秦塞险
'qin'shu'chi 勤书尺
'qin'xi'lv 侵舄履
'qin'xian'luo'luo'cheng'qian'shou 秦弦络络呈纤手
'qin'xin'man'liu'yuan 琴心漫流怨
'qin'xun'tian'jin'tou 侵寻天尽头
'qin'zai'nong 琴再弄
'qin'zhen'yi'xiang 衾枕遗香
'qin'zheng'yan'cu 秦筝雁促
'qing'bian'shuang'jiang 轻便双桨
'qing'bin'chang'qing'gu'wu'you 青鬓常青古无有
'qing'bin'jin'wu'ji 青鬓今无几
'qing'chan'diao'jian 青蟾雕舰
'qing'cheng'you'ji'dong'lin'miao 倾城犹记东邻妙
'qing'er'wu'wa'jing'wei'you 倾耳吴娃惊未有
'qing'feng'ming'yue'xiu'lun'jia 清风明月休论价
'qing'fu'yu 轻付与
'qing'gai'yong 轻盖拥
'qing'han'zhao'yi 青翰棹舣
'qing'han'zhou'wen'xiu'qin'xiang 青翰舟稳绣衾香
'qing'han'zhou'zhong'fu'xi'yan 青翰舟中祓禊筵
'qing'he'bo 情何薄
'qing'hua'jing'jiang'ren'wu'xiu 清滑京江人物秀
'qing'huai'pu'lian 清淮铺练
'qing'jing'xiao'yi'yan'qi'shu 清镜晓倚岩琪树
'qing'li'ge'sheng'zhuang'yang 清丽歌声妆样
'qing'lou'geng'he'xu 青楼更何许
'qing'luo'xiao'shan'pu'liu'ying 轻罗小扇扑流萤
'qing'men'jie'mei 青门解袂
'qing'men'wai 青门外
'qing'pin'feng'zhuan'cai'fan'qing 青蘋风转彩帆轻
'qing'pin'wei'xiao'jiao'wu'nai 轻颦微笑娇无奈
'qing'qian'bei'tang'ou'ye'gan 清浅陂塘藕叶干
'qing'qin'yuan 清琴怨
'qing'qin'zai'gu'qiu'huang'nong 清琴再鼓求凰弄
'qing'que'fang 青雀舫
'qing'sa'qiang'wei 轻洒蔷薇
'qing'shan'guan 青山馆
'qing'shan'yin'yin'shui'tiao'tiao 青山隐隐水迢迢
'qing'shang'mi 情尚秘
'qing'sheng'mian'lai 情生眄睐
'qing'shi'you'wei'shi'wu'neng 清时有味是无能
'qing'shuang'fu'hua'yan 清霜拂画檐
'qing'shuang'jian'duan'he'yan'lv 清霜翦断和烟缕
'qing'shuang'xiao'shou'sun'chui'yang 清霜销瘦损垂杨
'qing'song'chao'bai'niao 青松巢白鸟
'qing'sui'liu'shui'wu'qiong 情随流水无穷
'qing'tiao'xiao 轻调笑
'qing'tong'se'shou 情通色授
'qing'wu'lian 清雾敛
'qing'wu'yuan'jin 情无远近
'qing'xi'bai'qu'ke'lian'sheng 清溪百曲可怜生
'qing'zhuan 清啭
'qing'zun'bu'fu'huang'hua'yue 清尊不负黄花约
'qiong'cui'ji'zhu 蛩催机杼
'qiong'gou'qian'man 琼钩褰幔
'qiong'qiong'jue'yi'zhen'wu'jia 琼琼绝艺真无价
'qiong'zhi'ban'zui'xing 琼枝半醉醒
'qiong'zhi'zhuo'xiu'wang'nan'pan 琼枝擢秀望难攀
'qiu'ban'yu'liang'tian 秋半雨凉天
'qiu'bin'chong'lai'huai'shang 秋鬓重来淮上
'qiu'cheng'chu'chu'yi'he'shu 秋成处处宜禾黍
'qiu'feng'guan 秋风观
'qiu'feng'hao'zhu'zhang'tai 秋风好住章台
'qiu'feng'tan 秋风叹
'qiu'feng'xiang'jian'xi'hu'shang 秋风想见西湖上
'qiu'hao'meng 求好梦
'qiu'jin'jiang'nan'ye'wei'diao 秋尽江南叶未凋
'qiu'qian'xia 秋千下
'qiu'sheng'ru'guan'xian 秋声入管弦
'qiu'shui'xie'yang'yan'yang'jin 秋水斜阳演漾金
'qiu'tian'wen'she 求田问舍
'qiu'ye'ci'chao'shuang'yan 秋夜辞巢双燕
'qu'deng'xie'lan'chu'cui'wei 曲蹬斜阑出翠微
'qu'fang'shen 曲房深
'qu'guo'ou'yin 去国讴吟
'qu'jie'deng'huo'xiang'chen'san 曲街灯火香尘散
'qu'jing'zhen'cong 曲径珍丛
'qu'kan'fu'qing'liu 曲槛俯清流
'qu'lan'gan 曲阑干
'qu'men'nan'yu'ming'ke'jie 曲门南与鸣珂接
'qu'nian'huan 去年欢
'qu'nian'jin'ri'dong'men'dong 去年今日东门东
'qu'ping'ying'zhen'chun'shan'die 曲屏映枕春山叠
'qu'qu'lan'gan 屈曲阑干
'qu'ren'bu'yuan 去人不远
'qu'shui'wen'liu'shang 曲水稳流觞
'qu'zhong'ren'yuan 曲终人远
'que'hen'hua'lou'di 却恨画楼低
'que'jing'qiao'duan 鹊惊桥断
'que'xian'jing'zhong'wa 却羡井中蛙
'que'xiao'lu'xi'ru'dou'da 却笑泸溪如斗大
'qun'yu'xuan'zhong'ji'yi'chen 群玉轩中迹已陈
'ran'ran'zheng'chen 苒苒征尘
'ran'xiao'zhi 然笑指
'rao'guo'yan'hua'lian'mao'yuan 绕郭烟花连茂苑
'ren'bi'luo'chuang'xiao 任碧罗窗晓
'ren'de'an'xiang'wei'du'you'wu'jian 认得暗香微度有无间
'ren'de'gong'zhuang 认得宫妆
'ren'fei'wu'shi 人非物是
'ren'ge'pin 认歌颦
'ren'geng'yuan'yu'tian'ji 人更远于天际
'ren'gui'luo'yan'hou 人归落雁后
'ren'gui'zhou 认归舟
'ren'guo'yang'tai'zhe'liu 忍过阳台折柳
'ren'he'yi'kan 人何以堪
'ren'hua'jiu'you'xin'meng 忍话旧游新梦
'ren'jian'di'shi'chang'ru'xu 人间底事长如许
'ren'lan'qing 认兰情
'ren'lang'chen 任郎瞋
'ren'lei'yin 忍泪吟
'ren'lei'zhong'yin 忍泪重吟
'ren'lian'bo'wei'kai 认帘箔微开
'ren'luo'wa'wu'zong 认罗袜无踪
'ren'ming'ke'qu'li 认鸣珂曲里
'ren'nan'du 人南渡
'ren'qing'qin 认情亲
'ren'qing'tong 认情通
'ren'ri'xi'shang'zuo 人日席上作
'ren'ru'nong'li 人如秾李
'ren'sheng'ju'san'fu'yun'si 人生聚散浮云似
'ren'xian'zhou'yong'wu'liao'lai 人闲昼永无聊赖
'ren'yin'qin 认殷勤
'ren'yu'wu'ju'fei 人与物俱非
'ren'zhu'yu'xi'bian 人住玉溪边
'ren'zi'qi 人自起
'ren'zong'wu'qing'chao'you'xin 人纵无情潮有信
'ri'bo'yun'rong 日薄云融
'ri'cai'qi'feng'zhan 日彩旗风飐
'ri'ri'chun'feng'lou'shang 日日春风楼上
'ri'zhang'pian'yu'shui'xiang'yi 日长偏与睡相宜
'ri'zhang'sao'jin'qing'tai'di 日长扫尽青苔地
'rong'rong'yang'yang'bai'ou'fei 溶溶漾漾白鸥飞
'rou'sang'mo'shang'tun'sheng'bie 柔桑陌上吞声别
'rou'tiao'fang'cao 柔条芳草
'ru'dai'bi'lan'hong'yao 如待碧阑红药
'ru'jin'chi'dun'si'han'ying 如今痴钝似寒蝇
'ru'jin'chu'xu'yi'xiao'hun 如今触绪易销魂
'ru'meng'nan'liu 入梦难留
'ru'wei'xing'ren'zhao'shou 如为行人招手
'ruo'ge'fang'xin 若个芳心
'ruo'liu'fei'mian 弱柳飞绵
'ruo'wen'xian'qing'dou'ji'xu 若问闲情都几许
'sai'guan'qing'chui'xin'a'lan 塞管轻吹新阿滥
'san'geng'yue 三更月
'san'qian'li'wai'chang'an 三千里外长安
'san'qin'sao 三秦扫
'san'shan'ping'kai'za'xiang'chuang 三扇屏开匝象床
'san'shan'ping'shan'za'xiang'chuang 三扇屏山匝象床
'san'shi'wan'jia'feng'yue'gong'liu'lian 三十万家风月共流连
'san'sui'fu'chuang'nv 三岁扶床女
'san'wan'qing'fei'chen'jie 三万顷非尘界
'san'wu'cai'chan'ming'ye'shi 三五彩蟾明夜是
'san'wu'man'hai'kui 三五满还亏
'san'yue'shi'san'han'shi'ye 三月十三寒食夜
'sang'yu'shou'de'zi'you'shen 桑榆收得自由身
'sao'yin'jian 扫吟笺
'se'shou'chan'mian'chu 色受缠绵处
'se'you'zhuang 色犹庄
'shan'chen'yuan'zhao 山沉远照
'shan'liao'ping'hu 山缭平湖
'shan'qin'chu'jiao 山侵楚角
'shan'que'chu 山缺处
'shan'wei'ge'dai'qian 扇偎歌黛浅
'shan'wu'chong'shu 山无重数
'shan'xiu'fu'rong 山秀芙蓉
'shan'ying'pin'yao 扇影频摇
'shang'chun'qu 伤春曲
'shang'chun'yan'gui'dong'hu 伤春燕归洞户
'shang'chun'zuo 伤春作
'shang'dong'men 上东门
'shang'ge'dan 商歌弹
'shang'lian'long 上帘栊
'shang'nv'peng'chuang'xia 商女篷窗罅
'shang'si'ming'chao'shi 上巳明朝是
'shang'xiang'jian'yang'zhou'tao'li 尚想见扬州桃李
'shang'xin'bu'yan'bei'xing'huan 赏心不厌杯行缓
'shang'xin'bu'zhao'qi'luo'yan 伤心不照绮罗筵
'shang'xin'feng'yue'nan'cheng'dao 伤心风月南城道
'shang'xin'le'shi'nan'quan 赏心乐事难全
'shang'xin'liang'an'guan'yang'liu 伤心两岸官杨柳
'shang'xin'nan'pu'bo 伤心南浦波
'shao'chui'bai'yu'tuan 梢垂白玉团
'shao'nian'jin'qu'nen'qi'liang 少年禁取恁凄凉
'shao'nian'xia'qi 少年侠气
'she'la'yan'nong 麝蜡烟浓
'she'mei'xun'ni'wen'si'lv 麝煤熏腻纹丝缕
'she'xun'wei'du'xiu'fu'rong 麝熏微度绣芙蓉
'shei'yu'dou'chun'feng 谁与斗春风
'shen'ban'wei'gui'hong 身伴未归鸿
'shen'bi'zhong'men 深闭重门
'shen'bi'zhu'fei 深闭朱扉
'shen'cang'hua'wu'suo'diao'long 深藏华屋锁雕笼
'shen'chang'wei 甚长为
'shen'fang'bie'guan'lan'gui'xiao 深坊别馆兰闺小
'shen'hou'xiao'shou 沈侯销瘦
'shen'ji'wu'yun'yao 身寄吴云杳
'shen'jing'bi'tao'hua'xie 深径碧桃花谢
'shen'ru'zui'xiang'an'wen'chu 深入醉乡安稳处
'shen'shen'yuan 深深院
'shen'wu'chu'gui'tu 神物出龟图
'shen'yi'shu'he'ren 深意属何人
'shen'yin'ying'feng'biao'yuan'lu 深隐映风标鸳鹭
'shen'yuan'luo'hong'ru'shen 深院落红如糁
'shen'zhe'mei'hua'ceng'ji'yuan 深折梅花曾寄远
'shen'zhu'dou'liu'ying 深竹逗流萤
'sheng'ge'chi'ri 笙歌迟日
'sheng'qin'dao 剩衾裯
'sheng'shi'chao'ye'huan'yu 盛时朝野欢娱
'sheng'wang'xing 生忘形
'sheng'xian'yuan'yang'de'zi'you 生羡鸳鸯得自由
'sheng'you'di 胜游地
'sheng'you'san'yue'chu'san 胜游三月初三
'shi'cheng'hui'shou'shan'chong'ta 石城回首山重沓
'shi'cheng'lou'guan'qing'xia'ju 石城楼观青霞举
'shi'cui'sha'kong 拾翠沙空
'shi'er'ceng'lou 十二层楼
'shi'er'dou'men 十二都门
'shi'er'lan'gan'jin'ye'yue 十二阑干今夜月
'shi'er'men'kai 十二门开
'shi'er'qing'lou 十二青楼
'shi'er'qu'lan'xian'yi'bian 十二曲阑闲倚遍
'shi'er'yu'feng'qian 十二玉峰前
'shi'er'yu'lou'kong'geng'kong 十二玉楼空更空
'shi'fen'chi'jiu'mei 十分持酒每
'shi'fu'bao'fan'feng'kuai 十幅饱帆风快
'shi'gu'xiang 是故乡
'shi'heng'bo 是横波
'shi'li'qi'mo'xiang'chen 十里绮陌香尘
'shi'li'yue'ming'deng'huo'xi 十里月明灯火稀
'shi'ming'zhuang'guan 是名壮观
'shi'nian'duo'bing'feng'qing'qian 十年多病风情浅
'shi'nian'yi'jiao'yang'zhou'meng 十年一觉扬州梦
'shi'qu'qian'nian'you'hen'cu 事去千年犹恨促
'shi'ri'yi'feng'reng'zai'yu 十日一风仍再雨
'shi'wen'lai'shi 试问来时
'shi'wen'wei'shui'tian'shou'ruo 试问为谁添瘦弱
'shi'wu'xin'sheng 时误新声
'shi'wu'yu'ru'xian 十五语如弦
'shi'xun'fang 试寻访
'shi'yi'shi 时易失
'shi'zuo'xiao'zhuang'kui'wan'jing 试作小妆窥晚镜
'shou'ji'qi'xian'tong 手寄七弦桐
'shou'jin'zi 收锦字
'shou'jun'shuang'yu'ou 寿君双玉瓯
'shou'yi'shi'jie'ye'si'jia 授衣时节也思家
'shou'yi'yi'ran 首已依然
'shou'zhu'yi'chun'you'hen 收贮一春幽恨
'shu'dian'yu'sheng'feng'yue'zhu 数点雨声风约住
'shu'fa'ru'chan 梳发如蝉
'shu'jin'chen'xiang'sheng'wa'luo 蜀锦尘香生袜罗
'shu'que'qing'ge 数阕清歌
'shu'ren'you'zai'yu'guan'xi 戍人犹在玉关西
'shu'xing'le 疏行乐
'shu'you'ru'ci 树犹如此
'shu'yu'chi'tang'jian 疏雨池塘见
'shu'yu'hu'sui'yun'duan 疏雨忽随云断
'shu'zhi'rou'qing 淑质柔情
'shu'zhong'dan'yue 疏钟淡月
'shuai'lan'song'ke'xian'yang'dao 衰兰送客咸阳道
'shuang'an'qin'xian'cheng'su'zhi 双按秦弦呈素指
'shuang'ban'qiao'dong 双板桥东
'shuang'feng'he'ming 双凤和鸣
'shuang'feng'xiao'sheng'ge'cai'xia 双凤箫声隔彩霞
'shuang'fu'cheng'yan'fang'rong'yu 双凫乘雁方容与
'shuang'he'heng'qiao'a'na'bian 双鹤横桥阿那边
'shuang'jiang'ling'bo 双桨凌波
'shuang'lu'ben'wu'qing 双舻本无情
'shuang'qi'an'wen 双栖安稳
'shuang'qian'chou'dong'qu'ye 双前愁东去也
'shuang'xie'qian'shou'bie'yan'luo 双携纤手别烟萝
'shuang'yan'ban'ren'xian 双燕伴人闲
'shuang'yan'hai'lai'ye 双燕还来也
'shuang'yuan'qi 双鸳绮
'shui'ai'song'ling'shui'si'tian 谁爱松陵水似天
'shui'ban'chui'xiao 谁伴吹箫
'shui'ban'zhao'zhao 谁伴朝朝
'shui'bin'yong'shu'lue 睡鬓慵梳掠
'shui'dao'xing'yun'ken'zhu'liu 谁道行云肯驻留
'shui'fu'tiao'deng'ye'bu'yi 谁复挑灯夜补衣
'shui'gong'deng'lou 谁共登楼
'shui'gong'e'dai 谁共蛾黛
'shui'gong'yi'lan'gan 谁共倚栏干
'shui'guan'lian'kong 水馆帘空
'shui'jia'hong'xiu'yi'jin'lou 谁家红袖倚津楼
'shui'jia'shui'diao'sheng'sheng'yuan 谁家水调声声怨
'shui'jin'duan 谁禁断
'shui'jin'jiang'tou'chou'bu'jin 水尽江头愁不尽
'shui'kuo'shan'chang'fen'bu'jin 水阔山长分不尽
'shui'lian'jin'ye'peng'chuang'yu 谁怜今夜篷窗雨
'shui'lian'xiu'hu'bi'xiang'lian 谁怜绣户闭香奁
'shui'lun'er'hao 谁论二豪
'shui'mian'nan'jin'pin'ling 水眄难禁频领
'shui'nian'dong'yang'xiao'shou'gu 谁念东阳销瘦骨
'shui'qi'ba'jiao'ye'shang'zi'ti'shi 睡起芭蕉叶上自题诗
'shui'qing'qian 水清浅
'shui'ren'ling'bo'wei'bu'wa'chen'xiang 谁认凌波微步袜尘香
'shui'shi'lian'cai 谁是怜才
'shui'si'pi'han'jin 谁似辟寒金
'shui'tang'li'yan'qian'zhu'bo 水堂离燕褰珠箔
'shui'tiao'qing'guan'du'xin'sheng 谁调清管度新声
'shui'wen'qi'ting 谁问旗亭
'shui'ya'lu'han'xun'she'jian 睡鸭炉寒熏麝煎
'shui'yuan'yang 睡鸳鸯
'shuo'jin'qian'qing'duo'shao'hua 说尽牵情多少话
'si'bei'weng 思悲翁
'si'bin'yun'wan 泗滨云晚
'si'bu'sheng'qing 似不胜情
'si'bu'xu 似不许
'si'die'yang'guan'ren'lei'wen 四叠阳关忍泪闻
'si'fa'zai'hua'qian 思发在花前
'si'fei'dong 似飞动
'si'fu'xiang'wu'chang'ke'duan 思妇想无肠可断
'si'huang'liang'meng 似黄粱梦
'si'ji'qing'shan'yong 四际晴山拥
'si'ling'xi'yi'dian 似灵犀一点
'si'niu'nv 思牛女
'si'qian'bie 思前别
'si'sheng'tong 死生同
'si'ti'qiao'gui'ke 似题桥贵客
'si'wang'ming 死忘名
'si'xian'sheng'yuan'que'chen'yin 四弦声怨却沉吟
'si'xiang'ren'yu'yu 似向人欲语
'si'yang'tai'jiao'yun'nong'xiao 似阳台娇云弄晓
'si'yu'chi'chi 私语迟迟
'si'zhi'an'wen'yi'yu'zhou 四肢安稳一渔舟
'song'jiang'lai 送将来
'song'jun'nan'pu 送君南浦
'song'li'bei 送离杯
'song'lin'dong'pan 宋邻东畔
'song'ling'zheng'mei 松陵正美
'song'men'shi'lu'qiu'feng'sao 松门石路秋风扫
'su'shou'qing'fen 素手轻分
'suan'peng'shan 算蓬山
'suan'shan'du'kuo 蒜山渡阔
'suan'xin 酸心
'sui'an'shang'li 隋岸伤离
'sui'bu'jin'lian 随步金莲
'sui'chu'sui'ren'dao 随处随人到
'sui'wan'cong'wu'hao 岁晚从吾好
'suo'chuang'zhu'hu 琐窗朱户
'suo'ren'ti'yan'shi 索人题艳诗
'ta'qing'jie'hong'ren'san 蹋青解红人散
'tai'cheng'you 台城游
'tai'cheng'you'ye 台城游冶
'tai'xian'xia 态闲暇
'tan'gao'wei'zhu'yu'bei'hong 檀膏微注玉杯红
'tan'xiang'you'jing 探香幽径
'tang'qian'shuang'yan'guo'shui'jia 堂前双燕过谁家
'tao'hua'hong 桃花红
'tao'li'cheng'yin 桃李成阴
'tao'li'dou'wu'yu 桃李都无语
'tao'li'qu'xing'wu'suan'zhuo 桃李趣行无算酌
'tao'ye'cen'ci'qian'yue 桃叶参差前约
'tao'ye'qing'shan'ge'an 桃叶青山隔岸
'tao'ye'qing'shan'zhang'zai'yan 桃叶青山长在眼
'tao'ye'yuan'lin'feng'ri'hao 桃叶园林风日好
'tao'yuan'xing 桃源行
'ti'cong'cong 啼匆匆
'ti'dian'ban'zhuang 啼钿半妆
'ti'jiu'shang'chun 殢酒伤春
'ti'man'xing'hua'jian 题满杏花笺
'ti'niao'zi'jing'hua'zi'luo 啼鸟自惊花自落
'ti'ren'chou 替人愁
'ti'ren'wu'ye 替人呜咽
'ti'wu'bu'guan 啼乌不管
'ti'xiang'dui 啼相对
'ti'zhuang'ceng'zhen'xiu 啼妆曾枕袖
'ti'zui'xiu 题醉袖
'tian'chun'se 添春色
'tian'ji'ren'gui'zhou 天际认归舟
'tian'ji'xiao'shan'tao'ye'bu 天际小山桃叶步
'tian'ruo'you'qing'tian'yi'lao 天若有情天亦老
'tian'xiang'xi'ye 添香惜夜
'tian'ya'chang'wang 天涯怅望
'tian'yi'ya 天一涯
'tian'yu'duo'qing'bu'zi'you 天与多情不自由
'tiao'cai'ta'qing'dou'guo'que 挑菜踏青都过却
'tiao'deng'kai'juan'hua'sheng'zhi 挑灯开卷花生纸
'tiao'di 迢递
'tiao'qin'si 调琴思
'tiao'tiao'di 迢迢地
'tiao'tiao'san'shi'ye 迢迢三十夜
'tiao'yao'ci'ye 迢遥此夜
'tie'weng'cheng 铁瓮城
'tie'weng'cheng'gao 铁瓮城高
'ting'xin'yue'wu 庭心月午
'ting'zhou 汀洲
'tong'lai'he'shi'bu'tong'gui 同来何事不同归
'tong'ren'peng'lu'pan'yin 铜人捧露盘引
'tong'shui'xiao'qian 同谁消遣
'tong'wan'yu'wan'cu'yun'yao 铜丸玉腕促云谣
'tou'bai'yuan'yang'shi'ban'fei 头白鸳鸯失伴飞
'tou'ji'xi'fei'yan 偷寄西飞燕
'tou'lao'gui'lai'wu'zhuo'chu 投老归来无着处
'tou'ti'zui'xiu 偷题醉袖
'tu'chang'wang'bi'yun'xiao'san 徒怅望碧云销散
'tu'kui'yan'mai'chun'feng'li 兔葵燕麦春风里
'tu'yin'ye'shi'feng'liu'shi 吐茵也是风流事
'tuan'shan'dan'yi'yang'liu'mo 团扇单衣杨柳陌
'tuan'shan'nong'wei'feng 团扇弄微风
'tuan'shan'yan'ying'chun 团扇掩樱唇
'tui'qiao'yong 推翘勇
'tui'zhen'yuan'qin'ti'zi'ling 推枕援琴涕自零
'tun'sheng'bie 吞声别
'tuo'wei'feng'cai'xiao'liu'yuan 托微风彩箫流怨
'wa'luo'chen'dong'xiang'qun'sao 袜罗尘动香裙扫
'wa'luo'xiang'zai 袜罗香在
'wan'chu'qian'zhen'dao'yu'chuan 万杵千砧捣欲穿
'wan'hen'long'zhong 万恨龙钟
'wan'hu'xian'chou'liang'you'sheng 万斛闲愁量有剩
'wan'lai'feng'zhuan'ye'shen'yu 晚来风转夜深雨
'wan'qing'yue'bo'nan'zi'wu 万顷月波难滓污
'wan'shan'jing'qiu 纨扇惊秋
'wan'shi'chun'feng'hu'die'wu 宛是春风胡蝶舞
'wan'shi'he'ming'shuang'feng 宛是和鸣双凤
'wan'shi'nan'zhou'lu 宛是南州路
'wan'xi'liu 宛溪柳
'wan'xi'yang'liu 宛溪杨柳
'wan'yun'gao 晚云高
'wan'zhang'yan 晚张燕
'wang'chang'an 望长安
'wang'chu'ding'wu'qian'li'yan 望处定无千里眼
'wang'chu'yu'sheng'hu'die'meng 望处欲生胡蝶梦
'wang'du'jia'chun'pao'hao'ye 枉度佳春抛好夜
'wang'duan'xi'feng 望断西风
'wang'duan'zhang'tai'lu 望断章台路
'wang'fen'jiang'jing'li'hua'nian 枉分将镜里华年
'wang'fu'kuang'nian'shao 枉负狂年少
'wang'hou'qing'chan'wei'po'yuan 望后清蟾未破圆
'wang'lai'fan'hen'zhong'lian'ai 往来翻恨重帘碍
'wang'ming'tian'wei'ming 望明天未明
'wang'ri'xia'jiu'you'tian'yuan 望日下旧游天远
'wang'shi'jin'he'dao 往事今何道
'wang'shu'gui 望书归
'wang'sun'he'xu'yin'chen'jue 王孙何许音尘绝
'wang'sun'mo'fu'dong'cheng'yue 王孙莫负东城约
'wang'wang'duan'tian'ya 枉望断天涯
'wang'xi'fei 望西飞
'wang'xin'yue 望新月
'wang'xing'xiang'er'ru 忘形相尔汝
'wang'zi 望子
'wang'zi'yun'che'yuan 望紫云车远
'wei'bo'ji'ye 微波寄叶
'wei'bu'yong'chai'liang 微步拥钗梁
'wei'cheng'cai'chang'yi'qing'chen 渭城才唱浥轻尘
'wei'cheng'huai'yuan 渭城怀远
'wei'di'ping'shan'yuan 未抵屏山远
'wei'dong'jun'yi'chun'xiang'fu 谓东君以春相付
'wei'feng'dong 微风动
'wei'feng'jin'xiu'zhi 微风襟袖知
'wei'jian'yu'zhuang'hao 惟见馀妆好
'wei'jue'zun'qian'xiao'bu'cheng 惟觉尊前笑不成
'wei'jun'liu'zhe 为君留着
'wei'lou'yu'shang'wei'chang'qie 危楼欲上危肠怯
'wei'nian'ren'liu'lian 惟念人留恋
'wei'rong'tao'li'zheng'yan 未容桃李争妍
'wei'sheng'zhen'fu 未圣真符
'wei'shi'wen'yuan'duo'bing'ke 未是文园多病客
